name,12/31/2021,06/30/2021,12/31/2020,06/30/2020,08/31/2019,02/28/2019,08/31/2018,02/28/2018,08/31/2017
TotalAssets,"810,147,557","839,303,015","795,871,282","751,673,372","901,093,366","971,187,706","1,001,283,802","1,126,342,221","1,157,426,442"
TotalLiabilitiesNetMinorityInterest,"271,466,553","293,234,448","257,912,679","244,849,736","295,946,345","329,967,684","336,556,919","384,137,904","395,699,335"
TotalEquityGrossMinorityInterest,"538,681,004","546,068,567","537,958,603","506,823,636","605,147,021","641,220,022","664,726,883","742,204,317","761,727,107"
	StockholdersEquity,"538,681,004","546,068,567","537,958,603","506,823,636","605,147,021","641,220,022","664,726,883","742,204,317","761,727,107"
		CapitalStock,"653,096,094","658,028,410","658,028,410","670,147,198","701,158,837","737,131,143","754,736,778","828,288,250","1,001,024,371"
			CommonStock,"653,096,094","658,028,410","658,028,410","670,147,198","701,158,837","737,131,143","754,736,778","828,288,250","1,001,024,371"
			OtherCapitalStock,,,,,,,,,"0"
		RetainedEarnings,"-114,415,090","-111,959,843","-120,069,807","-163,323,562","-96,011,816","-95,911,121","-1,640,755","-649,167","2,296,160"
TotalCapitalization,"786,681,004","784,068,567","766,958,603","712,823,636","859,147,021","919,220,022","970,726,883","1,080,204,317","1,125,727,107"
CommonStockEquity,"538,681,004","546,068,567","537,958,603","506,823,636","605,147,021","641,220,022","664,726,883","742,204,317","761,727,107"
NetTangibleAssets,"538,681,004","546,068,567","537,958,603","506,823,636","605,147,021","641,220,022","664,726,883","742,204,317","761,727,107"
InvestedCapital,"786,681,004","784,068,567","766,958,603","712,823,636","859,147,021","919,220,022","970,726,883","1,080,204,317","1,125,727,107"
TangibleBookValue,"538,681,004","546,068,567","537,958,603","506,823,636","605,147,021","641,220,022","664,726,883","742,204,317","761,727,107"
TotalDebt,"248,000,000","238,000,000","229,000,000","206,000,000","254,000,000","278,000,000","306,000,000","338,000,000","364,000,000"
NetDebt,"244,442,298","235,103,729","228,093,795","205,097,340","252,952,629","276,144,080","305,726,019","336,791,541","359,819,323"
ShareIssued,"46,606,591","46,591,807","46,591,807","46,783,244","49,697,581","52,739,184","52,858,693","58,791,928","60,046,241"
OrdinarySharesNumber,"46,606,591","46,591,807","46,591,807","46,783,244","49,697,581","52,739,184","52,858,693","58,791,928","60,046,241"
