name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004
OperatingCashFlow,"247,053,000","-50,443,000","120,497,000","66,211,000","110,788,000","38,032,000","-15,743,000","-27,821,000","-21,821,000","-26,866,000","-23,012,000","-21,977,000","-36,361,000","-39,902,000","-33,630,000","-33,872,000","-33,927,000","-29,872,000","-17,749,000","-17,127,000","-17,392,000","-25,250,000","-26,282,000","-28,208,000","-25,427,000","-27,134,000","-21,846,000","-23,002,000","-23,572,000","-24,139,000","-16,867,000","-23,089,000","-22,606,000","-11,176,000","-11,843,000","-12,255,000","-15,689,000","-18,886,000","-7,592,000","-12,347,000","-15,689,000","-8,181,000","-5,288,000","-12,704,000","-9,629,000","-19,495,000","-17,886,000","-12,189,000","-13,793,000","-7,502,000","-9,291,000","-8,842,000","-7,372,000","-8,047,000","3,981,000","1,974,000","-8,725,000","-14,265,000","18,429,000","-17,104,000","-18,458,000","-14,899,000","-17,681,000","-1,644,000","-10,381,000","-7,534,000","-8,495,000","-7,614,000","1,307,000","-8,056,000","-5,306,000","-999,000","-4,033,000","3,006,000"
	CashFlowFromContinuingOperatingActivities,"247,053,000","-50,443,000","120,497,000","66,211,000","110,788,000","38,032,000","-15,743,000","-27,821,000","-21,821,000","-26,866,000","-23,012,000","-21,977,000","-36,361,000","-39,902,000","-33,630,000","-33,872,000","-33,927,000","-29,872,000","-17,749,000","-17,127,000","-17,392,000","-25,250,000","-26,282,000","-28,208,000","-25,427,000","-27,134,000","-21,846,000","-23,002,000","-23,572,000","-24,139,000","-16,867,000","-23,089,000","-22,606,000","-11,176,000","-11,843,000","-12,255,000","-15,689,000","-18,886,000","-7,592,000","-12,347,000","-15,689,000","-8,181,000","-5,288,000","-12,704,000","-9,629,000","-19,495,000","-17,886,000","-12,189,000","-13,793,000","-7,502,000","-9,291,000","-8,842,000","-7,372,000","-8,047,000","3,981,000","1,974,000","-8,725,000","-14,265,000","18,429,000","-17,104,000","-18,458,000","-14,899,000","-17,681,000","-1,644,000","-10,381,000","-7,534,000","-8,495,000","-7,614,000","1,307,000","-8,056,000","-5,306,000","-999,000","-4,033,000","3,006,000"
		NetIncomeFromContinuingOperations,"108,681,000","32,859,000","99,779,000","-28,430,000","4,473,000","891,000","-15,467,000","4,401,000","-51,579,000","-12,595,000","-36,756,000","-33,459,000","-42,713,000","-39,672,000","-39,969,000","-40,528,000","-39,444,000","-38,958,000","-27,421,000","-22,128,000","-20,318,000","-25,287,000","-21,741,000","-34,694,000","-28,986,000","-27,023,000","-26,862,000","-30,124,000","-23,591,000","-26,217,000","-22,286,000","-29,819,000","-24,777,000","-13,840,000","-13,056,000","-15,675,000","-17,164,000","-20,825,000",,,,,,,,"-18,466,000","-15,122,000","-4,998,000","-28,004,000","-9,184,000","-30,270,000","-9,506,000","4,110,000","5,101,000","3,099,000","-5,420,000","-6,079,000","-12,429,000","-12,076,000","-17,101,000","-17,704,000","-13,090,000","-16,455,000","-12,152,000","-15,273,000","-8,172,000","-8,762,000","-8,284,000","-8,579,000","5,070,000","-5,163,000","-4,033,000","-2,909,000","-3,866,000"
		OperatingGainsLosses,"26,280,000","-1,801,000","-19,175,000","44,121,000","3,135,000","25,552,000","53,000","-28,152,000","25,655,000","-8,686,000","7,284,000",,,,,,,,"22,000","-8,000","-3,000","-21,000",,,,,"46,000","1,671,000","0","0","0","0","-4,000","-20,000","14,000","0",,,"2,000","6,000",,,"28,000","0",,,"-36,000","0","0","0","-1,029,000","-3,108,000",,,"3,390,000","3,078,000","-1,487,000","-1,566,000",,"-1,621,000","-3,037,000","-2,016,000","-4,427,000","-3,271,000","2,040,000","82,000","-851,000","846,000","-640,000","628,000","272,000","72,000","-689,000","687,000"
			GainLossOnSaleOfPPE,,,"47,000","0","0","0","-22,000","0","0","-76,000",,,,,"98,000","0","0","0","22,000","-8,000","-3,000","-21,000",,,,,"46,000","0","0","0","0","0","-4,000","-20,000","14,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"22,001,000","-1,801,000","-19,222,000","45,121,000","-2,097,000","25,552,000","75,000","-21,301,000","25,655,000","-8,610,000","7,266,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"6,980,000","1,728,000","1,718,000","1,765,000","1,769,000","1,759,000","1,763,000","1,748,000","1,878,000","3,946,000","4,056,000","7,662,000","4,535,000","5,277,000","3,434,000","4,676,000","3,133,000","3,240,000","1,982,000","782,000","885,000","789,000","683,000","628,000","544,000","402,000","407,000","324,000","299,000","335,000","388,000","336,000","341,000","339,000","341,000","340,000","327,000","319,000","309,000","306,000","300,000","292,000","294,000","305,000","398,000","605,000","546,000","588,000","617,000","644,000","667,000","720,000","735,000","715,000","734,000","698,000","1,046,000","352,000","-1,214,000","631,000","1,310,000","-95,000","136,000","2,027,000","-1,481,000","850,000","1,593,000","-141,000","1,496,000","184,000","1,022,000","745,000","1,387,000","119,000"
			DepreciationAndAmortization,"6,980,000","1,728,000","1,718,000","1,765,000","1,769,000","1,759,000","1,763,000","1,748,000","1,878,000","3,946,000","4,056,000","7,662,000","4,535,000","5,277,000","3,434,000","4,676,000","3,133,000","3,240,000","1,982,000","782,000","885,000","789,000","683,000","628,000","544,000","402,000","407,000","324,000","299,000","335,000","388,000","336,000","341,000","339,000","341,000","340,000","327,000","319,000","309,000","306,000","300,000","292,000","294,000","305,000","398,000","605,000","546,000","588,000","617,000","644,000","667,000","720,000","735,000","715,000","734,000","698,000","1,046,000","352,000","-1,214,000","631,000","1,310,000","-95,000","136,000","2,027,000","-1,481,000","850,000","1,593,000","-141,000","1,496,000","184,000","1,022,000","745,000","1,387,000","119,000"
				Depreciation,"6,980,000","1,728,000","1,718,000","1,765,000","1,769,000","1,759,000","1,763,000","1,748,000","1,676,000","1,648,000","1,733,000","5,338,000","2,238,000","3,004,000","1,110,000","853,000","835,000","823,000",,,,,,,,,,,,,,,,,,,,,"309,000","306,000","300,000","292,000","294,000","305,000","344,000","360,000","301,000","343,000","372,000","399,000","422,000","475,000","490,000","470,000","489,000","453,000","470,000","438,000","392,000","379,000","371,000","341,000","333,000","1,624,000","-1,011,000","184,000","181,000","191,000",,,"229,000","97,000",,
				AmortizationCashFlow,,,"0","0","0","0","0","0","202,000","2,298,000","2,323,000","2,324,000","2,297,000","2,273,000","2,324,000","3,823,000","2,298,000","2,417,000",,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","54,000","245,000","245,000","245,000","245,000","245,000","245,000","245,000","245,000","245,000","245,000","245,000","576,000","-86,000","-1,606,000","252,000","939,000","-436,000","-197,000","403,000","-470,000","666,000","1,412,000","-332,000",,,"793,000","648,000",,
