name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,11/30/1995,08/31/1995
OperatingCashFlow,"2,098,767,000","322,195,000","529,888,000","566,952,000","679,732,000","154,304,000","484,798,000","482,727,000","651,122,000","360,381,000","680,530,000","640,710,000","609,811,000","141,304,000","389,392,000","457,673,000","562,036,000","362,539,000","342,910,000","553,095,000","146,270,000","865,174,000","482,182,000","535,623,000","516,637,000","429,002,000","436,673,000","678,996,000","31,442,000","410,089,000","-69,991,000","847,900,000","262,391,000","419,107,000","354,187,000","733,128,000","306,819,000","379,207,000","200,235,000","366,634,000","202,105,000","331,874,000","150,659,000","495,194,000","204,410,000","329,783,000","120,551,000","161,366,000","295,919,000","261,847,000","152,591,000","167,487,000","212,383,000","134,249,000","184,170,000","146,227,000","134,510,000","91,024,000","223,326,000","95,778,000","125,901,000","88,031,000","190,108,000","96,937,000","256,090,000","-23,564,000","183,344,000","84,609,000","106,195,000","111,406,000","87,341,000","115,852,000","90,636,000","126,116,000","34,576,000","99,645,000","78,778,000","80,649,000","59,746,000","136,194,000","61,070,000","84,985,000","25,829,000","112,146,000","76,927,000","57,831,000","112,866,000","84,313,000","48,981,000","61,488,000","68,043,000","69,900,000","-7,300,000","38,300,000","10,700,000","33,100,000","9,400,000","-35,600,000","4,600,000","3,400,000","-4,900,000","2,700,000","16,400,000","10,200,000","-5,700,000","-2,500,000","6,200,000","1,700,000"
	CashFlowFromContinuingOperatingActivities,"2,098,767,000","322,195,000","529,888,000","566,952,000","679,732,000","154,304,000","484,798,000","482,727,000","651,122,000","360,381,000","680,530,000","640,710,000","609,811,000","141,304,000","389,392,000","457,673,000","562,036,000","362,539,000","342,910,000","553,095,000","146,270,000","865,174,000","482,182,000","535,623,000","516,637,000","429,002,000","436,673,000","678,996,000","31,442,000","410,089,000","-69,991,000","847,900,000","262,391,000","419,107,000","354,187,000","733,128,000","306,819,000","379,207,000","200,235,000","366,634,000","202,105,000","331,874,000","150,659,000","495,194,000","204,410,000","329,783,000","120,551,000","161,366,000","295,919,000","261,847,000","152,591,000","167,487,000","212,383,000","134,249,000","168,954,000","146,227,000","134,510,000","91,024,000","221,207,000","100,722,000","127,453,000","86,479,000","190,371,000","96,435,000","256,090,000","-23,564,000","183,344,000","84,609,000","106,195,000","111,406,000","87,341,000","115,852,000","90,636,000","126,116,000","34,576,000","99,645,000","78,778,000","80,649,000","59,746,000","136,194,000","61,070,000","84,985,000","25,829,000","112,146,000","76,927,000","57,831,000","112,866,000","84,313,000","48,981,000","61,488,000","68,043,000","69,900,000","-7,300,000","38,300,000","10,700,000","33,100,000","9,400,000","-35,600,000","4,600,000","3,400,000","-4,900,000","2,700,000","16,400,000","10,200,000","-5,700,000","-2,500,000","6,200,000","1,700,000"
		NetIncomeFromContinuingOperations,"1,125,935,000","205,718,000","249,432,000","319,754,000","351,031,000","291,545,000","234,370,000","217,540,000","254,872,000","287,895,000","302,962,000","201,688,000","327,157,000","189,487,000","-101,843,000","-96,668,000","306,322,000","225,229,000","340,679,000","-172,034,000","161,625,000","500,285,000","188,270,000","612,150,000","94,503,000","138,159,000","34,474,000","261,307,000","207,777,000","-76,148,000","250,388,000","219,784,000","181,421,000","211,737,000","244,273,000","169,836,000","283,358,000","59,734,000","183,800,000","172,550,000","120,004,000","164,883,000","176,132,000","161,846,000",,,,"142,881,000","123,893,000","125,000,000","125,583,000","126,270,000","131,695,000","96,211,000","98,365,000","93,910,000","94,951,000","86,934,000","85,717,000","94,455,000","125,024,000","76,582,000","74,129,000","94,856,000","63,237,000","57,469,000","64,149,000","55,217,000","52,943,000","56,334,000","56,602,000","60,386,000","52,401,000","52,865,000","62,798,000","38,060,000","38,520,000","36,413,000","58,811,000","54,170,000","8,370,000","35,978,000","32,558,000","44,278,000","29,545,000","30,934,000","15,333,000","13,150,000","-15,355,000","3,847,000","-148,056,000","1,800,000","-28,900,000","27,900,000","19,400,000","29,100,000","19,600,000","-52,800,000","10,400,000","9,900,000","8,900,000","7,800,000","7,200,000","6,500,000","5,700,000","4,300,000","2,800,000","2,400,000"
		OperatingGainsLosses,"8,803,000","664,000","6,902,000","1,077,000","160,000","-2,924,000","18,800,000","96,477,000","19,240,000","-9,482,000","3,451,000","35,902,000","25,990,000","-337,000","-10,314,000","10,551,000","-63,051,000","3,564,000","9,854,000","-7,425,000","1,671,000","1,423,000","941,000","-371,824,000","-20,754,000","5,238,000","-27,853,000","7,171,000","19,571,000","10,404,000","12,788,000","11,493,000","16,959,000","8,159,000","24,650,000","16,417,000","-55,664,000","-13,882,000","3,374,000","-12,754,000","5,156,000","7,608,000","4,047,000","5,322,000","4,388,000","6,926,000","3,685,000","2,298,000","2,333,000","-2,029,000","2,797,000","2,305,000","808,000","3,647,000","-12,700,000","3,969,000","3,448,000","-5,952,000","-2,085,000","46,467,000","-47,438,000","512,000","2,251,000","-39,628,000","-10,383,000","13,354,000","9,543,000","684,000","16,251,000","15,344,000","13,986,000","6,764,000","13,224,000","14,881,000","21,286,000","22,876,000","6,256,000","1,166,000","2,115,000","4,228,000","37,394,000","11,242,000","7,239,000","3,629,000","7,922,000","5,050,000","3,747,000","4,633,000","11,433,000","-625,000","63,777,000","20,800,000","52,300,000","10,500,000","100,400,000","9,000,000","17,800,000","22,800,000","7,200,000","2,300,000","2,100,000","1,800,000","1,600,000","1,600,000","1,300,000","1,000,000",,
			GainLossOnSaleOfBusiness,,,"0","0",,,"7,996,000","0",,,"0","0",,,"-28,152,000","1,506,000",,,"0","-17,129,000",,,"0","-374,374,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"8,803,000","664,000","6,902,000","1,077,000","160,000","-2,924,000","10,804,000","9,520,000","2,988,000","-9,482,000","3,451,000","2,500,000","2,968,000","-337,000","17,838,000","9,045,000","-3,998,000","3,564,000","9,854,000","9,704,000","7,944,000","1,423,000","941,000","2,550,000","9,037,000","5,238,000","-1,270,000","5,306,000","2,718,000","2,539,000","4,118,000","3,750,000","2,444,000","-187,000","1,798,000","1,570,000","1,990,000","-2,486,000","3,374,000","149,000","-622,000","483,000","116,000","-234,000","-948,000","1,420,000","-250,000","-267,000","-1,447,000","-1,334,000","862,000","-708,000","-376,000","18,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"687,858,000","172,944,000","174,763,000","170,462,000","169,689,000","165,701,000","161,486,000","156,894,000","157,376,000","154,679,000","158,467,000","155,915,000","152,242,000","148,528,000","155,157,000","146,000,000","147,079,000","142,799,000","183,958,000","203,283,000","200,038,000","190,206,000","188,777,000","181,739,000","180,381,000","169,355,000","163,330,000","162,062,000","158,843,000","153,789,000","153,600,000","148,865,000","145,905,000","142,565,000","138,732,000","133,005,000","130,626,000","125,756,000","109,540,000","80,586,000","77,807,000","75,975,000","72,987,000","67,821,000","64,470,000","62,037,000","60,071,000","58,486,000","58,353,000","57,468,000","56,865,000","56,813,000","58,185,000","57,123,000","56,244,000","54,970,000","52,892,000","52,811,000","51,392,000","49,230,000","47,058,000","45,790,000","45,209,000","44,478,000","41,717,000","41,891,000","42,639,000","26,372,000","25,860,000","24,848,000","23,212,000","22,257,000","20,927,000","20,270,000","19,985,000","19,336,000","17,921,000","17,445,000","16,895,000","16,267,000","15,698,000","15,805,000","26,156,000","26,281,000","26,624,000","26,148,000","27,290,000","26,927,000","29,670,000","27,718,000","28,281,000","29,800,000","27,400,000","27,000,000","29,500,000","22,500,000","21,000,000","19,000,000","8,200,000","7,100,000","6,400,000","5,400,000","5,100,000","4,300,000","3,500,000","2,500,000","2,100,000","1,700,000"
			DepreciationAndAmortization,"687,858,000","172,944,000","174,763,000","170,462,000","169,689,000","165,701,000","161,486,000","156,894,000","157,376,000","154,679,000","158,467,000","155,915,000","152,242,000","148,528,000","155,157,000","146,000,000","147,079,000","142,799,000","183,958,000","203,283,000","200,038,000","190,206,000","188,777,000","181,739,000","180,381,000","169,355,000","163,330,000","162,062,000","158,843,000","153,789,000","153,600,000","148,865,000","145,905,000","142,565,000","138,732,000","133,005,000","130,626,000","125,756,000","109,540,000","80,586,000","77,807,000","75,975,000","72,987,000","67,821,000","64,470,000","62,037,000","60,071,000","58,486,000","58,353,000","57,468,000","56,865,000","56,813,000","58,185,000","57,123,000","56,244,000","54,970,000","52,892,000","52,811,000","51,392,000","49,230,000","47,058,000","45,790,000","45,209,000","44,478,000","41,717,000","41,891,000","42,639,000","26,372,000","25,860,000","24,848,000","23,212,000","22,257,000","20,927,000","20,270,000","19,985,000","19,336,000","17,921,000","17,445,000","16,895,000","16,267,000","15,698,000","15,805,000","26,156,000","26,281,000","26,624,000","26,148,000","27,290,000","26,927,000","29,670,000","27,718,000","28,281,000","29,800,000","27,400,000","27,000,000","29,500,000","22,500,000","21,000,000","19,000,000","8,200,000","7,100,000","6,400,000","5,400,000","5,100,000","4,300,000","3,500,000","2,500,000","2,100,000","1,700,000"
		DeferredTax,"41,754,000","-41,000","3,759,000","16,039,000","21,997,000","18,688,000","49,065,000","59,682,000","28,800,000","103,301,000","-30,867,000","11,884,000","19,334,000","41,372,000","73,604,000","143,174,000","13,265,000","43,617,000","-262,436,000","-173,719,000","20,847,000","20,091,000","4,617,000","32,180,000","-12,577,000","56,187,000","78,418,000","-3,383,000","227,032,000","-194,574,000","226,714,000","-12,576,000","24,056,000","31,880,000","32,733,000","54,300,000","36,448,000","-101,963,000","73,851,000","56,826,000","4,497,000","-2,445,000","18,164,000","15,483,000","25,901,000","32,089,000","13,900,000","72,196,000","-7,386,000","-3,311,000","5,452,000","15,411,000","13,576,000","16,430,000","38,755,000","38,986,000","24,610,000","-7,439,000","-7,044,000","-1,813,000","29,652,000","-2,194,000","1,093,000","22,229,000","-18,555,000","-2,425,000","-54,407,000","2,483,000","-5,619,000","-5,814,000","17,284,000","7,003,000","5,844,000","-1,016,000","8,643,000","7,517,000","-87,000","4,841,000","39,894,000","10,731,000","3,982,000","7,861,000","-6,421,000","12,045,000","1,569,000","2,900,000","11,509,000","-8,660,000","5,901,000","156,000",,,,,,,,,,,,,,,,,,
			DeferredIncomeTax,"41,754,000","-41,000","3,759,000","16,039,000","21,997,000","18,688,000","49,065,000","59,682,000","28,800,000","103,301,000","-30,867,000","11,884,000","19,334,000","41,372,000","73,604,000","143,174,000","13,265,000","43,617,000","-262,436,000","-173,719,000","20,847,000","20,091,000","4,617,000","32,180,000","-12,577,000","56,187,000","78,418,000","-3,383,000","227,032,000","-194,574,000","226,714,000","-12,576,000","24,056,000","31,880,000","32,733,000","54,300,000","36,448,000","-101,963,000","73,851,000","56,826,000","4,497,000","-2,445,000","18,164,000","15,483,000","25,901,000","32,089,000","13,900,000","72,196,000","-7,386,000","-3,311,000","5,452,000","15,411,000","13,576,000","16,430,000","38,755,000","38,986,000","24,610,000","-7,439,000","-7,044,000","-1,813,000","29,652,000","-2,194,000","1,093,000","22,229,000","-18,555,000","-2,425,000","-54,407,000","2,483,000","-5,619,000","-5,814,000","17,284,000","7,003,000","5,844,000","-1,016,000","8,643,000","7,517,000","-87,000","4,841,000","39,894,000","10,731,000","3,982,000","7,861,000","-6,421,000","12,045,000","1,569,000","2,900,000","11,509,000","-8,660,000","5,901,000","156,000",,,,,,,,,,,,,,,,,,
