name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,07/31/1990,07/31/1989,07/31/1988,07/31/1987,07/31/1986
TotalAssets,"2,132,112,000","2,118,224,000","2,204,695,000","2,241,850,000","2,263,017,000","1,944,165,000","2,065,064,000","2,144,687,000","2,812,864,000","2,217,631,000","2,395,576,000","2,328,371,000","2,211,206,000","2,097,503,000","2,133,212,000","1,952,385,000","1,883,010,000","1,852,522,000","1,899,307,000","1,876,012,000","1,766,443,000","1,838,407,000","1,719,716,000","1,599,286,000","1,503,541,000","1,531,482,000","1,358,864,000","1,257,116,000","1,193,533,000","1,262,157,000","1,212,354,000","1,142,776,000","1,119,894,000","1,224,276,000","1,154,208,000","1,097,193,000","1,072,809,000","771,533,000","772,193,000","747,045,000","732,102,000","739,907,000","724,755,000","689,026,000","741,686,000","654,146,000","679,556,000","676,583,000","679,809,000","688,335,000","693,457,000","671,884,000","683,723,000","816,661,000","789,036,000","787,201,000","788,418,000","815,353,000","789,764,000","773,760,000","743,706,000","761,706,000","690,015,000","686,192,000","716,717,000","700,352,000","696,709,000","690,904,342","668,321,945","668,141,070","651,834,833","633,704,000","695,400,403","558,932,709","536,542,577","516,304,448","514,145,678","520,775,767","514,553,353","590,473,652","565,526,482","573,882,659","575,695,554","572,649,150","546,530,939","528,030,596","513,999,594","471,123,035","417,800,000","397,500,000","384,500,000","274,800,000","180,700,000","177,600,000","166,300,000","153,800,000","114,800,000","91,000,000","88,200,000","66,500,000","57,400,000","55,500,000","52,100,000","49,600,000","48,600,000","51,100,000","51,800,000","50,900,000","49,000,000","50,800,000","48,700,000","53,700,000","58,600,000","60,200,000","87,900,000","90,600,000","94,700,000","94,800,000","100,500,000","101,700,000","98,900,000","96,700,000","101,000,000","44,500,000","45,100,000","42,100,000","23,900,000"
	CurrentAssets,"1,369,951,000","1,356,090,000","1,449,003,000","1,477,708,000","1,498,050,000","1,168,630,000","1,265,506,000","1,306,635,000","1,930,875,000","1,258,293,000","1,411,930,000","1,307,847,000","1,178,515,000","1,096,440,000","1,148,927,000","1,005,262,000","936,082,000","893,370,000","938,518,000","950,237,000","888,329,000","966,948,000","851,234,000","848,784,000","766,625,000","817,617,000","696,632,000","620,888,000","584,365,000","652,734,000","605,736,000","541,190,000","516,350,000","615,330,000","541,134,000","501,794,000","469,684,000","381,708,000","376,947,000","352,815,000","335,120,000","349,650,000","330,311,000","314,958,000","362,603,000","301,081,000","322,761,000","319,344,000","316,446,000","328,968,000","327,207,000","297,441,000","298,039,000","339,463,000","305,081,000","284,922,000","285,948,000","312,147,000","292,437,000","278,565,000","256,747,000","284,936,000","284,308,000","279,513,000","297,781,000","346,140,000","341,879,000","313,266,523","284,507,624","293,685,515","276,033,343","257,300,000","316,642,016","334,817,243","305,472,577","279,877,158","275,018,993","272,013,600","256,736,247","313,305,898","309,419,337","314,572,542","309,368,061","298,713,796","282,200,044","328,437,694","324,428,556","279,804,455","235,100,000","238,700,000","241,100,000","139,900,000","113,500,000","117,700,000","118,200,000","106,700,000","79,700,000","54,900,000","55,200,000","40,000,000","30,500,000","29,500,000","26,800,000","25,700,000","24,300,000","27,600,000","27,600,000","26,100,000","24,500,000","25,500,000","23,200,000","25,200,000","28,000,000","28,500,000","30,200,000","31,600,000","34,100,000","35,900,000","40,500,000","39,400,000","39,800,000","36,900,000","46,000,000","29,000,000","30,700,000","30,400,000","14,400,000"
		CashCashEquivalentsAndShortTermInvestments,"185,568,000","310,757,000","263,701,000","261,947,000","330,615,000","11,770,000","12,036,000","22,535,000","643,876,000","54,560,000","11,837,000","12,583,000","33,579,000","128,342,000","21,513,000","23,906,000","57,946,000","24,531,000","38,608,000","19,357,000","29,491,000","21,711,000","33,787,000","19,327,000","20,166,000","21,797,000","21,289,000","22,542,000","18,428,000","16,459,000","20,672,000","18,722,000","16,344,000","14,394,000","18,607,000","18,247,000","22,590,000","54,726,000","52,581,000","66,710,000","86,195,000","51,312,000","44,766,000","89,027,000","161,003,000","79,960,000","103,320,000","116,155,000","135,928,000","120,483,000","104,707,000","78,762,000","74,037,000","45,723,000","22,068,000","25,040,000","27,259,000","19,232,000","18,862,000","15,966,000","14,445,000","7,489,000","27,268,000","13,589,000","22,439,000","61,901,000","83,062,000","75,626,131","71,213,784","37,479,553","51,393,109","48,586,000","118,344,373","149,794,385","129,851,760","118,031,804","131,375,151","111,321,473","116,052,139","135,352,203","173,319,264","147,924,014","130,483,671","107,038,804","82,151,281","109,528,117","105,701,950","74,039,635","79,200,000","78,400,000","98,000,000","24,000,000","34,000,000","32,100,000","35,900,000","29,000,000","29,500,000","3,300,000","6,600,000","4,400,000","2,000,000","4,000,000","3,800,000","4,800,000","4,900,000","6,200,000","4,300,000","4,300,000","4,300,000","2,800,000","2,600,000","2,000,000","4,100,000","4,400,000","3,300,000","5,000,000","2,800,000","6,300,000","7,000,000","6,400,000","5,600,000","6,200,000","4,600,000","5,100,000","1,400,000","9,500,000","3,400,000"
			CashAndCashEquivalents,"185,568,000","310,757,000","263,701,000","261,947,000","330,615,000","11,770,000","12,036,000","22,535,000","643,876,000","54,560,000","11,837,000","12,583,000","33,579,000","128,342,000","21,513,000","23,906,000","57,946,000","24,531,000","38,608,000","19,357,000","29,491,000","21,711,000","33,787,000","19,327,000","20,166,000","21,797,000","21,289,000","22,542,000","18,428,000","16,459,000","20,672,000","18,722,000","16,344,000","14,394,000","18,607,000","18,247,000","22,590,000","54,726,000","52,581,000","66,710,000","86,195,000","51,312,000","44,766,000","89,027,000","161,003,000","79,960,000","103,320,000","116,155,000","135,928,000","120,483,000","104,707,000","78,762,000","74,037,000","45,723,000","22,068,000","25,040,000","27,259,000","19,232,000","18,862,000","15,966,000","14,445,000","7,489,000","27,268,000","13,589,000","22,439,000","61,901,000","83,062,000","75,626,131","51,834,290","37,479,553","51,393,109","48,586,000","118,344,373","149,794,385","129,851,760","118,031,804","131,375,151","111,321,473","116,052,139","135,352,203","173,319,264","147,924,014","130,483,671","107,038,804","82,151,281","109,528,117","105,701,950","74,039,635","79,200,000","78,400,000","98,000,000","24,000,000","34,000,000","32,100,000","35,900,000","29,000,000","29,500,000","3,300,000","6,600,000","4,400,000","2,000,000","4,000,000","3,800,000","4,800,000","4,900,000","6,200,000","4,300,000","4,300,000","4,300,000","2,800,000","2,600,000","2,000,000","4,100,000","4,400,000","3,300,000","5,000,000","2,800,000","6,300,000","7,000,000","6,400,000","5,600,000","6,200,000","4,600,000","5,100,000","1,400,000","9,500,000","3,400,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,379,494",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"1,043,340,000","933,947,000","1,077,946,000","1,105,270,000","1,048,480,000","1,056,973,000","1,144,271,000","1,156,647,000","1,145,792,000","1,073,418,000","1,263,203,000","1,156,791,000","1,004,032,000","844,637,000","1,003,257,000","862,455,000","761,711,000","756,160,000","766,579,000","796,021,000","732,554,000","818,746,000","705,002,000","728,842,000","649,960,000","695,294,000","589,864,000","513,751,000","479,600,000","553,783,000","503,310,000","444,144,000","424,104,000","527,753,000","459,067,000","418,864,000","382,840,000","272,944,000","146,672,000","228,379,000","190,628,000","245,411,000","238,092,000","182,524,000","156,855,000","114,137,000","113,743,000","104,986,000","142,763,000","172,652,000","191,095,000","183,649,000","184,114,000","254,263,000","246,704,000","222,000,000","217,032,000","254,632,000","242,256,000","228,196,000","200,938,000","241,278,000","226,452,000","224,911,000","225,641,000","247,952,000","226,880,000","204,115,651","178,037,373","222,737,731","197,089,948","174,736,000","169,250,626","162,122,470","156,793,794","143,572,335","124,847,194","137,493,805","120,252,297","156,020,770","115,772,788","146,940,376","159,240,131","168,108,630","176,274,390","196,477,424","196,592,721","184,940,271","135,400,000","138,900,000","128,200,000","102,900,000","69,600,000","77,900,000","76,500,000","73,300,000","46,300,000","48,000,000","44,800,000","32,400,000","25,800,000","23,100,000","20,400,000","11,600,000","12,000,000","12,600,000","16,300,000","15,100,000","13,700,000","16,500,000","14,900,000","15,000,000","14,800,000","15,700,000","22,300,000","22,400,000","20,100,000","24,900,000","23,900,000","22,100,000","31,100,000","27,500,000","38,700,000","23,600,000","29,000,000","20,400,000","10,700,000"
			AccountsReceivable,"387,752,000","351,129,000","384,915,000","345,687,000","342,632,000","367,475,000","381,625,000","391,315,000","396,251,000","368,474,000","420,884,000","321,150,000","309,696,000","342,734,000","478,364,000","343,839,000","327,949,000","348,722,000","370,635,000","350,240,000","310,174,000","331,375,000","329,633,000","357,497,000","319,933,000","363,321,000","316,350,000","266,770,000","268,318,000","297,662,000","273,577,000","233,747,000","232,227,000","304,684,000","252,331,000","234,230,000","227,692,000","153,794,000","141,788,000","121,638,000","98,360,000","137,624,000","229,407,000","101,789,000","94,427,000","113,070,000","110,117,000","96,773,000","89,330,000","170,508,000","184,079,000","172,092,000","173,193,000","252,022,000","240,690,000","212,620,000","207,862,000","254,632,000","242,256,000","228,196,000","200,938,000","241,278,000","226,452,000","223,137,000","157,604,000","167,989,000","161,321,000","133,962,240","115,650,789","158,600,216","131,926,512","127,400,000","126,644,448","124,803,409","121,979,664","105,289,340","99,891,183","105,144,626","86,443,183","118,047,547","89,820,523","106,694,568","122,259,817","122,710,100","176,274,390","196,477,424",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,,,,,,,,,,,,,,,,"343,839,000",,,,,,,,,,,,,,"297,662,000",,,,,,,,"154,072,000","142,058,000","121,907,000",,,,"102,235,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,"-948,000",,,,,,,,,,,,,,"-830,000",,,,,,,,"-278,000","-270,000","-269,000",,,,"-446,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"14,537,000","12,729,000","7,502,000","9,709,000","3,607,000","1,706,000","724,000","780,000","0","3,168,000","0","1,417,000","2,376,000","3,461,000","5,496,000","7,662,000","15,568,000","1,008,000","7,493,000","6,258,000","26,639,000",,,"15,288,000","29,285,000",,,,,,,"12,287,000","18,347,000","2,231,000","2,516,000","907,000","6,925,000","741,000","4,884,000","867,000","4,437,000","3,493,000","8,685,000","6,836,000","5,557,000","1,067,000","3,626,000","8,213,000","9,122,000","2,144,000","7,016,000","11,557,000","10,921,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
