name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
TotalAssets,"13,706,769,000","13,537,358,000","12,888,016,000","10,346,993,000","10,190,699,000","9,751,571,000","8,367,976,000","8,357,501,000","7,500,643,000","7,333,791,000","7,346,791,000","7,181,855,000","6,932,757,000","5,645,662,000","5,517,539,000","5,509,924,000","5,383,102,000","5,289,225,000","5,231,488,000","5,038,696,000","5,106,226,000","4,081,328,000","3,909,644,000","3,761,665,000","3,709,905,000","3,608,483,000","3,516,541,000","3,371,078,000","3,275,295,000","3,277,003,000","3,209,590,000","3,175,441,000","3,139,951,000","3,170,197,000","3,108,062,000","3,094,420,000","3,123,928,000","3,325,786,000","3,193,692,000","3,183,134,000","3,245,154,000","3,377,779,000","3,370,467,000","2,935,432,000","2,925,316,000","2,805,840,000","2,504,244,000","2,272,729,000","2,361,405,000","2,365,655,000","2,518,625,000","2,214,929,000","2,230,703,000","2,270,174,000","2,236,401,000","2,197,718,000","2,047,878,000","1,999,118,000","1,828,259,000","1,753,312,000","1,756,623,000","1,535,587,000","1,508,175,000","1,306,541,000","1,258,084,000","1,286,968,000","1,169,842,000","1,140,522,000","1,110,582,000","1,059,950,099","1,046,389,619","1,016,054,241","963,594,356","907,726,204","863,320,472","866,283,808","902,297,375","876,786,501","864,819,022","808,074,356","789,404,091","795,249,563","803,841,924","736,898,985","701,535,957","710,063,190","690,692,189","660,063,978","500,354,950"
TotalLiabilitiesNetMinorityInterest,"12,233,592,000","12,008,242,000","11,448,381,000","9,228,692,000","9,098,202,000","8,672,596,000","7,485,709,000","7,489,538,000","6,654,207,000","6,466,606,000","6,500,696,000","6,356,354,000","6,134,922,000","5,041,858,000","4,930,702,000","4,935,840,000","4,828,087,000","4,740,652,000","4,685,152,000","4,489,943,000","4,568,305,000","3,694,230,000","3,528,546,000","3,390,036,000","3,350,521,000","3,257,654,000","3,172,978,000","3,038,648,000","2,949,186,000","2,960,762,000","2,900,836,000","2,873,877,000","2,848,502,000","2,890,492,000","2,830,322,000","2,846,745,000","2,880,224,000","3,090,041,000","2,926,176,000","2,927,246,000","2,999,138,000","3,138,214,000","3,124,004,000","2,698,448,000","2,734,301,000","2,622,492,000","2,323,664,000","2,095,857,000","2,186,171,000","2,201,743,000","2,351,954,000","2,048,705,000","2,063,819,000","2,052,386,000","2,051,442,000","2,014,817,000","1,869,641,000","1,825,969,000","1,659,016,000","1,590,243,000","1,597,921,000","1,402,593,000","1,380,005,000","1,207,344,000","1,162,277,000","1,194,030,000","1,086,345,000","1,060,082,000","1,033,858,000","987,224,449","975,343,782","948,668,974","896,438,263","842,338,500","783,892,233","788,162,973","827,143,838","802,976,551","792,684,871","737,909,660","725,832,792","732,352,960","734,980,097","669,212,500","635,367,710","645,579,407","639,564,293","610,763,641","466,751,580"
TotalEquityGrossMinorityInterest,"1,473,177,000","1,529,116,000","1,439,635,000","1,118,301,000","1,092,497,000","1,078,975,000","882,267,000","867,963,000","846,436,000","867,185,000","846,095,000","825,501,000","797,835,000","603,804,000","586,837,000","574,084,000","555,015,000","548,573,000","546,336,000","548,753,000","537,921,000","387,098,000","381,098,000","371,629,000","359,384,000","350,829,000","343,563,000","332,430,000","326,109,000","316,241,000","308,754,000","301,564,000","291,449,000","279,705,000","277,740,000","247,675,000","243,704,000","235,745,000","267,516,000","255,888,000","246,016,000","239,565,000","246,463,000","236,984,000","191,015,000","183,348,000","180,580,000","176,872,000","175,234,000","163,912,000","166,671,000","166,224,000","166,884,000","217,788,000","184,959,000","182,901,000","178,237,000","173,149,000","169,243,000","163,069,000","158,702,000","132,994,000","128,170,000","99,197,000","95,807,000","92,938,000","83,497,000","80,440,000","76,724,000","72,725,650","71,045,837","67,385,267","67,156,093","65,387,704","79,428,239","78,120,835","75,153,537","73,809,950","72,134,151","70,164,696","63,571,299","62,896,603","68,861,827","67,686,485","66,168,247","64,483,783","51,127,896","49,300,337","33,603,370"
	StockholdersEquity,"1,473,177,000","1,529,116,000","1,439,635,000","1,118,301,000","1,092,497,000","1,078,975,000","882,267,000","867,963,000","846,436,000","867,185,000","846,095,000","825,501,000","797,835,000","603,804,000","586,837,000","574,084,000","555,015,000","548,573,000","546,336,000","548,753,000","537,921,000","387,098,000","381,098,000","371,629,000","359,384,000","350,829,000","343,563,000","332,430,000","326,109,000","316,241,000","308,754,000","301,564,000","291,449,000","279,705,000","277,740,000","247,675,000","243,704,000","235,745,000","267,516,000","255,888,000","246,016,000","239,565,000","246,463,000","236,984,000","191,015,000","183,348,000","180,580,000","176,872,000","175,234,000","163,912,000","166,671,000","166,224,000","166,884,000","217,788,000","184,959,000","182,901,000","178,237,000","173,149,000","169,243,000","163,069,000","158,702,000","132,994,000","128,165,000","99,197,000","95,506,000","92,605,000","83,497,000","80,440,000","76,724,000","72,725,650","71,045,837","67,385,267","67,156,093","65,387,704","64,428,239","63,120,835","60,153,537","58,809,950","57,134,151","55,164,696","52,571,299","51,896,603","57,861,827","56,686,485","55,168,247","53,483,783","51,127,896","49,300,337","33,603,370"
		CapitalStock,"72,383,000","72,386,000","404,000","330,000","332,000","332,000","282,000","281,000","281,000","281,000","280,000","280,000","280,000","239,000","239,000","239,000","239,000","238,000","237,000","237,000","237,000","203,000","203,000","202,000","202,000","201,000","200,000","200,000","200,000","199,000","199,000","198,000","198,000","194,000","194,000","183,000","182,000","181,000","34,094,000","33,882,000","33,675,000","33,471,000","33,272,000","33,078,000","32,857,000","32,669,000","32,484,000","32,303,000","32,125,000","31,932,000","31,760,000","31,592,000","31,345,000","31,245,000","128,000","127,000","126,000","125,000","124,000","124,000","123,000","115,000","115,000","105,000","105,000","105,000","101,000","101,000","100,000","97,784","97,320","96,840","96,767","96,185","95,923","95,651","95,384","94,978","94,482","94,376","93,155","92,707","92,545","92,332","91,471","90,725","90,300","89,681","71,630"
			PreferredStock,"71,988,000","71,988,000","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","33,914,000","33,703,000","33,496,000","33,293,000","33,094,000","32,900,000","32,707,000","32,519,000","32,335,000","32,154,000","31,976,000","31,802,000","31,631,000","31,463,000","31,216,000","31,116,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStock,"395,000","398,000","404,000","330,000","332,000","332,000","282,000","281,000","281,000","281,000","280,000","280,000","280,000","239,000","239,000","239,000","239,000","238,000","237,000","237,000","237,000","203,000","203,000","202,000","202,000","201,000","200,000","200,000","200,000","199,000","199,000","198,000","198,000","194,000","194,000","183,000","182,000","181,000","180,000","179,000","179,000","178,000","178,000","178,000","150,000","150,000","149,000","149,000","149,000","130,000","129,000","129,000","129,000","129,000","128,000","127,000","126,000","125,000","124,000","124,000","123,000","115,000","115,000","105,000","105,000","105,000","101,000","101,000","100,000","97,784","97,320","96,840","96,767","96,185","95,923","95,651","95,384","94,978","94,482","94,376","93,155","92,707","92,545","92,332","91,471","90,725","90,300","89,681","71,630"
		AdditionalPaidInCapital,"1,010,446,000","1,018,799,000","1,031,146,000","688,945,000","698,005,000","697,839,000","529,105,000","527,734,000","525,838,000","526,599,000","524,916,000","523,454,000","521,761,000","350,936,000","349,317,000","348,471,000","348,092,000","350,061,000","349,485,000","348,217,000","348,259,000","213,078,000","212,091,000","211,227,000","210,420,000","210,589,000","209,643,000","208,541,000","207,605,000","207,731,000","207,079,000","206,232,000","205,436,000","200,258,000","198,493,000","176,395,000","174,404,000","173,299,000","172,545,000","170,717,000","169,633,000","169,138,000","168,764,000","168,340,000","134,664,000","133,673,000","133,408,000","132,911,000","132,354,000","117,000,000","116,536,000","116,032,000","115,555,000","115,111,000","109,743,000","108,565,000","105,755,000","104,127,000","103,566,000","101,505,000","100,901,000","78,026,000","77,149,000","52,764,000","51,951,000","53,218,000","46,955,000","46,350,000","46,107,000","41,325,621","40,652,323","40,318,303","40,233,449","39,841,177","39,534,505","39,208,558","38,867,355","38,401,814","38,057,713","37,977,368","37,619,433","37,288,725","37,157,365","36,992,005","36,455,814","35,840,371","35,234,942","34,900,269","19,377,715"
		RetainedEarnings,"523,136,000","492,682,000","461,711,000","474,282,000","441,511,000","417,212,000","393,900,000","380,667,000","370,748,000","380,737,000","356,160,000","331,348,000","316,959,000","304,566,000","284,016,000","264,280,000","244,573,000","225,360,000","220,371,000","206,602,000","197,231,000","182,190,000","170,768,000","161,137,000","150,787,000","141,564,000","132,490,000","124,183,000","116,668,000","108,373,000","103,452,000","96,298,000","90,181,000","85,376,000","82,777,000","75,387,000","65,310,000","56,218,000","53,232,000","46,892,000","39,707,000","35,097,000","41,452,000","33,315,000","24,992,000","19,322,000","14,298,000","10,725,000","11,384,000","15,790,000","17,926,000","19,292,000","20,264,000","71,927,000","76,549,000","75,898,000","73,064,000","70,523,000","66,268,000","61,923,000","58,066,000","55,445,000","51,571,000","47,905,000","44,477,000","41,950,000","39,485,000","36,961,000","34,172,000","32,075,225","30,472,050","27,861,621","26,116,841","24,832,021","23,589,433","22,025,146","19,618,065","18,673,619","17,492,304","16,323,467","15,039,230","14,330,784","20,346,268","19,438,644","18,441,831","17,418,811","16,036,959","14,727,314","14,234,161"
		TreasuryStock,"73,528,000","73,528,000","73,528,000","73,528,000","73,528,000","73,528,000","73,528,000","73,528,000","73,528,000","58,181,000","54,472,000","42,655,000","42,655,000","42,655,000","30,108,000","26,326,000","26,326,000","23,268,000","23,268,000","6,632,000","6,632,000","6,632,000","6,632,000","6,454,000","5,954,000","1,743,000","1,743,000","1,743,000","1,743,000","1,743,000","1,743,000","1,743,000","1,743,000","1,743,000","1,743,000","1,743,000","1,743,000","1,743,000","1,743,000","1,743,000","1,743,000","1,743,000","1,743,000","1,743,000","1,743,000","1,743,000","1,743,000","1,743,000","1,743,000","1,743,000","1,743,000","1,743,000","1,743,000","1,743,000","1,743,000","1,743,000","1,743,000","1,743,000","642,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
