name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015
TotalRevenue,"392,155,000","105,135,000","98,118,000","91,855,000","97,047,000","92,671,000","88,562,000","72,350,000","64,527,000","74,712,000","80,760,000","67,615,000","59,764,000","66,141,000","78,571,000","63,889,000","59,055,000","65,920,000","81,593,000","71,865,000","55,856,000","60,574,000","76,435,000","56,312,000","44,147,000","52,673,000","65,436,000","50,783,000"
	OperatingRevenue,"392,155,000","105,135,000","98,118,000","91,855,000","97,047,000","92,671,000","88,562,000","72,350,000","64,527,000","74,712,000","80,760,000","67,615,000","59,764,000","66,141,000","78,571,000","63,889,000","59,055,000","65,920,000","81,593,000","71,865,000","55,856,000","60,574,000","76,435,000","56,312,000","44,147,000","52,673,000","65,436,000","50,783,000"
CostOfRevenue,"140,423,000","37,635,000","33,777,000","33,870,000","35,141,000","34,071,000","31,443,000","25,212,000","21,186,000","26,648,000","28,240,000","24,267,000","22,573,000","25,650,000","31,652,000","24,920,000","22,410,000","25,712,000","33,899,000","28,952,000","19,966,000","22,346,000","31,115,000","23,834,000","19,010,000","23,373,000","30,407,000","24,781,000"
GrossProfit,"251,732,000","67,500,000","64,341,000","57,985,000","61,906,000","58,600,000","57,119,000","47,138,000","43,341,000","48,064,000","52,520,000","43,348,000","37,191,000","40,491,000","46,919,000","38,969,000","36,645,000","40,208,000","47,694,000","42,913,000","35,890,000","38,228,000","45,320,000","32,478,000","25,137,000","29,300,000","35,029,000","26,002,000"
OperatingExpense,"221,912,000","65,332,000","55,384,000","50,447,000","50,749,000","57,827,000","50,828,000","45,170,000","40,332,000","47,024,000","39,632,000","38,444,000","32,055,000","37,324,000","33,898,000","32,656,000","33,791,000","36,234,000","32,603,000","33,133,000","32,705,000","33,005,000","30,349,000","31,002,000","24,695,000","23,109,000","24,092,000","19,498,000"
	SellingGeneralAndAdministration,"221,912,000","65,332,000","55,384,000","50,447,000","50,749,000","57,827,000","50,828,000","45,170,000","40,332,000","47,024,000","39,632,000","38,444,000","32,055,000","37,324,000","33,898,000","32,656,000","33,791,000","36,234,000","32,603,000","33,133,000","32,705,000","33,005,000","30,349,000","31,002,000","24,695,000","23,109,000","24,092,000","19,498,000"
OperatingIncome,"29,820,000","2,168,000","8,957,000","7,538,000","11,157,000","773,000","6,291,000","1,968,000","3,009,000","1,040,000","12,888,000","4,904,000","5,136,000","3,167,000","13,021,000","6,313,000","2,854,000","3,974,000","15,091,000","9,780,000","3,185,000","5,223,000","14,971,000","1,476,000","442,000","6,191,000","10,937,000","6,504,000"
NetNonOperatingInterestIncomeExpense,"-2,441,000","-529,000","-570,000","-597,000","-745,000","-862,000","-855,000","-905,000","-1,468,000","-1,388,000","-1,560,000","-1,643,000","-1,717,000","-1,849,000","-1,963,000","-1,901,000","-1,989,000","-1,963,000","-1,970,000","-2,262,000","-2,387,000","-2,156,000","-2,925,000","-4,259,000","-3,334,000","-3,061,000","-3,245,000","-3,195,000"
	InterestIncomeNonOperating,"3,000"
	InterestExpenseNonOperating,"2,113,000","201,000","570,000","597,000","745,000","20,000","855,000","905,000","1,468,000","1,504,000","1,560,000","1,643,000","1,717,000","1,849,000","1,171,000","1,901,000","1,989,000","1,963,000","1,160,000","2,262,000","2,387,000","2,156,000","2,640,000","3,834,000","3,334,000","3,061,000","4,074,000","2,929,000"
	TotalOtherFinanceCost,"331,000",,,,,,,,,,"1,560,000","1,643,000","1,717,000","1,849,000","-5,061,000","1,901,000","1,989,000","1,963,000","-5,995,000","2,262,000","2,387,000","2,156,000","285,000","425,000","3,334,000","3,061,000","11,892,000","266,000"
OtherIncomeExpense,"-1,948,000","-466,000","-132,000","-742,000","-608,000","-2,695,000","-677,000","-859,000","-30,000","-176,000","-343,000","4,784,000","2,143,000","-22,491,000","-371,000","360,000","509,000","-888,000","-613,000","-379,000","-244,000","-799,000","-1,041,000","-644,000","-1,627,000","3,590,000","-3,255,000","-4,172,000"
	SpecialIncomeCharges,"-510,000","18,000","14,000","-96,000","-446,000","-2,641,000","0","0","0","0","-8,000","4,198,000","1,792,000","-22,176,000",,,,,,"-379,000","-244,000","-799,000","-1,804,000","-932,000","-1,627,000","3,590,000","-3,255,000","-4,172,000"
		RestructuringAndMergernAcquisition,"50,000","-18,000","-14,000","96,000","-14,000","2,641,000","0","0","0","0","8,000","-4,198,000","-1,792,000","22,176,000",,,,,,,,,,,,,,
		OtherSpecialCharges,"460,000","0",,,"460,000",,,,,,,,,,,,,,,,,,"1,804,000","932,000",,,,
	OtherNonOperatingIncomeExpenses,"-1,438,000","-484,000","-146,000","-646,000","-162,000","-54,000","-677,000","-859,000","-30,000","-176,000","-335,000","586,000","351,000","-315,000","-371,000","360,000","509,000","-888,000","-613,000","-379,000","-244,000","-799,000","763,000","288,000","-1,627,000","3,590,000","-3,255,000","-4,172,000"
PretaxIncome,"25,431,000","1,173,000","8,255,000","6,199,000","9,804,000","-2,784,000","4,759,000","204,000","1,511,000","-523,000","10,985,000","8,045,000","5,562,000","-21,173,000","10,687,000","4,772,000","1,374,000","1,123,000","12,508,000","7,139,000","554,000","2,268,000","11,039,000","-3,428,000","-4,519,000","6,720,000","4,436,000","-862,000"
TaxProvision,"3,661,000","-383,000","2,041,000","475,000","1,528,000","-2,760,000","462,000","-243,000","-1,000","-182,000","2,983,000","1,528,000","1,856,000","-3,259,000","1,015,000","857,000","126,000","433,000","-8,972,000","1,274,000","-3,416,000","108,000","4,438,000","-1,051,000","-1,804,000","2,916,000","2,009,000","-114,000"
NetIncomeCommonStockholders,"21,770,000","1,556,000","6,214,000","5,724,000","8,276,000","-24,000","4,297,000","447,000","1,512,000","-341,000","8,002,000","6,517,000","3,706,000","-17,914,000","9,672,000","3,915,000","1,248,000","690,000","21,480,000","5,865,000","3,970,000","2,160,000","6,601,000","-373,605,000","-96,389,000","-34,143,000","12,261,000","-4,701,000"
	NetIncome,"21,770,000","1,556,000","6,214,000","5,724,000","8,276,000","-24,000","4,297,000","447,000","1,512,000","-341,000","8,002,000","6,517,000","3,706,000","-17,914,000","9,672,000","3,915,000","1,248,000","690,000","21,480,000","5,865,000","3,970,000","2,160,000","6,601,000","-2,377,000","-2,715,000","3,804,000","2,427,000","-748,000"
		NetIncomeIncludingNoncontrollingInterests,"21,770,000","1,556,000","6,214,000","5,724,000","8,276,000","-24,000","4,297,000","447,000","1,512,000","-341,000","8,002,000","6,517,000","3,706,000","-17,914,000","9,672,000","3,915,000","1,248,000","690,000","21,480,000","5,865,000","3,970,000","2,160,000","6,601,000","-2,377,000","-2,715,000","3,804,000","2,427,000","-748,000"
			NetIncomeContinuousOperations,"21,770,000","1,556,000","6,214,000","5,724,000","8,276,000","-24,000","4,297,000","447,000","1,512,000","-341,000","8,002,000","6,517,000","3,706,000","-17,914,000","9,672,000","3,915,000","1,248,000","690,000","21,480,000","5,865,000","3,970,000","2,160,000","6,601,000","-2,377,000","-2,715,000","3,804,000","2,427,000","-748,000"
	PreferredStockDividends,,,,,,,,,,,,,,,,,,,,,,,"0","371,228,000","66,531,000","37,947,000",,"3,953,000"
	OtherunderPreferredStockDividend,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","371,228,000","27,143,000","37,947,000",,"3,953,000"
DilutedNIAvailtoComStockholders,"21,770,000","1,556,000","6,214,000","5,724,000","8,276,000","-24,000","4,297,000","447,000","1,512,000","-341,000","8,002,000","6,517,000","3,706,000","-17,914,000","9,672,000","3,915,000","1,248,000","690,000","21,480,000","5,865,000","3,970,000","2,160,000","6,601,000","-373,605,000","-96,389,000","-34,143,000","12,261,000","-4,701,000"
BasicEPS,,"0.03","0.12","0.11","0.16","-0","0.09","0.01","0.03","-0.01","0.16","0.13","0.08","-0.37","0.2","0.08","0.03","0.01","0.47","0.13","0.09","0.05","0.15","-73.13","-2.172","-0.814",,"-0.112"
