name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993
OperatingCashFlow,"599,052,000","177,331,000","141,445,000","124,681,000","155,595,000","173,331,000","105,669,000","122,123,000","107,853,000","130,892,000","94,172,000","104,663,000","116,587,000","128,098,000","89,942,000","95,116,000","107,572,000","118,454,000","78,981,000","91,407,000","99,816,000","114,286,000","78,766,000","87,775,000","85,041,000","101,766,000","65,663,000","77,273,000","100,731,000","109,215,000","57,403,000","66,931,000","68,182,000","93,229,000","57,613,000","59,664,000","59,096,000","78,976,000","47,576,000","59,857,000","56,521,000","72,505,000","55,350,000","25,022,000","37,351,000","57,918,000","28,650,000","35,180,000","47,672,000","51,807,000","30,770,000","36,959,000","27,802,000","54,858,000","16,447,000","22,435,000","34,968,000","40,040,000","30,964,000","25,486,000","24,329,000","42,012,000","21,808,000","27,929,000","17,878,000","31,842,000","27,474,000","19,444,000","23,145,000","20,263,000","2,984,000","10,696,000","11,972,000","21,081,000","11,187,000","26,663,000","14,217,000","23,096,000","12,025,000","24,759,000","17,191,000","26,201,000","19,606,000","20,382,000","19,399,000","21,321,000","8,392,000","20,074,000","15,053,000","24,482,000","9,380,000","22,300,000","15,600,000","25,300,000","77,000","30,900,000","18,400,000","22,600,000","9,781,000","16,800,000","12,000,000","16,000,000","7,960,000","14,000,000","12,300,000","15,400,000","5,900,000","11,600,000","10,000,000","13,800,000","5,000,000","9,000,000","5,200,000","7,000,000","4,900,000","4,100,000","5,800,000","1,900,000"
	CashFlowFromContinuingOperatingActivities,"599,052,000","177,331,000","141,445,000","124,681,000","155,595,000","173,331,000","105,669,000","122,123,000","107,853,000","130,892,000","94,172,000","104,663,000","116,587,000","128,098,000","89,942,000","95,116,000","107,572,000","118,454,000","78,981,000","91,407,000","99,816,000","114,286,000","78,766,000","87,775,000","85,041,000","101,766,000","65,663,000","77,273,000","100,731,000","109,215,000","57,403,000","66,931,000","68,182,000","93,229,000","57,613,000","59,664,000","59,096,000","78,976,000","47,576,000","59,857,000","56,521,000","72,505,000","55,350,000","25,022,000","37,351,000","57,918,000","28,650,000","35,180,000","47,672,000","51,807,000","30,770,000","36,959,000","27,802,000","54,858,000","16,447,000","22,435,000","34,968,000","40,040,000","30,964,000","25,486,000","24,329,000","42,012,000","21,808,000","27,929,000","17,878,000","31,842,000","27,474,000","19,444,000","23,145,000","20,263,000","2,984,000","10,696,000","11,972,000","21,081,000","11,187,000","26,663,000","14,217,000","23,096,000","12,025,000","24,759,000","17,191,000","26,201,000","19,606,000","20,382,000","19,399,000","21,321,000","8,392,000","20,074,000","15,053,000","24,482,000","9,380,000","22,300,000","15,600,000","25,300,000","77,000","30,900,000","18,400,000","22,600,000","9,781,000","16,800,000","12,000,000","16,000,000","7,960,000","14,000,000","12,300,000","15,400,000","5,900,000","11,600,000","10,000,000","13,800,000","5,000,000","9,000,000","5,200,000","7,000,000","4,900,000","4,100,000","5,800,000","1,900,000"
		NetIncomeFromContinuingOperations,"294,063,000","87,050,000","68,840,000","74,093,000","64,080,000","68,987,000","68,371,000","53,468,000","48,853,000","70,724,000","58,126,000","68,176,000","49,085,000","120,535,000","53,380,000","59,660,000","49,169,000","64,177,000","47,974,000","54,866,000","44,462,000","63,075,000","42,381,000","46,757,000","40,804,000","57,190,000","39,767,000","42,106,000","36,826,000","31,813,000","34,262,000","30,276,000","30,040,000","43,890,000","28,716,000","34,936,000","21,785,000","40,468,000","29,014,000","21,491,000","6,300,000","17,653,000","3,863,000","1,355,000","11,654,000","25,632,000","10,596,000","17,307,000","10,967,000","21,527,000","11,386,000","16,959,000","7,445,000","20,471,000","-13,000","1,482,000","4,068,000","12,766,000","4,656,000","9,651,000","1,634,000","16,160,000","1,797,000","3,554,000","1,219,000","10,062,000","-14,620,000","1,091,000","2,487,000","8,709,000","-1,008,000","-600,000","658,000","4,976,000","-268,000","5,210,000","14,400,000","7,672,000","16,184,000","6,707,000","6,439,000","7,115,000","7,207,000","6,098,000","6,134,000","12,644,000","6,244,000","5,450,000","14,961,000","6,331,000","5,700,000","6,900,000","7,000,000","8,200,000","7,000,000","6,800,000","7,300,000","7,800,000","7,200,000","7,700,000","7,200,000","7,000,000","6,000,000","6,400,000","6,000,000","5,900,000","3,900,000","5,700,000","4,800,000","3,600,000","2,600,000","3,400,000","4,600,000","4,400,000","4,300,000","2,600,000","2,800,000","700,000"
		OperatingGainsLosses,"-1,913,000","345,000","-1,095,000","-850,000","-313,000","1,220,000","-3,160,000","8,764,000","-1,064,000","847,000","-478,000","-3,518,000","-1,735,000","-54,040,000","-272,000","-788,000","-1,613,000","-1,195,000","1,896,000","-686,000","-1,040,000","-1,150,000","-463,000","-496,000","-765,000","-881,000","-492,000","-1,882,000","-909,000","16,107,000","-810,000","3,851,000","-645,000","-1,887,000","-482,000","37,472,000","-609,000","-576,000","-904,000","-264,000","-147,000","-584,000","-466,000","-263,000","-163,000","-443,000","-422,000","2,438,000","-1,035,000","-1,395,000","-2,044,000","-5,212,000","-1,062,000","-198,000","3,696,000","19,227,000",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-803,000","20,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,"0","0","0","59,000",,,,,"0","0","0","-52,507,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-3,184,000","-171,000","-1,095,000","-850,000","-1,068,000","-868,000","-3,160,000","-968,000","-1,064,000","-207,000","-478,000","-3,518,000","-3,226,000","-1,533,000","-1,343,000","-788,000","-1,613,000","-1,195,000","-889,000","-686,000","-1,040,000","-1,150,000","-463,000","-496,000","-765,000","-881,000","-483,000","-1,882,000","-840,000","-884,000","-810,000","-1,236,000","-645,000","-1,887,000","-415,000","-439,000","-609,000","-576,000","-904,000","-264,000","-147,000","-584,000","-466,000","-263,000","-163,000","-443,000","-422,000","1,188,000","-597,000","-583,000","-264,000","-469,000","-259,000","-218,000","-398,000","2,873,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"195,550,000","50,237,000","51,096,000","45,148,000","49,069,000","46,119,000","39,890,000","39,254,000","38,988,000","39,628,000","39,820,000","37,512,000","38,244,000","38,404,000","35,890,000","35,367,000","34,713,000","32,718,000","31,042,000","30,959,000","31,520,000","31,430,000","31,712,000","31,177,000","29,735,000","29,270,000","29,432,000","29,301,000","29,294,000","29,029,000","28,259,000","29,106,000","29,361,000","29,145,000","27,770,000","27,147,000","30,418,000","27,110,000","66,374,000","28,303,000","28,070,000","27,953,000","20,153,000","24,853,000","19,910,000","19,730,000","15,385,000","23,148,000","19,150,000","18,989,000","15,510,000","20,621,000","20,236,000","20,393,000","19,648,000","19,162,000","20,343,000","17,665,000","17,456,000","17,117,000","16,913,000","16,827,000","16,843,000","16,425,000","16,454,000","15,654,000","13,675,000","16,390,000","15,766,000","15,800,000","15,092,000","14,037,000","13,193,000","11,584,000","14,798,000","9,977,000","10,092,000","9,567,000","9,715,000","9,439,000","9,656,000","9,247,000","7,845,000","10,913,000","9,172,000","9,254,000","8,328,000","9,515,000","9,668,000","9,000,000","8,694,000","9,600,000","9,200,000","9,000,000","9,443,000","8,300,000","7,100,000","6,400,000","8,486,000","4,400,000","4,700,000","4,500,000","5,862,000","4,000,000","4,200,000","3,900,000","5,300,000","4,100,000","4,200,000","4,200,000","4,200,000","2,900,000","2,000,000","1,900,000","1,600,000","1,500,000","1,500,000","3,300,000"
			DepreciationAndAmortization,"195,550,000","50,237,000","51,096,000","45,148,000","49,069,000","46,119,000","39,890,000","39,254,000","38,988,000","39,628,000","39,820,000","37,512,000","38,244,000","38,404,000","35,890,000","35,367,000","34,713,000","32,718,000","31,042,000","30,959,000","31,520,000","31,430,000","31,712,000","31,177,000","29,735,000","29,270,000","29,432,000","29,301,000","29,294,000","29,029,000","28,259,000","29,106,000","29,361,000","29,145,000","27,770,000","27,147,000","30,418,000","27,110,000","66,374,000","28,303,000","28,070,000","27,953,000","20,153,000","24,853,000","19,910,000","19,730,000","15,385,000","23,148,000","19,150,000","18,989,000","15,510,000","20,621,000","20,236,000","20,393,000","19,648,000","19,162,000","20,343,000","17,665,000","17,456,000","17,117,000","16,913,000","16,827,000","16,843,000","16,425,000","16,454,000","15,654,000","13,675,000","16,390,000","15,766,000","15,800,000","15,092,000","14,037,000","13,193,000","11,584,000","14,798,000","9,977,000","10,092,000","9,567,000","9,715,000","9,439,000","9,656,000","9,247,000","7,845,000","10,913,000","9,172,000","9,254,000","8,328,000","9,515,000","9,668,000","9,000,000","8,694,000","9,600,000","9,200,000","9,000,000","9,443,000","8,300,000","7,100,000","6,400,000","8,486,000","4,400,000","4,700,000","4,500,000","5,862,000","4,000,000","4,200,000","3,900,000","5,300,000","4,100,000","4,200,000","4,200,000","4,200,000","2,900,000","2,000,000","1,900,000","1,600,000","1,500,000","1,500,000","3,300,000"
				Depreciation,,,,,,,,,,,,,,,"35,890,000","35,367,000","34,713,000","32,718,000","31,042,000","30,959,000","31,520,000","31,430,000","31,712,000","31,177,000","29,735,000","29,270,000","29,432,000","29,301,000","29,294,000","29,029,000","28,259,000","29,106,000","29,361,000","29,145,000","27,770,000","27,147,000","30,418,000","27,110,000","70,716,000","26,749,000","26,675,000","26,560,000","25,584,000","23,492,000","18,734,000","18,653,000","18,549,000","18,403,000","18,220,000","18,175,000","18,219,000","18,733,000","18,259,000","18,459,000","17,638,000","17,189,000","16,912,000","16,961,000","16,761,000","16,372,000","16,186,000","16,100,000","16,170,000","15,718,000","15,763,000","14,930,000","15,187,000","14,744,000","14,380,000","14,471,000","14,916,000","13,334,000",,,,,,,,,,,"5,885,000","10,388,000","8,647,000","8,729,000","6,317,000","9,051,000","8,975,000","8,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
