name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
OperatingCashFlow,"311,992,000","-95,814,000","204,876,000","120,913,000","82,017,000","-88,989,000","259,532,000","270,091,000","355,556,000","-78,813,000","178,779,000","219,119,000","15,237,000","-57,435,000","205,119,000","98,542,000","26,437,000","-59,087,000","127,850,000","135,395,000","108,059,000","-5,170,000","135,637,000","81,139,000","84,946,000","-37,161,000","171,085,000","101,647,000","11,755,000","-17,821,000","137,663,000","69,354,000","63,956,000","-24,316,000","82,022,000","120,258,000","42,891,000","-95,102,000","142,408,000","53,593,000","21,536,000","-33,129,000","90,753,000","53,641,000","41,402,000","-36,371,000","99,275,000","49,627,000","-1,137,000","-79,113,000","86,917,000","133,846,000","126,496,000","11,853,000","135,323,000","88,953,000","85,974,000","24,776,000","126,281,000","70,447,000","53,929,000","8,364,000","60,596,000","71,316,000","94,987,000","-17,557,000","46,547,000","68,462,000","28,903,000","-603,000","17,830,000","34,808,000","4,290,000","-2,445,000","54,496,000","-39,000","8,179,000","-61,326,000","64,584,000","22,027,000","14,575,000","53,511,000","27,406,000","17,799,000","21,510,000","14,376,000","49,939,000","42,531,000","-7,455,000","6,421,000","23,100,000","21,800,000","-31,400,000","22,100,000","24,800,000","10,700,000","-19,800,000","19,600,000","17,500,000","7,900,000","-6,600,000","6,800,000","7,800,000","5,000,000","17,000,000","3,300,000","17,600,000","4,400,000","-7,200,000","-4,100,000","42,900,000","-3,800,000","-16,000,000","-17,200,000"
	CashFlowFromContinuingOperatingActivities,"311,992,000","-95,814,000","204,876,000","120,913,000","82,017,000","-88,989,000","259,532,000","270,091,000","355,556,000","-78,813,000","178,779,000","219,119,000","15,237,000","-57,435,000","205,119,000","98,542,000","26,437,000","-59,087,000","127,850,000","135,395,000","108,059,000","-5,170,000","135,637,000","81,139,000","84,946,000","-37,161,000","171,085,000","101,647,000","11,755,000","-17,821,000","137,663,000","69,354,000","63,956,000","-24,316,000","82,022,000","120,258,000","42,891,000","-95,102,000","142,408,000","53,593,000","21,536,000","-33,129,000","90,753,000","53,641,000","41,402,000","-36,371,000","99,275,000","49,627,000","-1,137,000","-79,113,000","86,917,000","133,846,000","126,496,000","11,853,000","135,323,000","88,953,000","85,974,000","24,776,000","126,488,000","71,423,000","53,929,000","8,364,000","60,596,000","70,696,000","94,987,000","-17,557,000","46,547,000","68,462,000","28,903,000","-603,000","17,830,000","34,808,000","4,290,000","-2,445,000","54,496,000","-39,000","8,179,000","-61,326,000","64,584,000","22,027,000","14,575,000","53,511,000","27,406,000","17,799,000","21,510,000","14,376,000","49,939,000","42,531,000","-7,455,000","6,421,000","23,100,000","21,800,000","-31,400,000","22,100,000","24,800,000","10,700,000","-19,800,000","19,600,000","17,500,000","7,900,000","-6,600,000","6,800,000","7,800,000","5,000,000","17,000,000","3,300,000","17,600,000","4,400,000","-7,200,000","-4,100,000","42,900,000","-3,800,000","-16,000,000","-17,200,000"
		NetIncomeFromContinuingOperations,"372,142,000","73,386,000","101,668,000","99,740,000","97,348,000","84,945,000","79,781,000","61,186,000","-83,689,000","75,665,000","86,924,000","81,834,000","83,972,000","72,410,000","77,966,000","79,421,000","70,816,000","55,374,000","53,198,000","64,597,000","56,788,000","52,610,000","40,887,000","51,557,000","55,355,000","34,354,000","51,054,000","41,907,000","46,836,000","32,710,000","43,808,000","46,777,000","41,000,000","41,842,000","46,269,000","28,893,000","21,474,000","30,718,000","46,788,000","40,310,000","33,980,000","27,808,000","37,490,000","41,483,000",,,"43,983,000","-177,640,000","28,556,000","22,417,000","40,001,000","40,477,000","45,228,000","37,371,000","60,287,000","48,635,000","43,954,000","29,328,000","50,330,000","38,336,000","26,150,000","11,992,000","40,207,000","22,553,000","16,861,000","7,013,000","19,332,000","30,864,000","7,933,000","1,913,000","10,579,000","15,466,000","1,445,000","5,717,000","2,624,000","6,468,000","8,273,000","3,256,000","21,344,000","19,479,000","14,828,000","7,251,000","17,442,000","15,291,000","11,622,000","5,657,000","14,523,000","11,478,000","9,158,000","4,930,000","11,700,000","8,600,000","5,400,000","2,100,000","6,900,000","5,700,000","3,700,000","800,000","3,200,000","3,200,000","1,900,000","300,000","1,900,000","1,900,000","9,300,000","-3,700,000","1,200,000","600,000","-5,700,000","-7,000,000","-88,500,000","-10,000,000","-3,900,000","-6,000,000"
		OperatingGainsLosses,,,,,,,,,,,"-2,204,000","378,000","861,000","-26,000","-617,000","43,000","-249,000","-41,000","-1,578,000","-374,000","-242,000","-516,000","-1,180,000","-559,000","68,000","-228,000","-1,497,000","-600,000","-564,000","-470,000","-5,011,000","-12,262,000","-1,284,000","1,056,000","-1,071,000","-640,000","-181,000","-59,000","-897,000","-213,000","-156,000","608,000","230,000","-9,363,000","-427,000","330,000","-30,000","-259,000","-7,969,000","-3,909,000","2,342,000","1,453,000","-832,000","895,000","-1,136,000","3,011,000","-542,000","414,000","-1,291,000","-7,290,000","3,710,000","1,537,000","-5,527,000","882,000","3,310,000","870,000","12,598,000","1,413,000","2,198,000","865,000","10,644,000","-6,613,000","983,000","947,000",,,,"3,270,000",,,,,,,,,,,,,"11,400,000",,,,"-14,300,000",,,,,,,,,,,,"8,200,000",,,"4,700,000","93,800,000",,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","12,000","596,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,"-248,000",,,,"-4,920,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,"1,777,000","378,000","861,000","-26,000","-100,000","43,000","-249,000","-41,000","268,000","-374,000","-242,000","-516,000","-850,000","-559,000","68,000","-228,000","-1,249,000","-600,000","-564,000","-470,000","-91,000","-513,000","-1,296,000","460,000","-168,000","-640,000","-181,000","-59,000","-1,169,000","-213,000","-156,000","608,000","-256,000","-342,000","-427,000","330,000","709,000","-260,000","-7,968,000","-4,775,000","-375,000","-912,000","-848,000","-571,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"112,575,000","27,129,000","28,189,000","29,141,000","28,116,000","26,990,000","27,025,000","27,022,000","26,110,000","26,514,000","25,175,000","22,352,000","22,365,000","22,195,000","20,748,000","19,582,000","20,206,000","20,379,000","21,954,000","21,944,000","22,240,000","22,371,000","19,994,000","20,519,000","20,474,000","18,802,000","18,992,000","18,304,000","18,670,000","18,223,000","18,782,000","18,747,000","18,590,000","18,371,000","20,114,000","17,642,000","15,091,000","14,491,000","16,053,000","15,215,000","15,202,000","14,496,000","14,970,000","15,213,000","11,987,000","11,606,000","11,411,000","10,136,000","10,263,000","10,105,000","11,594,000","11,177,000","11,216,000","11,758,000","11,841,000","12,151,000","12,602,000","11,923,000","16,582,000","9,444,000","5,199,000","6,446,000","6,118,000","4,876,000","5,196,000","5,120,000","6,847,000","5,031,000","5,508,000","5,245,000","8,090,000","5,942,000","6,345,000","5,931,000","7,681,000","6,172,000","5,399,000","6,699,000","5,279,000","4,172,000","3,928,000","3,377,000","4,979,000","4,467,000","4,418,000","4,336,000","4,696,000","4,130,000","3,826,000","3,449,000","3,800,000","3,700,000","3,700,000","2,900,000",,,,,,,,,,,,,,,,,,,,
			DepreciationAndAmortization,"112,575,000","27,129,000","28,189,000","29,141,000","28,116,000","26,990,000","27,025,000","27,022,000","26,110,000","26,514,000","25,175,000","22,352,000","22,365,000","22,195,000","20,748,000","19,582,000","20,206,000","20,379,000","21,954,000","21,944,000","22,240,000","22,371,000","19,994,000","20,519,000","20,474,000","18,802,000","18,992,000","18,304,000","18,670,000","18,223,000","18,782,000","18,747,000","18,590,000","18,371,000","20,114,000","17,642,000","15,091,000","14,491,000","16,053,000","15,215,000","15,202,000","14,496,000","14,970,000","15,213,000","11,987,000","11,606,000","11,411,000","10,136,000","10,263,000","10,105,000","11,594,000","11,177,000","11,216,000","11,758,000","11,841,000","12,151,000","12,602,000","11,923,000","16,582,000","9,444,000","5,199,000","6,446,000","6,118,000","4,876,000","5,196,000","5,120,000","6,847,000","5,031,000","5,508,000","5,245,000","8,090,000","5,942,000","6,345,000","5,931,000","7,681,000","6,172,000","5,399,000","6,699,000","5,279,000","4,172,000","3,928,000","3,377,000","4,979,000","4,467,000","4,418,000","4,336,000","4,696,000","4,130,000","3,826,000","3,449,000","3,800,000","3,700,000","3,700,000","2,900,000",,,,,,,,,,,,,,,,,,,,
				Depreciation,"47,924,000","11,578,000","12,259,000","11,978,000","12,109,000","12,001,000","11,840,000","11,661,000","11,453,000","11,767,000","11,533,000","11,021,000","10,806,000","10,585,000","9,787,000","9,452,000","9,522,000","9,711,000","9,680,000","9,881,000","10,164,000","10,190,000","9,764,000","9,852,000","9,933,000","9,332,000","9,488,000","8,864,000","9,180,000","8,762,000","9,313,000","9,255,000","9,089,000","8,867,000","10,403,000","9,012,000","8,740,000","8,155,000","8,627,000","7,809,000","7,817,000","6,951,000","7,436,000","7,483,000","6,275,000","6,232,000","6,478,000","6,357,000","6,366,000","6,297,000","7,017,000","6,594,000","6,622,000","6,535,000","6,456,000","6,372,000","6,399,000","5,933,000","6,567,000","4,768,000","4,476,000","4,848,000","4,193,000","4,100,000","4,421,000","4,345,000","6,062,000","4,346,000","4,647,000","4,384,000","5,304,000","5,081,000","5,484,000","5,070,000","5,731,000","5,639,000","4,523,000","5,824,000",,,,,"3,422,000","3,192,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
