name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,12/31/2016
TotalAssets,"220,662,000","257,483,000","215,220,000","239,863,000","157,198,000","209,068,000","215,779,000","194,544,000","214,151,000","240,442,000","182,666,000","202,781,000","220,929,000","171,844,000","183,377,000","121,934,000","127,395,000","152,233,000","78,957,000","77,495,000"
	CurrentAssets,"142,928,000","178,799,000","138,344,000","161,890,000","77,717,000","127,612,000","132,400,000","107,998,000","126,142,000","152,197,000","95,184,000","115,826,000","139,084,000","94,339,000","106,092,000","44,623,000","50,111,000","72,824,000","290,000","211,000"
		CashCashEquivalentsAndShortTermInvestments,"106,671,000","146,256,000","107,796,000","131,737,000","22,171,000","107,562,000","110,123,000","84,754,000","99,639,000","129,803,000","74,029,000","99,929,000","133,680,000","93,162,000","105,168,000","43,585,000","49,570,000","0",,
			CashAndCashEquivalents,"106,671,000","146,256,000","107,796,000","131,737,000","22,171,000","102,562,000","85,127,000","29,772,000","34,652,000","109,892,000","39,116,000","30,289,000","54,367,000","93,162,000","105,168,000","43,585,000","49,570,000","0",,
				CashFinancial,,,,,,,,,,,,,,"93,162,000","105,168,000","43,585,000",,"0",,
			OtherShortTermInvestments,,"0",,"0","0","5,000,000","24,996,000","54,982,000","64,987,000","19,911,000","34,913,000","69,640,000","79,313,000",,,,,,,
		Receivables,"16,800,000","14,657,000","13,289,000","11,864,000","40,579,000","9,680,000","11,399,000","8,649,000","10,406,000","10,661,000","7,206,000","1,410,000",,"0","0",,,"72,639,000","0",
			AccountsReceivable,"16,800,000","14,657,000","13,289,000","11,864,000","7,816,000","9,680,000","11,399,000","8,649,000","10,406,000","10,661,000","7,206,000","1,410,000",,,,,,,,
				GrossAccountsReceivable,"19,629,000","17,042,000","15,670,000",,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-2,829,000","-2,385,000","-2,381,000",,,,,,,,,,,,,,,,,
			TaxesReceivable,,,,,"7,263,000",,,,,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,"0","0",,,"72,639,000","0",
			OtherReceivables,,,,,"25,500,000",,,,,,,,,,,,,,,
		Inventory,"3,615,000","1,762,000","3,816,000","3,337,000","2,775,000","3,354,000","4,871,000","10,343,000","12,542,000","6,407,000","10,043,000","11,522,000","2,578,000",,,,,,,
		PrepaidAssets,"4,533,000","5,082,000","4,484,000","5,737,000","5,464,000","7,016,000","6,007,000","4,252,000","3,555,000","5,326,000","3,906,000","2,965,000","2,826,000","1,177,000","924,000","1,038,000","541,000","185,000","290,000","24,000"
		RestrictedCash,,,,,,,,,,,,,,,,,,"0",,"187,000"
		OtherCurrentAssets,"11,309,000","11,042,000","8,959,000","9,215,000","6,728,000",,,,,,,,,,,,,,,
	TotalNonCurrentAssets,"77,734,000","78,684,000","76,876,000","77,973,000","79,481,000","81,456,000","83,379,000","86,546,000","88,009,000","88,245,000","87,482,000","86,955,000","81,845,000","77,505,000","77,285,000","77,311,000","77,284,000","79,409,000","78,667,000","77,284,000"
		NetPPE,"3,840,000","4,093,000","3,960,000","4,215,000","4,465,000","4,711,000","4,940,000","5,160,000","5,332,000","4,970,000","5,222,000","5,330,000","810,000",,"1,000","5,000",,,,
			GrossPPE,"3,840,000","4,093,000","3,960,000","4,215,000","4,465,000","4,711,000","4,940,000","5,160,000","5,332,000","4,970,000","5,222,000","5,330,000","810,000",,,,,,,
				Properties,,,,"0","0","0","0","0","0","0","0","0","0",,,,,,,
				BuildingsAndImprovements,,,,"3,078,000","3,248,000","3,414,000","3,578,000","3,738,000","3,899,000","4,068,000","4,238,000","5,040,000","810,000",,,,,,,
				OtherProperties,"3,840,000","4,093,000","3,960,000","4,215,000","4,465,000","4,711,000","4,940,000","5,160,000","5,332,000","4,970,000","5,222,000","5,330,000","810,000",,,,,,,
		GoodwillAndOtherIntangibleAssets,"71,240,000","71,833,000","72,676,000","73,518,000","74,776,000","76,505,000","77,999,000","79,231,000","80,382,000","80,846,000","81,065,000","80,419,000","79,990,000","77,284,000","77,284,000","77,284,000","77,284,000","77,284,000","77,284,000","77,284,000"
			Goodwill,"21,208,000","21,208,000","21,208,000","21,208,000","21,208,000","21,208,000","21,208,000","21,208,000","21,208,000","21,208,000","21,208,000","21,208,000","21,208,000","21,208,000","21,208,000","21,208,000","21,208,000","21,208,000","21,208,000","21,208,000"
			OtherIntangibleAssets,"50,032,000","50,625,000","51,468,000","52,310,000","53,568,000","55,297,000","56,791,000","58,023,000","59,174,000","59,638,000","59,857,000","59,211,000","58,782,000","56,076,000","56,076,000","56,076,000","56,076,000","56,076,000","56,076,000","56,076,000"
		OtherNonCurrentAssets,"2,654,000","2,758,000","240,000","240,000","240,000","240,000","440,000","2,155,000","2,295,000","2,429,000","1,195,000","1,206,000","1,045,000","221,000",,"22,000",,"2,125,000","1,383,000",
TotalLiabilitiesNetMinorityInterest,"153,414,000","175,607,000","117,816,000","133,725,000","133,909,000","282,026,000","180,684,000","150,941,000","151,545,000","160,985,000","165,623,000","161,600,000","145,572,000","87,460,000","88,411,000","83,999,000","75,413,000","227,776,000","94,518,000","84,601,000"
	CurrentLiabilities,"40,700,000","57,663,000","71,303,000","87,286,000","87,648,000","180,248,000","12,709,000","19,462,000","22,613,000","24,439,000","25,974,000","23,105,000","9,400,000","5,276,000","5,460,000","3,684,000","3,629,000","212,748,000","30,064,000","63,312,000"
		PayablesAndAccruedExpenses,"34,429,000","48,464,000","44,350,000","61,865,000","63,957,000","82,503,000","9,141,000","18,280,000","21,418,000","23,239,000","24,826,000","22,074,000","8,598,000","5,276,000","5,460,000","3,684,000","3,629,000","1,422,000","1,164,000","3,552,000"
			Payables,"13,282,000","11,405,000","11,665,000","12,042,000","24,501,000","13,061,000","5,087,000","12,186,000","12,015,000","9,279,000","10,448,000","11,104,000","1,863,000","1,558,000","661,000","751,000","1,277,000","445,000","323,000","2,877,000"
				AccountsPayable,"7,565,000","6,091,000","7,365,000","8,059,000","13,253,000","9,615,000","2,957,000","10,952,000","10,699,000","5,796,000","6,125,000","7,708,000","1,863,000","1,558,000","661,000","751,000","1,277,000","445,000","323,000","2,877,000"
				TotalTaxPayable,,,,,"7,263,000",,,,,,,,,,,,,,,
				DuetoRelatedPartiesCurrent,"5,717,000","5,314,000","4,300,000","3,983,000","3,985,000","3,446,000","2,130,000","1,234,000","1,316,000","3,483,000","4,323,000","3,396,000",,,,,,,,
			CurrentAccruedExpenses,"21,147,000","37,059,000","32,685,000","49,823,000","39,456,000","69,442,000","4,054,000","6,094,000","9,403,000","13,960,000","14,378,000","10,970,000","6,735,000","3,718,000","4,799,000","2,933,000","2,352,000","977,000","841,000","675,000"
		CurrentDebtAndCapitalLeaseObligation,"1,279,000","1,265,000","21,202,000","20,887,000","20,580,000","94,664,000","1,197,000","1,182,000","1,195,000","1,200,000","1,148,000","1,031,000","802,000",,,,,"211,326,000","28,900,000","59,760,000"
