name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,12/31/2006
TotalAssets,"211,776,000","213,690,000","208,788,000","209,344,000","215,218,000","204,314,000","194,537,000","185,972,000","190,612,000","188,774,000","190,587,000","183,465,000","180,022,000","179,841,000","181,613,000","174,245,000","155,857,000","161,744,000","149,039,000","145,861,000","148,237,000","149,063,000","141,510,000","141,356,000","144,705,000","151,799,000","73,239,000","74,008,000","79,254,000","85,941,000","85,993,000","93,782,000","96,626,000","101,935,000","93,052,000","95,634,000","97,684,000","104,554,000","104,825,000","103,594,000","104,308,000","110,713,000","118,108,000","128,677,000","130,899,000","133,917,000","135,617,000","142,968,000","143,817,000","142,969,000","119,336,000","118,931,000","118,755,000","120,612,000","112,956,000","33,638,000","32,314,000","27,304,000","13,539,000"
	CurrentAssets,"138,972,000","151,763,000","146,809,000","147,849,000","152,840,000","143,191,000","131,198,000","119,097,000","103,803,000","112,967,000","123,664,000","122,328,000","117,856,000","119,648,000","119,061,000","114,921,000","118,041,000","126,196,000","119,295,000","118,101,000","122,144,000","122,369,000","113,154,000","112,636,000","116,672,000","123,531,000","43,759,000","43,812,000","48,070,000","53,241,000","52,501,000","55,200,000","53,664,000","51,873,000","44,390,000","50,058,000","55,107,000","60,859,000","60,039,000","58,492,000","54,885,000","56,670,000","73,263,000","85,776,000","86,821,000","88,198,000","88,259,000","94,112,000","93,849,000","96,179,000","109,021,000","110,237,000","109,487,000","116,328,000","110,621,000","28,830,000","27,729,000","21,420,000","11,134,000"
		CashCashEquivalentsAndShortTermInvestments,"82,222,000","105,690,000","107,645,000","120,696,000","120,048,000","114,701,000","104,522,000","91,379,000","73,837,000","85,123,000","89,601,000","95,185,000","88,763,000","95,293,000","98,840,000","88,585,000","90,261,000","97,800,000","91,486,000","90,759,000","97,359,000","100,437,000","95,740,000","94,082,000","96,782,000","100,188,000","22,842,000","22,820,000","28,714,000","28,573,000","31,174,000","26,868,000","19,454,000","20,227,000","21,812,000","18,636,000","21,452,000","26,139,000","29,729,000","30,862,000","28,310,000","30,213,000","45,430,000","50,396,000","52,589,000","55,338,000","56,802,000","52,109,000","50,511,000","59,115,000","74,725,000","79,631,000","75,004,000","79,287,000","79,821,000","1,655,000","1,901,000","240,000","42,000"
			CashAndCashEquivalents,"44,520,000","74,358,000","65,745,000","103,302,000","105,431,000","94,255,000","80,149,000","62,970,000","32,842,000","26,387,000","29,696,000","23,331,000","16,992,000","21,955,000","33,394,000","16,378,000","32,153,000","27,780,000","19,245,000","33,281,000","58,691,000","61,364,000","80,691,000","78,987,000","96,527,000","99,931,000","21,498,000","18,107,000","20,391,000","15,501,000","17,423,000","16,447,000","11,437,000","14,371,000","15,815,000","11,350,000","13,423,000","16,642,000","18,287,000","18,829,000","15,762,000","18,507,000","45,430,000","50,396,000","52,589,000","55,338,000","56,802,000","52,109,000","50,511,000","59,115,000","74,725,000","79,631,000","75,004,000","79,287,000","79,821,000","1,655,000","1,901,000","240,000","42,000"
			OtherShortTermInvestments,"37,702,000","31,332,000","41,900,000","17,394,000","14,617,000","20,446,000","24,373,000","28,409,000","40,995,000","58,736,000","59,905,000","71,854,000","71,771,000","73,338,000","65,446,000","72,207,000","58,108,000","70,020,000","72,241,000","57,478,000","38,668,000","39,073,000","15,049,000","15,095,000","255,000","257,000","1,344,000","4,713,000","8,323,000","13,072,000","13,751,000","10,421,000","8,017,000","5,856,000","5,997,000","7,286,000","8,029,000","9,497,000","11,442,000","12,033,000","12,548,000","11,706,000",,,,,,,,,,,,,,,,,
		Receivables,"27,466,000","21,108,000","13,066,000","8,135,000","17,466,000","11,792,000","11,055,000","12,816,000","13,841,000","13,480,000","21,938,000","17,133,000","18,519,000","15,253,000","11,683,000","17,905,000","18,400,000","19,315,000","17,343,000","16,953,000","14,998,000","14,046,000","9,628,000","10,154,000","9,504,000","13,473,000","9,061,000","8,674,000","6,420,000","12,396,000","5,045,000","10,730,000","18,193,000","20,827,000","7,308,000","12,669,000","15,266,000","18,400,000","12,185,000","10,450,000","7,245,000","7,557,000","5,968,000","12,586,000","13,486,000","11,927,000","8,077,000","17,292,000","21,716,000","18,227,000","16,634,000","13,036,000","15,679,000","25,563,000","16,909,000","15,289,000","15,708,000","14,602,000","6,764,000"
			AccountsReceivable,"26,674,000","20,615,000","13,066,000","7,599,000","16,397,000","11,792,000","11,055,000","12,816,000","13,841,000","12,979,000","20,848,000","15,197,000","17,408,000","10,212,000","7,666,000","11,304,000","12,754,000","12,465,000","11,929,000","12,347,000","9,184,000","11,759,000","8,193,000","8,242,000","7,683,000","11,590,000","8,060,000","7,429,000","5,333,000","10,941,000","3,997,000","9,372,000","17,202,000","15,222,000","6,132,000","10,486,000","11,785,000","13,240,000","10,224,000","9,186,000","6,316,000","6,498,000","3,795,000","8,375,000","8,507,000","9,649,000","6,209,000","14,914,000","15,561,000","12,683,000","10,319,000","8,407,000","11,587,000","25,563,000","16,909,000","15,288,000","15,707,000","14,582,000","6,653,000"
				GrossAccountsReceivable,"26,774,000","20,732,000","13,183,000","7,716,000","16,794,000","12,189,000","11,425,000","13,186,000","14,189,000","13,287,000","21,225,000","15,594,000","17,770,000","10,608,000","8,050,000","11,724,000","12,831,000","12,568,000","12,025,000","12,442,000","9,280,000","11,889,000","8,382,000","8,410,000","7,839,000","11,756,000","8,224,000","7,591,000","5,443,000","11,096,000","4,256,000","9,619,000","17,465,000","15,463,000","6,401,000","10,727,000","11,969,000","13,457,000","10,369,000","9,371,000","6,503,000",,"3,843,000","8,464,000",,,,,"15,730,000",,,,"11,626,000",,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-100,000","-117,000","-117,000","-117,000","-397,000","-397,000","-370,000","-370,000","-348,000","-308,000","-377,000","-397,000","-362,000","-396,000","-384,000","-420,000","-77,000","-103,000","-96,000","-95,000","-96,000","-130,000","-189,000","-168,000","-156,000","-166,000","-164,000","-162,000","-110,000","-155,000","-259,000","-247,000","-263,000","-241,000","-269,000","-241,000","-184,000","-217,000","-145,000","-185,000","-187,000",,"-48,000","-89,000",,,,,"-169,000",,,,"-39,000",,,,,,
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,155,000",,"6,315,000","4,629,000",,,,"1,000","1,000","20,000","111,000"
