name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,09/30/2013,06/30/2013,03/31/2013
OperatingCashFlow,"287,800,000","-5,600,000","121,700,000","91,300,000","80,400,000","32,600,000","81,700,000","69,600,000","63,500,000","46,500,000","-77,900,000","217,100,000","17,900,000","-147,900,000","54,700,000","28,300,000","69,400,000","-161,100,000","98,600,000","96,700,000","107,200,000","-120,400,000","208,800,000","89,300,000","97,100,000","-210,400,000","189,800,000","30,800,000","170,300,000","-70,000,000","18,744,000","30,242,000","28,149,000","21,065,000","27,144,000","14,131,000","23,116,000"
	CashFlowFromContinuingOperatingActivities,"287,800,000","-5,600,000","121,300,000","91,700,000","80,400,000","32,600,000","81,700,000","69,600,000","63,500,000","61,200,000","78,800,000","86,800,000","37,300,000","-32,000,000","25,600,000","65,300,000","69,400,000","-161,100,000","98,600,000","96,700,000","107,200,000","-120,400,000","208,800,000","89,300,000","97,100,000","-210,400,000","189,800,000","30,800,000","170,300,000","-70,000,000","18,744,000","30,242,000","28,149,000","21,065,000","27,144,000","14,131,000","23,116,000"
		NetIncomeFromContinuingOperations,"177,800,000","56,400,000","4,400,000","37,900,000","79,100,000","82,300,000","29,900,000","35,100,000","2,100,000","8,600,000","74,500,000","-6,900,000","1,400,000","23,900,000","-257,100,000","-112,600,000","11,800,000","38,000,000","-145,700,000","-66,300,000","-60,000,000","-23,600,000","-100,000","65,800,000","-8,000,000",,,,,"-26,283,000","-33,657,000","13,917,000","1,488,000","-5,948,000","14,636,000","-5,764,000","15,337,000"
		OperatingGainsLosses,"21,900,000","-100,000","6,200,000","7,300,000","8,500,000","-28,900,000","-11,100,000","2,500,000","13,400,000","24,500,000","-36,800,000","-9,200,000","24,400,000","-33,000,000","3,200,000","19,400,000","44,700,000","-67,500,000","4,500,000","39,300,000","56,500,000","13,700,000","-4,000,000","14,400,000","-28,000,000",,,,,,"0",,,,"0","0",
			NetForeignCurrencyExchangeGainLoss,"21,900,000","-100,000","6,200,000","7,300,000","8,500,000","-28,900,000","-11,100,000","2,500,000","13,400,000","24,500,000","-36,800,000","-9,200,000","24,400,000","-33,000,000","3,200,000","19,400,000","44,700,000","-67,500,000","4,500,000","39,300,000","56,500,000","13,700,000","-4,000,000","14,400,000","-28,000,000",,,,,,,,,,,,
		DepreciationAmortizationDepletion,"166,400,000","41,600,000","43,200,000","41,500,000","40,100,000","39,100,000","40,900,000","41,200,000","39,400,000","39,900,000","38,900,000","38,300,000","38,800,000","38,700,000","38,200,000","-65,000,000","91,800,000","91,700,000","88,800,000","92,500,000","87,000,000","85,900,000","87,400,000","86,900,000","85,000,000",,,,,"47,936,000","30,386,000","19,328,000","21,396,000","16,890,000","12,273,000","9,854,000","9,887,000"
			DepreciationAndAmortization,"166,400,000","41,600,000","43,200,000","41,500,000","40,100,000","39,100,000","40,900,000","41,200,000","39,400,000","39,900,000","38,900,000","38,300,000","38,800,000","38,700,000","38,200,000","-65,000,000","91,800,000","91,700,000","88,800,000","92,500,000","87,000,000","85,900,000","87,400,000","86,900,000","85,000,000",,,,,"47,936,000","30,386,000","19,328,000","21,396,000","16,890,000","12,273,000","9,854,000","9,887,000"
				Depreciation,"159,400,000","41,600,000","43,200,000",,,,"40,900,000","41,200,000","39,400,000","39,900,000","38,900,000","38,300,000","38,800,000","38,700,000","38,200,000","-65,000,000","91,800,000","91,700,000","88,800,000","92,500,000","87,000,000","85,900,000","87,400,000","86,900,000","85,000,000",,,,,"47,936,000","30,386,000","19,328,000","21,396,000","16,890,000","12,273,000","9,854,000","9,887,000"
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,
