name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014
TotalAssets,"3,745,175,000","3,831,809,000","3,502,138,000","3,290,416,000","2,497,411,000","2,404,489,000","2,214,505,000","1,762,031,000","1,517,642,000","1,542,352,000","1,499,198,000","1,021,775,000","981,168,000","901,851,000","907,368,000","865,310,000","870,165,000","605,583,000","574,062,000","554,317,000","530,739,000","581,193,000","569,201,000","550,956,000","549,176,000","553,061,000","538,621,000","529,128,000","331,362,000","249,135,000"
	CurrentAssets,"1,295,137,000","1,341,501,000","1,077,334,000","2,690,980,000","1,893,619,000","1,894,781,000","1,697,831,000","1,194,335,000","906,952,000","921,038,000","945,840,000","743,653,000","724,001,000","680,289,000","707,949,000","666,233,000","704,997,000","439,264,000","400,383,000","376,228,000","355,240,000","371,032,000","353,406,000","346,777,000","340,612,000","359,054,000","349,314,000","343,357,000","142,288,000","129,993,000"
		CashCashEquivalentsAndShortTermInvestments,"982,220,000","984,612,000","816,832,000","2,484,609,000","1,666,247,000","1,669,218,000","1,524,560,000","1,043,183,000","803,994,000","817,252,000","851,939,000","633,832,000","622,106,000","624,287,000","584,136,000","567,509,000","601,381,000","340,550,000","310,695,000","287,238,000","275,952,000","282,086,000","270,368,000","278,200,000","269,678,000","292,864,000","286,757,000","289,697,000","92,272,000","88,843,000"
			CashAndCashEquivalents,"756,237,000","780,196,000","619,402,000","2,053,882,000","1,163,678,000","1,244,099,000","1,144,974,000","677,524,000","442,354,000","443,293,000","671,769,000","359,159,000","345,674,000","366,985,000","362,727,000","357,820,000","533,855,000","315,442,000","260,288,000","226,885,000","194,807,000","181,592,000","188,030,000","167,482,000","158,381,000","271,244,000","266,283,000","268,155,000","70,739,000","69,659,000"
			OtherShortTermInvestments,"225,983,000","204,416,000","197,430,000","430,727,000","502,569,000","425,119,000","379,586,000","365,659,000","361,640,000","373,959,000","180,170,000","274,673,000","276,432,000","257,302,000","221,409,000","209,689,000","67,526,000","25,108,000","50,407,000","60,353,000","81,145,000","100,494,000","82,338,000","110,718,000","111,297,000","21,620,000","20,474,000","21,542,000","21,533,000","19,184,000"
		Receivables,"211,794,000","247,472,000","191,566,000","156,678,000","181,095,000","169,411,000","129,681,000","120,384,000","66,884,000","65,172,000","49,967,000","75,174,000","75,036,000","33,316,000","99,855,000","80,166,000","79,878,000","78,335,000","72,363,000","60,074,000","59,377,000","56,243,000","55,066,000","42,473,000","44,710,000","39,537,000","33,045,000","24,955,000","26,608,000","25,977,000"
			AccountsReceivable,"211,794,000","247,472,000","191,566,000","156,678,000","181,095,000","169,411,000","129,681,000","120,384,000","66,884,000","65,172,000","49,967,000","75,174,000","75,036,000","33,316,000","99,855,000","80,166,000","79,878,000","78,335,000","72,363,000","60,074,000","59,377,000","56,243,000","55,066,000","42,473,000","44,710,000","39,537,000","33,045,000","24,955,000","26,608,000","25,977,000"
				GrossAccountsReceivable,"220,201,000","255,202,000","200,968,000","168,098,000","191,906,000","179,168,000","137,073,000","126,566,000","73,618,000","70,205,000","55,258,000","78,042,000","80,858,000","38,036,000","104,496,000","83,734,000","82,953,000","81,022,000","75,214,000","62,352,000","61,268,000","58,242,000","57,063,000","44,245,000","46,630,000","41,608,000","35,447,000","27,661,000","28,914,000","27,818,000"
				AllowanceForDoubtfulAccountsReceivable,"-8,407,000","-7,730,000","-9,402,000","-11,420,000","-10,811,000","-9,757,000","-7,392,000","-6,182,000","-6,734,000","-5,033,000","-5,291,000","-2,868,000","-5,822,000","-4,720,000","-4,641,000","-3,568,000","-3,075,000","-2,687,000","-2,851,000","-2,278,000","-1,891,000","-1,999,000","-1,997,000","-1,772,000","-1,920,000","-2,071,000","-2,402,000","-2,706,000","-2,306,000","-1,841,000"
			OtherReceivables,,,,,,,,,,,,,,,,,,,"45,191,000",,,,,,,,,,,
		PrepaidAssets,"101,123,000","109,417,000","68,936,000","49,693,000","46,277,000","56,152,000","43,590,000","30,768,000","36,074,000","38,614,000","43,934,000","34,647,000","26,859,000","22,686,000","23,958,000","18,558,000","23,738,000","20,379,000","17,325,000","28,916,000","19,911,000","15,571,000","10,840,000","8,972,000","9,092,000","9,521,000","8,773,000","7,965,000","10,789,000","12,241,000"
