name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014
OperatingCashFlow,"562,630,000","59,544,000","290,459,000","90,930,000","121,697,000","148,465,000","243,667,000","185,194,000","220,431,000","29,664,000","78,581,000","47,045,000","49,836,000","31,458,000","101,793,000","30,620,000","40,091,000","26,421,000","35,098,000","16,874,000","12,139,000","3,309,000","18,518,000","9,206,000","17,249,000","1,786,000","10,204,000","5,375,000","4,737,000","8,895,000","101,000","5,072,000","730,000","6,184,000"
	CashFlowFromContinuingOperatingActivities,"562,630,000","59,544,000","290,459,000","90,930,000","121,697,000","148,465,000","243,667,000","185,194,000","220,431,000","29,664,000","78,581,000","47,045,000","49,836,000","31,458,000","101,793,000","30,620,000","40,091,000","26,421,000","35,098,000","16,874,000","12,139,000","3,309,000","18,518,000","9,206,000","17,249,000","1,786,000","10,204,000","5,375,000","4,737,000","8,895,000","101,000","5,072,000","730,000","6,184,000"
		NetIncomeFromContinuingOperations,"435,850,000","86,109,000","161,557,000","89,930,000","98,254,000","143,766,000","148,538,000","91,761,000","96,425,000","12,522,000","31,291,000","14,801,000","18,223,000","31,579,000","41,251,000","19,894,000","3,379,000","12,967,000","44,750,000","25,802,000","11,669,000","-421,000","-21,383,000","-2,399,000","-7,311,000","1,192,000","-4,232,000","-6,891,000","-6,354,000","-36,586,000","-5,358,000","-6,271,000","-3,151,000","-463,000"
		OperatingGainsLosses,"-15,243,000","-5,567,000","-6,912,000","-3,853,000","1,089,000","-4,395,000","-2,005,000","15,020,000","2,237,000","8,157,000","-4,066,000","1,265,000","-1,069,000","-171,000","3,134,000","373,000","4,480,000","-1,854,000","-2,028,000","-7,763,000","-16,063,000","-2,731,000","18,031,000","-969,000","6,660,000","-7,628,000","6,888,000","741,000","-2,575,000","21,173,000","2,210,000","979,000","-337,000","687,000"
			NetForeignCurrencyExchangeGainLoss,"-15,243,000","-5,567,000","-6,912,000","-3,853,000","1,089,000","-4,395,000","-1,210,000","-1,835,000","2,237,000","8,157,000","-5,733,000","1,265,000","-1,069,000","-171,000","3,024,000","373,000","4,450,000","-1,850,000","-2,153,000","-8,069,000","-16,103,000","-2,780,000","18,022,000","-1,337,000","6,386,000","-8,120,000","6,048,000","679,000","-5,805,000","20,853,000","2,035,000","1,014,000","0","0"
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,"-1,312,000","-653,000","-842,000","-80,000","42,000","82,000","25,000","277,000","74,000","1,413,000","-315,000","-258,000","-3,000","-3,000","3,151,000","-12,000","172,000","-35,000","-342,000","616,000"
		DepreciationAmortizationDepletion,"85,941,000","24,754,000","24,991,000","23,211,000","12,985,000","13,080,000","13,101,000","15,754,000","14,171,000","15,163,000","15,271,000","12,808,000","9,810,000","10,142,000","7,626,000","6,439,000","6,357,000","6,320,000","6,577,000","7,022,000","6,660,000","6,938,000","6,905,000","5,786,000","5,103,000","4,731,000","4,509,000","4,968,000","4,732,000","4,341,000","4,731,000","4,465,000","4,132,000","3,895,000"
			DepreciationAndAmortization,"85,941,000","24,754,000","24,991,000","23,211,000","12,985,000","13,080,000","13,101,000","15,754,000","14,171,000","15,163,000","15,271,000","12,808,000","9,810,000","10,142,000","7,626,000","6,439,000","6,357,000","6,320,000","6,577,000","7,022,000","6,660,000","6,938,000","6,905,000","5,786,000","5,103,000","4,731,000","4,509,000","4,968,000","4,732,000","4,341,000","4,731,000","4,465,000","4,132,000","3,895,000"
		DeferredTax,"-96,401,000","-10,517,000","-10,321,000","-57,503,000","-18,060,000","-3,068,000","-3,553,000","-1,634,000","10,218,000","-2,829,000","-8,540,000","-4,712,000","-1,854,000","-142,000","-18,376,000","-3,661,000","-468,000","91,000","-47,972,000","0","0","0","4,905,000","2,960,000","-226,000","9,493,000","2,039,000","5,210,000","-57,885,000","67,768,000","-817,000","0","-108,000","108,000"
			DeferredIncomeTax,"-96,401,000","-10,517,000","-10,321,000","-57,503,000","-18,060,000","-3,068,000","-3,553,000","-1,634,000","10,218,000","-2,829,000","-8,540,000","-4,712,000","-1,854,000","-142,000","-18,376,000","-3,661,000","-468,000","91,000","-47,972,000","0","0","0","4,905,000","2,960,000","-226,000","9,493,000","2,039,000","5,210,000","-57,885,000","67,768,000","-817,000","0","-108,000","108,000"
