name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,12/31/2013
TotalAssets,"1,929,012,000","1,924,147,000","1,739,691,000","1,452,708,000","1,411,907,000","1,429,612,000","1,403,651,000","1,150,046,000","1,025,521,000","994,818,000","969,115,000","959,569,000","895,780,000","748,770,000","734,369,000","748,432,000","733,849,000","760,111,000","689,234,000","689,803,000","707,495,000","726,168,000","566,648,000","577,362,000","567,702,000","574,547,000","564,430,000","561,036,000","384,713,000","384,489,000","392,898,000","388,826,000","400,003,000"
	CurrentAssets,"168,445,000","198,730,000","175,459,000","178,462,000","161,620,000","195,451,000","176,327,000","237,924,000","132,834,000","120,089,000","98,347,000","109,129,000","216,897,000","97,511,000","91,515,000","103,342,000","92,379,000","109,663,000","106,073,000","96,715,000","106,178,000","120,715,000","84,628,000","91,014,000","77,745,000","67,321,000","148,447,000","141,208,000","62,901,000","58,080,000","62,644,000","53,736,000","56,999,000"
		CashCashEquivalentsAndShortTermInvestments,"5,172,000","16,801,000","11,792,000","42,901,000","3,388,000","10,004,000","1,346,000","98,101,000","5,311,000","9,053,000","2,357,000","5,005,000","106,745,000","2,460,000","863,000","13,790,000","5,057,000","524,000","9,453,000","1,081,000","11,913,000","466,000","21,396,000","19,806,000","3,636,000","2,175,000","75,157,000","76,668,000","5,646,000","592,000","2,979,000","4,460,000","3,558,000"
			CashAndCashEquivalents,"5,172,000","16,801,000","11,792,000","42,901,000","3,388,000","10,004,000","1,346,000","98,101,000","5,311,000","9,053,000","2,357,000","5,005,000","106,745,000","2,460,000","863,000","13,790,000","5,057,000","524,000","9,453,000","1,081,000","11,913,000","466,000","21,396,000","19,806,000","3,636,000","2,175,000","75,157,000","76,668,000","5,646,000","592,000","2,979,000","4,460,000","3,558,000"
		Receivables,"88,844,000","115,265,000","93,798,000","74,398,000","83,257,000","126,626,000","98,158,000","91,168,000","79,637,000","72,696,000","49,643,000","69,763,000","79,762,000","61,326,000","54,687,000","50,697,000","51,655,000","84,597,000","57,603,000","62,352,000","56,578,000","85,502,000","32,600,000","48,018,000","38,236,000","38,778,000","45,116,000","38,648,000","24,560,000","21,998,000","30,518,000","19,441,000","26,169,000"
			AccountsReceivable,"80,735,000","97,439,000","86,889,000","74,398,000","83,257,000","124,212,000","86,930,000","82,543,000","79,637,000","72,421,000","49,643,000","61,818,000","64,904,000","54,794,000","49,152,000","45,351,000","48,042,000","79,185,000","49,855,000","53,111,000","49,676,000","77,868,000","31,452,000","47,556,000","37,853,000","38,684,000","44,464,000","37,650,000","24,560,000","21,998,000","30,518,000","19,441,000","26,169,000"
				GrossAccountsReceivable,,,,,,,,,,,,,,,,,"48,042,000","79,185,000","49,855,000","53,111,000","49,700,000","77,892,000","31,478,000","47,628,000","37,985,000","38,769,000",,"37,650,000","24,624,000","22,059,000","30,577,000","19,498,000","26,226,000"
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,,"0","0","0","0","-24,000","-24,000","-26,000","-72,000","-132,000","-85,000",,"0","-64,000","-61,000","-59,000","-57,000","-57,000"
			DuefromRelatedPartiesCurrent,,,"6,909,000","0","0","2,414,000","11,228,000","8,625,000",,"0","0","5,687,000","13,558,000","1,392,000","5,535,000","5,346,000","3,613,000","5,412,000","7,748,000","9,241,000","6,902,000","7,634,000","1,148,000","462,000","383,000","94,000","652,000","998,000",,,,,
			OtherReceivables,"8,109,000","17,826,000",,,,,,,,"275,000",,"2,258,000","1,300,000","5,140,000",,,,,,,,,,,,,,,,,,,
		Inventory,"66,135,000","57,717,000","53,814,000","47,662,000","59,947,000","42,364,000","61,978,000","39,723,000","40,506,000","32,998,000","42,349,000","31,292,000","27,999,000","31,490,000","34,322,000","36,175,000","34,306,000","23,536,000","34,477,000","28,413,000","30,780,000","29,764,000","29,114,000","21,262,000","27,799,000","24,245,000","25,366,000","22,552,000","18,633,000","18,064,000","15,492,000","16,657,000","19,083,000"
			RawMaterials,"49,309,000","44,947,000","37,289,000","35,342,000","36,328,000","34,355,000","39,543,000","31,337,000","31,031,000","30,280,000","29,878,000","26,768,000","23,344,000","22,497,000","20,200,000","21,648,000","22,005,000","18,963,000","20,832,000","21,726,000","20,822,000","19,667,000","18,525,000","19,043,000","19,140,000","15,564,000","13,469,000","13,520,000","13,579,000","13,814,000","12,679,000","13,490,000","13,064,000"
			FinishedGoods,"16,826,000","12,770,000","16,525,000","12,320,000","23,619,000","8,009,000","22,435,000","8,386,000","9,475,000","2,718,000","12,471,000","4,524,000","4,655,000","8,993,000","14,122,000","14,527,000","12,301,000","4,573,000","13,645,000","6,687,000","9,958,000","10,097,000","10,589,000","2,219,000","8,659,000","8,681,000","11,897,000","9,032,000","5,054,000","4,250,000","2,813,000","3,167,000","6,019,000"
			OtherInventories,,,,,,"21,855,000","27,824,000","21,287,000","20,855,000","20,485,000","19,995,000","18,542,000","17,750,000","17,561,000","16,304,000","16,119,000","15,407,000","14,447,000","14,385,000","14,063,000","12,716,000","11,978,000","10,474,000","10,494,000","10,431,000","9,932,000","7,559,000","7,086,000","7,479,000","6,934,000","7,131,000","7,146,000","6,413,000"
		PrepaidAssets,"8,138,000","7,230,000","16,055,000","13,501,000","15,028,000","16,457,000","14,845,000","8,932,000","7,380,000","5,342,000","3,998,000","3,069,000","2,391,000","2,235,000","1,643,000","2,680,000","1,361,000","1,006,000","1,186,000","1,753,000","2,579,000","1,939,000","1,518,000","1,928,000","8,074,000","2,123,000","2,808,000","3,340,000","1,470,000","1,734,000","6,015,000","5,538,000","5,105,000"
		RestrictedCash,"156,000","1,717,000",,,,,,,,,,,,,,,,,,,"938,000",,,,,,"0","0","7,640,000","11,640,000","7,640,000","7,640,000","3,084,000"
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","4,952,000","4,052,000",,,
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,,,,,,"0","3,354,000","3,116,000","3,390,000","3,044,000",,,,,,,,,,,
	TotalNonCurrentAssets,"1,760,567,000","1,725,417,000","1,564,232,000","1,274,246,000","1,250,287,000","1,234,161,000","1,227,324,000","912,122,000","892,687,000","874,729,000","870,768,000","850,440,000","678,883,000","651,259,000","642,854,000","645,090,000","641,470,000","650,448,000","583,161,000","593,088,000","601,317,000","605,453,000","482,020,000","486,348,000","489,957,000","507,226,000","415,983,000","419,828,000","321,812,000","326,409,000","330,254,000","335,090,000","343,004,000"
		NetPPE,"1,643,024,000","1,607,043,000","1,453,927,000","1,164,060,000","1,140,998,000","1,123,253,000","1,114,287,000","816,260,000","799,132,000","784,610,000","777,827,000","757,967,000","587,329,000","557,028,000","552,456,000","553,240,000","553,093,000","562,330,000","495,366,000","504,447,000","511,907,000","516,418,000","394,243,000","398,139,000","401,214,000","405,582,000","321,639,000","323,590,000","312,276,000","316,259,000","319,665,000","324,081,000","330,167,000"
			GrossPPE,"2,062,090,000","2,002,661,000","1,810,933,000","1,500,569,000","1,457,591,000","1,419,174,000","1,393,238,000","1,048,985,000","1,017,041,000","988,305,000","971,528,000","937,888,000","755,791,000","711,995,000","697,753,000","688,855,000","678,927,000","679,397,000","600,007,000","601,001,000","600,691,000","597,186,000","477,683,000","475,511,000","472,275,000","470,320,000","370,742,000","368,159,000","357,909,000","357,117,000","355,833,000","355,587,000","352,497,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"115,760,000","88,264,000","85,645,000","83,846,000","83,846,000","82,721,000","82,484,000","72,004,000","72,005,000","71,863,000","71,863,000","60,217,000","58,482,000","58,482,000","58,167,000","56,454,000","56,454,000","56,454,000","56,247,000","56,248,000","55,699,000","55,640,000","50,160,000","50,017,000","49,995,000","49,995,000","42,029,000","41,490,000","37,090,000","36,883,000","36,305,000","36,342,000","36,044,000"
				BuildingsAndImprovements,"342,308,000","321,577,000","321,810,000","321,691,000","321,675,000","316,706,000","316,830,000","217,163,000","217,163,000","217,167,000","216,995,000","196,574,000","196,574,000","196,574,000","196,696,000","196,197,000","196,155,000","196,153,000","140,050,000","139,750,000","137,092,000","137,092,000","77,703,000","77,649,000","77,582,000","77,581,000","59,686,000","59,686,000","57,345,000","57,275,000","57,082,000","57,242,000","57,198,000"
				MachineryFurnitureEquipment,"1,112,371,000","892,273,000","866,375,000","860,934,000","807,752,000","811,188,000","796,694,000","612,836,000","603,829,000","595,904,000","583,795,000","444,529,000","443,413,000","441,559,000","425,899,000","420,885,000","419,310,000","419,954,000","393,486,000","392,192,000","390,019,000","388,366,000","344,531,000","343,587,000","341,665,000","341,249,000","265,972,000","265,817,000","262,319,000","261,690,000","258,147,000","258,442,000","254,653,000"
				OtherProperties,"106,596,000","108,846,000","58,421,000","49,539,000","50,509,000","51,434,000","52,417,000","31,737,000","32,270,000","32,830,000","36,964,000","36,965,000","29,490,000","557,028,000",,,,,,,,,,,,,,,"312,276,000",,,,
				ConstructionInProgress,"362,975,000","569,600,000","476,022,000","181,899,000","192,780,000","156,096,000","143,784,000","114,216,000","90,745,000","69,512,000","60,924,000","198,616,000","26,845,000","14,393,000","16,004,000","14,332,000","6,021,000","5,849,000","10,224,000","12,811,000","17,881,000","16,088,000","5,289,000","4,258,000","3,033,000","1,495,000","3,055,000","1,166,000","1,155,000","1,269,000","4,299,000","3,561,000","4,602,000"
				Leases,"22,080,000","22,101,000","2,660,000","2,660,000","1,029,000","1,029,000","1,029,000","1,029,000","1,029,000","1,029,000","987,000","987,000","987,000","987,000","987,000","987,000","987,000","987,000",,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-419,066,000","-395,618,000","-357,006,000","-336,509,000","-316,593,000","-295,921,000","-278,951,000","-232,725,000","-217,909,000","-203,695,000","-193,701,000","-179,921,000","-168,462,000","-154,967,000","-145,297,000","-135,615,000","-125,834,000","-117,067,000","-104,641,000","-96,554,000","-88,784,000","-80,768,000","-83,440,000","-77,372,000","-71,061,000","-64,738,000","-49,103,000","-44,569,000","-45,633,000","-40,858,000","-36,168,000","-31,506,000","-22,330,000"
		GoodwillAndOtherIntangibleAssets,"103,928,000","103,928,000","99,660,000","99,660,000","99,660,000","99,660,000","101,303,000","85,615,000","85,615,000","85,615,000","85,615,000","85,615,000","85,615,000","85,615,000","85,615,000","85,615,000","85,615,000","85,724,000","85,755,000","86,471,000","86,902,000","86,986,000","87,082,000","87,780,000","88,241,000","89,014,000","89,120,000","90,728,000","5,574,000","5,601,000","5,681,000","5,754,000","5,930,000"
			Goodwill,"103,928,000","103,928,000","99,660,000","99,660,000","99,660,000","99,660,000","101,303,000","85,615,000","85,615,000","85,615,000","85,615,000","85,615,000","85,615,000","85,615,000","85,615,000","85,615,000","85,615,000","85,615,000","85,615,000","85,615,000","85,615,000","85,615,000","85,615,000","85,615,000","85,615,000","85,615,000","85,615,000","85,615,000","4,879,000","4,879,000","4,879,000","4,879,000","4,879,000"
			OtherIntangibleAssets,,,,,,,,,,,,,,,,,,"109,000","140,000","856,000","1,287,000","1,371,000","1,467,000","2,165,000","2,626,000","3,399,000","3,505,000","5,113,000","695,000","722,000","802,000","875,000","1,051,000"
		NonCurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,"5,567,000","4,705,000","4,894,000","3,247,000","3,594,000","3,942,000","4,290,000","4,985,000"
		OtherNonCurrentAssets,"13,615,000","14,446,000","10,645,000","10,526,000","9,629,000","11,248,000","11,734,000","10,247,000","7,940,000","4,504,000","7,326,000","6,858,000","5,939,000","8,616,000","4,783,000","6,235,000","2,762,000","2,394,000","2,040,000","2,170,000","2,508,000","2,049,000","695,000","429,000","502,000","7,063,000","519,000","616,000","715,000","955,000","966,000","965,000","1,922,000"
TotalLiabilitiesNetMinorityInterest,"1,427,743,000","1,653,483,000","1,412,167,000","1,032,183,000","1,174,149,000","1,153,585,000","1,101,259,000","759,566,000","810,673,000","762,242,000","717,232,000","706,412,000","680,309,000","602,054,000","578,625,000","589,806,000","564,590,000","549,742,000","412,034,000","402,330,000","407,802,000","416,651,000","238,389,000","254,951,000","245,043,000","248,395,000","209,423,000","206,169,000","110,616,000","109,961,000","122,525,000","121,773,000","128,592,000"
	CurrentLiabilities,"212,395,000","257,006,000","179,633,000","167,986,000","143,315,000","162,154,000","129,688,000","126,258,000","106,736,000","128,372,000","136,648,000","146,154,000","173,399,000","167,332,000","96,511,000","87,774,000","88,836,000","74,530,000","69,785,000","60,048,000","65,319,000","68,324,000","37,625,000","53,333,000","43,078,000","40,533,000","34,480,000","30,635,000","31,368,000","24,896,000","32,410,000","32,475,000","32,854,000"
		PayablesAndAccruedExpenses,"173,080,000","217,901,000","167,727,000","155,930,000","130,869,000","148,826,000","114,571,000","118,700,000","99,153,000","81,782,000","92,158,000","103,421,000","96,637,000","90,610,000","89,441,000","80,606,000","81,731,000","68,344,000","64,777,000","55,601,000","60,643,000","63,697,000","24,813,000","37,156,000","36,156,000","33,375,000","30,833,000","26,989,000","21,775,000","14,599,000","21,533,000","19,505,000","26,817,000"
			Payables,"21,919,000","29,535,000","24,698,000","32,622,000","39,526,000","15,208,000","27,182,000","20,358,000","35,116,000","19,289,000","30,631,000","45,121,000","24,961,000","43,776,000","41,019,000","41,237,000","23,849,000","33,952,000","23,070,000","16,480,000","10,902,000","20,987,000","6,210,000","16,091,000","23,326,000","20,316,000","14,434,000","11,658,000","12,896,000","6,367,000","11,692,000","8,496,000","8,306,000"
				AccountsPayable,"21,919,000","29,535,000","24,698,000","28,041,000","28,540,000","15,208,000","27,182,000","20,358,000","32,636,000","18,985,000","21,512,000","15,648,000","7,667,000","15,551,000","10,730,000","15,620,000","4,363,000","7,554,000","3,122,000","5,145,000","3,009,000","9,869,000","1,726,000","9,789,000","12,602,000","9,303,000","8,975,000","6,595,000","7,257,000","4,013,000","9,164,000","6,308,000","8,306,000"
				DuetoRelatedPartiesCurrent,,,,"4,581,000","10,986,000","0","0","0","2,480,000","304,000","9,119,000","29,473,000","17,294,000","28,225,000","30,289,000","25,617,000","19,486,000","26,398,000","19,948,000","11,335,000","7,893,000","11,118,000","4,484,000","6,302,000","10,724,000","11,013,000","5,459,000","5,063,000","5,639,000","2,354,000","2,528,000","2,188,000",
			CurrentAccruedExpenses,"151,161,000","188,366,000","143,029,000","123,308,000","91,343,000","133,618,000","87,389,000","98,342,000","64,037,000","62,493,000","61,527,000","58,300,000","71,676,000","46,834,000","48,422,000","39,369,000","57,882,000","34,392,000","41,707,000","39,121,000","49,741,000","42,710,000","18,603,000","21,065,000","12,830,000","13,059,000","16,399,000","15,331,000","8,879,000","8,232,000","9,841,000","11,009,000","18,511,000"
				InterestPayable,"12,609,000","25,060,000","12,486,000","23,966,000","11,706,000","24,642,000","12,136,000","22,996,000","13,667,000","3,427,000","13,209,000","5,512,000","13,020,000","5,434,000","12,573,000","5,029,000","12,573,000","5,029,000","10,625,000","4,250,000","10,805,000","4,414,000",,,,,"0","1,918,000","15,000","73,000","79,000","493,000","506,000"
		CurrentDebtAndCapitalLeaseObligation,"39,315,000","39,105,000","11,906,000","12,056,000","12,446,000","13,328,000","15,117,000","7,558,000","7,583,000","6,590,000","4,490,000","2,733,000","2,762,000","2,722,000","7,070,000","7,168,000","7,105,000","6,186,000","5,008,000","4,447,000","4,676,000","4,109,000","7,792,000","6,836,000","6,652,000","6,673,000","3,072,000","3,109,000","9,514,000","10,237,000","10,812,000","12,779,000","5,435,000"
			CurrentDebt,"39,315,000","39,105,000","11,906,000","12,056,000","12,446,000","13,328,000","4,500,000","7,558,000","7,583,000","6,590,000","4,490,000","2,733,000","2,762,000","2,722,000","7,070,000","7,168,000","7,105,000","6,186,000","5,008,000","4,447,000","4,676,000","4,109,000","7,792,000","6,836,000","6,652,000","6,673,000","3,072,000","3,109,000","9,514,000","10,237,000","10,812,000","12,779,000","5,435,000"
				CurrentNotesPayable,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherCurrentBorrowings,"39,315,000","39,105,000",,,"12,446,000","13,328,000","4,500,000","7,558,000","7,583,000","6,590,000","4,490,000","2,733,000","2,762,000","2,722,000","7,070,000","7,168,000","7,105,000","6,186,000","5,008,000","4,447,000","4,676,000","4,109,000","7,792,000","6,836,000","6,652,000","6,673,000","3,072,000",,"9,514,000","10,237,000","10,812,000","12,779,000","5,435,000"
			CurrentCapitalLeaseObligation,,,,,,,"10,617,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,,"0",,,,"0","0","0","0","40,000,000","40,000,000","40,000,000","74,000,000","74,000,000",,,,,,,,"0","5,020,000","9,341,000","270,000","485,000","575,000","537,000","79,000","60,000","65,000","191,000","602,000"
			CurrentDeferredRevenue,,"0",,,,,,,,,,,,,,,,,,,,"0","5,020,000","9,341,000","270,000","485,000","575,000","537,000","79,000","60,000","65,000","191,000","602,000"
		OtherCurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,"518,000",,,,,,,,,,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,215,348,000","1,396,477,000","1,232,534,000","864,197,000","1,030,834,000","991,431,000","971,571,000","633,308,000","703,937,000","633,870,000","580,584,000","560,258,000","506,910,000","434,722,000","482,114,000","502,032,000","475,754,000","475,212,000","342,249,000","342,282,000","342,483,000","348,327,000","200,764,000","201,618,000","201,965,000","207,862,000","174,943,000","175,534,000","79,248,000","85,065,000","90,115,000","89,298,000","95,738,000"
		LongTermDebtAndCapitalLeaseObligation,"1,178,402,000","1,354,693,000","1,193,272,000","837,819,000","1,004,624,000","962,795,000","944,728,000","630,490,000","701,013,000","629,899,000","577,314,000","557,197,000","503,705,000","429,933,000","402,447,000","422,372,000","393,686,000","468,831,000","338,115,000","339,262,000","340,402,000","346,686,000","198,898,000","199,903,000","200,508,000","206,525,000","173,767,000","174,403,000","77,960,000","83,838,000","89,124,000","88,408,000","95,089,000"
			LongTermDebt,"1,058,246,000","1,232,441,000","1,134,706,000","789,451,000","955,347,000","912,721,000","893,837,000","597,510,000","667,785,000","596,430,000","543,589,000","523,348,000","475,975,000","429,933,000","402,447,000","422,372,000","393,686,000","468,831,000","338,115,000","339,262,000","340,402,000","346,686,000","198,898,000","199,903,000","200,508,000","206,525,000","173,767,000","174,403,000","77,960,000","83,838,000","89,124,000","88,408,000","95,089,000"
			LongTermCapitalLeaseObligation,"120,156,000","122,252,000","58,566,000","48,368,000","49,277,000","50,074,000","50,891,000","32,980,000","33,228,000","33,469,000","33,725,000","33,849,000","27,730,000",,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"35,000","36,000","13,157,000","13,224,000","13,199,000","13,217,000","13,801,000",,,,,,,"0",,,,,,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesLiabilities,"35,000","36,000","13,157,000","13,224,000","13,199,000","13,217,000","13,801,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		TradeandOtherPayablesNonCurrent,,,,,,,,,,"0","1,100,000","1,070,000","1,040,000","1,010,000","980,000","950,000","920,000","890,000","860,000","830,000","800,000","770,000","740,000","841,000","796,000","751,000",,"590,000","616,000","572,000","528,000","484,000","541,000"
		DuetoRelatedPartiesNonCurrent,,,,,,,,,,,,,,,"74,000,000","74,000,000","74,000,000","74,000,000",,,,,,,,,,,,,,,
		DerivativeProductLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","124,000","101,000","91,000","152,000","108,000"
		OtherNonCurrentLiabilities,"36,911,000","41,748,000","26,105,000","13,154,000","13,011,000","15,419,000","13,042,000","2,818,000","2,924,000","3,971,000","2,170,000","1,991,000","2,165,000","3,779,000","4,687,000","4,710,000","7,148,000","5,491,000","3,274,000","2,190,000","1,281,000","871,000","1,126,000","874,000","661,000","586,000","1,176,000","541,000","548,000","554,000","372,000","254,000",
TotalEquityGrossMinorityInterest,"501,269,000","270,664,000","327,524,000","420,525,000","237,758,000","276,027,000","302,392,000","390,480,000","214,848,000","232,576,000","251,883,000","253,157,000","215,471,000","146,716,000","155,744,000","158,626,000","169,259,000","210,369,000","277,200,000","287,473,000","299,693,000","309,517,000","328,259,000","322,411,000","322,659,000","326,152,000","355,007,000","354,867,000","274,097,000","274,528,000","270,373,000","267,053,000","271,411,000"
	TotalPartnershipCapital,,"270,664,000","375,218,000","468,246,000","285,536,000","324,219,000","350,584,000","438,672,000","263,040,000","280,768,000","300,075,000","301,349,000","215,471,000","146,716,000","155,744,000","158,626,000","169,259,000","210,369,000","279,897,000","290,165,000","302,382,000","312,173,000","325,337,000","319,468,000","319,683,000","323,161,000","352,004,000","351,850,000","271,072,000","271,495,000","267,322,000","263,983,000","268,299,000"
		LimitedPartnershipCapital,,,"556,510,000","603,131,000","425,155,000","466,641,000","502,872,000","538,570,000","364,645,000","382,484,000","406,544,000","422,668,000","350,856,000","279,964,000","288,919,000","292,513,000","304,222,000","341,978,000","351,657,000","359,710,000","369,977,000","378,971,000","365,815,000","359,841,000","360,056,000","363,534,000","352,004,000",,,,,,
		GeneralPartnershipCapital,,,"-181,293,000","-134,877,000","-139,615,000","-142,404,000","-152,280,000","-99,899,000","-101,611,000","-101,739,000","-106,530,000","-121,422,000","-135,680,000","-133,687,000","-133,810,000","-133,821,000","-130,596,000","-128,569,000","-67,875,000","-67,393,000","-67,393,000","-67,393,000","-40,373,000","-40,373,000","-40,373,000","-40,373,000","0",,,,,,
	StockholdersEquity,"548,963,000","318,358,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
		CapitalStock,"67,000","61,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PreferredStock,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStock,"67,000","61,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AdditionalPaidInCapital,"593,936,000","317,998,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RetainedEarnings,"-45,307,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"267,000","299,000","1,000","-8,000","-4,000","-18,000","-8,000","1,000","6,000","23,000","61,000","103,000","295,000","439,000","635,000","-66,000","-4,367,000","-3,040,000","-3,885,000","-2,152,000","-202,000","595,000","-105,000",,,,,,,,,,
	MinorityInterest,"-47,694,000","-47,694,000","-47,694,000","-47,721,000","-47,778,000","-48,192,000","-48,192,000","-48,192,000","-48,192,000","-48,192,000","-48,192,000","-48,192,000",,,,,,"0","-2,697,000","-2,692,000","-2,689,000","-2,656,000","2,922,000","2,943,000","2,976,000","2,991,000","3,003,000","3,017,000","3,025,000","3,033,000","3,051,000","3,070,000","3,112,000"
TotalCapitalization,"1,607,209,000","1,550,799,000","1,509,924,000","1,257,697,000","1,240,883,000","1,236,940,000","1,244,421,000","1,036,182,000","930,825,000","877,198,000","843,664,000","824,697,000","691,446,000","576,649,000","558,191,000","580,998,000","562,945,000","679,200,000","618,012,000","629,427,000","642,784,000","658,859,000","524,235,000","519,371,000","520,191,000","529,686,000","525,771,000","526,253,000","349,032,000","355,333,000","356,446,000","352,391,000","363,388,000"
CommonStockEquity,"548,963,000","318,358,000","375,218,000","468,246,000","285,536,000","324,219,000","350,584,000","438,672,000","263,040,000","280,768,000","300,075,000","301,349,000","215,471,000","146,716,000","155,744,000","158,626,000","169,259,000","210,369,000","279,897,000","290,165,000","302,382,000","312,173,000","325,337,000","319,468,000","319,683,000","323,161,000","352,004,000","351,850,000","271,072,000","271,495,000","267,322,000","263,983,000","268,299,000"
CapitalLeaseObligations,"120,156,000","122,252,000","58,566,000","48,368,000","49,277,000","50,074,000","61,508,000","32,980,000","33,228,000","33,469,000","33,725,000","33,849,000","27,730,000",,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"445,035,000","214,430,000","-99,660,000","-99,660,000","-99,660,000","-99,660,000","-101,303,000","-85,615,000","-85,615,000","-85,615,000","-85,615,000","-85,615,000","-85,615,000","-85,615,000","-85,615,000","-85,615,000","-85,615,000","-85,724,000","-85,755,000","-86,471,000","-86,902,000","-86,986,000","-87,082,000","-87,780,000","-88,241,000","-89,014,000","-89,120,000","-90,728,000","-5,574,000","-5,601,000","-5,681,000","-5,754,000","-5,930,000"
WorkingCapital,"-43,950,000","-58,276,000","-4,174,000","10,476,000","18,305,000","33,297,000","46,639,000","111,666,000","26,098,000","-8,283,000","-38,301,000","-37,025,000","43,498,000","-69,821,000","-4,996,000","15,568,000","3,543,000","35,133,000","36,288,000","36,667,000","40,859,000","52,391,000","47,003,000","37,681,000","34,667,000","26,788,000","113,967,000","110,573,000","31,533,000","33,184,000","30,234,000","21,261,000","24,145,000"
