name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000
TotalAssets,"861,609,000","851,342,000","828,403,000","778,018,000","752,168,000","747,345,000","599,378,000","596,174,000","613,131,000","656,200,000","687,842,000","699,579,000","720,188,000","690,409,000","748,598,000","748,547,000","745,902,000","765,967,000","764,421,000","553,044,000","514,265,000","517,921,000","531,059,000","525,265,000","521,890,000","528,188,000","543,058,000","534,434,000","527,624,000","527,767,000","550,411,000","546,952,000","534,777,000","538,237,000","455,664,000","448,556,000","430,812,000","438,051,000","451,507,000","446,943,000","453,619,000","467,321,000","479,089,000","488,118,000","478,771,000","490,810,000","522,376,000","487,116,000","479,559,000","487,927,000","536,984,000","535,395,000","534,893,000","591,039,000","824,653,000","1,292,564,000","1,300,205,000","1,366,148,000","1,396,216,000","1,437,760,000","1,411,332,000","1,418,664,000","1,448,914,000","1,447,152,000","1,621,712,000","1,743,159,000","1,692,297,000","1,690,708,000","1,678,359,000","1,689,712,000","1,678,499,000","1,637,142,000","1,657,373,000","1,686,968,000","1,689,864,000","1,699,371,000","1,560,387,000","1,573,481,000","1,641,930,000","1,564,905,000","1,497,645,000","1,535,517,000","1,557,295,000","1,576,803,000","1,515,915,000","1,560,493,000","1,566,213,000","604,301,000"
	CurrentAssets,"424,056,000","408,478,000","379,515,000","354,910,000","323,186,000","310,065,000","212,114,000","206,494,000","214,795,000","209,432,000","240,305,000","250,290,000","254,235,000","271,048,000","327,456,000","331,643,000","331,205,000","352,462,000","366,310,000","137,601,000","129,125,000","131,462,000","139,239,000","128,196,000","119,700,000","120,028,000","134,983,000","118,348,000","110,487,000","107,411,000","123,471,000","113,577,000","111,838,000","111,052,000","110,997,000","97,956,000","83,636,000","88,405,000","100,173,000","94,760,000","98,723,000","108,928,000","117,813,000","124,027,000","111,225,000","121,618,000","110,553,000","80,602,000","71,790,000","78,143,000","74,672,000","70,105,000","62,600,000","114,401,000","177,476,000","206,126,000","215,986,000","280,311,000","189,873,000","216,903,000","196,613,000","193,205,000","216,093,000","206,990,000","114,093,000","239,943,000","185,997,000","101,167,000","95,295,000","104,808,000","103,910,000","82,220,000","95,157,000","109,830,000","74,178,000","74,667,000","65,979,000","73,522,000","73,218,000","73,405,000","68,403,000","73,951,000","69,152,000","78,961,000","77,331,000","122,053,000","330,958,000","43,521,000"
		CashCashEquivalentsAndShortTermInvestments,"211,584,000","185,094,000","182,891,000","181,871,000","165,732,000","147,150,000","136,492,000","134,368,000","128,196,000","124,785,000","156,191,000","165,980,000","174,573,000","179,157,000","234,199,000","241,327,000","246,976,000","39,560,000","55,980,000","60,637,000","68,982,000","61,520,000","70,320,000","61,431,000","52,991,000","47,924,000","58,008,000","50,866,000","49,864,000","31,260,000","46,266,000","39,817,000","47,125,000","43,822,000","53,546,000","41,066,000","32,315,000","36,130,000","45,238,000","40,757,000","51,169,000","58,719,000","68,979,000","75,269,000","66,072,000","72,390,000","55,210,000","25,721,000","26,456,000","27,666,000","20,824,000","18,838,000","16,776,000","64,294,000","117,574,000","117,105,000","29,421,000","86,945,000","103,678,000","133,896,000","126,126,000","118,525,000","21,054,000","20,258,000","19,219,000","65,610,000","49,037,000","33,471,000","42,311,000","46,969,000","36,841,000","12,887,000","13,348,000","19,806,000","11,318,000","9,017,000","8,097,000","12,569,000","12,174,000","9,054,000","19,265,000","19,013,000","16,969,000","24,603,000","38,684,000","69,224,000","291,608,000","4,606,000"
			CashAndCashEquivalents,"126,574,000","185,094,000","182,891,000","171,862,000","149,987,000","119,162,000","83,284,000","69,270,000","53,512,000","33,123,000","48,705,000","52,631,000","52,003,000","46,733,000","101,789,000","108,892,000","89,224,000","39,560,000","55,980,000","60,637,000","68,982,000","61,520,000","70,320,000","31,431,000","22,991,000","47,924,000","58,008,000","50,866,000","49,864,000","31,260,000","46,266,000","39,817,000","47,125,000","43,822,000","53,546,000","41,066,000","32,315,000","36,130,000","45,238,000","40,757,000","51,169,000","58,719,000","68,979,000","75,269,000","66,072,000","72,390,000","55,210,000","25,721,000","26,456,000","27,666,000","20,824,000","18,838,000","16,776,000","64,294,000","117,574,000","117,105,000","29,421,000","86,945,000","103,678,000","133,896,000","126,126,000","118,525,000","21,054,000","20,258,000","19,219,000","65,610,000","49,037,000","33,471,000","42,311,000","46,969,000","36,841,000","12,887,000","13,348,000","19,806,000","11,318,000","9,017,000","8,097,000","12,569,000","12,174,000","9,054,000","19,265,000","19,013,000","16,969,000","24,603,000","38,684,000","69,224,000","291,608,000","4,606,000"
			OtherShortTermInvestments,"85,010,000","0",,"10,009,000","15,745,000","27,988,000","53,208,000","65,098,000","74,684,000","91,662,000","107,486,000","113,349,000","122,570,000","132,424,000","132,410,000","132,435,000","157,752,000",,,,,,,"30,000,000","30,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"173,419,000","201,747,000","168,165,000","141,697,000","132,149,000","142,004,000","58,865,000","51,706,000","63,879,000","71,406,000","68,809,000","69,841,000","65,745,000","79,308,000","78,092,000","76,378,000","73,728,000","84,348,000","72,651,000","70,781,000","54,460,000","65,072,000","62,317,000","61,037,000","60,709,000","66,399,000","64,802,000","56,232,000","48,947,000","64,956,000","64,948,000","62,581,000","53,721,000","57,043,000","52,017,000","52,417,000","46,361,000","48,030,000","48,059,000","48,306,000","41,189,000","44,270,000","42,032,000","42,164,000","36,999,000","41,552,000","46,832,000","48,360,000","39,596,000","44,674,000","48,316,000","46,674,000","40,949,000","44,855,000","52,702,000","55,963,000","49,686,000","55,986,000","68,601,000","66,802,000","56,427,000","61,036,000","70,095,000","66,635,000","51,018,000","61,215,000","60,661,000","61,159,000","46,541,000","52,568,000","56,257,000","55,804,000","42,245,000","49,518,000","52,440,000","51,800,000","47,548,000","51,796,000","49,449,000","50,112,000","38,274,000","44,143,000","43,276,000","45,599,000","31,369,000","38,547,000","29,803,000","23,869,000"
			AccountsReceivable,"173,419,000","201,747,000","168,165,000","141,697,000","132,149,000","142,004,000","58,865,000","51,706,000","63,879,000","71,406,000","68,809,000","69,841,000","65,745,000","79,308,000","78,092,000","76,378,000","73,728,000","84,348,000","72,651,000","70,781,000","54,460,000","65,072,000","62,317,000","61,037,000","60,709,000","66,399,000","64,802,000","56,232,000","48,947,000","64,956,000","64,948,000","62,581,000","53,721,000","57,043,000","52,017,000","52,417,000","46,361,000","48,030,000","48,059,000","48,306,000","41,189,000","44,270,000","42,032,000","42,164,000","36,999,000","41,552,000","46,832,000","48,360,000","39,596,000","44,674,000","48,316,000","46,674,000","40,949,000","44,855,000","52,702,000","55,963,000","49,686,000","55,986,000","68,601,000","66,802,000","56,427,000","61,036,000","70,095,000","66,635,000","51,018,000","61,215,000","60,661,000","61,159,000","46,541,000","52,568,000","56,257,000","55,804,000","42,245,000","49,518,000","52,440,000","51,800,000","47,548,000","51,796,000","49,449,000","50,112,000","38,274,000","44,143,000","43,276,000","45,326,000","31,096,000",,,
				GrossAccountsReceivable,"179,712,000","208,145,000","174,353,000","147,074,000","136,906,000","145,794,000","61,907,000","55,389,000","70,638,000","74,296,000","71,608,000","72,873,000","69,030,000","82,703,000","81,223,000","81,734,000","78,638,000","86,914,000","76,125,000","74,230,000","56,796,000","67,622,000","65,479,000","63,965,000","63,698,000","69,439,000","67,851,000","59,107,000","51,909,000","68,056,000","67,838,000","65,356,000","56,860,000","60,242,000","55,359,000","55,849,000","50,346,000","52,426,000","52,518,000","52,592,000","45,175,000","48,196,000","46,330,000","46,345,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-6,293,000","-6,398,000","-6,188,000","-5,377,000","-4,757,000","-3,790,000","-3,042,000","-3,683,000","-6,759,000","-2,890,000","-2,799,000","-3,032,000","-3,285,000","-3,395,000","-3,131,000","-5,356,000","-4,910,000","-2,566,000","-3,474,000","-3,449,000","-2,336,000","-2,550,000","-3,162,000","-2,928,000","-2,989,000","-3,040,000","-3,049,000","-2,875,000","-2,962,000","-3,100,000","-2,890,000","-2,775,000","-3,139,000","-3,199,000","-3,342,000","-3,432,000","-3,985,000","-4,396,000","-4,459,000","-4,286,000","-3,986,000","-3,926,000","-4,298,000","-4,181,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","5,287,000","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0",,"0","0","0",,"0","0","0","0",,,"0","0","0","0","0","0","273,000","273,000",,,
			ReceivablesAdjustmentsAllowances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5,287,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"36,341,000","18,925,000","24,803,000","23,345,000","18,418,000","18,021,000","13,881,000","16,586,000","15,108,000","11,557,000","13,621,000","12,558,000","12,006,000","10,672,000","13,217,000","11,990,000","9,732,000","6,260,000","6,583,000","6,183,000","5,683,000","4,870,000","6,602,000","5,728,000","6,000,000","5,705,000","6,273,000","5,350,000","5,776,000","5,295,000","6,157,000","5,079,000","4,892,000","4,087,000","5,434,000","4,473,000","4,960,000","4,245,000","6,876,000","5,697,000","6,365,000","5,939,000","6,802,000","6,594,000","7,345,000","6,867,000","7,488,000","6,521,000","5,738,000","5,803,000","5,532,000","4,593,000","4,875,000","5,252,000","7,200,000","6,810,000","6,730,000","8,158,000","10,859,000","9,470,000","7,325,000","6,909,000","7,236,000","7,337,000","7,356,000","7,164,000","6,845,000","6,537,000","6,443,000","5,271,000","5,907,000","5,122,000","5,902,000","5,823,000","6,420,000","5,540,000","6,334,000","5,157,000","6,339,000","8,983,000","6,131,000","6,308,000","5,318,000","5,208,000","3,689,000",,,
		RestrictedCash,"749,000","749,000","749,000","749,000","749,000","749,000","735,000","735,000","734,000","734,000","734,000","732,000","732,000","732,000","769,000","769,000","769,000","222,294,000","231,096,000",,,,,,,,,,,,,,,,,,,,,,,"0","0","0","809,000","809,000","1,023,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
