name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,06/30/2006
TotalAssets,"2,938,364,000","3,802,657,000","3,271,888,000","2,947,448,000","2,725,913,000","3,370,888,000","2,645,458,000","2,499,589,000","2,221,552,000","2,598,613,000","2,211,103,000","1,939,749,000","1,844,937,000","2,125,667,000","1,705,607,000","1,612,524,000","1,417,653,000","1,584,886,000","1,561,035,000","1,451,286,000","1,432,762,000","1,662,346,000","1,461,630,000","1,306,650,000","1,284,677,000","1,479,171,000","1,330,389,000","1,299,547,000","1,289,209,000","1,446,556,000","1,223,751,000","1,147,897,000","1,044,917,000","1,180,783,000","1,103,341,000","1,032,963,000","976,489,000","1,145,218,000","1,028,764,000","973,858,000","942,117,000","1,043,592,000","1,069,825,000","1,041,798,000","900,747,000","898,085,000","1,080,468,000","890,570,000","850,962,000","891,160,000","807,667,000","743,700,000","742,435,000","738,940,000","837,705,000","747,339,000","667,880,000","689,096,000","721,176,000","470,992,000","317,536,000","83,902,000"
TotalLiabilitiesNetMinorityInterest,"1,350,695,000","2,167,376,000","1,759,650,000","1,522,181,000","1,291,516,000","1,881,514,000","1,438,444,000","1,367,439,000","1,183,687,000","1,472,363,000","1,207,815,000","964,914,000","838,979,000","1,117,728,000","806,210,000","761,524,000","643,320,000","788,518,000","833,050,000","752,182,000","648,281,000","879,015,000","761,659,000","663,555,000","646,047,000","771,955,000","643,636,000","615,469,000","617,544,000","734,323,000","620,331,000","536,824,000","496,684,000","617,625,000","599,793,000","561,153,000","483,261,000","654,469,000","558,731,000","506,460,000","470,180,000","577,766,000","609,287,000","567,556,000","529,342,000","530,844,000","749,339,000","570,290,000","553,098,000","595,404,000","525,042,000","480,084,000","511,305,000","533,163,000","619,194,000","555,694,000","480,185,000","516,120,000","554,907,000","312,393,000","198,902,000","55,662,000"
TotalEquityGrossMinorityInterest,"1,587,669,000","1,635,281,000","1,512,238,000","1,425,267,000","1,434,397,000","1,489,374,000","1,207,014,000","1,132,150,000","1,037,865,000","1,126,250,000","1,003,288,000","974,835,000","1,005,958,000","1,007,939,000","899,397,000","851,000,000","774,333,000","796,368,000","727,985,000","699,104,000","784,481,000","783,331,000","699,971,000","643,095,000","638,630,000","707,216,000","686,753,000","684,078,000","671,665,000","712,233,000","603,420,000","611,073,000","548,233,000","563,158,000","503,548,000","471,810,000","493,228,000","490,749,000","470,033,000","467,398,000","471,937,000","465,826,000","460,538,000","474,242,000","371,405,000","367,241,000","331,129,000","320,280,000","297,864,000","295,756,000","282,625,000","263,616,000","231,130,000","205,777,000","218,511,000","191,645,000","187,695,000","172,976,000","166,269,000","158,599,000","118,634,000","28,240,000"
	StockholdersEquity,"1,410,037,000","1,320,371,000","1,221,595,000","1,150,971,000","1,169,308,000","1,230,946,000","970,926,000","900,528,000","816,571,000","869,716,000","764,683,000","738,286,000","767,747,000","758,120,000","668,086,000","623,726,000","549,860,000","543,964,000","475,565,000","458,751,000","559,733,000","527,298,000","454,439,000","405,921,000","420,318,000","504,552,000","479,732,000","486,969,000","490,302,000","551,281,000","513,205,000","526,549,000","491,313,000","502,581,000","444,480,000","416,218,000","436,450,000","428,506,000","409,774,000","405,626,000","412,080,000","407,664,000","401,357,000","411,569,000","301,459,000","300,699,000","268,520,000","257,455,000","265,466,000","266,395,000","251,945,000","235,190,000","218,062,000","205,777,000","218,511,000","191,645,000","187,695,000","172,976,000","166,269,000","158,599,000","118,634,000","28,240,000"
		CapitalStock,"795,000","748,000","746,000","746,000","745,000","722,000","720,000","720,000","719,000","687,000","686,000","685,000","684,000","659,000","657,000","656,000","654,000","621,000","616,000","614,000","614,000","582,000","579,000","577,000","576,000","552,000","495,000","488,000","486,000","464,000","460,000","448,000","437,000","408,000","393,000","382,000","380,000","350,000","345,000","328,000","326,000","310,000","301,000","284,000","228,000","215,000","210,000","184,000","182,000","172,000","171,000","131,000","129,000","126,000","121,000","118,000","118,000","113,000","112,000","112,000","64,000","28,119,000"
			CommonStock,"795,000","748,000","746,000","746,000","745,000","722,000","720,000","720,000","719,000","687,000","686,000","685,000","684,000","659,000","657,000","656,000","654,000","621,000","616,000","614,000","614,000","582,000","579,000","577,000","576,000","552,000","495,000","488,000","486,000","464,000","460,000","448,000","437,000","408,000","393,000","382,000","380,000","350,000","345,000","328,000","326,000","310,000","301,000","284,000","228,000","215,000","210,000","184,000","182,000","172,000","171,000","131,000","129,000","126,000","121,000","118,000","118,000","113,000","112,000","112,000","64,000","28,119,000"
		AdditionalPaidInCapital,"2,679,900,000","2,458,779,000","2,436,727,000","2,383,725,000","2,322,421,000","2,266,136,000","2,216,722,000","2,166,837,000","2,111,945,000","2,016,524,000","1,968,179,000","1,916,503,000","1,890,069,000","1,818,100,000","1,764,705,000","1,721,668,000","1,666,292,000","1,600,699,000","1,505,824,000","1,464,642,000","1,424,368,000","1,368,122,000","1,312,366,000","1,278,232,000","1,246,023,000","1,210,742,000","1,054,555,000","1,022,598,000","990,229,000","950,147,000","912,800,000","891,220,000","848,680,000","799,233,000","744,463,000","719,594,000","694,570,000","654,275,000","645,554,000","618,882,000","600,051,000","575,122,000","550,385,000","530,106,000","415,145,000","400,719,000","380,684,000","360,212,000","349,439,000","339,495,000","323,150,000","305,111,000","281,948,000","275,234,000","265,568,000","233,829,000","226,436,000","208,846,000","168,753,000","168,446,000","111,122,000",
		RetainedEarnings,"1,544,765,000","1,418,382,000","1,152,527,000","1,023,260,000","914,120,000","798,573,000","606,542,000","590,866,000","561,017,000","558,269,000","479,558,000","463,002,000","408,281,000","364,882,000","224,627,000","198,815,000","153,605,000","79,461,000","117,433,000","85,075,000","82,705,000","20,343,000","-7,165,000","-26,651,000","-36,739,000","-27,791,000","-34,354,000","-28,748,000","-27,083,000","-17,814,000","-33,146,000","-46,037,000","-59,734,000","-59,896,000","-66,345,000","-71,846,000","-79,755,000","-77,079,000","-88,137,000","-86,204,000","-87,152,000","-76,703,000","-69,353,000","-64,907,000","-62,569,000","-61,504,000","-60,509,000","-60,945,000","-57,886,000","-56,756,000","-55,451,000","-55,737,000","-48,013,000","-46,564,000","-39,606,000","-37,563,000","-38,073,000","-35,612,000","-36,987,000","-37,974,000","7,309,000",
		TreasuryStock,"2,800,593,000","2,545,452,000","2,354,680,000","2,249,533,000","2,059,581,000","1,824,727,000","1,821,655,000","1,820,728,000","1,819,182,000","1,678,168,000","1,648,951,000","1,609,916,000","1,502,780,000","1,395,087,000","1,292,863,000","1,265,927,000","1,244,642,000","1,105,406,000","1,103,342,000","1,042,718,000","898,036,000","811,653,000","806,190,000","804,191,000","753,183,000","644,412,000","512,794,000","484,768,000","449,180,000","361,129,000","353,416,000","311,262,000","288,267,000","226,380,000","223,833,000","220,997,000","169,641,000","139,954,000","138,384,000","115,389,000","92,838,000","79,007,000","68,996,000","51,288,000","48,119,000","34,538,000","47,278,000","36,322,000","23,138,000","12,756,000","12,449,000","11,073,000","9,961,000","8,050,000","7,248,000","5,597,000","1,603,000","968,000","968,000","968,000",,
		GainsLossesNotAffectingRetainedEarnings,"-14,830,000","-12,086,000","-13,725,000","-7,227,000","-8,397,000","-9,758,000","-31,403,000","-37,167,000","-37,928,000","-27,596,000","-34,789,000","-31,988,000","-28,507,000","-30,434,000","-29,040,000","-31,486,000","-26,049,000","-31,411,000","-44,966,000","-48,862,000","-49,918,000","-50,096,000","-45,151,000","-42,046,000","-36,359,000","-34,539,000","-28,170,000","-22,601,000","-24,150,000","-20,387,000","-13,493,000","-7,820,000","-9,803,000","-10,784,000","-10,198,000","-10,915,000","-9,104,000","-9,086,000","-9,604,000","-11,991,000","-8,307,000","-12,058,000","-10,980,000","-2,626,000","-3,226,000","-4,193,000","-4,587,000","-5,674,000","-3,131,000","-3,760,000","-3,476,000","-3,242,000","-6,041,000","-14,969,000","-324,000","858,000","817,000","597,000","1,361,000","251,000","139,000","121,000"
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,998,000","28,732,000",,
	MinorityInterest,"177,632,000","314,910,000","290,643,000","274,296,000","265,089,000","258,428,000","236,088,000","231,622,000","221,294,000","256,534,000","238,605,000","236,549,000","238,211,000","249,819,000","231,311,000","227,274,000","224,473,000","252,404,000","252,420,000","240,353,000","224,748,000","256,033,000","245,532,000","237,174,000","218,312,000","202,664,000","207,021,000","197,109,000","181,363,000","160,952,000","90,215,000","84,524,000","56,920,000","60,577,000","59,068,000","55,592,000","56,778,000","62,243,000","60,259,000","61,772,000","59,857,000","58,162,000","59,181,000","62,673,000","69,946,000","66,542,000","62,609,000","62,825,000","32,398,000","29,361,000","30,680,000","28,426,000","13,068,000",,,,,,,,,
