name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,12/31/2004
TotalAssets,"24,577,000,000","21,548,000,000","21,944,000,000","24,181,000,000","21,866,000,000","18,690,000,000","19,679,000,000","21,905,000,000","20,417,000,000","21,416,000,000","21,381,000,000","22,201,000,000","20,963,000,000","18,033,000,000","19,141,000,000","20,554,000,000","20,429,000,000","18,515,628,000","19,035,232,000","18,623,248,000","17,668,906,000","15,777,546,000","16,131,766,000","16,728,542,000","16,390,044,000","15,503,812,000","12,403,273,000","11,831,926,000","10,135,088,000","9,020,538,000","9,424,988,000","9,234,829,000","8,888,377,000","7,739,481,000","8,201,610,000","8,744,096,000","8,432,420,000","7,085,195,000","7,507,565,000","7,505,096,000","6,818,183,000","6,505,258,000","7,676,683,000","8,045,277,000","7,457,588,000","6,650,994,000","7,132,741,000","6,622,894,000","6,420,471,000","5,937,156,000","6,147,193,000","6,206,065,000","5,748,771,000","5,894,249,000","8,989,229,000","9,121,482,000","8,630,773,000","8,295,422,000","8,462,126,000","8,675,587,000","8,258,753,000","8,269,184,000","8,384,232,000","8,149,980,000","8,024,044,000","7,756,892,000","7,776,176,000","9,537,187,000"
	CurrentAssets,"11,147,000,000","8,181,000,000","9,043,000,000","11,113,000,000","8,836,000,000","5,634,000,000","6,735,000,000","8,944,000,000","7,652,000,000","7,735,000,000","7,969,000,000","8,824,000,000","7,702,000,000","5,197,000,000","6,172,000,000","7,794,000,000","7,431,000,000","5,539,589,000","5,983,802,000","6,026,561,000","5,328,413,000","3,450,251,000","3,620,294,000","4,163,977,000","3,796,132,000","2,978,761,000","3,173,472,000","4,990,392,000","3,485,928,000","2,924,489,000","3,836,818,000","3,640,965,000","3,314,954,000","2,219,287,000","2,705,806,000","3,263,710,000","2,980,871,000","2,614,502,000","3,091,410,000","3,086,511,000","2,584,642,000","2,274,429,000","2,598,173,000","2,954,000,000","2,427,450,000","1,701,627,000","2,208,322,000","1,815,691,000","1,713,378,000","1,225,049,000","1,455,981,000","1,516,966,000","1,090,503,000","1,198,714,000","1,285,790,000","1,683,359,000","1,298,540,000","1,045,655,000","1,318,720,000","1,526,384,000","1,114,657,000","1,182,685,000","1,295,955,000","1,019,162,000","889,672,000","590,244,000","564,704,000","2,245,857,000"
		CashCashEquivalentsAndShortTermInvestments,"5,552,000,000","4,311,000,000","5,031,000,000","5,475,000,000","4,314,000,000","3,387,000,000","4,376,000,000","5,475,000,000","4,099,000,000","3,841,000,000","4,455,000,000","4,889,000,000","4,174,000,000","2,471,000,000","3,378,000,000","4,563,000,000","4,454,000,000","3,315,237,000","3,780,467,000","3,781,162,000","3,354,645,000","1,869,124,000","1,890,156,000","2,335,024,000","2,091,916,000","1,710,038,000","1,490,817,000","3,383,113,000","2,030,225,000","1,758,480,000","2,648,789,000","2,371,801,000","2,171,465,000","1,346,543,000","1,812,419,000","2,270,234,000","2,089,136,000","1,938,143,000","2,357,052,000","2,393,453,000","1,997,687,000","1,337,953,000","2,005,919,000","2,290,610,000","1,821,832,000","1,229,959,000","1,554,332,000","1,127,140,000","1,043,964,000","688,393,000","887,412,000","910,155,000","565,208,000","758,174,000","659,671,000","1,027,553,000","697,868,000","617,386,000","836,531,000","1,011,404,000","637,722,000","853,274,000","945,692,000","643,341,000","509,030,000","297,416,000","227,900,000","155,957,000"
			CashAndCashEquivalents,"5,552,000,000","4,111,000,000","5,031,000,000","5,464,000,000","4,291,000,000","3,363,000,000","4,353,000,000","5,053,000,000","3,905,000,000","3,315,000,000","3,797,000,000","4,258,000,000","3,708,000,000","2,443,000,000","2,920,000,000","3,072,000,000","3,423,000,000","2,846,729,000","3,239,886,000","2,874,823,000","2,503,230,000","1,796,811,000","1,844,475,000","2,296,524,000","2,063,329,000","1,676,299,000","1,455,339,000","3,187,129,000","1,735,283,000","1,402,700,000","2,252,748,000","1,433,820,000","1,484,066,000","1,021,033,000","1,394,498,000","1,311,817,000","1,082,798,000","1,293,161,000","1,314,728,000","1,343,346,000","1,272,508,000","689,134,000","1,453,508,000","1,409,008,000","953,169,000","714,332,000","950,871,000","795,854,000","997,461,000","642,544,000","838,579,000","862,294,000","475,234,000","665,412,000","659,671,000","1,027,553,000","697,868,000","617,386,000","836,531,000","1,011,404,000","637,722,000","853,274,000","945,692,000","643,341,000","509,030,000","297,416,000","227,875,000","154,957,000"
			OtherShortTermInvestments,"0","200,000,000","0","11,000,000","23,000,000","24,000,000","23,000,000","422,000,000","194,000,000","526,000,000","658,000,000","631,000,000","466,000,000","28,000,000","458,000,000","1,491,000,000","1,031,000,000","468,508,000","540,581,000","906,339,000","851,415,000","72,313,000","45,681,000","38,500,000","28,587,000","33,739,000","35,478,000","195,984,000","294,942,000","355,780,000","396,041,000","937,981,000","687,399,000","325,510,000","417,921,000","958,417,000","1,006,338,000","644,982,000","1,042,324,000","1,050,107,000","725,179,000","648,819,000","552,411,000","881,602,000","868,663,000","515,627,000","603,461,000","331,286,000","46,503,000","45,849,000","48,833,000","47,861,000","89,974,000","92,762,000",,,,,,,,,,,,,"25,000","1,000,000"
		Receivables,"1,829,000,000","1,349,000,000","1,587,000,000","1,839,000,000","1,399,000,000","821,000,000","949,000,000","1,109,000,000","1,497,000,000","2,594,000,000","2,746,000,000","3,021,000,000","2,763,000,000","2,175,000,000","2,330,000,000","2,534,000,000","2,429,000,000","1,886,628,000","1,870,551,000","1,954,618,000","1,707,361,000","1,362,649,000","1,425,815,000","1,590,034,000","1,481,277,000","1,096,211,000","1,275,267,000","1,197,362,000","1,050,319,000","795,495,000","906,981,000","1,003,132,000","928,828,000","679,031,000","695,137,000","684,875,000","627,792,000","461,531,000","566,339,000","512,856,000","414,555,000","339,427,000","431,064,000","469,488,000","434,045,000","328,468,000","408,089,000","390,685,000","376,669,000","307,817,000","367,935,000","371,417,000","323,671,000","267,270,000","351,255,000","398,500,000","367,930,000","273,403,000","317,901,000","313,335,000","289,926,000","211,430,000","216,947,000","202,913,000","199,478,000","174,019,000","180,622,000","2,018,650,000"
			AccountsReceivable,"1,736,000,000","1,264,000,000","1,485,000,000","1,440,000,000","1,007,000,000","701,000,000","839,000,000","1,002,000,000","1,423,000,000","2,524,000,000","2,684,000,000","2,893,000,000","2,617,000,000","2,151,000,000","2,294,000,000","2,359,000,000","2,253,000,000","1,865,995,000","1,835,286,000","1,809,618,000","1,579,657,000","1,343,247,000","1,383,774,000","1,454,518,000","1,363,321,000","1,082,406,000","1,242,303,000","1,123,555,000","985,024,000","778,334,000","887,436,000","927,909,000","818,818,000","614,735,000","695,137,000","684,875,000","627,792,000","461,531,000","566,339,000","512,856,000","414,555,000","339,427,000","431,064,000","469,488,000","434,045,000","328,468,000","408,089,000","390,685,000","376,669,000","307,817,000","367,935,000","371,417,000","323,671,000","267,270,000","351,255,000","398,500,000","367,930,000","268,008,000","317,901,000","313,335,000","289,926,000","211,430,000","216,947,000","202,913,000","199,478,000","174,019,000","180,622,000",
				GrossAccountsReceivable,"1,802,000,000","1,329,000,000","1,566,000,000","1,526,000,000","1,105,000,000","802,000,000","957,000,000","1,117,000,000","1,518,000,000","2,565,000,000","2,727,000,000","2,934,000,000","2,657,000,000","2,185,000,000","2,329,000,000","2,391,000,000","2,284,000,000","1,896,691,000","1,870,259,000","1,837,275,000","1,607,334,000","1,368,525,000","1,408,565,000","1,483,355,000","1,392,778,000","1,109,441,000","1,267,336,000","1,140,808,000","998,713,000","792,094,000","900,866,000","939,694,000","829,882,000","626,290,000","711,999,000","697,445,000","639,913,000","486,809,000","576,434,000","522,284,000","423,605,000","347,386,000","446,256,000",,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-66,000,000","-65,000,000","-81,000,000","-86,000,000","-98,000,000","-101,000,000","-118,000,000","-115,000,000","-95,000,000","-41,000,000","-43,000,000","-41,000,000","-40,000,000","-34,000,000","-35,000,000","-32,000,000","-31,000,000","-30,696,000","-34,973,000","-27,657,000","-27,677,000","-25,278,000","-24,791,000","-28,837,000","-29,457,000","-27,035,000","-25,033,000","-17,253,000","-13,689,000","-13,760,000","-13,430,000","-11,785,000","-11,064,000","-11,555,000","-16,862,000","-12,570,000","-12,121,000","-25,278,000","-10,095,000","-9,428,000","-9,050,000","-7,959,000","-15,192,000",,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"93,000,000","85,000,000","102,000,000","399,000,000","392,000,000","120,000,000","110,000,000","107,000,000","74,000,000","70,000,000","62,000,000","128,000,000","146,000,000","24,000,000","36,000,000","175,000,000","176,000,000","20,633,000","35,265,000","145,000,000","127,704,000","19,402,000","42,041,000","135,516,000","117,956,000","13,805,000","32,964,000","73,807,000","65,295,000","17,161,000","19,545,000","75,223,000","110,010,000","64,296,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
