name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010
TotalAssets,"8,243,000,000","7,936,200,000","7,868,800,000","7,696,000,000","7,482,100,000","7,358,700,000","6,519,000,000","6,332,300,000","6,300,100,000","6,291,300,000","6,285,600,000","6,343,400,000","6,289,200,000","5,964,600,000","6,169,700,000","5,697,100,000","5,552,000,000","5,511,400,000","5,349,300,000","5,253,400,000","5,134,100,000","5,128,500,000","5,212,600,000","5,097,900,000","4,942,800,000","4,878,600,000","5,082,200,000","4,966,500,000","4,085,300,000","4,052,900,000","4,081,200,000","4,190,100,000","4,106,800,000","4,178,100,000","4,119,300,000","4,065,400,000","3,823,800,000","3,873,700,000","3,784,500,000","3,726,000,000","3,647,500,000","3,637,900,000","3,840,900,000","3,831,400,000","3,712,700,000","4,259,400,000"
	CurrentAssets,"2,956,700,000","2,744,500,000","2,726,000,000","2,548,900,000","2,345,900,000","2,208,500,000","2,138,000,000","1,957,300,000","1,914,000,000","1,898,200,000","1,906,700,000","1,916,900,000","1,848,000,000","1,686,100,000","1,890,200,000","1,805,500,000","1,644,500,000","1,601,700,000","1,598,300,000","1,553,100,000","1,456,100,000","1,445,200,000","1,539,700,000","1,542,600,000","1,481,300,000","1,418,700,000","1,623,400,000","1,529,900,000","1,336,500,000","1,299,100,000","1,362,900,000","1,337,100,000","1,264,700,000","1,327,400,000","1,273,600,000","1,203,600,000","1,199,200,000","1,228,000,000","1,138,400,000","1,068,100,000","973,900,000","953,500,000","1,015,100,000","1,042,800,000","913,800,000","1,467,800,000"
		CashCashEquivalentsAndShortTermInvestments,"378,200,000","471,500,000","460,700,000","460,000,000","356,100,000","419,100,000","464,500,000","398,400,000","359,700,000","387,900,000","336,200,000","276,300,000","281,200,000","262,900,000","389,900,000","345,500,000","244,400,000","323,000,000","277,100,000","252,700,000","210,800,000","251,500,000","278,600,000","278,700,000","253,600,000","238,500,000","350,600,000","223,500,000","179,400,000","191,900,000","175,100,000","145,000,000","124,200,000","241,400,000","157,000,000","123,600,000","258,900,000","336,000,000","216,100,000","147,200,000","120,600,000","120,800,000","127,600,000","73,100,000","67,900,000","60,700,000"
			CashAndCashEquivalents,"378,200,000","471,500,000","460,700,000","460,000,000","356,100,000","419,100,000","464,500,000","398,400,000","359,700,000","387,900,000","336,200,000","276,300,000","281,200,000","262,900,000","389,900,000","345,500,000","244,400,000","323,000,000","277,100,000","252,700,000","210,800,000","251,500,000","278,600,000","278,700,000","253,600,000","238,500,000","350,600,000","223,500,000","179,400,000","191,900,000","175,100,000","145,000,000","124,200,000","241,400,000","157,000,000","123,600,000","258,900,000","336,000,000","216,100,000","147,200,000","120,600,000","120,800,000","127,600,000","73,100,000","67,900,000","60,700,000"
		Receivables,"1,011,600,000","885,700,000","921,800,000","844,600,000","828,500,000","734,900,000","765,200,000","657,700,000","678,200,000","624,800,000","640,100,000","706,200,000","650,100,000","571,700,000","635,400,000","657,500,000","631,500,000","555,300,000","594,700,000","595,700,000","564,900,000","550,700,000","568,800,000","569,300,000","525,500,000","502,600,000","557,000,000","573,500,000","477,200,000","458,900,000","534,500,000","535,300,000","482,900,000","477,100,000","517,700,000","499,800,000","429,100,000","381,800,000","407,100,000","405,200,000","379,300,000","346,100,000","391,800,000","410,100,000","393,500,000","374,200,000"
			AccountsReceivable,"1,011,600,000","885,700,000","921,800,000","844,600,000","828,500,000","734,900,000","765,200,000","657,700,000","678,200,000","624,800,000","640,100,000","706,200,000","650,100,000","571,700,000","635,400,000","657,500,000","631,500,000","555,300,000","594,700,000","595,700,000","564,900,000","550,700,000","568,800,000","569,300,000","525,500,000","502,600,000","557,000,000","573,500,000","477,200,000","458,900,000","534,500,000","535,300,000","482,900,000","477,100,000","517,700,000","499,800,000","429,100,000","381,800,000","407,100,000","405,200,000","379,300,000","346,100,000","391,800,000","410,100,000","338,400,000","374,200,000"
				GrossAccountsReceivable,,"893,900,000",,,,"741,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-8,200,000",,,,"-6,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55,100,000",
		Inventory,"1,334,700,000","1,193,800,000","1,128,300,000","1,046,800,000","958,400,000","867,200,000","738,300,000","732,300,000","703,100,000","718,600,000","758,800,000","741,900,000","737,900,000","678,900,000","684,300,000","627,000,000","619,200,000","580,800,000","600,100,000","581,400,000","558,800,000","531,100,000","562,500,000","580,500,000","597,900,000","555,600,000","540,400,000","546,400,000","501,800,000","462,200,000","520,900,000","521,200,000","509,500,000","471,600,000","463,100,000","438,800,000","380,000,000","357,200,000","392,300,000","385,500,000","350,700,000","336,300,000","368,800,000","353,100,000","341,100,000","333,000,000"
			RawMaterials,"509,500,000","455,100,000","443,900,000","388,000,000","354,200,000","346,600,000","299,300,000","280,400,000","258,000,000","274,400,000","279,700,000","267,000,000","248,600,000","227,400,000","273,100,000","229,600,000","233,800,000","224,900,000","211,600,000","213,500,000","208,800,000","207,600,000","215,500,000","236,800,000","249,500,000","237,800,000","216,300,000","219,200,000","199,100,000","178,100,000","190,100,000","204,000,000","200,500,000","184,600,000","186,300,000","176,800,000","148,200,000","144,300,000","160,700,000","151,200,000",,"137,100,000",,"184,600,000","177,700,000","179,800,000"
			WorkInProcess,"105,600,000","93,000,000","82,300,000","85,000,000","80,900,000","76,700,000","72,000,000","81,300,000","71,900,000","72,200,000","76,500,000","75,500,000","70,000,000","66,400,000","58,400,000","61,200,000","62,600,000","58,300,000","61,800,000","56,500,000","58,000,000","55,900,000","51,600,000","50,900,000","60,800,000","60,200,000","59,200,000","57,000,000","55,400,000","54,000,000","56,800,000","54,900,000","55,600,000","52,500,000","47,600,000","40,600,000","40,600,000","38,600,000","36,800,000","38,300,000",,"39,900,000",,,,
			FinishedGoods,"719,600,000","645,700,000","602,100,000","573,800,000","523,300,000","443,900,000","367,000,000","370,600,000","373,200,000","372,000,000","402,600,000","399,400,000","419,300,000","385,100,000","352,800,000","336,200,000","322,800,000","297,600,000","326,700,000","311,400,000","292,000,000","267,600,000","295,400,000","292,800,000","287,600,000","257,600,000","264,900,000","270,200,000","247,300,000","230,100,000","274,000,000","262,300,000","253,400,000","234,500,000","229,200,000","221,400,000","191,200,000","174,300,000","194,800,000","196,000,000",,"159,300,000",,"168,500,000","163,400,000","153,200,000"
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","32,600,000","38,600,000","63,300,000","0",,,,,,,,,,,,,,,
		OtherCurrentAssets,"232,200,000","193,500,000","215,200,000","197,500,000","202,900,000","187,300,000","170,000,000","168,900,000","173,000,000","166,900,000","171,600,000","192,500,000","178,800,000","172,600,000","180,600,000","175,500,000","149,400,000","142,600,000","126,400,000","123,300,000","121,600,000","111,900,000","129,800,000","114,100,000","104,300,000","122,000,000","175,400,000","153,900,000","139,500,000","122,800,000","132,400,000","135,600,000","148,100,000","137,300,000","135,800,000","141,400,000","131,200,000","153,000,000","122,900,000","130,200,000","123,300,000","150,300,000","126,900,000","206,500,000","111,300,000","699,900,000"
	TotalNonCurrentAssets,"5,286,300,000","5,191,700,000","5,142,800,000","5,147,100,000","5,136,200,000","5,150,200,000","4,381,000,000","4,375,000,000","4,386,100,000","4,393,100,000","4,378,900,000","4,426,500,000","4,441,200,000","4,278,500,000","4,279,500,000","3,891,600,000","3,907,500,000","3,909,700,000","3,751,000,000","3,700,300,000","3,678,000,000","3,683,300,000","3,672,900,000","3,555,300,000","3,461,500,000","3,459,900,000","3,458,800,000","3,436,600,000","2,748,800,000","2,753,800,000","2,718,300,000","2,853,000,000","2,842,100,000","2,850,700,000","2,845,700,000","2,861,800,000","2,624,600,000","2,645,700,000","2,646,100,000","2,657,900,000","2,673,600,000","2,684,400,000","2,825,800,000","2,788,600,000","2,798,900,000","2,791,600,000"
		NetPPE,"1,248,300,000","1,201,200,000","1,134,100,000","1,107,400,000","1,084,300,000","1,087,600,000","958,600,000","958,600,000","966,900,000","989,800,000","966,200,000","978,100,000","981,100,000","813,400,000","776,300,000","737,600,000","742,800,000","740,000,000","690,600,000","675,600,000","665,700,000","662,500,000","642,900,000","643,200,000","635,700,000","627,900,000","606,300,000","582,000,000","543,700,000","539,800,000","533,300,000","540,200,000","532,100,000","534,400,000","513,500,000","522,200,000","499,500,000","509,400,000","497,800,000","509,900,000","515,000,000","525,800,000","538,100,000","531,800,000","536,100,000","550,000,000"
			GrossPPE,"2,546,300,000","2,469,700,000","2,416,700,000","2,385,300,000","2,338,400,000","2,320,300,000","2,172,600,000","2,150,100,000","2,130,800,000","2,148,100,000","2,127,000,000","2,118,700,000","2,100,000,000","1,911,700,000","1,873,500,000","1,815,900,000","1,803,800,000","1,780,400,000","1,715,800,000","1,682,200,000","1,654,700,000","1,630,700,000","1,613,700,000","1,594,800,000","1,577,400,000","1,551,700,000","1,515,300,000","1,471,000,000","1,415,400,000","1,396,300,000","1,511,900,000","1,566,100,000","1,538,800,000","1,556,100,000","1,528,700,000","1,523,900,000","1,485,400,000","1,491,200,000","1,479,300,000","1,479,700,000","1,472,400,000","1,477,400,000","1,486,800,000",,,"1,461,300,000"
				Properties,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0"
				LandAndImprovements,,"76,600,000",,,,"75,900,000",,,,"66,300,000",,,,"66,800,000",,,,"58,700,000",,,,"57,000,000",,,,"56,200,000",,,,"48,500,000",,,,"53,800,000",,,,"47,600,000",,,,"48,900,000",,,,"53,800,000"
				BuildingsAndImprovements,,"551,500,000",,,,"552,400,000",,,,"510,200,000",,,,"500,100,000",,,,"464,100,000",,,,"429,400,000",,,,"407,600,000",,,,"356,300,000",,,,"374,500,000",,,,"324,500,000",,,,"328,200,000",,,,"334,000,000"
				MachineryFurnitureEquipment,,"1,461,900,000",,,,"1,411,500,000",,,,"1,316,200,000",,,,"1,249,000,000",,,,"1,167,500,000",,,,"1,079,800,000",,,,"1,005,600,000",,,,"920,200,000",,,,"1,066,300,000",,,,"1,056,300,000",,,,"1,058,200,000",,,,"1,041,400,000"
				OtherProperties,"2,546,300,000","191,700,000","2,416,700,000","2,385,300,000","2,338,400,000","170,200,000","2,172,600,000","2,150,100,000","2,130,800,000","165,600,000","2,127,000,000","2,118,700,000","2,100,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,,"188,000,000",,,,"110,300,000",,,,"89,800,000",,,,"95,800,000",,,,"90,100,000",,,,"64,500,000",,,,"82,300,000",,,,"71,300,000",,,,"61,500,000",,,,"62,800,000",,,,"42,100,000",,,,"32,100,000"
			AccumulatedDepreciation,"-1,298,000,000","-1,268,500,000","-1,282,600,000","-1,277,900,000","-1,254,100,000","-1,232,700,000","-1,214,000,000","-1,191,500,000","-1,163,900,000","-1,158,300,000","-1,160,800,000","-1,140,600,000","-1,118,900,000","-1,098,300,000","-1,097,200,000","-1,078,300,000","-1,061,000,000","-1,040,400,000","-1,025,200,000","-1,006,600,000","-989,000,000","-968,200,000","-970,800,000","-951,600,000","-941,700,000","-923,800,000","-909,000,000","-889,000,000","-871,700,000","-856,500,000","-978,600,000","-1,025,900,000","-1,006,700,000","-1,021,700,000","-1,015,200,000","-1,001,700,000","-985,900,000","-981,800,000","-981,500,000","-969,800,000","-957,400,000","-951,600,000","-948,700,000",,,"-911,300,000"
		GoodwillAndOtherIntangibleAssets,"3,870,000,000","3,848,900,000","3,867,900,000","3,891,200,000","3,900,500,000","3,815,100,000","3,196,400,000","3,199,300,000","3,219,200,000","3,259,100,000","3,271,000,000","3,314,900,000","3,323,700,000","3,327,100,000","3,397,100,000","3,055,700,000","3,069,900,000","3,074,400,000","2,958,200,000","2,925,300,000","2,930,100,000","2,940,800,000","2,948,900,000","2,833,100,000","2,751,100,000","2,752,000,000","2,783,000,000","2,763,500,000","2,115,900,000","2,124,300,000","2,121,500,000","2,264,800,000","2,262,900,000","2,272,800,000","2,281,800,000","2,286,400,000","2,057,800,000","2,064,700,000","2,066,500,000","2,062,500,000","2,068,800,000","2,063,900,000","2,158,700,000","2,159,700,000","2,164,600,000","2,163,700,000"
			Goodwill,"2,487,500,000","2,465,100,000","2,466,600,000","2,470,600,000","2,466,200,000","2,394,800,000","2,085,200,000","2,081,300,000","2,079,300,000","2,090,200,000","2,084,900,000","2,085,700,000","2,084,000,000","2,080,300,000","2,063,300,000","1,916,700,000","1,918,700,000","1,912,000,000","1,852,800,000","1,832,100,000","1,832,900,000","1,833,800,000","1,835,000,000","1,793,800,000","1,757,800,000","1,755,300,000","1,800,800,000","1,904,700,000","1,454,400,000","1,467,800,000","1,455,600,000","1,520,600,000","1,518,000,000","1,519,900,000","1,521,100,000","1,521,800,000","1,379,900,000","1,387,000,000","1,368,400,000","1,366,400,000","1,367,400,000","1,366,600,000","1,366,500,000","1,365,900,000","1,366,200,000","1,364,900,000"
			OtherIntangibleAssets,"1,382,500,000","1,383,800,000","1,401,300,000","1,420,600,000","1,434,300,000","1,420,300,000","1,111,200,000","1,118,000,000","1,139,900,000","1,168,900,000","1,186,100,000","1,229,200,000","1,239,700,000","1,246,800,000","1,333,800,000","1,139,000,000","1,151,200,000","1,162,400,000","1,105,400,000","1,093,200,000","1,097,200,000","1,107,000,000","1,113,900,000","1,039,300,000","993,300,000","996,700,000","982,200,000","858,800,000","661,500,000","656,500,000","665,900,000","744,200,000","744,900,000","752,900,000","760,700,000","764,600,000","677,900,000","677,700,000","698,100,000","696,100,000","701,400,000","697,300,000","792,200,000","793,800,000","798,400,000","798,800,000"
