name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991
OperatingCashFlow,"274,275,000","120,145,000","85,454,000","24,101,000","44,575,000","69,174,000","44,898,000","34,067,000","65,914,000","77,385,000","67,772,000","57,851,000","34,276,000","71,697,000","69,210,000","54,252,000","28,651,000","91,316,000","71,511,000","46,033,000","38,948,000","63,865,000","56,380,000","901,000","14,497,000","25,076,000","27,627,000","23,213,000","14,479,000","27,430,000","28,351,000","20,388,000","23,346,000","25,594,000","32,699,000","28,972,000","19,853,000","25,194,000","34,316,000","14,739,000","10,636,000","29,101,000","25,757,000","19,199,000","10,329,000","25,090,000","23,887,000","16,858,000","8,018,000","24,882,000","42,396,000","3,225,000","12,585,000","21,780,000","26,072,000","6,770,000","5,731,000","18,976,000","12,933,000","-931,000","-467,000","4,188,000","8,734,000","13,138,000","5,637,000","9,044,000","13,792,000","11,153,000","7,114,000","10,036,000","15,783,000","11,759,000","10,590,000","5,996,000","1,352,000","5,839,000","2,129,000","6,778,000","5,105,000","804,000","1,762,000","6,126,000","4,900,000","3,480,000","2,617,000","8,774,000","8,280,000","5,748,000","-3,323,000","3,923,000","2,114,000","-600,000","-800,000","3,600,000","700,000","400,000","2,300,000","200,000","-400,000","200,000","2,700,000","400,000","-500,000","-300,000","1,300,000","1,400,000","-400,000","1,600,000","1,500,000","400,000","-1,100,000","-1,400,000","-1,000,000","-200,000","-400,000","200,000","400,000","400,000","-400,000","200,000","500,000","100,000","-300,000","0","-100,000"
	CashFlowFromContinuingOperatingActivities,"274,275,000","120,145,000","85,454,000","24,101,000","44,575,000","69,174,000","44,898,000","34,067,000","65,914,000","77,385,000","67,772,000","57,851,000","34,276,000","71,697,000","69,210,000","54,252,000","28,651,000","91,316,000","71,511,000","46,033,000","38,948,000","63,865,000","56,380,000","901,000","14,497,000","25,076,000","27,627,000","23,213,000","14,479,000","27,430,000","28,351,000","20,388,000","23,346,000","25,594,000","32,699,000","28,972,000","19,853,000","25,194,000","34,316,000","14,739,000","10,636,000","29,101,000","25,757,000","19,199,000","10,329,000","25,090,000","23,887,000","16,858,000","8,018,000","24,882,000","42,396,000","3,225,000","12,585,000","21,780,000","26,072,000","6,770,000","5,731,000","18,976,000","12,933,000","-931,000","-467,000","4,188,000","8,734,000","13,138,000","5,637,000","9,044,000","13,792,000","11,153,000","7,114,000","10,036,000","15,783,000","11,759,000","10,590,000","5,996,000","1,352,000","5,839,000","2,129,000","6,778,000","5,105,000","804,000","1,762,000","6,126,000","4,900,000","3,480,000","2,617,000","8,774,000","8,280,000","5,748,000","-3,323,000","3,923,000","2,114,000","-600,000","-800,000","3,600,000","700,000","400,000","2,300,000","200,000","-400,000","200,000","2,700,000","400,000","-500,000","-300,000","1,300,000","1,400,000","-400,000","1,600,000","1,500,000","400,000","-1,100,000","-1,400,000","-1,000,000","-200,000","-400,000","200,000","400,000","400,000","-400,000","200,000","500,000","100,000","-300,000","0","-100,000"
		NetIncomeFromContinuingOperations,"119,199,000","28,005,000","29,371,000","33,396,000","28,427,000","33,715,000","32,726,000","15,062,000","25,873,000","32,918,000","54,154,000","34,761,000","33,048,000","42,655,000","48,075,000","33,325,000","30,171,000","41,635,000","67,734,000","28,274,000","15,239,000","32,645,000","36,692,000","-1,412,000","11,673,000","13,174,000","19,410,000","11,173,000","13,339,000","16,788,000","26,941,000","19,528,000","16,015,000","22,682,000","24,778,000","23,141,000","15,663,000","20,264,000",,,,"17,512,000","21,455,000","18,433,000","15,338,000","22,556,000","19,556,000","14,237,000","11,783,000","12,082,000","14,997,000","11,974,000","11,550,000","11,243,000","11,474,000","-46,407,000","6,702,000","6,695,000","5,739,000","10,385,000","8,885,000","10,279,000","9,692,000","7,935,000","6,495,000","7,622,000","7,721,000","6,370,000","5,223,000","6,069,000","6,092,000","5,190,000","4,246,000","5,178,000","4,817,000","4,016,000","3,001,000","3,498,000","3,309,000","2,578,000","2,259,000","2,794,000","2,463,000","1,873,000","1,550,000","2,126,000","1,464,000","1,103,000","756,000","1,579,000","1,778,000","1,400,000","1,500,000","1,800,000","1,300,000","1,100,000","900,000","1,000,000","800,000","500,000","500,000","700,000","600,000","300,000","300,000","500,000","300,000","200,000","300,000","400,000","200,000","200,000","200,000","400,000","300,000","200,000","200,000","300,000","300,000","200,000","400,000","0","100,000",,"0"
		OperatingGainsLosses,,,,,,,"0",,,,,,,,,,,,"0","20,000",,,,,,,,,,,,,,,,,,,"333,000",,,,"0","-133,000","0","-9,832,000",,,,,,,,,"-829,000",,,,,,,,,,,"922,000","1,575,000","2,344,000","3,086,000","2,179,000","6,023,000","9,866,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,298,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"167,368,000","119,248,000","26,001,000","11,217,000","10,902,000","10,612,000","10,681,000","10,426,000","10,324,000","10,674,000","10,846,000","10,674,000","10,510,000","9,874,000","9,876,000","10,850,000","10,952,000","11,283,000","12,429,000","13,872,000","14,689,000","14,243,000","14,700,000","7,281,000","4,947,000","4,937,000","4,288,000","4,637,000","4,467,000","4,547,000","4,475,000","4,404,000","4,325,000","4,272,000","4,015,000","3,988,000","3,733,000","3,625,000","3,489,000","3,331,000","3,119,000","3,036,000","2,721,000","2,825,000","2,821,000","2,659,000","2,884,000","2,515,000","2,580,000","2,534,000","3,456,000","1,842,000","3,323,000","2,491,000","2,962,000","3,029,000","2,997,000","3,134,000","3,020,000","2,797,000","2,805,000","2,452,000","2,351,000","2,090,000","1,895,000","1,705,000","1,609,000","1,533,000","1,370,000","1,292,000","1,191,000","1,073,000","988,000","921,000","843,000","828,000","686,000","662,000","689,000","718,000","586,000","555,000","898,000","975,000","974,000","966,000","1,728,000","943,000","921,000","891,000","890,000","700,000","800,000","700,000","600,000","500,000","500,000","300,000","400,000","400,000","300,000","400,000","300,000","300,000","300,000","200,000","300,000","200,000","300,000","300,000","200,000","200,000","100,000","200,000","200,000","200,000","100,000","200,000","100,000","0",,,,,
			DepreciationAndAmortization,"167,368,000","119,248,000","26,001,000","11,217,000","10,902,000","10,612,000","10,681,000","10,426,000","10,324,000","10,674,000","10,846,000","10,674,000","10,510,000","9,874,000","9,876,000","10,850,000","10,952,000","11,283,000","12,429,000","13,872,000","14,689,000","14,243,000","14,700,000","7,281,000","4,947,000","4,937,000","4,288,000","4,637,000","4,467,000","4,547,000","4,475,000","4,404,000","4,325,000","4,272,000","4,015,000","3,988,000","3,733,000","3,625,000","3,489,000","3,331,000","3,119,000","3,036,000","2,721,000","2,825,000","2,821,000","2,659,000","2,884,000","2,515,000","2,580,000","2,534,000","3,456,000","1,842,000","3,323,000","2,491,000","2,962,000","3,029,000","2,997,000","3,134,000","3,020,000","2,797,000","2,805,000","2,452,000","2,351,000","2,090,000","1,895,000","1,705,000","1,609,000","1,533,000","1,370,000","1,292,000","1,191,000","1,073,000","988,000","921,000","843,000","828,000","686,000","662,000","689,000","718,000","586,000","555,000","898,000","975,000","974,000","966,000","1,728,000","943,000","921,000","891,000","890,000","700,000","800,000","700,000","600,000","500,000","500,000","300,000","400,000","400,000","300,000","400,000","300,000","300,000","300,000","200,000","300,000","200,000","300,000","300,000","200,000","200,000","100,000","200,000","200,000","200,000","100,000","200,000","100,000","0",,,,,
				Depreciation,"167,368,000","119,248,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,"9,205,000","493,000","5,100,000","1,178,000","2,434,000","2,010,000","3,075,000","2,844,000","4,318,000","4,239,000","-443,000","1,857,000","2,739,000","2,855,000","2,474,000","2,152,000","1,192,000","1,609,000","-25,634,000","-749,000","-664,000","12,550,000","3,247,000","6,103,000","884,000","1,678,000","-2,723,000","1,310,000","343,000","640,000","-360,000","796,000","241,000","451,000","-981,000","-8,384,000","737,000","700,000","1,540,000","542,000","575,000","585,000","-165,000","2,300,000","-1,275,000","340,000","45,000","1,800,000","0","0",,,,,"5,388,000",,,"1,609,000","2,462,000","3,978,000","-6,833,000","4,508,000","-575,000",,,"962,000","803,000",,,"2,550,000","227,000","-3,075,000","2,265,000","2,725,000",,,"-715,000","1,316,000",,,,"915,000",,,,,,,,,,,,,"700,000",,,,"500,000",,,,"100,000",,,,,,,,"200,000",,,,,,,,,,,,,,
			DeferredIncomeTax,"9,205,000","493,000","5,100,000","1,178,000","2,434,000","2,010,000","3,075,000","2,844,000","4,318,000","4,239,000","-443,000","1,857,000","2,739,000","2,855,000","2,474,000","2,152,000","1,192,000","1,609,000","-25,634,000","-749,000","-664,000","12,550,000","3,247,000","6,103,000","884,000","1,678,000","-2,723,000","1,310,000","343,000","640,000","-360,000","796,000","241,000","451,000","-981,000","-8,384,000","737,000","700,000","1,540,000","542,000","575,000","585,000","-165,000","2,300,000","-1,275,000","340,000","45,000","1,800,000","0","0",,,,,"5,388,000",,,"1,609,000","2,462,000","3,978,000","-6,833,000","4,508,000","-575,000",,,"962,000","803,000",,,"2,550,000","227,000","-3,075,000","2,265,000","2,725,000",,,"-715,000","1,316,000",,,,"915,000",,,,,,,,,,,,,"700,000",,,,"500,000",,,,"100,000",,,,,,,,"200,000",,,,,,,,,,,,,,
