name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013
TotalAssets,"10,474,796,000","10,196,204,000","7,735,063,000","7,939,134,000","7,051,832,000","6,957,160,000","6,481,938,000","7,141,293,000","6,513,708,000","6,314,436,000","6,358,346,000","6,285,946,000","6,001,204,000","5,840,412,000","5,466,282,000","5,966,001,000","4,842,182,000","4,541,185,000","4,051,061,000","3,903,234,000","3,687,917,000","3,975,403,000","3,593,668,000","3,492,940,000","2,690,173,000","2,592,579,000","2,248,747,000","1,869,680,000","1,466,601,000","1,355,424,000","1,284,513,000","1,164,392,000","1,090,348,000","1,037,360,000"
TotalLiabilitiesNetMinorityInterest,"9,392,221,000","9,132,153,000","6,968,232,000","7,205,116,000","6,337,402,000","6,261,449,000","5,804,002,000","6,502,572,000","5,890,625,000","5,700,567,000","5,753,986,000","5,699,243,000","5,432,961,000","5,281,228,000","4,935,283,000","5,448,032,000","4,430,068,000","4,146,234,000","3,710,608,000","3,586,307,000","3,396,137,000","3,691,139,000","3,306,374,000","3,215,432,000","2,419,993,000","2,332,843,000","1,991,451,000","1,747,678,000","1,363,079,000","1,255,928,000","1,190,653,000","1,072,867,000","1,001,507,000","950,598,000"
TotalEquityGrossMinorityInterest,"1,082,575,000","1,064,051,000","766,831,000","734,018,000","714,430,000","695,711,000","677,936,000","638,721,000","623,083,000","613,869,000","604,360,000","586,703,000","568,243,000","559,184,000","530,999,000","517,969,000","412,114,000","394,951,000","340,453,000","316,927,000","291,780,000","284,264,000","287,294,000","277,508,000","270,180,000","259,736,000","257,296,000","122,002,000","103,522,000","99,496,000","93,860,000","91,525,000","88,841,000","86,762,000"
	StockholdersEquity,"1,082,575,000","1,064,051,000","766,831,000","734,018,000","714,430,000","695,711,000","677,936,000","638,721,000","623,083,000","613,869,000","604,360,000","586,703,000","568,243,000","559,184,000","530,999,000","517,969,000","412,114,000","394,951,000","340,453,000","316,927,000","291,780,000","284,264,000","287,294,000","277,508,000","270,180,000","259,736,000","257,296,000","122,002,000","103,522,000","99,496,000","93,860,000","91,525,000","88,841,000","86,762,000"
		CapitalStock,"57,000","56,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","44,000","44,000","44,000","44,000","39,000","38,000","35,000","34,000","33,000","16,000","16,000","16,000","16,000","16,000","16,000","9,000","8,000","8,000","8,000","8,000","8,000","8,000"
			CommonStock,"57,000","56,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","44,000","44,000","44,000","44,000","39,000","38,000","35,000","34,000","33,000","16,000","16,000","16,000","16,000","16,000","16,000","9,000","8,000","8,000","8,000","8,000","8,000","8,000"
		AdditionalPaidInCapital,"720,846,000","720,744,000","436,835,000","435,201,000","434,346,000","433,941,000","433,263,000","432,791,000","432,363,000","433,775,000","433,426,000","432,931,000","432,621,000","431,832,000","431,199,000","430,479,000","327,951,000","314,501,000","260,626,000","247,303,000","234,272,000","232,428,000","231,631,000","230,316,000","228,506,000","227,262,000","226,796,000","95,854,000","78,859,000","78,204,000","76,721,000","76,632,000","76,480,000","76,334,000"
		RetainedEarnings,"365,604,000","340,976,000","321,184,000","287,997,000","265,970,000","247,638,000","228,396,000","200,582,000","185,852,000","175,773,000","162,792,000","147,668,000","137,490,000","128,461,000","114,332,000","99,625,000","94,479,000","85,503,000","82,374,000","72,794,000","63,178,000","57,065,000","50,548,000","40,873,000","37,549,000","33,762,000","28,714,000","25,952,000","23,010,000","20,384,000","17,378,000","14,719,000","13,452,000","11,990,000"
		GainsLossesNotAffectingRetainedEarnings,"-3,932,000","2,275,000","8,767,000","10,775,000","14,069,000","14,087,000","16,232,000","5,303,000","4,823,000","4,276,000","8,097,000","6,059,000","-1,912,000","-1,153,000","-14,576,000","-12,179,000","-10,355,000","-5,091,000","-2,582,000","-3,204,000","-5,703,000","-5,245,000","5,099,000","6,303,000","4,109,000","-1,304,000","1,770,000","187,000","1,645,000","900,000","-247,000","166,000","-1,099,000","-1,570,000"
TotalCapitalization,"1,408,544,000","1,274,178,000","779,331,000","754,018,000","726,430,000","964,711,000","946,936,000","1,403,321,000","1,417,083,000","1,356,869,000","1,124,360,000","1,468,703,000","1,368,243,000","1,267,184,000","727,999,000","1,268,969,000","1,151,114,000","1,072,951,000","746,453,000","752,927,000","873,780,000","1,534,264,000","1,238,294,000","1,215,508,000","903,180,000","1,055,736,000","917,296,000","594,302,000","496,522,000","382,396,000","322,560,000","299,825,000","229,741,000","227,862,000"
CommonStockEquity,"1,082,575,000","1,064,051,000","766,831,000","734,018,000","714,430,000","695,711,000","677,936,000","638,721,000","623,083,000","613,869,000","604,360,000","586,703,000","568,243,000","559,184,000","530,999,000","517,969,000","412,114,000","394,951,000","340,453,000","316,927,000","291,780,000","284,264,000","287,294,000","277,508,000","270,180,000","259,736,000","257,296,000","122,002,000","103,522,000","99,496,000","93,860,000","91,525,000","88,841,000","86,762,000"
