name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015
TotalAssets,"25,042,720,000","24,992,410,000","25,548,322,000","24,246,328,000","23,497,596,000","22,662,831,000","22,310,701,000","22,993,715,000","20,755,891,000","20,166,734,000","20,598,220,000","20,526,367,000","20,441,136,000","20,695,678,000","19,983,838,000","20,479,719,000","20,242,942,000","20,549,461,000","20,565,627,000","20,373,974,000","19,792,785,000","19,661,829,000","19,892,693,000","19,052,593,000","19,087,504,000","19,352,681,000"
TotalLiabilitiesNetMinorityInterest,"22,757,571,000","22,335,498,000","22,836,588,000","21,514,987,000","20,813,966,000","19,918,727,000","19,576,767,000","20,291,818,000","18,091,206,000","17,526,476,000","17,943,662,000","17,866,926,000","17,827,934,000","18,170,839,000","17,560,376,000","18,020,544,000","17,722,080,000","18,016,910,000","17,983,769,000","17,821,372,000","17,286,791,000","17,185,344,000","17,368,730,000","16,551,585,000","16,615,770,000","16,615,740,000"
TotalEquityGrossMinorityInterest,"2,285,149,000","2,656,912,000","2,711,734,000","2,731,341,000","2,683,630,000","2,744,104,000","2,733,934,000","2,701,897,000","2,664,685,000","2,640,258,000","2,654,558,000","2,659,441,000","2,613,202,000","2,524,839,000","2,423,462,000","2,459,175,000","2,520,862,000","2,532,551,000","2,581,858,000","2,552,602,000","2,505,994,000","2,476,485,000","2,523,963,000","2,501,008,000","2,471,734,000","2,736,941,000"
	StockholdersEquity,"2,285,149,000","2,656,912,000","2,711,734,000","2,731,341,000","2,683,630,000","2,744,104,000","2,733,934,000","2,701,897,000","2,664,685,000","2,640,258,000","2,654,558,000","2,659,441,000","2,613,202,000","2,524,839,000","2,423,462,000","2,459,175,000","2,520,862,000","2,532,551,000","2,581,858,000","2,552,602,000","2,505,994,000","2,476,485,000","2,523,963,000","2,501,008,000","2,471,734,000","2,736,941,000"
		CapitalStock,"1,409,000","1,406,000","1,406,000","1,405,000","1,405,000","1,402,000","1,402,000","1,401,000","1,401,000","1,399,000","1,399,000","1,399,000","1,399,000","1,397,000","1,397,000","1,396,000","1,396,000","1,396,000","1,396,000","1,395,000","1,395,000","1,395,000","1,395,000","1,395,000","1,395,000",
			PreferredStock,,,,,,,,,,,,,,,,,,,,,,,,,"0",
			CommonStock,"1,409,000","1,406,000","1,406,000","1,405,000","1,405,000","1,402,000","1,402,000","1,401,000","1,401,000","1,399,000","1,399,000","1,399,000","1,399,000","1,397,000","1,397,000","1,396,000","1,396,000","1,396,000","1,396,000","1,395,000","1,395,000","1,395,000","1,395,000","1,395,000","1,395,000",
		AdditionalPaidInCapital,"2,530,795,000","2,527,663,000","2,524,168,000","2,520,790,000","2,517,048,000","2,514,014,000","2,511,849,000","2,509,271,000","2,506,477,000","2,503,677,000","2,501,324,000","2,499,946,000","2,497,770,000","2,495,853,000","2,494,436,000","2,492,656,000","2,490,910,000","2,488,643,000","2,489,273,000","2,488,091,000","2,486,596,000","2,484,251,000","2,482,679,000","2,479,980,000","2,488,712,000",
		RetainedEarnings,"628,642,000","604,534,000","581,094,000","550,511,000","497,418,000","473,974,000","446,315,000","415,296,000","429,323,000","437,072,000","403,317,000","363,748,000","326,451,000","291,919,000","264,463,000","229,615,000","193,522,000","139,177,000","158,303,000","130,767,000","104,695,000","78,850,000","50,204,000","24,860,000",,
		TreasuryStock,"358,195,000","354,998,000","333,471,000","311,663,000","288,806,000","276,890,000","276,886,000","276,802,000","276,645,000","270,141,000","232,708,000","173,668,000","133,664,000","132,135,000","132,135,000","82,082,000","282,000","282,000",,,,,,,,
