name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,04/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,04/30/2018,12/31/2017,09/30/2017,07/31/2017,06/30/2017,04/30/2017,03/31/2017,12/31/2016,09/30/2016,07/31/2016,06/30/2016,04/30/2016,03/31/2016,12/31/2015,09/30/2015,07/31/2015,06/30/2015,04/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,04/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,04/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,04/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001
TotalRevenue,"4,464,531,000","1,435,932,000","983,490,000","1,027,800,000","1,017,309,000","1,302,168,000","1,023,036,000","989,650,000","1,025,861,000","1,349,444,000","917,759,000","966,561,000","975,759,000","1,263,895,000","1,263,895,000","880,667,000","923,449,000","941,283,000","1,206,453,000","873,623,000","932,822,000","926,639,000","926,639,000","1,187,649,000",,"868,717,000","918,791,000","935,025,000",,"1,204,352,000",,"858,363,000","885,302,000","888,795,000",,"1,146,045,000",,"862,475,000","849,360,000","877,378,000","1,159,760,000",,"843,550,000","878,492,000","898,153,000","1,130,810,000",,"749,442,000","717,282,000","681,561,000","898,206,000","898,206,000","653,566,000","675,369,000","642,596,000","801,825,000","573,133,000","597,894,000","607,716,000","795,026,000","576,824,000","602,570,000","614,448,000","807,007,000","621,592,000","575,937,000","540,656,000","676,707,000","473,664,000","475,225,000","477,838,000","609,947,000","438,178,000","441,091,000","445,772,000","563,613,000","396,524,000","408,005,000","405,300,000","506,040,000","361,432,000","371,351,000","360,686,000","457,839,000","348,075,000","333,175,000","337,193,000","434,552,000","420,370,000","389,839,000","378,340,000","463,613,000","407,238,000","385,589,000","368,938,000","467,239,000"
	OperatingRevenue,"4,464,531,000","1,435,932,000","983,490,000","1,027,800,000","1,017,309,000","1,302,168,000","1,023,036,000","989,650,000","1,025,861,000","1,349,444,000","917,759,000","966,561,000","975,759,000","1,263,895,000","1,263,895,000","880,667,000","923,449,000","941,283,000","1,206,453,000","873,623,000","932,822,000","926,639,000","926,639,000","1,187,649,000",,"868,717,000","918,791,000","935,025,000",,"1,204,352,000",,"858,363,000","885,302,000","888,795,000",,"1,146,045,000",,"862,475,000","849,360,000","877,378,000","1,159,760,000",,"843,550,000","878,492,000","898,153,000","1,130,810,000",,"749,442,000","717,282,000","681,561,000","898,206,000","898,206,000","653,566,000","675,369,000","642,596,000","801,825,000","573,133,000","597,894,000","607,716,000","795,026,000","576,824,000","602,570,000","614,448,000","807,007,000","621,592,000","575,937,000","540,656,000","676,707,000","473,664,000","475,225,000","477,838,000","609,947,000","438,178,000","441,091,000","445,772,000","563,613,000","396,524,000","408,005,000","405,300,000","506,040,000","361,432,000","371,351,000","360,686,000","457,839,000","348,075,000","333,175,000","337,193,000","434,552,000","420,370,000","389,839,000","378,340,000","463,613,000","407,238,000","385,589,000","368,938,000","467,239,000"
CostOfRevenue,"2,256,263,000","724,592,000","512,531,000","515,078,000","504,062,000","643,576,000","521,577,000","497,659,000","506,033,000","670,873,000","485,960,000","509,056,000","508,552,000","652,141,000","652,141,000","468,374,000","483,789,000","492,051,000","625,122,000","456,800,000","476,170,000","468,152,000","468,246,000","607,941,000",,"450,462,000","476,760,000","477,955,000",,"621,190,000",,"455,939,000","464,045,000","457,253,000",,"585,916,000",,"453,759,000","442,978,000","458,019,000","595,877,000",,"447,511,000","467,798,000","471,614,000","585,298,000",,"390,666,000","382,508,000","365,658,000","478,978,000","478,978,000","353,350,000","365,706,000","341,887,000","412,258,000","297,298,000","316,141,000","318,553,000","414,798,000","305,137,000","322,245,000","333,339,000","429,462,000","321,606,000","298,792,000","293,594,000","349,971,000","242,796,000","244,321,000","244,942,000","306,952,000","223,569,000","222,683,000","224,025,000","279,335,000","200,353,000","205,955,000","202,511,000","252,764,000","182,835,000","186,574,000","181,974,000","228,054,000","173,577,000","167,383,000","165,565,000","213,637,000","245,521,000","211,935,000","203,832,000","249,081,000","233,811,000","205,526,000","195,995,000","253,492,000"
GrossProfit,"2,208,268,000","711,340,000","470,959,000","512,722,000","513,247,000","658,592,000","501,459,000","491,991,000","519,828,000","678,571,000","431,799,000","457,505,000","467,207,000","611,754,000","611,754,000","412,293,000","439,660,000","449,232,000","581,331,000","416,823,000","456,652,000","458,487,000","458,393,000","579,708,000",,"418,255,000","442,031,000","457,070,000",,"583,162,000",,"402,424,000","421,257,000","431,542,000",,"560,129,000",,"408,716,000","406,382,000","419,359,000","563,883,000",,"396,039,000","410,694,000","426,539,000","545,512,000",,"358,776,000","334,774,000","315,903,000","419,228,000","419,228,000","300,216,000","309,663,000","300,709,000","389,567,000","275,835,000","281,753,000","289,163,000","380,228,000","271,687,000","280,325,000","281,109,000","377,545,000","299,986,000","277,145,000","247,062,000","326,736,000","230,868,000","230,904,000","232,896,000","302,995,000","214,609,000","218,408,000","221,747,000","284,278,000","196,171,000","202,050,000","202,789,000","253,276,000","178,597,000","184,777,000","178,712,000","229,785,000","174,498,000","165,792,000","171,628,000","220,915,000","174,849,000","177,904,000","174,508,000","214,532,000","173,427,000","180,063,000","172,943,000","213,747,000"
OperatingExpense,"1,911,250,000","598,375,000","415,416,000","458,255,000","439,326,000","543,481,000","419,088,000","418,901,000","430,084,000","566,698,000","410,080,000","395,576,000","392,826,000","520,868,000","520,868,000","371,552,000","385,713,000","396,167,000","498,652,000","365,236,000","388,571,000","388,321,000","389,670,000","508,458,000",,"372,037,000","374,068,000","370,994,000",,"488,006,000",,"349,379,000","351,506,000","349,226,000",,"463,591,000",,"346,078,000","336,001,000","349,489,000","465,682,000",,"338,939,000","357,366,000","351,689,000","445,628,000",,"299,590,000","282,083,000","268,486,000","360,011,000","360,011,000","263,582,000","261,900,000","257,598,000","328,049,000","230,002,000","235,000,000","237,927,000","318,188,000","218,514,000","229,249,000","238,271,000","318,299,000","248,447,000","234,755,000","210,702,000","272,587,000","199,828,000","196,366,000","198,708,000","258,080,000","190,279,000","190,190,000","191,129,000","248,951,000","177,730,000","180,679,000","173,464,000","221,731,000","167,184,000","163,094,000","154,067,000","216,061,000","159,121,000","145,996,000","150,184,000","199,647,000","186,535,000","160,830,000","160,536,000","206,696,000","177,312,000","163,903,000","162,284,000","230,873,000"
	SellingGeneralAndAdministration,"1,772,776,000","554,952,000","383,542,000","426,575,000","407,707,000","501,973,000","387,709,000","386,739,000","396,904,000","522,035,000","377,196,000","362,380,000","359,497,000","476,049,000","476,049,000","339,377,000","353,051,000","361,069,000","454,463,000","332,805,000","355,599,000","354,193,000","355,542,000","461,270,000",,"339,763,000","341,538,000","338,396,000",,"444,539,000",,"316,908,000","322,087,000","318,758,000",,"423,774,000",,"315,803,000","306,514,000","319,582,000","426,390,000",,"310,217,000","327,529,000","325,946,000","411,439,000",,"273,651,000","257,326,000","246,231,000","330,272,000","330,272,000","240,650,000","239,084,000","236,700,000","300,057,000","210,320,000","215,222,000","217,906,000","292,551,000","205,609,000","210,185,000","216,602,000","294,022,000","228,081,000","217,382,000","197,662,000","251,675,000","184,539,000","181,727,000","183,592,000","237,963,000","175,600,000","176,992,000","176,016,000","230,779,000","163,083,000","167,149,000","161,433,000","203,991,000","153,239,000","149,836,000","143,386,000","186,434,000","147,444,000","133,389,000","137,695,000","182,485,000","142,958,000","142,700,000","142,570,000","184,793,000","189,376,000","147,026,000","142,940,000","209,851,000"
		GeneralAndAdministrativeExpense,,,"383,542,000",,,,"387,709,000","386,739,000","396,904,000",,"377,196,000","362,380,000","359,497,000","476,049,000",,"339,377,000","353,051,000","361,069,000","454,463,000","332,805,000","355,599,000","354,193,000","355,542,000","461,270,000",,"339,763,000","341,538,000","338,396,000",,"444,539,000",,"316,908,000","322,087,000","318,758,000",,"423,774,000",,"315,803,000","306,514,000","319,582,000","426,390,000",,"310,217,000","327,529,000","325,946,000","411,439,000",,"273,651,000",,,"330,272,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,"-109,054,000",,,,"0","0","0","0",,"0","0",,"2,322,000","0","18,268,000","0",,,,"173,000","1,832,000","4,641,000",,,,"0",,,,,,"15,387,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,"383,542,000",,,,"387,709,000","386,739,000","396,904,000",,"377,196,000","362,380,000","359,497,000","476,049,000",,"339,377,000","353,051,000","361,069,000","454,463,000","332,805,000","355,599,000","354,193,000","355,542,000","461,270,000",,"339,763,000","341,538,000","338,396,000",,"444,539,000",,"316,908,000","322,087,000","318,758,000",,"423,774,000",,"315,803,000","306,514,000","319,582,000","426,390,000",,"310,217,000","327,529,000","325,946,000","411,439,000",,"273,651,000",,,"330,272,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"138,596,000","43,423,000","31,874,000","31,680,000","31,619,000","41,386,000","31,379,000","32,162,000","33,180,000","44,663,000","32,884,000","33,196,000","33,329,000","44,819,000","44,819,000","32,175,000","32,662,000","35,098,000","44,189,000","32,431,000","32,972,000","34,128,000","34,128,000","47,188,000",,"32,274,000","32,530,000","32,598,000",,"43,467,000",,"32,471,000","29,419,000","30,468,000",,"39,817,000",,"30,275,000","29,487,000","29,907,000","39,292,000",,"28,722,000","29,837,000","25,743,000","34,189,000",,"25,939,000","24,757,000","22,255,000","29,739,000","29,739,000","22,932,000","22,816,000","20,898,000","27,992,000","19,682,000","19,778,000","20,021,000","25,637,000","18,931,000","19,064,000","18,656,000","24,277,000","18,994,000","17,373,000","16,032,000","20,912,000","15,504,000","15,357,000","15,116,000","20,117,000","15,515,000","14,796,000","15,113,000","18,826,000","14,647,000","13,530,000","13,427,000","17,740,000","13,945,000","13,258,000","12,597,000","16,902,000","11,677,000","12,607,000","12,489,000","17,162,000","17,277,000","18,130,000","16,655,000","21,903,000","19,023,000","16,877,000","16,893,000","21,022,000"
