name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999
OperatingCashFlow,"-6,193,000","-147,120,000","336,012,000","-150,164,000","-44,921,000","-98,436,000","407,355,000","-90,708,000","22,075,000","-44,814,000","274,934,000","-112,778,000","-18,905,000","-42,578,000","249,006,000","-109,423,000","-6,232,000","-49,593,000","236,468,000","-122,302,000","-198,000","-48,785,000","244,835,000","-134,842,000","-19,345,000","-34,626,000","251,875,000","-140,231,000","-11,229,000","-41,240,000","237,732,000","-59,530,000","18,967,000","5,742,000","79,534,000","-61,704,000","7,910,000","5,596,000","70,748,000","-49,609,000","17,288,000","3,047,000","72,346,000","-52,506,000","18,922,000","7,254,000","47,425,000","-42,876,000","13,554,000","-10,011,000","83,621,000","-47,136,000","27,429,000","-12,879,000","80,766,000","-67,128,000","15,506,000","-21,019,000","105,387,000","-41,972,000","21,683,000","-21,767,000","77,520,000","-45,095,000","16,509,000","-37,638,000","62,923,000","-27,056,000","3,009,000","-8,878,000","41,408,000","-25,110,000","28,973,000","-13,765,000","47,216,000","-20,295,000","21,174,000","-16,848,000","35,697,000","-20,504,000","6,686,000","-3,094,000","22,171,000","-14,155,000","6,689,000","-11,181,000","10,177,000","-18,315,000","-9,485,000","-22,927,000","8,700,000","-10,700,000"
	CashFlowFromContinuingOperatingActivities,"-6,193,000","-147,120,000","336,012,000","-150,164,000","-44,921,000","-98,436,000","407,355,000","-90,708,000","22,075,000","-44,814,000","274,934,000","-112,778,000","-18,905,000","-42,578,000","249,006,000","-109,423,000","-6,232,000","-49,593,000","236,468,000","-122,302,000","-41,139,000","-48,785,000","244,835,000","-134,842,000","-19,345,000","-34,626,000","251,875,000","-140,231,000","-11,229,000","-41,240,000","237,732,000","-59,530,000","18,250,000","5,193,000","79,803,000","-62,293,000","8,079,000","5,606,000","70,748,000","-49,609,000","17,288,000","4,159,000","72,624,000","-53,896,000","18,922,000","7,254,000","47,425,000","-42,876,000","13,554,000","-10,011,000","83,621,000","-47,136,000","27,429,000","-12,879,000","80,766,000","-67,128,000","15,506,000","-21,019,000","105,387,000","-41,972,000","21,683,000","-21,767,000","77,520,000","-45,095,000","16,509,000","-37,638,000","62,923,000","-27,056,000","3,009,000","-8,878,000","41,408,000","-25,110,000","28,973,000","-13,765,000","47,216,000","-20,295,000","21,174,000","-16,848,000","35,697,000","-20,504,000","6,686,000","-3,094,000","22,171,000","-14,155,000","6,689,000","-11,181,000","10,177,000","-18,315,000","-9,485,000","-22,927,000","8,700,000","-10,700,000"
		NetIncomeFromContinuingOperations,"65,170,000","-23,409,000","88,468,000","-13,199,000","13,310,000","1,427,000","113,677,000","-9,762,000","9,774,000","-9,657,000","74,152,000","-15,271,000","-8,305,000","-8,241,000","68,578,000","-17,266,000","-8,223,000","-8,463,000","70,699,000","-13,222,000","8,013,000","-11,130,000","62,929,000","-15,771,000","-11,054,000","-9,126,000","61,484,000","-5,436,000","-10,765,000","-10,813,000","45,540,000","-4,578,000","3,052,000","-1,765,000","18,027,000","-4,639,000","-1,722,000","2,589,000","11,454,000","0","-46,000",,,"-85,000",,"-2,676,000","13,530,000","-5,124,000","-4,954,000","-7,295,000","15,303,000","-7,275,000","-22,227,000","-65,775,000","-5,111,000","-5,304,000","4,298,000","3,290,000","19,256,000","-5,790,000","6,562,000","1,053,000","16,922,000","-7,419,000","1,017,000","-1,540,000","10,336,000","-6,626,000","3,901,000","-2,046,000","8,704,000","-2,710,000","30,429,000","1,943,000","13,678,000","-5,146,000","8,262,000","1,183,000","10,087,000","-7,294,000","5,460,000","165,000","1,810,000","-8,946,000","227,000","-8,510,000","-10,537,000","-22,501,000","-12,910,000","-19,220,000","-17,600,000","-17,100,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,,,,,,,,,,,"-131,000","-17,000",,,,,,,"-485,000","62,000",,,,,,,"50,000","220,000","0","-8,953,000",,,,,"2,945,000","-5,423,000","17,652,000","-1,695,000",,,,,,,,,,,,,,"1,262,000","1,145,000","1,012,000","112,000","204,000","100,000","46,000","286,000","-35,000","189,000","247,000","-19,000","13,000","350,000","154,000","-178,000","34,000","562,000","114,000","1,424,000","-137,000","-329,000","6,000","56,000","-167,000","700,000","1,600,000"
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,"-14,607,000","0",,,"-131,000","-17,000",,,"0",,,,"-485,000","62,000",,,"2,348,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"46,969,000","12,693,000","12,588,000","10,970,000","10,718,000","11,892,000","11,060,000","8,840,000","9,245,000","7,803,000","7,830,000","7,635,000","7,125,000","7,028,000","7,969,000","7,843,000","7,823,000","7,885,000","8,677,000","8,084,000","7,720,000","8,492,000","9,167,000","7,997,000","8,105,000","7,546,000","8,761,000","7,972,000","7,519,000","7,825,000","8,679,000","5,101,000","5,191,000","4,932,000","5,036,000","4,689,000","4,959,000","4,850,000","4,531,000","4,458,000","4,871,000","4,874,000","4,929,000","4,902,000","5,064,000","5,230,000","5,286,000","5,135,000","5,607,000","5,482,000","5,343,000","4,946,000","3,381,000","6,144,000","5,797,000","5,688,000","5,515,000","5,011,000","4,967,000","4,870,000","4,812,000","4,447,000","3,834,000","4,744,000","4,555,000","3,877,000","3,809,000","3,524,000","3,473,000","3,350,000","3,770,000","3,896,000","3,660,000","3,572,000","3,843,000","3,917,000","3,698,000","3,594,000","4,068,000","4,029,000","3,912,000","3,788,000","3,767,000","3,594,000","6,012,000","5,538,000","5,282,000","4,884,000","6,354,000","4,592,000","3,400,000","2,500,000"
			DepreciationAndAmortization,"46,969,000","12,693,000","12,588,000","10,970,000","10,718,000","11,892,000","11,060,000","8,840,000","9,245,000","7,803,000","7,830,000","7,635,000","7,125,000","7,028,000","7,969,000","7,843,000","7,823,000","7,885,000","8,677,000","8,084,000","7,720,000","8,492,000","9,167,000","7,997,000","8,105,000","7,546,000","8,761,000","7,972,000","7,519,000","7,825,000","8,679,000","5,101,000","5,191,000","4,932,000","5,036,000","4,689,000","4,959,000","4,850,000","4,531,000","4,458,000","4,871,000","4,874,000","4,929,000","4,902,000","5,064,000","5,230,000","5,286,000","5,135,000","5,607,000","5,482,000","5,343,000","4,946,000","3,381,000","6,144,000","5,797,000","5,688,000","5,515,000","5,011,000","4,967,000","4,870,000","4,812,000","4,447,000","3,834,000","4,744,000","4,555,000","3,877,000","3,809,000","3,524,000","3,473,000","3,350,000","3,770,000","3,896,000","3,660,000","3,572,000","3,843,000","3,917,000","3,698,000","3,594,000","4,068,000","4,029,000","3,912,000","3,788,000","3,767,000","3,594,000","6,012,000","5,538,000","5,282,000","4,884,000","6,354,000","4,592,000","3,400,000","2,500,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,280,000","5,041,000","6,276,000","4,503,000","3,300,000","2,400,000"
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000","-157,000","78,000","89,000","100,000","100,000"
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000","-157,000","78,000","89,000","100,000","100,000"
