name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021
OperatingCashFlow,"-1,929,445","-546,575","-186,448","-217,052","-979,370","99,995"
	CashFlowFromContinuingOperatingActivities,"-1,929,445","-546,575","-186,448","-217,052","-979,370","99,995"
		NetIncomeFromContinuingOperations,"-326,560","2,034,355","1,437,531","1,366,853","-5,165,299","269,830"
		OperatingGainsLosses,"-2,422,248","-2,941,301","-1,989,703","-2,032,958","4,541,714","-292,785"
			GainLossOnInvestmentSecurities,"-2,422,248","-2,941,301","-1,989,703","-2,032,958","4,541,714","-292,785"
		OtherNonCashItems,"-223,620","-63,402","-8,595","-25,169","-666,684","-758"
		ChangeInWorkingCapital,"1,042,983","423,773","374,319","474,222","310,899","123,708"
			ChangeInPrepaidAssets,"-360,275","73,188","86,579","104,789","-624,831","-25,600"
			ChangeInPayablesAndAccruedExpense,"1,403,258","350,585","287,740","369,433","935,730","149,308"
				ChangeInPayable,,,"0","0","540,230","134,808"
				ChangeInAccruedExpense,"1,403,258","350,585","287,740","369,433","395,500","14,500"
InvestingCashFlow,"0","0","0","0","0","-336,015,090"
	CashFlowFromContinuingInvestingActivities,"0","0","0","0","0","-336,015,090"
		NetOtherInvestingChanges,,,"0","0","0","-336,015,090"
FinancingCashFlow,"0","0","0","0","0","338,822,146"
	CashFlowFromContinuingFinancingActivities,"0","0","0","0","0","338,822,146"
		NetIssuancePaymentsOfDebt,"0","0","0","0","0","0"
			NetLongTermDebtIssuance,"0","0","0","0","0","0"
				LongTermDebtIssuance,"0","0","0","0","0","110,000"
				LongTermDebtPayments,"0","0","0","0","0","-110,000"
		NetCommonStockIssuance,"0","0","0","0","0","339,340,090"
			CommonStockIssuance,"0","0","0","0","0","339,340,090"
		NetOtherFinancingCharges,,,"0","0","0","-517,944"
EndCashPosition,"977,606","977,606","1,524,181","1,710,629","1,927,681","2,907,051"
	ChangesInCash,"-1,929,445","-546,575","-186,448","-217,052","-979,370","2,907,051"
	BeginningCashPosition,"2,907,051","1,524,181","1,710,629","1,927,681","2,907,051","0"
IssuanceOfCapitalStock,"0","0","0","0","0","339,340,090"
IssuanceOfDebt,"0","0","0","0","0","110,000"
RepaymentOfDebt,"0","0","0","0","0","-110,000"
FreeCashFlow,"-1,929,445","-546,575","-186,448","-217,052","-979,370","99,995"
