name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004
OperatingCashFlow,"4,092,000,000","667,000,000","1,490,000,000","1,084,000,000","851,000,000","665,000,000","613,000,000","412,000,000","448,000,000","105,000,000","421,000,000","328,000,000","376,000,000","-4,000,000","272,000,000","321,000,000","332,000,000","18,000,000","171,000,000","275,000,000","287,000,000","4,000,000","417,000,000","371,000,000","282,000,000","92,000,000","257,000,000","282,000,000","344,000,000","34,000,000","278,000,000","300,000,000","150,000,000","-161,000,000","140,000,000","130,000,000","250,000,000","-36,000,000","243,000,000","184,500,000","237,500,000","-45,000,000","49,600,000","66,100,000","30,200,000","-21,000,000","113,400,000","21,200,000","136,000,000","-88,100,000","12,639,000","84,506,000","154,812,000","128,343,000","60,464,000","6,161,000","12,838,000","-74,876,000","37,398,000","74,825,000","144,590,000","85,118,000","301,370,000","117,904,000","221,672,000","80,202,000","102,641,000","197,988,000","337,673,000","59,169,000","-21,010,000"
	CashFlowFromContinuingOperatingActivities,"4,092,000,000","667,000,000","1,490,000,000","1,084,000,000","851,000,000","665,000,000","613,000,000","412,000,000","448,000,000","105,000,000","421,000,000","328,000,000","376,000,000","-4,000,000","272,000,000","321,000,000","332,000,000","18,000,000","171,000,000","275,000,000","287,000,000","4,000,000","417,000,000","371,000,000","282,000,000","92,000,000","257,000,000","282,000,000","344,000,000","34,000,000","278,000,000","300,000,000","150,000,000","-161,000,000","140,000,000","130,000,000","250,000,000","-36,000,000","243,000,000","184,500,000","237,500,000","-45,000,000","49,600,000","66,100,000","30,200,000","-21,000,000","113,400,000","21,200,000","136,000,000","-88,100,000","12,639,000","84,506,000","154,812,000","128,343,000","60,464,000","6,161,000","12,838,000","-74,876,000","37,398,000","74,825,000","144,590,000","85,118,000","301,370,000","117,904,000","221,672,000","80,202,000","102,641,000","197,988,000","337,673,000","59,169,000","-21,010,000"
		NetIncomeFromContinuingOperations,"2,232,000,000","399,000,000","539,000,000","737,000,000","557,000,000","609,000,000","806,000,000","385,000,000","318,000,000","-57,000,000","344,000,000","256,000,000","270,000,000","206,000,000","46,000,000","237,000,000","254,000,000","98,000,000","236,000,000","175,000,000","302,000,000","81,000,000","233,000,000","169,000,000","206,000,000","84,000,000","153,000,000","138,000,000","170,000,000","100,000,000","403,000,000","84,000,000","105,000,000","-73,000,000","85,000,000","100,000,000","145,000,000","89,000,000","153,300,000","234,300,000","146,900,000","77,200,000","175,100,000","76,900,000","83,000,000","44,100,000","132,500,000","83,800,000","142,800,000","16,500,000","67,301,000","74,881,000","92,536,000","-12,418,000","-14,884,000","-198,302,000","6,925,000","27,245,000","-44,936,000","6,471,000","84,835,000","83,399,000","138,747,000","103,399,000","116,513,000","79,102,000","126,350,000","169,734,000","160,578,000","82,319,000","144,996,000"
		OperatingGainsLosses,"-1,287,000,000","-144,000,000","-775,000,000","-180,000,000","-188,000,000","-84,000,000","2,000,000","16,000,000","49,000,000","7,000,000","10,000,000","-9,000,000","1,000,000","-7,000,000","27,000,000","-10,000,000","2,000,000","-10,000,000","-1,000,000","-4,000,000","-254,000,000","1,000,000","14,000,000","9,000,000","-14,000,000","1,000,000","4,000,000","37,000,000","-13,000,000","-11,000,000","-468,000,000","14,000,000","6,000,000","29,000,000","1,000,000","11,000,000","-5,000,000","7,000,000","159,900,000","-79,400,000","-77,900,000","-9,200,000","13,300,000","1,800,000","-14,500,000","-11,300,000","-143,300,000","-900,000","-73,400,000","-17,900,000","-9,646,000","-10,613,000","-8,580,000","17,439,000","28,205,000","33,653,000",,,,,,,,,,,,,,,
			GainLossOnSaleOfBusiness,,,"0","0",,,,,,,"0",,,,"6,000,000",,,,"0","-7,000,000",,,"0","0","0","0","0","0","0","-12,000,000",,,,,,,,,"151,300,000","-79,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-547,000,000","-30,000,000","-176,000,000","-153,000,000","-188,000,000","-71,000,000","-1,000,000","23,000,000","50,000,000","8,000,000","13,000,000","-7,000,000",,,"22,000,000","1,000,000","3,000,000","-8,000,000","4,000,000","0","13,000,000","-1,000,000","12,000,000","2,000,000","-15,000,000","3,000,000","4,000,000","18,000,000",,,"7,000,000","7,000,000","1,000,000","-2,000,000","-5,000,000","-3,000,000","-8,000,000","4,000,000","5,700,000","5,500,000","-4,500,000","-3,400,000","5,600,000","5,500,000","-1,900,000","-19,900,000","-138,300,000","0","-69,800,000","-28,600,000","-7,351,000","-7,876,000","-13,182,000","5,309,000",,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-754,000,000","-114,000,000","-599,000,000","-27,000,000","-14,000,000","-13,000,000","-6,000,000","-7,000,000","-1,000,000","-1,000,000","-3,000,000","-2,000,000","-3,000,000","-7,000,000","-1,000,000","-1,000,000","-1,000,000","-2,000,000","-5,000,000","3,000,000","2,000,000","2,000,000","2,000,000","7,000,000","1,000,000","-2,000,000","0","19,000,000","-4,000,000","1,000,000","-475,000,000","7,000,000","5,000,000","31,000,000","6,000,000","14,000,000","3,000,000","3,000,000","2,900,000","-5,000,000","-2,000,000","-5,800,000",,"-3,700,000","-12,600,000","8,600,000","-5,000,000","-900,000","-3,600,000","10,700,000","-2,295,000","-2,737,000","4,602,000","12,130,000","5,990,000",,,,,,,,,,,,,,,,
		DeferredTax,,,,,,,,,,,,,,,,,,,,,,,,,,,"-8,000,000","-2,000,000","-4,000,000","-7,000,000","-11,000,000","-3,000,000","0","-2,000,000","-14,000,000","-1,000,000","-2,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DeferredIncomeTax,,,,,,,,,,,,,,,,,,,,,,,,,,,"-8,000,000","-2,000,000","-4,000,000","-7,000,000","-11,000,000","-3,000,000","0","-2,000,000","-14,000,000","-1,000,000","-2,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AmortizationOfSecurities,,,,,,"-134,000,000","-127,000,000","-109,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
