name,12/31/2021,06/30/2021,12/31/2020,06/30/2020,08/31/2019,02/28/2019,08/31/2018,02/28/2018
TotalAssets,"739,372,898","753,316,785","727,216,168","697,553,041","767,538,451","791,836,793","821,796,967","844,311,339"
TotalLiabilitiesNetMinorityInterest,"251,539,941","259,689,527","239,164,917","234,703,767","241,091,551","255,474,546","266,427,318","286,270,051"
TotalEquityGrossMinorityInterest,"487,832,957","493,627,258","488,051,251","462,849,274","526,446,900","536,362,247","555,369,649","558,041,288"
	StockholdersEquity,"487,832,957","493,627,258","488,051,251","462,849,274","526,446,900","536,362,247","555,369,649","558,041,288"
		CapitalStock,"538,835,342","543,527,624","544,777,667","556,806,365","564,639,181","573,693,243","578,383,742","629,504,081"
			CommonStock,"538,835,342","543,527,624","544,777,667","556,806,365","564,639,181","573,693,243","578,383,742","629,504,081"
		RetainedEarnings,"-51,002,385","-49,900,366","-56,726,416","-93,957,091","-38,192,281","-37,330,996","3,993,685","2,309,904"
TotalCapitalization,"710,832,957","694,627,258","696,051,251","653,849,274","730,446,900","741,362,247","788,369,649","792,041,288"
CommonStockEquity,"487,832,957","493,627,258","488,051,251","462,849,274","526,446,900","536,362,247","555,369,649","558,041,288"
NetTangibleAssets,"487,832,957","493,627,258","488,051,251","462,849,274","526,446,900","536,362,247","555,369,649","558,041,288"
InvestedCapital,"710,832,957","694,627,258","696,051,251","653,849,274","730,446,900","741,362,247","788,369,649","792,041,288"
TangibleBookValue,"487,832,957","493,627,258","488,051,251","462,849,274","526,446,900","536,362,247","555,369,649","558,041,288"
TotalDebt,"223,000,000","201,000,000","208,000,000","191,000,000","204,000,000","205,000,000","233,000,000","234,000,000"
NetDebt,"221,366,304","198,286,587","204,432,756","190,669,050","202,756,657","202,921,666","232,491,502","230,493,584"
ShareIssued,"35,232,197","35,232,197","35,335,136","35,681,231","36,325,253","36,854,446","37,232,488","37,232,488"
OrdinarySharesNumber,"35,232,197","35,232,197","35,335,136","35,681,231","36,325,253","36,854,446","37,232,488","37,232,488"
