name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
TotalRevenue,"254,371,000","49,553,000","101,721,000","52,989,000","50,108,000","65,707,000","44,179,000","59,640,000","51,157,000","32,376,000"
	OperatingRevenue,"254,371,000","49,553,000","101,721,000","52,989,000","50,108,000","65,707,000","44,179,000","59,640,000","51,157,000","32,376,000"
CostOfRevenue,"296,322,000","58,840,000","110,296,000","61,028,000","66,165,000","65,588,000","49,004,000","56,774,000","52,539,000","25,396,000"
GrossProfit,"-41,951,000","-9,287,000","-8,575,000","-8,039,000","-16,057,000","119,000","-4,825,000","2,866,000","-1,382,000","6,980,000"
OperatingExpense,"104,612,000","18,491,000","14,968,000","14,732,000","59,906,000","8,138,000","6,514,000","5,391,000","4,576,000","4,084,000"
	SellingGeneralAndAdministration,"92,325,000","15,790,000","13,081,000","12,616,000","54,321,000","6,184,000","5,339,000","3,953,000","3,061,000","2,990,000"
		GeneralAndAdministrativeExpense,"84,630,000","13,818,000","12,679,000","10,392,000","51,063,000","5,084,000","4,168,000","2,912,000","2,243,000","2,475,000"
			OtherGandA,"84,630,000","13,818,000","12,679,000","10,392,000","51,063,000","5,084,000","4,168,000","2,912,000","2,243,000","2,475,000"
		SellingAndMarketingExpense,"7,695,000","1,972,000","402,000","2,224,000","3,258,000","1,100,000","1,171,000","1,041,000","818,000","515,000"
	ResearchAndDevelopment,"12,287,000","2,701,000","1,887,000","2,116,000","5,585,000","1,954,000","1,175,000","1,438,000","1,515,000","1,094,000"
OperatingIncome,"-146,563,000","-27,778,000","-23,543,000","-22,771,000","-75,963,000","-8,019,000","-11,339,000","-2,525,000","-5,958,000","2,896,000"
NetNonOperatingInterestIncomeExpense,"-1,095,000","-295,000","-299,000","-301,000","-200,000","-14,000","-177,000","-70,000","-121,000","-112,000"
	InterestExpenseNonOperating,"1,095,000","295,000","299,000","301,000","200,000","14,000","177,000","70,000","121,000","112,000"
OtherIncomeExpense,"20,982,000","356,000","-362,000","197,000","20,573,000","790,000",,"-35,000","-41,000",
	EarningsFromEquityInterest,,,"0","210,000","20,619,000",,,"0",,
	SpecialIncomeCharges,"21,030,000","337,000","20,475,000","0","20,619,000","790,000",,"-34,000","-41,000","0"
		OtherSpecialCharges,,,"0",,,"-790,000",,"34,000","41,000",
		GainOnSaleOfBusiness,"21,030,000","337,000","0",,"20,619,000",,,,"0",
	OtherNonOperatingIncomeExpenses,,"19,000","-8,000","-13,000","-46,000",,,"-1,000",,
PretaxIncome,"-126,676,000","-27,717,000","-24,204,000","-22,875,000","-55,590,000","-7,243,000","-11,440,000","-2,630,000","-6,120,000","2,784,000"
TaxProvision,"264,000","76,000","32,000","41,000","115,000","-19,000","32,000","24,000","19,000","-158,000"
EarningsFromEquityInterestNetOfTax,,,,"0","-136,000","-218,000","1,744,000","-186,000","-637,000","478,000"
NetIncomeCommonStockholders,"-126,940,000","-27,793,000","-23,882,000","-22,916,000","-55,841,000","-7,442,000","-9,728,000","-2,840,000","-6,776,000","3,420,000"
	NetIncome,"-126,940,000","-27,793,000","-23,882,000","-22,916,000","-55,841,000","-7,442,000","-9,728,000","-2,840,000","-6,776,000","3,420,000"
		NetIncomeIncludingNoncontrollingInterests,"-126,940,000","-27,793,000","-23,882,000","-22,916,000","-55,841,000","-7,442,000","-9,728,000","-2,840,000","-6,776,000","3,420,000"
			NetIncomeContinuousOperations,"-126,940,000","-27,793,000","-23,882,000","-22,916,000","-55,841,000","-7,442,000","-9,728,000","-2,840,000","-6,776,000","3,420,000"
DilutedNIAvailtoComStockholders,"-126,940,000","-27,793,000","-23,882,000","-22,916,000","-55,841,000","-7,442,000","-9,728,000","-2,840,000","-6,776,000","3,420,000"
BasicEPS,,"-0.28","-0.25","-0.24","-0.7","-0.091",,"-0.041","-0.098","0.05"
DilutedEPS,,"-0.28","-0.25","-0.24","-0.7","-0.091",,"-0.041","-0.098","0.05"
BasicAverageShares,,"99,211,792","96,021,632","94,596,519","79,229,174","82,163,552",,"68,811,000","68,811,000","68,811,000"
DilutedAverageShares,,"99,211,792","96,021,632","94,596,519","79,229,174","82,163,552",,"68,811,000","68,811,000","68,811,000"
TotalOperatingIncomeAsReported,"-146,563,000","-27,778,000","-23,543,000","-22,771,000","-75,963,000","-8,019,000","-11,339,000","-2,525,000","-5,958,000","2,896,000"
