name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
TotalRevenue,"0","0","0","0","0","0","0"
	OperatingRevenue,"0","0","0","0","0","0","0"
OperatingExpense,"2,937,101","493,137","870,329","695,546","878,089","1,547,408","105,760"
	SellingGeneralAndAdministration,"2,937,101","493,137","870,329","695,546","878,089","60,000","105,760"
		GeneralAndAdministrativeExpense,"2,937,101","493,137","870,329","695,546","878,089","60,000",
			OtherGandA,"2,937,101","493,137","870,329","695,546","878,089","60,000",
	OtherOperatingExpenses,,,,,,"1,487,408",
OperatingIncome,"-2,937,101","-493,137","-870,329","-695,546","-878,089","-1,547,408","-105,760"
NetNonOperatingInterestIncomeExpense,"41,125","22,287","6,303","6,302","6,233","6,165",
	InterestIncomeNonOperating,"41,125","22,287","6,303","6,302","6,233","6,165",
OtherIncomeExpense,"3,672,267","4,425,067","-3,472,668","9,390,534","-6,670,666","-3,422,667",
	GainOnSaleOfSecurity,"3,672,267","4,425,067","-3,472,668","9,390,534","-6,670,666","-3,422,667",
	OtherNonOperatingIncomeExpenses,,,,"9,390,534","-6,670,666","-3,422,667",
PretaxIncome,"776,291","3,954,217","-4,336,694","8,701,290","-7,542,522","-4,963,910","-104,184"
NetIncomeCommonStockholders,"776,291","3,954,217","-4,336,694","8,701,290","-7,542,522","-4,963,910","-104,184"
	NetIncome,"776,291","3,954,217","-4,336,694","8,701,290","-7,542,522","-4,963,910","-104,184"
		NetIncomeIncludingNoncontrollingInterests,"776,291","3,954,217","-4,336,694","8,701,290","-7,542,522","-4,963,910","-104,184"
			NetIncomeContinuousOperations,"776,291","3,954,217","-4,336,694","8,701,290","-7,542,522","-4,963,910","-104,184"
DilutedNIAvailtoComStockholders,"776,291","3,954,217","-4,336,694","8,701,290","-7,542,522","-4,963,910","-104,184"
BasicEPS,,"0.12",,"0.25","-0.821","-0.54",
DilutedEPS,,"0.12",,"0.25","-0.821","-0.54",
BasicAverageShares,,"34,186,667",,"34,186,667","9,186,667","9,186,667",
DilutedAverageShares,,"34,186,667",,"34,186,667","34,186,667","34,186,667",
TotalOperatingIncomeAsReported,"-2,937,101","-493,137","-870,329","-695,546","-878,089","-1,547,408",
TotalExpenses,"2,937,101","493,137","870,329","695,546","878,089","1,547,408","105,760"
NetIncomeFromContinuingAndDiscontinuedOperation,"776,291","3,954,217","-4,336,694","8,701,290","-7,542,522","-4,963,910","-104,184"
NormalizedIncome,"-1,427,069.2","-470,850","-864,026","-689,244","-871,856","-1,541,243","-104,184"
InterestIncome,"41,125","22,287","6,303","6,302","6,233","6,165",
NetInterestIncome,"41,125","22,287","6,303","6,302","6,233","6,165",
EBIT,"-2,937,101","-493,137","-870,329","-695,546","-878,089","-1,547,408","-105,760"
EBITDA,"-2,937,101"
NetIncomeFromContinuingOperationNetMinorityInterest,"776,291","3,954,217","-4,336,694","8,701,290","-7,542,522","-4,963,910","-104,184"
TotalUnusualItemsExcludingGoodwill,"3,672,267","4,425,067","-3,472,668","9,390,534","-6,670,666","-3,422,667",
TotalUnusualItems,"3,672,267","4,425,067","-3,472,668","9,390,534","-6,670,666","-3,422,667",
NormalizedEBITDA,"-6,609,368","-4,918,204","2,602,339","-10,086,080","5,792,577","1,875,259","-105,760"
TaxRateForCalcs,"0.4","0","0","0","0","0","0"
TaxEffectOfUnusualItems,"1,468,906.8","0","0","0","0","0","0"
