name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005
TotalRevenue,"99,149,000","15,926,000","6,786,000","28,704,000","47,733,000","22,386,000","16,638,000","7,859,000","1,845,000","-27,012,000","14,555,000","13,513,000","6,950,000","17,209,000","14,580,000","33,849,000","33,594,000","22,528,000","17,604,000","14,850,000","10,345,000","10,321,000","13,003,000","817,000","25,254,000","23,749,000","-5,150,000","804,000","9,735,000","29,410,000","7,588,000","2,891,000","10,994,000","1,755,000","-9,402,000","16,355,000","-5,345,000","17,388,000","5,613,000","6,974,000","5,905,000","8,826,000","5,169,000","5,034,000","5,262,000","-3,583,000","10,737,000","4,301,000","7,248,000","-23,977,000","5,921,000","4,943,000","5,169,000","-30,931,000","7,002,000","6,816,000","6,038,000","-15,172,430","6,519,223","7,156,169","10,261,462","-1,959,348","4,015,603","4,177,416","2,559,006","3,208,591","2,183,865","1,870,416","47,820"
	OperatingRevenue,"99,149,000","15,926,000","6,786,000","28,704,000","47,733,000","22,386,000","16,638,000","7,859,000","1,845,000","-27,012,000","14,555,000","13,513,000","6,950,000","17,209,000","14,580,000","33,849,000","33,594,000","22,528,000","17,604,000","14,850,000","10,345,000","10,321,000","13,003,000","817,000","25,254,000","23,749,000","-5,150,000","804,000","9,735,000","29,410,000","7,588,000","2,891,000","10,994,000","1,755,000","-9,402,000","16,355,000","-5,345,000","17,388,000","5,613,000","6,974,000","5,905,000","8,826,000","5,169,000","5,034,000","5,262,000","-3,583,000","10,737,000","4,301,000","7,248,000","-23,977,000","5,921,000","4,943,000","5,169,000","-30,931,000","7,002,000","6,816,000","6,038,000","-15,172,430","6,519,223","7,156,169","10,261,462","-1,959,348","4,015,603","4,177,416","2,559,006","3,208,591","2,183,865","1,870,416","47,820"
CostOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,"0",,,,,,,,,
GrossProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,974,000","5,905,000","5,776,000","5,169,000","5,034,000","5,262,000","3,778,000","10,737,000","4,301,000","7,248,000","4,752,000","5,921,000","4,943,000","5,169,000","5,956,000","7,002,000","6,816,000","6,038,000",,,"7,156,169",,,,,,,,,
OperatingExpense,"-3,167,000","-770,000","-3,560,000","569,000","594,000","1,872,000","1,367,000","1,229,000","1,806,000","10,590,000","1,237,000","2,509,000","904,000","14,801,000","-1,911,000","3,485,000","1,267,000","682,000","460,000","1,294,000","2,204,000","945,000","2,048,000","919,000","720,000","1,131,000","1,063,000","914,000","1,176,000","252,000","-1,000","194,000","224,000","818,000","1,284,000","1,416,000","1,174,000","1,439,000","914,000","3,039,000","2,575,000","-2,338,000","1,542,000","1,492,000","1,630,000","-5,226,000","3,011,000","1,711,000","2,767,000","-3,377,000","2,463,000","2,020,000","2,022,000","-5,052,000","1,592,000","1,949,000","1,885,000","17,481,795","-6,179,002","2,138,556","-4,825,647","5,606,637","-1,470,048","1,330,042","1,282,274","-2,478,158","569,118","393,684","28,020"
	SellingGeneralAndAdministration,"6,399,000","1,164,000","1,443,000","2,039,000","1,753,000","1,485,000","1,200,000","1,422,000","1,774,000","1,376,000","1,386,000","2,247,000","1,415,000","1,188,000","674,000","2,910,000","1,349,000","857,000","476,000","1,087,000","1,698,000","871,000","1,464,000","1,159,000","692,000","846,000","1,103,000","934,000","1,353,000","851,000","672,000","964,000","774,000","525,000","1,091,000","782,000","728,000","671,000","497,000","2,097,000","1,846,000","1,505,000","352,000","486,000","486,000","-4,970,000","252,000","474,000","2,500,000","-3,375,000","2,093,000","1,674,000","1,945,000","-4,458,000","2,224,000","2,481,000","2,277,000","1,065,246","340,058","2,383,587","419,614","1,280,528","310,638","212,901","195,137","181,993","142,994","144,264","27,083"
		GeneralAndAdministrativeExpense,"6,399,000","1,164,000","1,443,000","2,039,000","1,753,000","1,485,000","1,200,000","1,422,000","1,774,000","1,376,000","1,386,000","2,247,000","1,415,000","1,188,000","674,000","2,910,000","1,349,000","857,000","476,000","1,087,000","1,698,000","871,000","1,464,000","1,159,000","692,000","846,000","1,103,000","934,000","1,353,000","851,000","672,000","964,000","774,000","525,000","1,091,000","782,000","728,000","671,000","497,000",,,,,,,"-4,970,000",,"1,398,000","2,500,000","-3,375,000","2,093,000","1,674,000","1,945,000","-4,458,000","2,224,000","2,481,000","2,277,000",,,"2,383,587",,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-79,000",,,,,,,,,,,,,,,,,,
			RentAndLandingFees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"886,000",,,,,,,,,,,,,,,,,,
			InsuranceAndClaims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74,000",,"72,000","72,000","72,000","71,000","62,000","57,000","57,000","57,000","55,000","53,000",,,"73,129",,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,424,000",,"1,326,000","2,428,000","519,000","2,022,000","1,612,000","1,888,000","1,915,000","2,167,000","2,426,000","2,224,000",,,"2,310,458",,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"588,000",,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"436,000",,,,"46,000","140,000",,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"436,000",,,,"46,000","140,000",,,,,,,,,,,,,
	OtherTaxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,000","24,000","43,000",,,"41,325",,,,,,,,,
	OtherOperatingExpenses,"-9,566,000","-1,934,000","-5,003,000","-1,470,000","-1,159,000","387,000","167,000","-193,000","32,000","9,214,000","-149,000","262,000","-511,000","13,613,000","-2,585,000","575,000","-82,000","-175,000","-16,000","207,000","506,000","74,000","584,000","-240,000","28,000","285,000","-40,000","-20,000","-177,000","-599,000","-673,000","-770,000","-550,000","293,000","193,000","634,000","446,000","768,000","417,000","942,000","729,000","-3,843,000","1,190,000","1,006,000","1,144,000","-256,000","2,759,000","1,237,000","267,000","-2,000","370,000","346,000","77,000","-511,000","-648,000","-556,000","-435,000","16,416,549","-6,519,060","-286,356","-5,245,261","4,326,109","-1,780,686","1,117,141","1,087,137","-2,660,151","426,124","249,420","937"
OperatingIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,935,000","3,330,000","3,709,000","3,627,000","3,542,000","3,632,000","2,076,000","7,726,000","2,590,000","4,481,000","3,057,000","3,458,000","2,923,000","3,147,000","4,307,000","5,410,000","4,867,000","4,153,000","-10,928,129","12,698,225","5,017,613","15,087,109","4,656,116","5,485,651","2,847,374","1,276,732","5,686,749","1,614,747","1,476,732","19,800"
NetNonOperatingInterestIncomeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-484,000","-92,000","-218,000","-185,000","-233,000","-132,000","-12,071,000","-135,000","-149,000","4,233,000","4,502,000","4,566,000","4,380,000","4,382,000","4,686,000","5,083,000","5,156,000","4,926,000",,,"-2,023,075",,,,,,,,,
	InterestIncomeNonOperating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,992,000","4,507,000","4,850,000","4,951,000","4,932,000","5,084,000","6,026,000","6,906,000","6,240,000","6,028,000",,,,,,,,,,,,
	InterestExpenseNonOperating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"484,000","92,000","218,000","185,000","233,000","132,000","143,000","135,000","149,000","274,000","348,000","385,000","552,000","702,000","1,340,000","1,823,000","1,084,000","1,102,000",,,"2,023,075",,,,,,,,,
OtherIncomeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,804,000","-6,255,000","-3,902,000","2,053,000","9,386,000","687,000","863,000","7,544,000","-9,300,000","1,161,000","17,919,000","-7,493,000","-20,461,000","-11,635,000","-6,949,000","-7,527,000","-2,827,000","-7,535,000","-14,033,539","6,244","-7,361,613","6,127","3,229","1,492","670","316",,,,
	GainOnSaleOfSecurity,"12,444,000","-10,000,000","22,049,000","-1,534,000","1,929,000","113,000","9,105,000","621,000","753,000","-10,879,000","34,005,000","21,144,000","533,000","-19,500,000","76,804,000","-4,543,000","14,108,000","189,000","25,000","-43,000","1,165,000","157,000","-3,137,000","-193,000","18,560,000","18,000","-2,076,000","-2,740,000","199,000","148,000","-209,000","-12,000",,"-3,448,000","-13,144,000","24,804,000","0","-5,000","96,000",,"-87,000","-7,114,000","2,053,000",,"5,739,000",,"7,544,000",,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"432,000",,,"-1,322,000",,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,804,000","-6,168,000","5,091,000",,"9,386,000","-5,052,000","863,000",,"-9,300,000","1,161,000","17,919,000","-7,493,000","-20,461,000","-11,635,000","-6,949,000","-7,527,000","-2,827,000","-7,535,000","-14,033,539","6,244","-7,361,613","6,127","-2,478","1,492","670","316","185","0","0","0"
		WriteOff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,000",,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,732,000",,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,853,000",,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"7,000",,,,,,,,,,,,,,,,,,
PretaxIncome,"102,316,000","16,696,000","10,346,000","28,135,000","47,139,000","20,514,000","15,271,000","6,630,000","39,000","-37,602,000","13,318,000","11,004,000","6,046,000","2,408,000","16,491,000","30,364,000","32,327,000","21,846,000","17,144,000","13,556,000","8,141,000","9,376,000","10,955,000","-102,000","24,534,000","22,618,000","-6,213,000","-110,000","8,559,000","29,158,000","7,589,000","2,697,000","10,770,000","937,000","-10,686,000","14,939,000","-6,519,000","15,949,000","4,699,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"102,316,000","16,696,000","10,346,000","28,135,000","47,139,000","20,514,000","15,271,000","6,630,000","39,000","-37,602,000","13,318,000","11,004,000","6,046,000","2,408,000","16,491,000","30,364,000","32,327,000","21,846,000","17,144,000","13,556,000","8,141,000","9,376,000","10,955,000","-102,000","24,534,000","22,618,000","-6,213,000","-110,000","8,559,000","29,158,000","7,589,000","2,697,000","10,770,000","937,000","-10,686,000","14,939,000","-6,519,000","15,949,000","4,699,000","-353,000","-3,017,000","-411,000","5,495,000","12,695,000","4,187,000","2,796,000","15,135,000","-6,859,000","5,368,000","20,628,000","-4,420,000","-18,090,000","-9,190,000","-3,982,000","-3,940,000","956,000","-4,484,000","-9,953,471","5,108,919","-4,367,075","8,270,466","458,769","2,684,543","2,848,044","1,277,048","2,943,018","1,614,747","1,476,732","19,800"
	NetIncome,"102,316,000","16,696,000","10,346,000","28,135,000","47,139,000","20,514,000","15,271,000","6,630,000","39,000","-37,602,000","13,318,000","11,004,000","6,046,000","2,408,000","16,491,000","30,364,000","32,327,000","21,846,000","17,144,000","13,556,000","8,141,000","9,376,000","10,955,000","-102,000","24,534,000","22,618,000","-6,213,000","-110,000","8,559,000","29,158,000","7,589,000","2,697,000","10,770,000","937,000","-10,686,000","14,939,000","-6,519,000","15,949,000","4,699,000","-353,000","-3,017,000","-411,000","5,495,000","12,695,000","4,187,000","2,796,000","15,135,000","-6,859,000","5,368,000","20,628,000","-4,420,000","-18,090,000","-9,190,000","-3,982,000","-3,940,000","956,000","-4,484,000","-9,953,471","5,108,919","-4,367,075","8,270,466","458,769","2,684,543","2,848,044","1,277,048","2,943,018","1,614,747","1,476,732","19,800"
