name,ttm,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,02/29/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994
OperatingCashFlow,"-166,025,000","-23,600,000","-196,700,000","83,313,000","-29,064,000","-103,445,000","8,671,000","183,229,000","222,206,000","-62,855,000","-70,319,000","72,882,000","52,499,000","-49,503,000","-97,119,000","23,715,000","87,279,000","32,001,000","-39,654,000","207,666,000","-9,139,000","52,856,000","29,006,000","136,992,000","45,363,000","212,806,000","-63,491,000","162,776,000","37,350,000","46,037,000","-53,830,000","54,167,000","14,920,000","80,275,000","-13,455,000","85,355,000","-14,351,000","59,073,000","-25,485,000","62,423,000","61,549,000","1,076,000","-8,992,000","43,055,000","-25,562,000","-4,299,000","-47,446,000","6,337,000","28,434,000","2,693,000","5,097,000","31,224,000","33,419,000","78,196,000","-22,374,000","12,158,000","90,891,000","-62,161,000","-8,770,000","16,517,000","106,515,000","-34,766,000","-41,939,000","31,900,000","31,007,000","-31,729,000","8,364,000","22,376,000","7,674,000","-29,480,000","-22,509,000","17,286,000","35,458,000","-52,165,000","-14,634,000","10,417,000","13,795,000","-4,786,000","1,690,000","7,499,000","17,345,000","2,710,000","-281,000","73,375,000","-4,850,000","-4,075,000","-23,034,000","42,545,000","-43,764,000","30,430,000","-57,500,000","31,200,000","34,900,000","-16,100,000","-11,600,000","16,600,000","24,500,000","3,100,000","31,700,000","-17,000,000","-600,000","-14,800,000","51,000,000","-17,400,000","30,100,000","21,300,000","900,000","10,100,000","12,800,000","-17,000,000","9,600,000","16,900,000"
	CashFlowFromContinuingOperatingActivities,"-166,025,000","-23,600,000","-196,700,000","83,313,000","-29,064,000","-103,445,000","8,671,000","183,229,000","222,206,000","-62,855,000","-70,319,000","72,882,000","52,499,000","-49,503,000","-97,119,000","23,715,000","87,279,000","32,001,000","-39,654,000","207,666,000","-9,139,000","52,856,000","29,006,000","136,992,000","45,363,000","212,806,000","-63,491,000","162,776,000","37,350,000","46,037,000","-53,830,000","54,167,000","14,920,000","80,275,000","-13,455,000","85,355,000","-14,351,000","59,073,000","-25,485,000","62,423,000","61,549,000","1,076,000","-8,992,000","43,055,000","-25,562,000","-4,299,000","-47,446,000","6,337,000","28,434,000","2,693,000","5,097,000","31,224,000","33,419,000","78,196,000","-22,374,000","12,158,000","90,891,000","-62,161,000","-8,770,000","16,517,000","106,515,000","-34,766,000","-41,939,000","31,962,000","31,007,000","-31,729,000","8,364,000","22,376,000","7,674,000","-29,480,000","-22,509,000","17,286,000","35,458,000","-52,165,000","-14,634,000","10,417,000","13,614,000","-4,605,000","1,690,000","7,499,000","17,345,000","2,710,000","-281,000","73,375,000","-4,850,000","-4,075,000","-23,034,000","42,545,000","-43,764,000","30,430,000","-57,500,000","31,200,000","34,900,000","-16,100,000","-11,600,000","16,600,000","24,500,000","3,100,000","31,700,000","-17,000,000","-600,000","-14,800,000","51,000,000","-17,400,000","30,100,000","21,300,000","900,000","10,100,000","12,800,000","-17,000,000","9,600,000","16,900,000"
		NetIncomeFromContinuingOperations,"72,534,000","11,200,000","5,600,000","35,649,000","20,035,000","-13,921,000","-6,629,000","7,691,000","35,869,000","20,015,000","24,011,000","50,799,000","25,847,000","5,783,000","23,382,000","37,158,000","36,239,000","65,289,000","33,377,000","32,254,000","31,241,000","49,001,000","47,966,000","60,363,000","59,532,000","66,216,000","98,713,000","97,956,000","70,325,000","61,046,000","35,982,000","60,133,000","46,096,000","20,553,000","22,997,000","23,290,000","-55,623,000","14,391,000","12,561,000","9,863,000","20,725,000","17,254,000","13,328,000","13,537,000","-2,805,000","-293,000","-2,052,000","10,000,000","6,077,000","-4,385,000","-3,361,000","6,686,000","-50,539,000","-6,878,000","-3,329,000","7,350,000","8,127,000","1,423,000","2,642,000","13,194,000","13,017,000","-6,071,000","1,870,000","12,338,000","10,680,000","8,563,000","8,017,000","10,586,000","9,044,000","4,802,000","5,390,000","8,011,000","6,375,000","2,237,000","4,155,000","3,292,000","3,006,000","-1,238,000","-743,000","-2,254,000","-1,971,000","-16,826,000","-5,043,000","-623,000","-1,327,000","70,000","2,999,000","5,386,000","4,241,000","4,327,000","400,000","5,300,000","6,100,000","6,100,000","2,900,000","6,400,000","5,500,000","4,300,000","4,100,000","-10,100,000","800,000","2,200,000","2,900,000","4,500,000","4,900,000","5,500,000","3,400,000","4,700,000","6,300,000","2,600,000","3,100,000","4,400,000"
		OperatingGainsLosses,"-27,489,000","-25,100,000","-8,500,000","1,113,000","4,947,000","-27,000","-922,000","-573,000","-8,775,000","-6,697,000","-3,959,000","-3,489,000","-11,019,000","-12,102,000","-14,353,000","-4,556,000","-14,825,000","-5,817,000","-19,171,000","-4,947,000","-1,581,000","-2,090,000","-1,122,000","-4,470,000","-311,000","-10,746,000","-269,000","-406,000","-720,000","-121,000","-83,000","-29,359,000","-5,619,000","-5,416,000","-3,651,000","-8,457,000","-5,131,000","-3,076,000","-1,408,000","-67,000","-2,585,000","-2,654,000","-3,658,000","3,365,000","2,561,000","-1,961,000","-633,000","-3,463,000","-5,347,000","-100,000","-851,000","-1,230,000","421,000","301,000","-659,000","-4,046,000","-5,251,000","-483,000","-1,022,000","-23,446,000","-2,169,000","13,998,000","-3,182,000","-123,000","-7,783,000","-2,831,000","67,000","48,000","-1,184,000","-2,541,000","-76,000","72,000","1,254,000","-294,000","1,707,000","-2,283,000","10,472,000","-7,739,000","-2,404,000","4,025,000","-1,798,000","13,335,000","-441,000","-2,148,000","251,000","261,000","265,000","-615,000","7,895,000","-6,453,000","1,100,000","3,500,000","1,000,000","1,400,000","-700,000","-3,500,000","-600,000","-1,300,000","800,000","15,800,000","800,000","-4,800,000","1,700,000","1,800,000","-3,000,000","-100,000","700,000","-9,500,000","2,100,000","900,000","2,200,000","-6,400,000"
			GainLossOnSaleOfPPE,"-33,776,000","-25,100,000","-8,500,000","-411,000","184,000","-27,000","-922,000","-573,000","-8,775,000","-6,697,000","-3,959,000","-3,489,000","-11,019,000","-12,102,000","-14,353,000","-4,556,000","-14,825,000","-5,817,000","-19,171,000","-4,947,000","-1,581,000","-2,090,000","-1,122,000","-4,470,000","-311,000","-10,746,000","-269,000","-406,000","-720,000","-121,000","-83,000","-353,000","-5,619,000","-5,416,000","-3,651,000","-8,457,000","-5,131,000","-3,076,000","-1,408,000","-67,000","-2,585,000","-2,654,000","-3,658,000","-2,220,000","-307,000","-1,961,000","-633,000","-2,511,000","-3,081,000","-100,000","-851,000","-1,230,000","421,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"100,717,000","25,500,000","25,400,000","25,080,000","24,769,000","24,822,000","26,046,000","27,398,000","23,114,000","30,003,000","29,335,000","22,898,000","20,018,000","20,115,000","20,700,000","19,195,000","18,707,000","18,084,000","18,370,000","18,513,000","16,036,000","14,985,000","15,595,000","21,664,000","13,839,000","14,868,000","12,974,000","11,898,000","10,860,000","10,348,000","12,050,000","9,598,000","10,071,000","9,856,000","10,897,000","9,924,000","10,125,000","10,475,000","10,923,000","11,768,000","10,281,000","10,433,000","9,889,000","10,119,000","9,548,000","9,307,000","9,319,000","9,544,000","9,351,000","9,224,000","9,392,000","9,410,000","9,275,000","9,428,000","9,556,000","9,753,000","8,814,000","8,263,000","8,256,000","8,330,000","8,318,000","8,652,000","7,526,000","6,083,000","6,414,000","6,740,000","6,016,000","6,099,000","6,147,000","5,408,000","5,285,000","5,311,000","5,202,000","5,151,000","5,176,000","4,661,000","4,510,000","4,449,000","4,446,000","1,120,000","5,230,000","5,791,000","5,819,000","5,860,000","5,698,000","5,595,000","5,243,000","5,567,000","5,267,000","4,922,000","4,600,000","4,900,000","4,100,000","3,700,000","3,800,000","3,000,000","2,800,000","3,500,000","5,200,000","6,400,000","7,400,000","7,200,000","6,900,000","7,000,000","6,200,000","5,700,000","6,000,000","6,100,000","6,000,000","6,100,000","5,700,000","6,200,000"
			DepreciationAndAmortization,"100,717,000","25,500,000","25,400,000","25,080,000","24,769,000","24,822,000","26,046,000","27,398,000","23,114,000","30,003,000","29,335,000","22,898,000","20,018,000","20,115,000","20,700,000","19,195,000","18,707,000","18,084,000","18,370,000","18,513,000","16,036,000","14,985,000","15,595,000","21,664,000","13,839,000","14,868,000","12,974,000","11,898,000","10,860,000","10,348,000","12,050,000","9,598,000","10,071,000","9,856,000","10,897,000","9,924,000","10,125,000","10,475,000","10,923,000","11,768,000","10,281,000","10,433,000","9,889,000","10,119,000","9,548,000","9,307,000","9,319,000","9,544,000","9,351,000","9,224,000","9,392,000","9,410,000","9,275,000","9,428,000","9,556,000","9,753,000","8,814,000","8,263,000","8,256,000","8,330,000","8,318,000","8,652,000","7,526,000","6,083,000","6,414,000","6,740,000","6,016,000","6,099,000","6,147,000","5,408,000","5,285,000","5,311,000","5,202,000","5,151,000","5,176,000","4,661,000","4,510,000","4,449,000","4,446,000","1,120,000","5,230,000","5,791,000","5,819,000","5,860,000","5,698,000","5,595,000","5,243,000","5,567,000","5,267,000","4,922,000","4,600,000","4,900,000","4,100,000","3,700,000","3,800,000","3,000,000","2,800,000","3,500,000","5,200,000","6,400,000","7,400,000","7,200,000","6,900,000","7,000,000","6,200,000","5,700,000","6,000,000","6,100,000","6,000,000","6,100,000","5,700,000","6,200,000"
		DeferredTax,"29,800,000","500,000","-4,800,000","30,903,000","3,228,000","14,631,000","2,338,000","1,961,000","-4,736,000","-199,000","-6,515,000","253,000","-17,073,000","-1,045,000","-2,360,000","-1,671,000","-3,745,000","-29,215,000","-5,865,000","-12,438,000","14,543,000","-484,000","2,756,000","1,208,000","-4,856,000","-8,306,000","3,019,000","-14,906,000","-2,000,000","-3,852,000","607,000","2,058,000","-5,297,000","-1,734,000","286,000","-271,000","-13,594,000","3,263,000","940,000","6,816,000","-1,027,000","2,163,000","3,665,000","7,675,000","-9,945,000","5,082,000","-413,000","-2,032,000","9,357,000","8,954,000","-1,227,000","-1,373,000","-13,969,000","1,021,000","2,522,000","3,737,000","5,186,000","1,304,000","2,692,000","7,955,000","5,275,000","-2,890,000","303,000","2,844,000","-692,000","4,863,000","-1,122,000","5,128,000","1,266,000","-1,432,000","845,000","7,541,000","3,554,000","-4,404,000","2,781,000","1,216,000","52,000","2,924,000","-1,888,000","-677,000","-4,563,000","-4,094,000","-957,000","3,213,000","571,000","322,000","-2,424,000","5,643,000","-1,248,000","3,509,000","-300,000","4,200,000","100,000","4,100,000","-1,900,000","-300,000","400,000","5,500,000","-7,800,000","-8,300,000","2,200,000","-3,000,000","900,000","3,700,000","1,300,000","1,600,000","-200,000","1,000,000","1,300,000","0","1,000,000","100,000"
			DeferredIncomeTax,"29,800,000","500,000","-4,800,000","30,903,000","3,228,000","14,631,000","2,338,000","1,961,000","-4,736,000","-199,000","-6,515,000","253,000","-17,073,000","-1,045,000","-2,360,000","-1,671,000","-3,745,000","-29,215,000","-5,865,000","-12,438,000","14,543,000","-484,000","2,756,000","1,208,000","-4,856,000","-8,306,000","3,019,000","-14,906,000","-2,000,000","-3,852,000","607,000","2,058,000","-5,297,000","-1,734,000","286,000","-271,000","-13,594,000","3,263,000","940,000","6,816,000","-1,027,000","2,163,000","3,665,000","7,675,000","-9,945,000","5,082,000","-413,000","-2,032,000","9,357,000","8,954,000","-1,227,000","-1,373,000","-13,969,000","1,021,000","2,522,000","3,737,000","5,186,000","1,304,000","2,692,000","7,955,000","5,275,000","-2,890,000","303,000","2,844,000","-692,000","4,863,000","-1,122,000","5,128,000","1,266,000","-1,432,000","845,000","7,541,000","3,554,000","-4,404,000","2,781,000","1,216,000","52,000","2,924,000","-1,888,000","-677,000","-4,563,000","-4,094,000","-957,000","3,213,000","571,000","322,000","-2,424,000","5,643,000","-1,248,000","3,509,000","-300,000","4,200,000","100,000","4,100,000","-1,900,000","-300,000","400,000","5,500,000","-7,800,000","-8,300,000","2,200,000","-3,000,000","900,000","3,700,000","1,300,000","1,600,000","-200,000","1,000,000","1,300,000","0","1,000,000","100,000"
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"849,000","843,000","817,000",,,"1,137,000","1,826,000",,,"1,880,000","2,438,000","2,147,000","2,116,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
