name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013
OperatingCashFlow,"858,900,000","250,900,000","172,200,000","226,400,000","209,400,000","221,300,000","165,900,000","197,300,000","168,100,000","233,300,000","162,200,000","200,200,000","161,300,000","199,700,000","128,500,000","154,000,000","128,900,000","148,400,000","104,300,000","131,400,000","113,300,000","126,600,000","89,100,000","99,700,000","92,400,000","105,300,000","61,300,000","78,700,000","47,300,000","72,100,000","25,609,000","50,346,000","62,148,000","42,465,000","24,795,000","46,397,000","41,148,000","40,973,000"
	CashFlowFromContinuingOperatingActivities,"858,900,000","250,900,000","172,200,000","226,400,000","209,400,000","221,300,000","165,900,000","197,300,000","168,100,000","233,300,000","162,200,000","200,200,000","161,300,000","199,700,000","128,500,000","154,000,000","128,900,000","148,400,000","104,300,000","131,400,000","113,300,000","126,600,000","89,100,000","99,700,000","92,400,000","105,300,000","61,300,000","78,700,000","47,300,000","72,100,000","25,609,000","50,346,000","62,148,000","42,465,000","24,795,000","46,397,000","41,148,000","40,973,000"
		NetIncomeFromContinuingOperations,"300,600,000","68,600,000","87,400,000","97,700,000","46,900,000","10,800,000","70,800,000","65,100,000","-673,200,000","43,200,000","61,100,000","76,800,000","-12,700,000","13,200,000","43,500,000","14,100,000","20,200,000","4,200,000","94,800,000","30,000,000","18,100,000","-3,100,000","-800,000","8,300,000","-11,100,000","-18,300,000","-500,000","-5,200,000","-71,300,000","-43,400,000","-26,772,000","-27,641,000","-37,549,000","-51,343,000","-65,451,000","-47,328,000","-35,339,000","-51,766,000"
		OperatingGainsLosses,"14,800,000",,,,,,,,,,"300,000","0",,,,,,,"3,800,000",,,,,,,,"0","0",,,,,,,,,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,"3,500,000",,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"198,800,000","48,200,000","49,900,000","50,700,000","50,000,000","49,000,000","51,400,000","50,700,000","48,400,000","52,200,000","48,800,000","49,900,000","53,800,000","57,200,000","58,000,000","61,300,000","57,000,000","57,800,000","58,700,000","60,000,000","55,500,000","31,600,000","38,500,000","43,400,000","39,300,000","38,900,000","42,400,000","40,600,000","38,400,000","37,400,000","39,737,000","38,531,000","37,765,000","36,726,000","37,894,000","34,067,000","33,486,000","35,120,000"
			DepreciationAndAmortization,"198,800,000","48,200,000","49,900,000","50,700,000","50,000,000","49,000,000","51,400,000","50,700,000","48,400,000","52,200,000","48,800,000","49,900,000","53,800,000","57,200,000","58,000,000","61,300,000","57,000,000","57,800,000","58,700,000","60,000,000","55,500,000","31,600,000","38,500,000","43,400,000","39,300,000","38,900,000","42,400,000","40,600,000","38,400,000","37,400,000","39,737,000","38,531,000","37,765,000","36,726,000","37,894,000","34,067,000","33,486,000","35,120,000"
		DeferredTax,,,"0","0",,,"0","0",,,,,"0","-8,700,000","-22,100,000","-19,100,000",,,"-104,800,000","-15,900,000",,,,,,,,,,,,,,,,,,
			DeferredIncomeTax,,,"0","0",,,"0","0",,,,,"0","-8,700,000","-22,100,000","-19,100,000",,,"-104,800,000","-15,900,000",,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"216,500,000","61,200,000","53,000,000","50,900,000","51,400,000","52,600,000","49,400,000","48,100,000","48,600,000","45,400,000","40,800,000","17,700,000","41,600,000","46,900,000","35,200,000","30,600,000","28,200,000","31,500,000","21,200,000","19,800,000","19,000,000","16,400,000","16,500,000","17,500,000","10,800,000","12,000,000","11,900,000","10,000,000","9,800,000","8,700,000","7,944,000","9,461,000","5,979,000","6,801,000","5,878,000","5,180,000","2,348,000","3,042,000"
		OtherNonCashItems,"47,200,000","17,600,000","25,300,000","-6,100,000","10,400,000","6,400,000","2,100,000","12,200,000","40,300,000","7,100,000","20,000,000","1,300,000","7,200,000","4,200,000","5,600,000","15,700,000","-8,400,000","1,900,000","2,700,000","9,100,000","-1,200,000","2,700,000","7,100,000","5,400,000","3,600,000","4,400,000","4,400,000","3,000,000","2,200,000","2,300,000","2,142,000","2,237,000","3,187,000","2,763,000","2,547,000","1,945,000","2,415,000","2,277,000"
		ChangeInWorkingCapital,"95,800,000","55,300,000","-43,400,000","33,200,000","50,700,000","102,500,000","-7,800,000","21,200,000","29,300,000","85,400,000","-100,000","45,800,000","56,900,000","86,900,000","8,300,000","51,400,000","31,800,000","53,000,000","27,900,000","58,100,000","58,900,000","79,000,000","19,100,000","25,100,000","49,800,000","68,300,000","6,100,000","30,300,000","46,800,000","67,100,000","9,376,000","27,758,000","52,766,000","47,518,000","43,927,000","52,533,000","38,238,000","52,300,000"
			ChangeInReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,173,000","-1,161,000","1,550,000","194,000","-2,700,000","6,000","-152,000","458,000"
				ChangesInAccountReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,173,000","-1,161,000","1,550,000","194,000","-2,700,000","6,000","-152,000","458,000"
			ChangeInPrepaidAssets,"-29,300,000","-19,800,000","4,200,000","19,500,000","-33,200,000","-28,300,000","-2,400,000","2,400,000","-4,900,000","-12,600,000","5,000,000","5,600,000","-5,500,000","-20,200,000","7,100,000","3,600,000","-9,200,000","-17,400,000","10,800,000","2,500,000","-4,000,000","-22,800,000","3,800,000","-1,900,000","-5,100,000","-19,600,000","3,200,000","-3,600,000","-6,900,000","-22,000,000","-373,000","5,012,000","-1,048,000","-18,206,000","-3,390,000","-1,574,000","-12,967,000","-23,631,000"
			ChangeInPayablesAndAccruedExpense,,,,,,,,,,,,,,,,,,"-16,800,000",,,,,,,,,,,,,"-8,333,000","-1,427,000","12,532,000","-16,561,000","29,601,000","21,058,000","7,771,000","4,084,000"
				ChangeInPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,250,000","-1,023,000","7,538,000","-220,000","309,000","-1,227,000","465,000","2,385,000"
					ChangeInAccountPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,250,000","-1,023,000","7,538,000","-220,000","309,000","-1,227,000","465,000","2,385,000"
				ChangeInAccruedExpense,,,,,,,,,,,,,,,,,,"-16,800,000",,,,,,,,,,,,,"-10,583,000","-404,000","4,994,000","-16,341,000","29,292,000","22,285,000","7,306,000","1,699,000"
			ChangeInOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-935,000","-1,896,000","-2,197,000","-1,588,000","1,340,000","562,000","40,000","437,000"
