name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014
TotalAssets,"1,052,070,000","1,049,698,000","1,064,129,000","1,043,725,000","1,022,777,000","1,005,502,000","994,514,000","995,733,000","779,720,000","818,400,000","307,436,000","302,085,000","228,035,000","206,970,000","190,500,000","171,090,000","163,354,000","165,836,000","152,611,000","145,526,000","137,902,000","134,371,000","129,252,000","124,098,000","116,317,000","116,661,000","117,684,000","128,172,000","28,253,000","26,021,000"
	CurrentAssets,"491,203,000","486,126,000","501,808,000","490,535,000","474,299,000","469,442,000","454,445,000","453,222,000","231,386,000","262,878,000","209,288,000","201,201,000","183,737,000","176,567,000","175,247,000","155,385,000","147,373,000","149,460,000","137,221,000","131,214,000","123,739,000","120,023,000","114,591,000","112,565,000","104,603,000","104,140,000","104,833,000","114,335,000","13,548,000","10,554,000"
		CashCashEquivalentsAndShortTermInvestments,"415,413,000","414,051,000","428,965,000","418,561,000","407,380,000","404,368,000","388,435,000","394,940,000","163,710,000","173,983,000","152,919,000","150,394,000","145,255,000","140,488,000","137,833,000","120,148,000","113,764,000","119,014,000","108,812,000","103,790,000","99,211,000","95,762,000","93,603,000","93,927,000","88,240,000","91,124,000","93,339,000","104,144,000","4,239,000","2,304,000"
			CashAndCashEquivalents,"106,202,000","100,708,000","113,131,000","118,296,000","96,625,000","96,596,000","80,994,000","266,974,000","53,614,000","62,430,000","39,534,000","39,992,000","33,680,000","29,821,000","37,278,000","24,941,000","15,587,000","24,508,000","19,318,000","13,370,000","8,621,000","6,494,000","4,988,000","12,339,000","10,392,000","21,572,000","93,339,000","104,144,000","4,239,000","2,304,000"
			OtherShortTermInvestments,"309,211,000","313,343,000","315,834,000","300,265,000","310,755,000","307,772,000","307,441,000","127,966,000","110,096,000","111,553,000","113,385,000","110,402,000","111,575,000","110,667,000","100,555,000","95,207,000","98,177,000","94,506,000","89,494,000","90,420,000","90,590,000","89,268,000","88,615,000","81,588,000","77,848,000","69,552,000",,,,
		Receivables,"34,804,000","33,438,000","35,236,000","37,569,000","36,694,000","36,059,000","32,885,000","26,730,000","28,885,000","38,417,000","24,345,000","22,041,000","20,622,000","18,673,000","19,659,000","17,089,000","17,549,000","16,656,000","16,948,000","16,702,000","14,434,000","14,305,000","11,747,000","11,617,000","9,569,000","7,549,000","6,980,000","6,502,000","6,233,000","5,398,000"
			AccountsReceivable,"34,804,000","33,438,000","35,236,000","37,569,000","36,694,000","36,059,000","32,885,000","26,730,000","28,885,000","38,417,000","24,345,000","22,041,000","20,622,000","18,673,000","19,659,000","17,089,000","17,549,000","16,656,000","16,948,000","16,702,000","14,434,000","14,305,000","11,747,000","11,617,000","9,569,000","7,549,000","6,980,000","6,502,000","6,233,000","5,398,000"
				GrossAccountsReceivable,"36,131,000","34,805,000","36,654,000","38,740,000","38,161,000","37,729,000","34,267,000","28,501,000","30,472,000","39,657,000","25,085,000","22,789,000","21,366,000","19,333,000","20,281,000","17,626,000","18,198,000","17,248,000","17,568,000","17,196,000","14,755,000","14,800,000","12,009,000","11,767,000","9,691,000","7,632,000","7,060,000","6,577,000","6,293,000","5,448,000"
				AllowanceForDoubtfulAccountsReceivable,"-1,327,000","-1,367,000","-1,418,000","-1,171,000","-1,467,000","-1,670,000","-1,382,000","-1,771,000","-1,587,000","-1,240,000","-740,000","-748,000","-744,000","-660,000","-622,000","-537,000","-649,000","-592,000","-620,000","-494,000","-321,000","-495,000","-262,000","-150,000","-122,000","-83,000","-80,000","-75,000","-60,000","-50,000"
		Inventory,"24,708,000","23,011,000","19,720,000","17,500,000","15,271,000","15,809,000","19,890,000","21,088,000","27,699,000","42,578,000","12,801,000","14,038,000","13,432,000","13,282,000","13,537,000","13,812,000","12,782,000","11,222,000","8,966,000","8,382,000","7,485,000","6,844,000","6,453,000","5,511,000","5,061,000","4,097,000","3,153,000","2,908,000","2,538,000","2,258,000"
