name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,12/31/2010
TotalAssets,"685,275,000","647,687,000","443,205,000","352,036,000","687,732,000","673,588,000","984,455,000","1,064,815,000","1,191,470,000","1,214,700,000","1,280,374,000","1,282,148,000","1,296,810,000","1,265,096,000","1,248,462,000","1,304,308,000","1,300,142,000","1,403,175,000","1,362,911,000","1,277,256,000","1,270,070,000","1,246,196,000","1,224,224,000","1,205,327,000","986,022,000","1,004,353,000","1,007,842,000","995,775,000","990,158,000","767,640,000","744,986,000","667,857,000","669,431,000","689,000,000","689,104,000","703,416,000","419,198,000","432,115,000","425,711,000","283,879,000","285,636,000","277,232,000","236,940,000"
	CurrentAssets,"271,052,000","249,914,000","240,472,000","188,397,000","529,569,000","512,226,000","819,034,000","390,473,000","466,489,000","424,825,000","478,801,000","477,833,000","491,975,000","585,526,000","579,635,000","618,343,000","628,830,000","592,897,000","591,938,000","539,665,000","584,256,000","604,730,000","612,755,000","622,179,000","426,287,000","468,007,000","471,267,000","474,998,000","479,028,000","294,894,000","309,323,000","256,093,000","279,206,000","321,965,000","337,857,000","360,772,000","124,100,000","155,345,000","185,696,000","70,343,000","77,566,000","78,886,000","43,917,000"
		CashCashEquivalentsAndShortTermInvestments,"152,829,000","145,913,000","133,233,000","109,174,000","455,152,000","435,345,000","117,483,000","156,286,000","214,229,000","170,016,000","217,662,000","181,867,000","188,690,000","223,478,000","191,239,000","263,611,000","299,672,000","409,148,000","410,874,000","379,657,000","439,204,000","455,779,000","485,555,000","508,601,000","312,671,000","366,833,000","387,955,000","392,117,000","400,056,000","211,236,000","243,206,000","196,163,000","219,572,000","266,342,000","284,691,000","312,154,000","77,960,000","112,576,000","153,501,000","39,902,000","42,591,000","53,031,000","18,883,000"
			CashAndCashEquivalents,"152,829,000","145,913,000","133,233,000","109,174,000","455,152,000","435,345,000","117,483,000","156,286,000","214,229,000","170,016,000","217,662,000","181,867,000","188,690,000","184,155,000","102,664,000","140,420,000","117,039,000","196,356,000","222,378,000","96,416,000","105,929,000","117,302,000","146,830,000","508,601,000","312,671,000","366,833,000","387,955,000","392,117,000","400,056,000","211,236,000","243,206,000","196,163,000","219,572,000","266,342,000","284,691,000","312,154,000","77,960,000","112,576,000","153,501,000","39,902,000","42,591,000","53,031,000","18,883,000"
			OtherShortTermInvestments,,,,,,,,,,"0","0","0","0","39,323,000","88,575,000","123,191,000","182,633,000","212,792,000","188,496,000","283,241,000","333,275,000","338,477,000","338,725,000",,,,,,,,,,,,,,,,,,,,
		Receivables,"65,943,000","61,499,000","65,858,000","43,507,000","38,961,000","42,250,000","34,167,000","86,628,000","106,938,000","113,724,000","114,226,000","127,031,000","134,643,000","144,731,000","156,091,000","150,371,000","131,738,000","117,896,000","112,029,000","87,097,000","76,665,000","73,743,000","62,687,000","65,107,000","70,873,000","69,317,000","51,903,000","48,309,000","44,512,000","53,915,000","36,504,000","31,775,000","29,669,000","25,690,000","27,380,000","25,466,000","25,694,000","24,253,000","20,397,000","17,276,000","20,965,000","13,942,000","14,707,000"
			AccountsReceivable,"42,102,000","37,730,000","40,354,000","39,999,000","36,232,000","39,833,000","32,497,000","71,684,000","92,619,000","101,360,000","102,708,000","113,975,000","123,791,000","134,308,000","146,172,000","141,134,000","131,738,000","117,896,000","112,029,000","87,097,000","76,665,000","73,743,000","62,687,000","65,107,000","70,873,000","69,317,000","51,812,000","46,695,000","42,233,000","48,509,000","36,504,000","31,775,000","29,669,000","25,690,000","27,380,000","25,466,000","25,694,000","24,253,000","20,397,000","17,276,000","20,965,000","13,942,000","14,707,000"
				GrossAccountsReceivable,"43,229,000","38,624,000","41,065,000","40,752,000","37,045,000","40,877,000","34,036,000","76,732,000","96,589,000","102,046,000","106,250,000","119,332,000","124,374,000","134,808,000","146,928,000","141,798,000","132,285,000","118,483,000","112,758,000","87,754,000","77,203,000","74,242,000","63,274,000","65,604,000","71,496,000","69,734,000","52,404,000","47,252,000","42,817,000","49,283,000","36,737,000","31,869,000","29,766,000","25,852,000","27,500,000","25,747,000","25,845,000","25,392,000","21,449,000","18,174,000","21,265,000","14,029,000","14,792,000"
				AllowanceForDoubtfulAccountsReceivable,"-1,127,000","-894,000","-711,000","-753,000","-813,000","-1,044,000","-1,539,000","-5,048,000","-3,970,000","-686,000","-3,542,000","-5,357,000","-583,000","-500,000","-756,000","-664,000","-547,000","-587,000","-729,000","-657,000","-538,000","-499,000","-587,000","-497,000","-623,000","-417,000","-592,000","-557,000","-584,000","-774,000","-233,000","-94,000","-97,000","-162,000","-120,000","-281,000","-151,000","-1,139,000","-1,052,000","-898,000","-300,000","-87,000","-85,000"
			OtherReceivables,"23,841,000","23,769,000","25,504,000","3,508,000","2,729,000","2,417,000","1,670,000","14,944,000","14,319,000","12,364,000","11,518,000","13,056,000","10,852,000","10,423,000","9,919,000","9,237,000",,,,,,,,,,,"91,000","1,614,000","2,279,000","5,406,000",,,,,,,,,,,,,
