name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015
TotalAssets,"2,085,803,000","2,005,836,000","2,075,225,000","2,066,692,000","1,968,882,000","1,866,555,000","1,839,086,000","1,897,719,000","1,887,699,000","1,817,049,000","1,820,967,000","1,807,437,000","1,877,290,000","1,691,621,000","1,714,837,000","1,779,298,000","1,882,888,000","1,727,324,000","1,705,560,000","1,752,848,000","1,845,327,000","1,736,171,000","1,738,640,000","1,782,108,000","1,898,674,000","1,758,973,000"
	CurrentAssets,"1,054,942,000","969,176,000","1,047,965,000","1,033,560,000","923,062,000","799,807,000","787,102,000","838,740,000","829,478,000","742,818,000","765,094,000","764,693,000","812,635,000","664,001,000","709,814,000","763,776,000","847,136,000","687,076,000","673,666,000","713,844,000","789,852,000","664,531,000","676,412,000","722,342,000","822,603,000","671,523,000"
		CashCashEquivalentsAndShortTermInvestments,"114,402,000","281,677,000","320,506,000","251,251,000","113,047,000","151,452,000","110,503,000","111,029,000","55,924,000","34,184,000","54,207,000","42,966,000","44,877,000","31,014,000","57,992,000","47,678,000","48,370,000","47,722,000","73,191,000","80,897,000","72,738,000","76,058,000","85,673,000","50,752,000","65,719,000","54,409,000"
			CashAndCashEquivalents,"114,402,000","281,677,000","320,506,000","251,251,000","113,047,000","151,452,000","110,503,000","111,029,000","55,924,000","34,184,000","54,207,000","42,966,000","44,877,000","31,014,000","57,992,000","47,678,000","48,370,000","47,722,000","73,191,000","80,897,000","72,738,000","76,058,000","85,673,000","50,752,000","65,719,000","54,409,000"
				CashFinancial,,,,,,"151,452,000","110,503,000","111,029,000","55,924,000","34,184,000","54,207,000","42,966,000","44,877,000","31,014,000","57,992,000","47,678,000","48,370,000","47,722,000","73,191,000","80,897,000","72,738,000","76,058,000","85,673,000","50,752,000","65,719,000","54,409,000"
		Receivables,"377,252,000","174,435,000","300,331,000","377,922,000","387,507,000","201,518,000","268,231,000","271,643,000","309,196,000","215,428,000","273,877,000","306,399,000","333,929,000","186,114,000","241,488,000","307,854,000","348,516,000","190,851,000","209,437,000","264,866,000","321,440,000","177,506,000","208,285,000","303,885,000","346,599,000","192,384,000"
			AccountsReceivable,"377,252,000","174,435,000","300,331,000","377,922,000","387,507,000","201,518,000","268,231,000","271,643,000","309,196,000","215,428,000","273,877,000","306,399,000","333,929,000","186,114,000","241,488,000","307,854,000","348,516,000","190,851,000","209,437,000","264,866,000","321,440,000","177,506,000","208,285,000","303,885,000","346,599,000","192,384,000"
				GrossAccountsReceivable,"384,038,000","180,415,000","307,993,000","385,256,000","394,584,000","209,216,000","276,165,000","279,386,000",,"220,766,000","279,977,000",,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-6,786,000","-5,980,000","-7,662,000","-7,334,000","-7,077,000","-7,698,000","-7,934,000","-7,743,000",,"-5,338,000","-6,100,000",,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,"0",,,,,,,
		Inventory,"448,780,000","413,314,000","325,488,000","300,324,000","330,165,000","357,682,000","318,356,000","363,785,000","364,935,000","398,368,000","348,866,000","324,588,000","346,399,000","361,207,000","324,968,000","317,422,000","363,328,000","363,962,000","320,974,000","294,936,000","314,155,000","323,289,000","298,824,000","275,043,000","316,919,000","326,359,000"
