name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989,04/30/1989,01/31/1989,10/31/1988,07/31/1988,04/30/1988,01/31/1988,10/31/1987,07/31/1987,04/30/1987,01/31/1987,10/31/1986,07/31/1986,04/30/1986,01/31/1986,10/31/1985
TotalRevenue,"16,156,000,000","3,477,000,000","4,525,000,000","3,943,000,000","4,211,000,000","3,991,000,000","4,424,000,000","3,994,000,000","3,275,000,000","2,107,000,000","4,674,000,000","3,998,000,000","4,005,000,000","3,706,000,000","4,623,000,000","4,089,000,000","4,085,000,000","3,783,000,000","4,778,000,000","3,838,000,000","3,799,000,000","3,440,000,000","4,429,000,000","3,798,000,000","3,851,000,000","3,438,000,000","4,385,000,000","3,857,000,000","3,898,000,000","3,657,000,000","4,708,000,000","3,972,000,000","3,981,000,000","3,774,000,000","4,575,000,000","3,976,000,000","3,868,000,000","3,729,000,000","4,725,000,000","3,864,000,000","3,575,000,000","3,487,000,000","4,283,000,000","3,585,000,000","3,386,000,000","3,295,000,000","4,364,000,000","3,654,000,000","3,317,000,000","3,329,000,000","4,236,000,000","3,589,000,000","3,245,000,000","3,127,000,000","4,082,000,000","3,561,000,000","3,499,000,000","3,384,000,000","4,675,000,000","3,854,000,000","3,685,000,000","3,558,000,000","4,930,000,000","3,856,000,000","3,716,000,000","3,441,000,000","4,821,000,000","3,860,000,000","3,716,000,000","3,626,000,000","4,898,000,000","3,980,000,000","3,721,000,000","3,668,000,000","4,886,474,000","3,929,456,000","3,685,299,000","3,352,771,000","4,650,604,000","3,644,956,000","3,268,309,000","2,890,840,000","4,089,625,000","3,333,373,000","3,245,219,000","3,179,656,000","4,579,088,000","3,414,668,000","2,947,714,000","2,731,990,000","3,858,900,000","3,045,400,000","2,453,300,000","2,277,700,000","3,029,900,000","2,399,900,000","1,905,000,000","1,719,700,000","2,165,500,000","1,765,900,000","1,345,200,000","1,231,200,000","1,667,900,000","1,383,000,000","1,120,300,000","1,113,200,000","1,522,200,000","1,155,900,000","868,500,000","848,700,000","1,209,800,000","988,300,000","773,100,000","751,700,000","1,060,300,000","898,700,000","693,200,000","643,600,000","930,200,000","827,200,000","614,100,000","588,900,000","803,500,000","702,100,000","523,100,000","490,300,000","624,700,000","501,700,000","405,000,000","402,400,000","545,100,000","405,600,000","325,900,000","309,900,000","423,700,000","322,800,000","264,300,000","241,300,000","359,600,000","273,600,000","217,800,000","211,100,000","298,500,000","224,800,000","164,800,000","160,000,000","223,500,000","187,400,000"
	OperatingRevenue,"16,156,000,000","3,477,000,000","4,525,000,000","3,943,000,000","4,211,000,000","3,991,000,000","4,424,000,000","3,994,000,000","3,275,000,000","2,107,000,000","4,674,000,000","3,998,000,000","4,005,000,000","3,706,000,000","4,623,000,000","4,089,000,000","4,085,000,000","3,783,000,000","4,778,000,000","3,838,000,000","3,799,000,000","3,440,000,000","4,429,000,000","3,798,000,000","3,851,000,000","3,438,000,000","4,385,000,000","3,857,000,000","3,898,000,000","3,657,000,000","4,708,000,000","3,972,000,000","3,981,000,000","3,774,000,000","4,575,000,000","3,976,000,000","3,868,000,000","3,729,000,000","4,725,000,000","3,864,000,000","3,575,000,000","3,487,000,000","4,283,000,000","3,585,000,000","3,386,000,000","3,295,000,000","4,364,000,000","3,654,000,000","3,317,000,000","3,329,000,000","4,236,000,000","3,589,000,000","3,245,000,000","3,127,000,000","4,082,000,000","3,561,000,000","3,499,000,000","3,384,000,000","4,675,000,000","3,854,000,000","3,685,000,000","3,558,000,000","4,930,000,000","3,856,000,000","3,716,000,000","3,441,000,000","4,821,000,000","3,860,000,000","3,716,000,000","3,626,000,000","4,898,000,000","3,980,000,000","3,721,000,000","3,668,000,000","4,886,474,000","3,929,456,000","3,685,299,000","3,352,771,000","4,650,604,000","3,644,956,000","3,268,309,000","2,890,840,000","4,089,625,000","3,333,373,000","3,245,219,000","3,179,656,000","4,579,088,000","3,414,668,000","2,947,714,000","2,731,990,000","3,858,900,000","3,045,400,000","2,453,300,000","2,277,700,000","3,029,900,000","2,399,900,000","1,905,000,000","1,719,700,000","2,165,500,000","1,765,900,000","1,345,200,000","1,231,200,000","1,667,900,000","1,383,000,000","1,120,300,000","1,113,200,000","1,522,200,000","1,155,900,000","868,500,000","848,700,000","1,209,800,000","988,300,000","773,100,000","751,700,000","1,060,300,000","898,700,000","693,200,000","643,600,000","930,200,000","827,200,000","614,100,000","588,900,000","803,500,000","702,100,000","523,100,000","490,300,000","624,700,000","501,700,000","405,000,000","402,400,000","545,100,000","405,600,000","325,900,000","309,900,000","423,700,000","322,800,000","264,300,000","241,300,000","359,600,000","273,600,000","217,800,000","211,100,000","298,500,000","224,800,000","164,800,000","160,000,000","223,500,000","187,400,000"
CostOfRevenue,"10,053,000,000","2,381,000,000","3,002,000,000","2,282,000,000","2,388,000,000","2,361,000,000","2,756,000,000","2,374,000,000","2,126,000,000","1,839,000,000","3,000,000,000","2,439,000,000","2,449,000,000","2,362,000,000","2,978,000,000","2,466,000,000","2,458,000,000","2,356,000,000","3,019,000,000","2,313,000,000","2,320,000,000","2,137,000,000","2,928,000,000","2,305,000,000","2,414,000,000","2,229,000,000","2,945,000,000","2,417,000,000","2,440,000,000","2,275,000,000","3,050,000,000","2,376,000,000","2,412,000,000","2,308,000,000","2,982,000,000","2,387,000,000","2,301,000,000","2,185,000,000","2,949,000,000","2,271,000,000","2,148,000,000","2,112,000,000","2,878,000,000","2,271,000,000","2,135,000,000","1,991,000,000","2,695,000,000","2,149,000,000","2,003,000,000","1,928,000,000","2,563,000,000","2,065,000,000","1,957,000,000","1,888,000,000","2,693,000,000","2,183,000,000","2,161,000,000","2,042,000,000","3,049,000,000","2,407,000,000","2,421,000,000","2,204,000,000","3,327,000,000","2,415,000,000","2,493,000,000","2,059,000,000","3,180,000,000","2,497,000,000","2,331,000,000","2,145,000,000","3,093,000,000","2,413,000,000","2,290,000,000","2,089,000,000","3,048,866,000","2,402,027,000","2,359,588,000","2,075,519,000","3,022,675,000","2,329,347,000","2,177,774,000","2,011,762,000","3,063,036,000","2,382,734,000","2,204,137,000","2,054,482,000","2,835,983,000","2,004,561,000","1,698,644,000","1,469,889,000","2,122,800,000","1,634,500,000","1,342,600,000","1,239,200,000","1,686,000,000","1,292,100,000","1,057,500,000","956,200,000","1,229,500,000","982,300,000","813,300,000","732,500,000","969,700,000","787,100,000","666,800,000","646,700,000","895,900,000","646,300,000","559,200,000","522,700,000","726,700,000","566,800,000","466,000,000","423,100,000","607,800,000","521,800,000","458,500,000","392,000,000","595,700,000","505,700,000","384,200,000","356,100,000","467,500,000","404,700,000","324,800,000","289,700,000","372,300,000","290,000,000","260,100,000","257,400,000","350,200,000","239,000,000","215,900,000",,,,,,,,,,,,,,,
GrossProfit,"6,103,000,000","1,096,000,000","1,523,000,000","1,661,000,000","1,823,000,000","1,630,000,000","1,668,000,000","1,620,000,000","1,149,000,000","268,000,000","1,674,000,000","1,559,000,000","1,556,000,000","1,344,000,000","1,645,000,000","1,623,000,000","1,627,000,000","1,427,000,000","1,759,000,000","1,525,000,000","1,479,000,000","1,303,000,000","1,501,000,000","1,493,000,000","1,437,000,000","1,209,000,000","1,440,000,000","1,440,000,000","1,458,000,000","1,382,000,000","1,658,000,000","1,596,000,000","1,569,000,000","1,466,000,000","1,593,000,000","1,589,000,000","1,567,000,000","1,544,000,000","1,776,000,000","1,593,000,000","1,427,000,000","1,375,000,000","1,405,000,000","1,314,000,000","1,251,000,000","1,304,000,000","1,669,000,000","1,505,000,000","1,314,000,000","1,401,000,000","1,673,000,000","1,524,000,000","1,288,000,000","1,239,000,000","1,389,000,000","1,378,000,000","1,338,000,000","1,342,000,000","1,626,000,000","1,447,000,000","1,264,000,000","1,354,000,000","1,603,000,000","1,441,000,000","1,223,000,000","1,382,000,000","1,641,000,000","1,363,000,000","1,385,000,000","1,481,000,000","1,805,000,000","1,567,000,000","1,431,000,000","1,579,000,000","1,837,608,000","1,527,429,000","1,325,711,000","1,277,252,000","1,627,929,000","1,315,609,000","1,090,535,000","879,078,000","1,026,589,000","950,639,000","1,041,082,000","1,125,174,000","1,743,105,000","1,410,107,000","1,249,070,000","1,262,101,000","1,736,100,000","1,410,900,000","1,110,700,000","1,038,500,000","1,343,900,000","1,107,800,000","847,500,000","763,500,000","936,000,000","783,600,000","531,900,000","498,700,000","698,200,000","595,900,000","453,500,000","466,500,000","626,300,000","509,600,000","309,300,000","326,000,000","483,100,000","421,500,000","307,100,000","328,600,000","452,500,000","376,900,000","234,700,000","251,600,000","334,500,000","321,500,000","229,900,000","232,800,000","336,000,000","297,400,000","198,300,000","200,600,000","252,400,000","211,700,000","144,900,000","145,000,000","194,900,000","166,600,000","110,000,000",,,,,,,,,,,,,,,
OperatingExpense,"5,730,000,000","1,293,000,000","1,515,000,000","1,508,000,000","1,414,000,000","1,390,000,000","1,534,000,000","1,445,000,000","1,076,000,000","1,512,000,000","1,919,000,000","1,338,000,000","1,274,000,000","1,028,000,000","1,273,000,000","1,260,000,000","1,229,000,000","1,198,000,000","1,363,000,000","1,147,000,000","1,028,000,000","1,049,000,000","1,200,000,000","1,104,000,000","1,158,000,000","987,000,000","1,085,000,000","1,026,000,000","1,089,000,000","996,000,000","1,139,000,000","1,042,000,000","1,002,000,000","1,023,000,000","1,071,000,000","1,013,000,000","1,046,000,000","1,014,000,000","1,174,000,000","1,073,000,000","1,002,000,000","980,000,000","1,033,000,000","968,000,000","917,000,000","918,000,000","1,076,000,000","1,001,000,000","917,000,000","927,000,000","1,086,000,000","1,024,000,000","913,000,000","886,000,000","991,000,000","984,000,000","965,000,000","959,000,000","1,208,000,000","1,079,000,000","1,039,000,000","1,094,000,000","1,254,000,000","1,173,000,000","1,039,000,000","1,009,000,000","1,129,000,000","1,023,000,000","957,000,000","1,016,000,000","1,183,000,000","1,100,000,000","1,016,000,000","998,000,000","1,216,831,000","1,053,667,000","929,985,000","888,517,000","1,202,632,000","1,009,393,000","922,080,000","766,417,000","1,065,902,000","946,882,000","872,772,000","920,412,000","1,293,427,000","1,096,162,000","947,714,000","882,319,000","1,071,000,000","904,200,000","794,200,000","710,100,000","834,400,000","720,600,000","627,800,000","546,900,000","591,700,000","516,400,000","422,300,000","368,600,000","421,900,000","379,100,000","348,800,000","335,200,000","375,100,000","318,500,000","260,100,000","248,000,000","292,300,000","270,400,000","234,300,000","224,700,000","272,500,000","246,100,000","187,500,000","183,900,000","227,700,000","219,900,000","167,900,000","159,800,000","200,800,000","181,700,000","142,500,000","132,800,000","159,900,000","132,700,000","113,800,000","109,300,000","126,700,000","108,500,000","86,300,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","1,094,000,000","0","1,173,000,000","1,039,000,000","1,009,000,000","0","1,023,000,000","957,000,000","1,016,000,000","0","1,100,000,000","1,016,000,000","998,000,000","0","1,053,667,000","929,985,000","888,517,000","0","1,009,393,000","922,080,000","766,417,000","0","946,882,000","872,772,000","920,412,000","0","943,262,000","809,294,000","750,303,000","937,300,000","797,600,000","693,300,000","615,100,000","744,400,000","636,700,000","550,100,000","472,100,000","516,600,000","454,000,000","352,500,000","311,900,000","363,700,000","328,400,000","295,400,000","282,600,000","324,800,000","266,900,000","210,000,000","202,600,000","247,700,000","227,700,000","192,400,000","185,700,000","233,900,000","209,100,000","153,300,000","151,900,000","195,600,000","190,200,000","139,900,000","135,600,000","174,400,000","162,100,000","123,700,000","115,500,000","140,000,000","117,300,000","100,000,000","96,900,000","110,300,000","98,700,000","77,500,000",,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"167,029,000","152,900,000","138,420,000","132,016,000","133,700,000","106,600,000","100,900,000","95,000,000","90,000,000","83,900,000","77,700,000","74,800,000","75,100,000","62,400,000","69,800,000","56,700,000","58,200,000","50,700,000","53,400,000","52,600,000","50,300,000","51,600,000","50,100,000","45,400,000","44,600,000","42,700,000","41,900,000","39,000,000","38,600,000","37,000,000","34,200,000","32,000,000","32,100,000","29,700,000","28,000,000","24,200,000","26,400,000","19,600,000","18,800,000","17,300,000","19,900,000","15,400,000","13,800,000","12,400,000","16,400,000","9,800,000","8,800,000",,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"167,029,000","152,900,000","138,420,000","132,016,000","133,700,000","106,600,000","100,900,000","95,000,000","90,000,000","83,900,000","77,700,000","74,800,000","75,100,000","62,400,000","69,800,000","56,700,000","58,200,000","50,700,000","53,400,000","52,600,000","50,300,000","51,600,000","50,100,000","45,400,000","44,600,000","42,700,000","41,900,000","39,000,000","38,600,000","37,000,000","34,200,000","32,000,000","32,100,000","29,700,000","28,000,000","24,200,000","26,400,000","19,600,000","18,800,000","17,300,000","19,900,000","15,400,000","13,800,000","12,400,000","16,400,000","9,800,000","8,800,000",,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,"1,534,000,000","1,445,000,000","1,076,000,000","1,512,000,000","1,919,000,000","1,338,000,000","1,274,000,000","1,028,000,000","1,273,000,000","1,260,000,000","1,229,000,000","1,198,000,000","1,363,000,000","1,147,000,000","1,028,000,000","1,049,000,000","1,200,000,000","1,104,000,000","1,158,000,000","987,000,000","1,085,000,000","1,026,000,000","1,089,000,000","996,000,000","1,139,000,000","1,042,000,000","1,002,000,000","1,023,000,000","1,071,000,000","1,013,000,000","1,046,000,000","1,014,000,000","1,174,000,000","1,073,000,000","1,002,000,000","980,000,000",,,,,,,,,,,,,"991,000,000","984,000,000","965,000,000","959,000,000","1,208,000,000","1,079,000,000","1,039,000,000",,"1,254,000,000",,,,"1,129,000,000",,,,"1,183,000,000",,,,"1,216,831,000",,,,"1,202,632,000",,,,"1,065,902,000",,,,"1,126,398,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"373,000,000","-197,000,000","8,000,000","153,000,000","409,000,000","240,000,000","134,000,000","175,000,000","73,000,000","-1,244,000,000","-245,000,000","221,000,000","282,000,000","316,000,000","372,000,000","363,000,000","398,000,000","229,000,000","396,000,000","378,000,000","451,000,000","254,000,000","301,000,000","389,000,000","279,000,000","222,000,000","355,000,000","414,000,000","369,000,000","386,000,000","519,000,000","554,000,000","567,000,000","443,000,000","522,000,000","576,000,000","521,000,000","530,000,000","602,000,000","520,000,000","425,000,000","395,000,000","372,000,000","346,000,000","334,000,000","386,000,000","593,000,000","504,000,000","397,000,000","474,000,000","587,000,000","500,000,000","375,000,000","353,000,000","398,000,000","394,000,000","373,000,000","383,000,000","418,000,000","368,000,000","225,000,000","260,000,000","349,000,000","268,000,000","184,000,000","373,000,000","512,000,000","340,000,000","428,000,000","465,000,000","622,000,000","467,000,000","415,000,000","581,000,000","620,777,000","473,762,000","395,726,000","388,735,000","425,297,000","306,216,000","168,455,000","112,661,000","-39,313,000","3,757,000","168,310,000","204,762,000","449,678,000","313,945,000","301,356,000","379,782,000","665,100,000","506,700,000","316,500,000","328,400,000","509,500,000","387,200,000","219,700,000","216,600,000","344,300,000","267,200,000","109,600,000","130,100,000","276,300,000","216,800,000","104,700,000","131,300,000","251,200,000","191,100,000","49,200,000","78,000,000","190,800,000","151,100,000","72,800,000","103,900,000","180,000,000","130,800,000","47,200,000","67,700,000","106,800,000","101,600,000","62,000,000","73,000,000","135,200,000","115,700,000","55,800,000","67,800,000","92,500,000","79,000,000","31,100,000","35,700,000","68,200,000","58,100,000","23,700,000","309,900,000","-699,100,000","322,800,000","264,300,000","241,300,000","-573,800,000","273,600,000","217,800,000","211,100,000","-410,700,000","224,800,000","164,800,000","160,000,000","-352,500,000","187,400,000"
