name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002
TotalAssets,"1,162,248,000","1,104,429,000","1,185,420,000","1,025,863,000","966,582,000","579,924,000","524,029,000","526,997,000","492,353,000","565,874,000","370,356,000","417,830,000","429,109,000","440,248,000","444,507,000","474,754,000","495,469,000","519,945,000","357,149,000","344,786,000","226,767,000","261,515,000","282,498,000","296,127,000","309,096,000","181,789,000","158,734,000","174,047,000","159,125,000","165,977,000","164,626,000","182,052,000","197,687,000","101,792,592","110,145,126","107,387,338","116,866,295","134,728,397","107,982,219","121,747,884","134,718,910","65,758,545","78,243,272","89,509,090","80,933,283","91,345,333","100,391,735","51,485,851","65,163,447","77,149,759","86,109,403","96,295,641","68,926,801","76,562,713","80,753,113","88,555,968","98,871,835","103,460,374","109,992,701","104,126,771","73,866,550","46,091,320","17,811,703","16,842,147","18,971,676","20,510,255","7,385,228","10,938,292","13,876,818","16,403,671","3,785,119","6,208,553","7,732,773","47,517","68,149","77,026","91,972","97,249","136,796","147,521","37,867"
	CurrentAssets,"988,689,000","926,287,000","1,017,299,000","999,750,000","941,719,000","554,764,000","498,895,000","500,358,000","467,971,000","543,436,000","342,041,000","391,706,000","409,036,000","427,849,000","429,926,000","462,032,000","484,470,000","510,372,000","353,345,000","340,834,000","222,354,000","256,532,000","272,605,000","284,344,000","297,035,000","171,772,000","153,090,000","168,442,000","153,329,000","161,321,000","158,600,000","175,623,000","190,914,000","95,195,394","102,818,028","100,420,847","111,110,478","131,027,935","105,618,569","119,731,075","132,565,976","63,987,497","76,968,519","88,013,451","79,192,091","89,498,434","98,430,800","49,324,302","62,677,320","74,441,743","83,405,811","93,648,975","66,180,998","74,012,788","78,229,346","86,116,203","96,620,736","101,177,058","108,075,769","102,944,110","73,294,524","45,593,550","17,332,034","16,453,870","18,581,699","20,106,172","6,937,253","10,546,252","13,540,424","16,145,622","3,610,691","6,027,789","7,568,843","47,517","65,689","72,566","91,972","97,249","111,796","122,521","37,867"
		CashCashEquivalentsAndShortTermInvestments,"786,140,000","740,922,000","815,920,000","755,309,000","764,306,000","368,013,000","346,706,000","385,446,000","368,183,000","421,262,000","237,998,000","287,465,000","328,717,000","354,526,000","364,366,000","398,894,000","433,694,000","469,214,000","316,922,000","297,533,000","178,985,000","204,981,000","221,052,000","229,990,000","238,638,000","108,339,000","123,718,000","140,715,000","128,499,000","135,623,000","134,464,000","147,648,000","164,489,000","71,502,644","65,310,982","76,010,187","87,426,024","99,901,264","87,614,891","102,041,617","116,608,304","52,825,527","66,329,358","79,116,705","73,829,299","83,255,848","89,840,588","41,312,426","55,176,316","67,464,506","77,635,792","89,240,763","62,065,063","63,715,906","72,493,045","82,410,139","92,558,408","97,679,085","105,114,751","100,595,143","70,970,875","44,189,403","16,100,911","15,099,757","17,570,501","19,132,194","6,635,623","10,060,276","13,130,312","16,007,714","3,480,301","5,939,882","7,452,812","47,517","62,646","69,259","73,112","97,249","111,796","122,283","13,502"
			CashAndCashEquivalents,"117,835,000","118,719,000","491,683,000","446,966,000","499,450,000","147,703,000","65,741,000","133,606,000","104,820,000","120,179,000","59,202,000","67,041,000","60,595,000","57,936,000","55,019,000","55,173,000","98,012,000","168,740,000","164,397,000","114,745,000","45,188,000","66,764,000","61,207,000","61,233,000","69,093,000","43,292,000","71,514,000","67,769,000","44,287,000","61,389,000","46,375,000","56,135,000","76,570,000","27,356,947","17,492,131","27,927,551","39,017,804","99,901,264","87,614,891","102,041,617","116,608,304","52,825,527","66,329,358","79,116,705","73,829,299","83,255,848","89,840,588","41,312,426","55,176,316","67,464,506","77,635,792","89,240,763","62,065,063","63,715,906","72,493,045","82,410,139","92,558,408","97,679,085","105,114,751","100,595,143","70,970,875","44,189,403","16,100,911","15,099,757","17,570,501","19,132,194","6,635,623","10,060,276","13,130,312","16,007,714","3,480,301","5,939,882","7,452,812","47,517","62,646","69,259","73,112","97,249","111,796","122,283","13,502"
				CashFinancial,"17,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"62,646","69,259","73,112","97,249","111,796","122,283","13,502"
				CashEquivalents,"117,818,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"668,305,000","622,203,000","324,237,000","308,343,000","264,856,000","220,310,000","280,965,000","251,840,000","263,363,000","301,083,000","178,796,000","220,424,000","268,122,000","296,590,000","309,347,000","343,721,000","335,682,000","300,474,000","152,525,000","182,788,000","133,797,000","138,217,000","159,845,000","168,757,000","169,545,000","65,047,000","52,204,000","72,946,000","84,212,000","74,234,000","88,089,000","91,513,000","87,919,000","44,145,697","47,818,851","48,082,636","48,408,220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"113,762,000","90,975,000","112,099,000","153,196,000","88,391,000","97,730,000","62,551,000","37,401,000","29,749,000","59,442,000","40,744,000","32,219,000","28,164,000","30,005,000","27,656,000","33,582,000","26,574,000","22,133,000","14,695,000","14,473,000","12,452,000","15,680,000","17,679,000","23,227,000","25,543,000","32,410,000","8,392,000","9,738,000","7,725,000","9,149,000","8,275,000","12,895,000","10,956,000","9,097,084","24,521,742","10,831,828","10,375,733","15,703,087","4,464,273","5,687,096","5,550,830","2,262,465","6,237,904","4,495,792","1,731,325","2,328,268","2,622,076","2,253,771","2,020,746","4,243,909","1,589,750","893,093","476,837","7,264,410","1,495,855","1,160,990","1,130,384","779,825","416,888","401,932","552,789","533,387","384,206","400,652","119,686","413,829","41,274","67,780",,,,,,,"3,043","3,307","1,695",,"0","238","24,365"
			AccountsReceivable,"113,762,000","90,975,000","112,099,000","153,196,000","88,391,000","97,730,000","62,551,000","37,401,000","29,749,000","59,442,000","40,744,000","32,219,000","28,164,000","30,005,000","27,656,000","33,582,000","26,574,000","22,133,000","14,695,000","14,473,000","12,452,000","15,680,000","17,679,000","23,227,000","25,543,000","32,410,000","8,392,000","9,738,000","7,725,000","9,149,000","8,275,000","12,895,000","10,956,000","9,097,084","24,521,742","10,831,828","10,375,733","15,703,087","4,464,273","5,687,096","5,550,830","2,262,465","6,237,904","4,495,792","1,731,325","2,328,268","2,622,076","2,253,771","2,020,746","4,243,909","1,589,750","893,093","476,837","7,264,410","1,495,855","1,160,990","1,130,384","779,825","416,888","401,932","552,789","533,387","384,206","400,652","119,686","413,829","41,274","67,780",,,,,,,"3,043","3,307","1,695",,"0","238","24,365"
				GrossAccountsReceivable,"115,000,000","92,115,000","113,295,000","154,521,000","89,495,000","98,733,000","63,793,000","38,246,000","30,692,000","60,239,000","41,327,000","32,886,000","28,798,000","30,597,000","28,157,000",,"27,071,000","22,692,000","15,195,000","15,053,000","13,034,000","16,239,000","18,069,000","24,043,000","26,221,000","33,377,000","9,126,000","10,564,000","8,597,000","9,760,000","9,147,000","13,493,000","11,682,000","9,707,566",,"11,026,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
