name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011
OperatingCashFlow,"-455,000","-31,943,000","-8,377,000","23,879,000","15,986,000","-18,179,000","21,420,000","12,269,000","27,938,000","11,655,000","-2,097,000","11,096,000","17,037,000","3,453,000","28,998,000","15,276,000","9,172,000","5,347,000","-9,741,000","7,809,000","8,405,000","5,244,000","5,850,000","40,928,000","211,000","9,866,000","-3,278,000","6,134,000","690,000","14,973,000","-18,455,000","-1,460,000","2,527,000","22,511,000","-9,392,000","2,458,107","414,303","-4,232,410","-1,446,572","7,729,051","-1,129,498","-3,661,553","6,797,792"
InvestingCashFlow,"-703,890,000","-95,493,000","-315,172,000","-189,617,000","-103,608,000","-95,005,000","-693,440,000","-152,160,000","59,415,000","-45,467,000","-201,676,000","-89,619,000","63,577,000","26,577,000","88,831,000","-78,353,000","14,488,000","25,834,000","-26,704,000","17,622,000","-66,973,000","-221,825,000","-125,661,000","-56,331,000","35,173,000","-43,812,000","-187,173,000","-16,051,000","-182,147,000","24,290,000","-237,377,000","15,400,000","-65,800,000","-31,504,000","-31,521,000","-54,019,287","-143,155,207","-598,506","6,030,336","29,971,241","-7,344,034","-60,128,207","-2,729,658"
FinancingCashFlow,"606,475,000","31,531,000","135,833,000","-4,857,000","443,968,000","55,891,000","76,784,000","475,420,000","282,369,000","127,542,000","81,362,000","225,234,000","-104,469,000","16,758,000","-155,416,000","49,886,000","-30,086,000","-32,801,000","-4,862,000","28,477,000","81,334,000","240,247,000","69,416,000","69,092,000","-42,690,000","17,886,000","202,416,000","18,927,000","137,671,000","-32,006,000","253,118,000","8,282,000","62,389,000","16,722,000","48,542,000","60,969,665","154,233,180","123,155","-17,507,255","-17,467,417","6,433,855","58,900,562","1,943,251"
EndCashPosition,"155,168,000","155,168,000","251,073,000","438,789,000","609,384,000","253,038,000","310,331,000","905,567,000","570,038,000","200,316,000","106,586,000","228,997,000","82,286,000","106,141,000","59,353,000","96,940,000","110,131,000","116,557,000","118,177,000","159,484,000","105,576,000","82,810,000","59,144,000","72,968,000","19,279,000","26,585,000","42,645,000","30,680,000","21,670,000","65,456,000","58,199,000","60,913,000","38,691,000","39,575,000","31,846,000","24,217,000","14,808,786","3,316,510","8,024,271","20,948,000","715,287","2,754,964","7,644,162"
	ChangesInCash,"-97,870,000","-95,905,000","-187,716,000","-170,595,000","356,346,000","-57,293,000","-595,236,000","335,529,000","369,722,000","93,730,000","-122,411,000","146,711,000","-23,855,000","46,788,000","-37,587,000","-13,191,000","-6,426,000","-1,620,000","-41,307,000","53,908,000","22,766,000","23,666,000","-50,395,000","53,689,000","-7,306,000","-16,060,000","11,965,000","9,010,000","-43,786,000","7,257,000","-2,714,000","22,222,000","-884,000","7,729,000","7,629,000","9,408,485","11,492,276","-4,707,761","-12,923,491","20,232,875","-2,039,677","-4,889,198","6,011,385"
	BeginningCashPosition,"253,038,000","251,073,000","438,789,000","609,384,000","253,038,000","310,331,000","905,567,000","570,038,000","200,316,000","106,586,000","228,997,000","82,286,000","106,141,000","59,353,000","96,940,000","110,131,000","116,557,000","118,177,000","159,484,000","105,576,000","82,810,000","59,144,000","72,968,000","19,279,000","26,585,000","42,645,000","30,680,000","21,670,000","65,456,000","58,199,000","60,913,000","38,691,000","39,575,000","31,846,000","24,217,000","14,808,786","3,316,510","8,024,271","20,947,762","715,287","2,754,964","7,644,162","1,632,777"
CapitalExpenditure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-62,000",,,,,"-365",,"-109,198","-152,317"
IssuanceOfCapitalStock,"147,785,000","50,011,000","49,140,000","48,774,000","-140,000","102,867,000","109,873,000","29,247,000","44,190,000","114,760,000","41,735,000","-21,000","50,281,000","46,388,000","171,939,000","-6,000","15,332,000","0","-1,417,000","-83,000","30,559,000","67,840,000","86,127,000","-349,000",,,"98,940,000","6,000",,,"58,981,000","-10,000",,,"-61,000","-250,155",,,,"0",,,
IssuanceOfDebt,"1,175,000,000","25,000,000","125,000,000","0","1,025,000,000","0","0","515,000,000","400,000,000","141,938,000","96,000,000","528,999,000","74,379,000","40,423,000","30,166,000","131,261,000","48,659,000","30,952,000","205,679,000","320,464,000","185,765,000","350,036,000","134,660,000","153,500,000","26,600,000","90,800,000","364,939,000","161,765,000","140,521,000","46,626,000","267,817,000","50,000,000","68,000,000","40,000,000","147,000,000","83,999,642","20,490,036","8,632,322","2,180,476","11,748,679","15,941,900","67,600,421","8,933,560"
RepaymentOfDebt,"-108,121,000","-5,577,000","441,926,000","-9,645,000","-534,825,000","-7,871,000","-7,346,000","-35,462,000","-129,920,000","-87,835,000","-32,593,000","-268,955,000","-196,517,000","-37,105,000","-325,610,000","-49,464,000","-33,280,000","-28,787,000","-162,882,000","-235,849,000","-68,474,000","-128,031,000","-123,466,000","-57,024,000","-125,738,000","-34,837,000","-210,083,000","-116,684,000","-52,913,000","-43,377,000","-57,139,000","-34,000,000","-26,055,000","-10,476,000","-81,586,000","-6,510,822","-26,599,011","-8,509,167","-6,941,018","-29,216,096","-9,508,045","-8,699,859","-6,990,309"
