name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,09/30/2006,03/31/2006,09/30/2005
OperatingCashFlow,"375,274,000","-231,189,000","96,033,000","315,120,000","195,310,000","16,946,000","217,247,000","249,015,000","65,423,000","-83,216,000","558,732,000","302,063,000","136,928,000","-194,291,000","502,113,000","205,687,000","63,745,000","-128,143,000","324,628,000","296,840,000","57,048,000","-22,798,000","397,316,000","337,369,000","155,728,000","-284,806,000","314,161,000","145,914,000","26,277,000","-259,345,000","292,769,000","210,383,000","67,174,000","-62,236,000","334,296,000","238,659,000","97,397,000","-79,071,000","239,497,000","296,665,000","106,855,000","-94,115,000","194,831,000","41,379,000","32,782,000","-101,035,000","170,128,000","27,198,000","-25,310,000","-38,962,000","203,697,000","184,290,000","84,493,000","-57,976,000","196,018,000","31,341,000","-30,481,000","-19,481,000","123,197,000","134,285,000","102,149,000","-591,000","54,813,000","102,297,000","175,892,000"
	CashFlowFromContinuingOperatingActivities,"375,274,000","-231,189,000","96,033,000","315,120,000","195,310,000","16,946,000","217,247,000","249,015,000","65,423,000","-83,216,000","558,732,000","302,063,000","136,928,000","-194,291,000","502,113,000","205,687,000","63,745,000","-128,143,000","324,628,000","296,840,000","57,048,000","-22,798,000","397,316,000","337,369,000","155,728,000","-284,806,000","314,161,000","145,914,000","26,277,000","-259,345,000","292,769,000","210,383,000","67,174,000","-62,236,000","334,296,000","238,659,000","97,397,000","-79,071,000","239,497,000","296,665,000","106,855,000","-94,115,000","194,831,000","41,379,000","32,782,000","-101,035,000","170,128,000","27,198,000","-25,310,000","-38,962,000","203,697,000","184,290,000","84,493,000","-57,976,000","196,018,000","31,341,000","-30,481,000","-19,481,000","123,197,000","134,285,000","102,149,000","-591,000","54,813,000","102,297,000","175,892,000"
		NetIncomeFromContinuingOperations,"459,188,000","118,702,000","60,033,000","151,777,000","128,676,000","-263,262,000","-332,164,000","103,278,000","161,181,000","-7,874,000","179,490,000","187,776,000","153,972,000","79,482,000","161,621,000","171,421,000","140,633,000","79,409,000","-384,611,000","203,356,000","172,532,000","70,617,000","157,112,000","173,858,000","128,143,000","80,269,000","119,163,000","162,154,000","94,902,000","52,636,000","89,437,000","118,944,000","154,578,000","41,560,000","32,266,000","125,263,000","121,586,000","51,379,000",,,,,,,"86,782,000","48,109,000","28,056,000","61,312,000","85,412,000","36,513,000","-1,082,000","41,138,000","30,555,000","-19,328,000","17,881,000","15,920,000","57,344,000","36,024,000","49,793,000","38,896,000","25,434,000","12,004,000","50,345,000","74,592,000","82,604,000"
		OperatingGainsLosses,"123,031,000","-6,715,000","89,356,000","30,562,000","9,828,000","226,352,000",,,,,,,,,,,,,,,"-539,000","1,639,000",,,,,,,,,,,,,,,,,"3,578,000","195,000",,,,,,,,,,,,,,,,,,,"3,371,000","-224,000",,,,,
			GainLossOnSaleOfBusiness,,"-6,715,000",,,,,,,,,,,,,,,,,,,"-539,000","1,639,000",,,,,,,,,,,,,"0","0",,,"1,018,000","195,000",,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"107,143,000","26,286,000","26,709,000","27,132,000","27,016,000","33,341,000","38,176,000","31,565,000","31,334,000","31,371,000","33,125,000","33,353,000","32,255,000","32,234,000","32,482,000","33,821,000","33,568,000","31,925,000","32,725,000","31,667,000","29,330,000","28,765,000","29,460,000","26,888,000","24,007,000","22,820,000","28,153,000","24,943,000","26,234,000","24,573,000","28,662,000","23,500,000","22,981,000","23,059,000","23,689,000","21,571,000","22,409,000","23,221,000","22,940,000","23,047,000","23,719,000","23,330,000","24,157,000","22,433,000","22,448,000","21,687,000","23,334,000","20,549,000","19,893,000","22,836,000","29,986,000","21,140,000","21,579,000","24,050,000","43,564,000","19,638,000","30,205,000","27,770,000","33,293,000","35,306,000","39,757,000","29,795,000","30,553,000","29,095,000","25,347,000"
			DepreciationAndAmortization,"107,143,000","26,286,000","26,709,000","27,132,000","27,016,000","33,341,000","38,176,000","31,565,000","31,334,000","31,371,000","33,125,000","33,353,000","32,255,000","32,234,000","32,482,000","33,821,000","33,568,000","31,925,000","32,725,000","31,667,000","29,330,000","28,765,000","29,460,000","26,888,000","24,007,000","22,820,000","28,153,000","24,943,000","26,234,000","24,573,000","28,662,000","23,500,000","22,981,000","23,059,000","23,689,000","21,571,000","22,409,000","23,221,000","22,940,000","23,047,000","23,719,000","23,330,000","24,157,000","22,433,000","22,448,000","21,687,000","23,334,000","20,549,000","19,893,000","22,836,000","29,986,000","21,140,000","21,579,000","24,050,000","43,564,000","19,638,000","30,205,000","27,770,000","33,293,000","35,306,000","39,757,000","29,795,000","30,553,000","29,095,000","25,347,000"
				Depreciation,"76,458,000","18,931,000","18,486,000","19,618,000","19,423,000","24,142,000","28,083,000","22,277,000","22,618,000","22,781,000","24,418,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,474,000","20,467,000","18,808,000","18,831,000","18,068,000","19,871,000","17,631,000","16,891,000","19,710,000","26,836,000","18,028,000","18,487,000","20,961,000","34,196,000","19,608,000","25,731,000","23,591,000","30,066,000","32,216,000","36,579,000","26,610,000","27,906,000","26,535,000","23,258,000"
				AmortizationCashFlow,"30,685,000","7,355,000","8,223,000","7,514,000","7,593,000","9,199,000","10,093,000","9,288,000","8,716,000","8,590,000","8,707,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,856,000","3,690,000","3,625,000","3,617,000","3,619,000","3,463,000","2,918,000","3,002,000","3,126,000","3,150,000","3,112,000","3,092,000","3,089,000","9,368,000","30,000","4,474,000","4,179,000","3,227,000","3,090,000","3,178,000","3,185,000","2,647,000","2,560,000","2,089,000"
					AmortizationOfIntangibles,"30,685,000","7,355,000","8,223,000","7,514,000","7,593,000","9,199,000","10,093,000","9,288,000","8,716,000","8,590,000","8,707,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,856,000","3,690,000","3,625,000","3,617,000","3,619,000","3,463,000","2,918,000","3,002,000","3,126,000","3,150,000","3,112,000","3,092,000","3,089,000","9,368,000","30,000","4,474,000","4,179,000","3,227,000","3,090,000","3,178,000","3,185,000","2,647,000","2,560,000","2,089,000"
