name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,12/31/2013
TotalAssets,"3,482,500,000","3,485,600,000","3,455,800,000","3,386,400,000","3,388,600,000","3,374,500,000","3,371,700,000","3,323,600,000","3,314,500,000","3,277,700,000","3,005,300,000","2,925,900,000","2,870,600,000","2,819,700,000","2,805,400,000","2,742,000,000","2,661,300,000","2,635,100,000","2,618,300,000","2,612,700,000","2,591,100,000","2,574,400,000","2,355,500,000","1,333,600,000","1,340,900,000","1,362,500,000","1,374,800,000","1,358,300,000","1,365,500,000","1,268,700,000"
	CurrentAssets,"147,200,000","133,100,000","151,500,000","110,400,000","113,800,000","101,400,000","103,700,000","87,900,000","113,200,000","95,900,000","79,200,000","76,100,000","67,200,000","86,100,000","105,200,000","119,700,000","107,000,000","111,400,000","108,500,000","101,600,000","62,200,000","47,400,000","55,500,000","41,800,000","41,800,000","40,200,000","38,300,000","26,400,000","23,100,000","8,600,000"
		CashCashEquivalentsAndShortTermInvestments,"3,000,000","2,200,000","2,600,000","3,800,000","1,500,000","2,600,000","3,000,000","2,500,000","3,100,000","3,300,000","3,500,000","14,900,000","3,500,000","20,300,000","34,600,000","56,500,000","37,500,000","47,200,000","48,000,000","43,000,000",,,,,,,,,,
			CashAndCashEquivalents,"3,000,000","2,200,000","2,600,000","3,800,000","1,500,000","2,600,000","3,000,000","2,500,000","3,100,000","3,300,000","3,500,000","14,900,000","3,500,000","20,300,000","34,600,000","56,500,000","37,500,000","47,200,000","48,000,000","43,000,000",,,,,,,,,,
				CashFinancial,,,,,,,,,,,,,,,,,,,"48,000,000","43,000,000",,,,,,,,,,
		Receivables,"137,500,000","120,300,000","135,500,000","105,200,000","108,100,000","93,200,000","92,900,000","84,900,000","107,100,000","87,900,000","68,300,000","60,100,000","60,500,000","63,000,000","65,500,000","62,500,000","67,700,000","59,800,000","59,700,000","58,100,000","60,300,000","45,000,000","51,900,000","36,600,000","33,100,000","30,600,000","36,900,000","24,700,000","22,300,000","8,300,000"
			AccountsReceivable,"137,500,000","120,300,000","135,500,000","105,200,000","108,100,000","93,200,000","92,500,000","84,600,000","106,800,000","87,600,000","68,200,000","59,800,000","60,100,000","62,200,000","65,400,000","62,200,000","66,800,000","59,800,000","59,700,000","58,100,000","60,300,000","44,600,000","50,500,000","36,600,000","33,100,000","30,600,000","33,400,000","24,700,000","22,300,000","8,300,000"
			DuefromRelatedPartiesCurrent,,,,,,"0","400,000","300,000","300,000","300,000","100,000","300,000","400,000","800,000","100,000","300,000","900,000",,"59,700,000",,,,,,,,,"24,700,000","22,300,000",
			OtherReceivables,,,,,,,,,,,,,,,,,,,"0",,,"400,000","1,400,000",,,,"3,500,000",,,"0"
		Inventory,,,,,,,,,,,,,,,,,,,,,,"0","500,000","400,000","400,000","400,000","400,000","600,000","600,000","300,000"
		PrepaidAssets,,,,,,,,,,,,,,,,,,,,,,"1,900,000","2,600,000",,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,"500,000","500,000",,,,"1,000,000",,,
