name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009
OperatingCashFlow,"-299,976,000","-100,760,000","-243,558,000","39,535,000","4,807,000","-84,742,000","96,930,000","-71,155,000","-25,462,000","-73,181,000","70,536,000","-23,061,000","219,940,000","-59,683,000","350,338,000","-27,993,000","-25,404,000","-86,421,000","446,553,000","-29,878,000","-39,883,000","-57,760,000","277,221,000","-81,471,000","-94,474,000","-42,361,000","-8,714,000","33,601,000","20,945,000","-21,902,000","-74,274,000","6,691,000","-16,957,000","26,225,000","20,566,000","19,351,000","72,776,000","16,639,000","93,804,000","29,709,000","30,429,000","-878,000","64,556,000","4,959,000","12,323,000","4,670,000","-7,400,000","-9,337,000","-31,456,000","-19,706,000","-967,000"
	CashFlowFromContinuingOperatingActivities,"-299,976,000","-100,760,000","-243,558,000","39,535,000","4,807,000","-84,742,000","96,930,000","-71,155,000","-25,462,000","-73,181,000","70,536,000","-23,061,000","219,940,000","-59,683,000","350,338,000","-27,993,000","-25,404,000","-86,421,000","446,553,000","-29,878,000","-39,883,000","-57,760,000","277,221,000","-81,471,000","-94,474,000","-42,361,000","-8,714,000","33,601,000","20,945,000","-21,902,000","-74,274,000","6,691,000","-16,957,000","26,225,000","20,566,000","19,351,000","72,776,000","16,639,000","93,804,000","29,709,000","30,429,000","-878,000","64,556,000","4,959,000","12,323,000","4,670,000","-7,400,000","-9,337,000","-31,456,000","-19,706,000","-967,000"
		NetIncomeFromContinuingOperations,"119,254,000","2,171,000","111,349,000","2,117,000","3,617,000","-68,159,000","-7,990,000","164,002,000","-34,103,000","-125,082,000","-1,001,000","30,043,000","13,328,000","31,925,000","37,924,000","23,847,000","-5,879,000","1,834,000","147,328,000","10,516,000","3,120,000","5,659,000","43,595,000","7,996,000","6,970,000","143,765,000","25,881,000","156,212,000","50,585,000","-105,959,000","31,929,000","45,615,000","-14,733,000","-86,331,000","18,538,000","7,433,000","-76,496,000","-23,170,000","-819,000","-50,192,000","34,990,000","-111,522,000","31,942,000","165,022,000","65,993,000","-114,487,000","-4,550,000","-16,182,000","-28,017,000","-20,481,000","-536,156,000"
		OperatingGainsLosses,"1,223,000","-10,842,000","37,283,000","-15,489,000","-9,729,000","25,282,000","-12,034,000","-247,507,000","-4,240,000","-43,941,000","-644,000","-40,569,000","-4,823,000","-4,606,000","5,665,000","-6,943,000","-13,999,000","-9,532,000","-35,241,000","-6,997,000","21,722,000","22,476,000","6,520,000","-6,510,000","34,994,000","-169,355,000","-1,114,000","-152,724,000","-42,447,000","110,074,000","-56,329,000","-28,933,000","46,901,000","90,324,000","23,085,000","4,512,000","105,689,000","33,097,000","184,968,000","-8,840,000","9,005,000","-151,000","-102,301,000","-27,219,000","31,198,000","-1,619,000","14,280,000","2,617,000","-430,000","-1,492,000","33,137,000"
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,"-5,490,000",,,"0","-140,479,000",,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,"-39,141,000",,,,,,,"1,532,000",,,,"0",,,"0","-46,116,000","-237,000","0","-32,215,000",,,,,"0","0",,,"-3,617,000","0",,,,,,,,,,,"-683,000","3,894,000",,,"17,299,000","12,261,000",,,"1,872,000"
			GainLossOnInvestmentSecurities,,,"7,422,000","-39,141,000",,,,,"0","-38,124,000",,,,,,,,,"0","0","30,881,000","12,562,000","2,780,000","7,300,000","44,150,000","-29,820,000","-870,000","-123,640,000","-42,620,000","108,810,000","-78,600,000","-24,690,000","67,370,000","96,440,000","33,281,000","4,479,000","111,200,000","33,027,000","0",,,,"0",,,,,,,,
			EarningsLossesFromEquityInvestments,"51,899,000","-11,124,000","29,390,000","22,075,000","11,558,000","-10,633,000","1,676,000","-265,111,000","3,760,000","-5,817,000","2,675,000","-2,831,000","-4,823,000","-4,606,000","5,665,000","-6,943,000","-13,999,000","-9,532,000","10,875,000","-6,760,000","-9,159,000","-4,281,000","2,623,000","-13,740,000","-9,156,000","944,000","-244,000","-11,000","173,000","1,264,000","25,888,000","-4,243,000","-6,680,000","-3,743,000","-1,713,000","33,000","-5,511,000","70,000","-49,000","-58,000","223,000","-151,000",,,,"-1,619,000","-3,019,000",,,"-1,492,000","30,326,000"
		DepreciationAmortizationDepletion,"204,458,000","48,633,000","49,853,000","56,222,000","49,750,000","49,327,000","56,499,000","52,398,000","46,945,000","61,594,000","40,640,000","40,294,000","37,967,000","36,269,000","38,796,000","32,175,000","29,087,000","28,188,000","35,803,000","35,619,000","34,462,000","25,041,000","24,094,000","22,699,000","24,428,000","22,786,000","27,203,000","25,205,000","25,120,000","21,931,000","21,164,000","13,191,000","11,601,000","10,670,000","10,577,000","10,065,000","6,712,000","6,704,000","7,073,000","6,590,000","5,848,000","5,014,000","4,692,000","5,958,000","3,197,000","3,232,000","4,028,000","4,009,000","4,025,000","4,501,000","4,620,000"
			DepreciationAndAmortization,"204,458,000","48,633,000","49,853,000","56,222,000","49,750,000","49,327,000","56,499,000","52,398,000","46,945,000","61,594,000","40,640,000","40,294,000","37,967,000","36,269,000","38,796,000","32,175,000","29,087,000","28,188,000","35,803,000","35,619,000","34,462,000","25,041,000","24,094,000","22,699,000","24,428,000","22,786,000","27,203,000","25,205,000","25,120,000","21,931,000","21,164,000","13,191,000","11,601,000","10,670,000","10,577,000","10,065,000","6,712,000","6,704,000","7,073,000","6,590,000","5,848,000","5,014,000","4,692,000","5,958,000","3,197,000","3,232,000","4,028,000","4,009,000","4,025,000","4,501,000","4,620,000"
				Depreciation,"184,239,000","43,665,000","44,551,000","51,351,000","44,672,000","44,844,000","52,211,000","46,663,000","42,333,000","57,349,000","37,370,000","37,412,000","36,011,000","32,905,000","36,171,000","26,537,000","25,960,000","24,850,000","32,318,000","32,304,000","30,239,000","21,540,000","21,044,000","19,708,000","21,630,000","19,496,000","24,018,000","21,102,000","20,068,000","17,087,000","19,353,000","11,750,000","10,234,000","9,346,000","9,440,000","8,770,000","5,944,000","5,483,000","5,393,000","5,209,000","4,639,000","4,214,000","2,777,000","5,800,000","2,687,000","2,748,000","3,570,000","3,656,000","3,472,000","3,884,000","4,074,000"
				AmortizationCashFlow,"20,219,000","4,968,000","5,302,000","4,871,000","5,078,000","4,483,000","4,288,000","5,735,000","4,612,000","4,245,000","3,270,000","2,882,000","1,956,000","3,364,000","2,625,000","5,638,000","3,127,000","3,338,000","3,485,000","3,315,000","4,223,000","3,501,000","3,050,000","2,991,000","2,798,000","3,290,000","3,185,000","4,103,000","5,052,000","4,844,000","1,811,000","1,441,000","1,367,000","1,324,000","1,137,000","1,295,000","768,000","1,221,000","1,680,000","1,381,000","1,209,000","800,000","1,915,000","158,000","510,000","484,000","458,000","353,000","553,000","617,000","546,000"
					AmortizationOfIntangibles,"20,219,000","4,968,000","5,302,000","4,871,000","5,078,000","4,483,000","4,288,000","5,735,000","4,612,000","4,245,000","3,270,000","2,882,000","1,956,000","3,364,000","2,625,000","5,638,000","3,127,000","3,338,000","3,485,000","3,315,000","4,223,000","3,501,000","3,050,000","2,991,000","2,798,000","3,290,000","3,185,000","4,103,000","5,052,000","4,844,000","1,811,000","1,441,000","1,367,000","1,324,000","1,137,000","1,295,000","768,000","1,221,000","1,680,000","1,381,000","1,209,000","800,000","1,915,000","158,000","510,000","484,000","458,000","353,000","553,000","617,000","546,000"
		DeferredTax,"27,975,000","-4,000,000","28,331,000","5,606,000","-1,962,000","-21,619,000","9,641,000","42,887,000","-7,076,000","-34,625,000","4,627,000","8,368,000","4,120,000","10,703,000","11,574,000","7,179,000","-2,806,000","248,000","-76,947,000","9,044,000","15,552,000","8,888,000","11,610,000","16,161,000","25,356,000","60,571,000","-1,913,000","16,930,000","4,008,000","2,127,000","17,085,000","411,000","43,049,000","4,465,000","-11,360,000","3,841,000","13,675,000","2,196,000","-2,006,000","1,842,000","884,000","3,728,000",,,,,,,,,
			DeferredIncomeTax,"27,975,000","-4,000,000","28,331,000","5,606,000","-1,962,000","-21,619,000","9,641,000","42,887,000","-7,076,000","-34,625,000","4,627,000","8,368,000","4,120,000","10,703,000","11,574,000","7,179,000","-2,806,000","248,000","-76,947,000","9,044,000","15,552,000","8,888,000","11,610,000","16,161,000","25,356,000","60,571,000","-1,913,000","16,930,000","4,008,000","2,127,000","17,085,000","411,000","43,049,000","4,465,000","-11,360,000","3,841,000","13,675,000","2,196,000","-2,006,000","1,842,000","884,000","3,728,000",,,,,,,,,
		AmortizationOfSecurities,,,,,,,,,,,,,,"1,521,000","258,000","-505,000","159,000","-368,000","3,655,000","-2,525,000","239,000","615,000","-350,000","173,000","-447,000","-70,000","285,000","1,509,000","695,000","-190,000","1,147,000",,"1,815,000","1,292,000","106,000","151,000","660,000","1,213,000","3,948,000","209,000","-528,000","-109,000","1,541,000","-349,000","2,063,000","-2,544,000",,,"-609,000","219,000",
		AssetImpairmentCharge,"14,618,000","0","1,536,000","0","13,082,000","717,000","1,622,000","945,000","11,079,000","48,738,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,
		ProvisionandWriteOffofAssets,"-1,944,000","515,000","-852,000","-547,000","-1,060,000","432,000","4,568,000","11,392,000","8,558,000","-3,115,000","222,000","2,180,000","1,520,000","-2,000","1,661,000","2,282,000","1,359,000","776,000","982,000","448,000","745,000","535,000","1,035,000","37,674,000","-352,000","3,041,000","948,000","1,007,000","1,266,000","809,000","1,111,000","119,000","31,000","143,000","-74,000","204,000","277,000","429,000","939,000","240,000",,,,"275,000","304,000","11,000",,,"-22,000","379,000",
