name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995
TotalAssets,"75,252,000,000","76,578,000,000","76,290,000,000","74,732,000,000","74,201,000,000","74,111,000,000","72,319,000,000","70,990,000,000","68,724,000,000","70,817,000,000","70,256,000,000","69,472,000,000","63,324,000,000","62,307,000,000","61,437,000,000","60,775,000,000","216,666,000,000","225,260,000,000","224,211,000,000","225,863,000,000","225,388,000,000","223,432,000,000","228,430,000,000","227,616,000,000","227,493,000,000","228,348,000,000","231,453,000,000","241,020,000,000","246,960,000,000","245,013,000,000","247,100,000,000","254,713,000,000","272,923,000,000","277,884,000,000","283,947,000,000","294,833,000,000","297,021,000,000","298,513,000,000","308,918,000,000","303,977,000,000","310,548,000,000","304,064,000,000","305,598,000,000","317,469,000,000","322,538,000,000","318,346,000,000","313,926,000,000","314,150,000,000","317,282,000,000","307,717,000,000","316,720,000,000","289,700,000,000","276,168,000,000","287,583,000,000","311,485,000,000","333,840,000,000","344,168,000,000","360,361,000,000","356,455,000,000","345,646,000,000","332,711,000,000","326,710,000,000","304,794,000,000","294,938,000,000","295,375,000,000","285,557,000,000","280,465,000,000","268,382,000,000","261,420,000,000","259,735,000,000","246,489,000,000","240,222,000,000","237,264,000,000","225,853,000,000","211,365,000,000","207,801,000,000","188,657,000,000","182,043,000,000","175,539,000,000","179,637,000,000","184,937,000,000","181,238,000,000","170,612,000,000","177,927,000,000","165,506,000,000","171,532,000,000","177,246,000,000","171,905,000,000","172,401,000,000","167,051,000,000","153,553,000,000","157,263,000,000","150,960,000,000","150,632,000,000","141,064,000,000","144,948,000,000","141,411,000,000","131,743,000,000","126,831,000,000","121,117,000,000","111,522,000,000","108,840,000,000","104,021,000,000","100,214,000,000","96,986,000,000","93,855,000,000","85,893,000,000","82,423,000,000","77,725,000,000"
TotalLiabilitiesNetMinorityInterest,"59,355,000,000","58,735,000,000","58,428,000,000","56,488,000,000","56,499,000,000","55,555,000,000","54,517,000,000","53,918,000,000","53,458,000,000","54,547,000,000","54,178,000,000","54,180,000,000","48,984,000,000","49,206,000,000","48,708,000,000","48,229,000,000","203,523,000,000","211,766,000,000","206,978,000,000","208,575,000,000","208,379,000,000","206,529,000,000","209,772,000,000","209,057,000,000","209,381,000,000","210,706,000,000","213,249,000,000","222,793,000,000","227,883,000,000","226,293,000,000","228,265,000,000","235,285,000,000","253,149,000,000","258,979,000,000","265,019,000,000","275,820,000,000","276,101,000,000","276,066,000,000","285,548,000,000","282,016,000,000","289,274,000,000","281,154,000,000","282,817,000,000","295,794,000,000","301,539,000,000","298,035,000,000","293,017,000,000","295,259,000,000","299,442,000,000","289,823,000,000","299,239,000,000","276,238,000,000","268,281,000,000","278,315,000,000","298,928,000,000","317,016,000,000","326,332,000,000","341,157,000,000","337,505,000,000","326,998,000,000","313,860,000,000","307,834,000,000","287,061,000,000","279,555,000,000","279,965,000,000","270,232,000,000","265,155,000,000","252,792,000,000","247,209,000,000","245,497,000,000","232,839,000,000","227,947,000,000","223,727,000,000","214,214,000,000","200,021,000,000","196,302,000,000","179,215,000,000","171,309,000,000","163,135,000,000","169,981,000,000","175,898,000,000","172,225,000,000","161,846,000,000","169,448,000,000","157,060,000,000","164,068,000,000","170,502,000,000","165,617,000,000","166,269,000,000","161,156,000,000","146,097,000,000","149,583,000,000","142,921,000,000","143,744,000,000","134,209,000,000","138,071,000,000","134,659,000,000","125,261,000,000","120,650,000,000","115,436,000,000","107,141,000,000","104,320,000,000","99,953,000,000","95,828,000,000","92,589,000,000","89,153,000,000","81,232,000,000","77,929,000,000","74,032,000,000"
TotalEquityGrossMinorityInterest,"15,897,000,000","17,843,000,000","17,862,000,000","18,244,000,000","17,702,000,000","18,556,000,000","17,802,000,000","17,072,000,000","15,266,000,000","16,270,000,000","16,078,000,000","15,292,000,000","14,340,000,000","13,101,000,000","12,729,000,000","12,546,000,000","13,143,000,000","13,494,000,000","17,233,000,000","17,288,000,000","17,009,000,000","16,903,000,000","18,658,000,000","18,559,000,000","18,112,000,000","17,642,000,000","18,204,000,000","18,227,000,000","19,077,000,000","18,720,000,000","18,835,000,000","19,428,000,000","19,774,000,000","18,905,000,000","18,928,000,000","19,013,000,000","20,920,000,000","22,447,000,000","23,370,000,000","21,961,000,000","21,274,000,000","22,910,000,000","22,781,000,000","21,675,000,000","20,999,000,000","20,311,000,000","20,909,000,000","18,891,000,000","17,840,000,000","17,894,000,000","17,481,000,000","13,462,000,000","7,887,000,000","9,268,000,000","12,557,000,000","16,824,000,000","17,836,000,000","19,204,000,000","18,950,000,000","18,648,000,000","18,851,000,000","18,876,000,000","17,733,000,000","15,383,000,000","15,410,000,000","15,325,000,000","15,310,000,000","15,590,000,000","14,211,000,000","14,238,000,000","13,650,000,000","12,275,000,000","13,537,000,000","11,639,000,000","11,344,000,000","11,499,000,000","9,442,000,000","10,734,000,000","12,404,000,000","9,656,000,000","9,039,000,000","9,013,000,000","8,766,000,000","8,479,000,000","8,446,000,000","7,464,000,000","6,744,000,000","6,288,000,000","6,132,000,000","5,895,000,000","7,456,000,000","7,680,000,000","8,039,000,000","6,888,000,000","6,855,000,000","6,877,000,000","6,752,000,000","6,482,000,000","6,181,000,000","5,681,000,000","4,381,000,000","4,520,000,000","4,068,000,000","4,386,000,000","4,397,000,000","4,702,000,000","4,661,000,000","4,494,000,000","3,693,000,000"
	StockholdersEquity,"15,897,000,000","17,843,000,000","17,862,000,000","18,244,000,000","17,702,000,000","18,556,000,000","17,802,000,000","17,072,000,000","15,266,000,000","16,270,000,000","16,078,000,000","15,292,000,000","14,340,000,000","13,101,000,000","12,729,000,000","12,546,000,000","13,143,000,000","13,494,000,000","17,233,000,000","17,288,000,000","17,009,000,000","16,903,000,000","18,658,000,000","18,559,000,000","18,112,000,000","17,642,000,000","18,204,000,000","18,227,000,000","19,077,000,000","18,720,000,000","18,835,000,000","19,428,000,000","19,774,000,000","18,905,000,000","18,928,000,000","19,013,000,000","20,920,000,000","22,447,000,000","23,370,000,000","21,961,000,000","21,274,000,000","22,910,000,000","22,781,000,000","21,675,000,000","20,999,000,000","20,311,000,000","20,909,000,000","18,891,000,000","17,840,000,000","17,865,000,000","17,456,000,000","13,442,000,000","7,860,000,000","9,268,000,000","12,557,000,000","16,824,000,000","17,836,000,000","19,204,000,000","18,950,000,000","18,648,000,000","18,851,000,000","18,876,000,000","17,733,000,000","15,383,000,000","15,410,000,000","15,325,000,000","15,310,000,000","15,590,000,000","14,211,000,000","14,238,000,000","13,650,000,000","12,275,000,000","13,537,000,000","11,639,000,000","11,344,000,000","11,499,000,000","9,442,000,000","10,734,000,000","10,943,000,000","9,656,000,000","9,039,000,000","9,013,000,000","8,766,000,000","8,479,000,000","8,446,000,000","7,464,000,000","6,744,000,000","6,288,000,000","5,675,000,000","5,466,000,000","5,773,000,000","5,997,000,000","6,330,000,000","6,423,000,000","6,387,000,000","6,437,000,000","6,341,000,000","6,085,000,000","5,808,000,000","5,357,000,000","4,381,000,000","4,520,000,000","4,068,000,000","4,386,000,000","4,397,000,000","4,702,000,000","4,661,000,000","4,494,000,000","3,693,000,000"
		CapitalStock,"338,000,000","338,000,000","338,000,000","338,000,000","338,000,000","338,000,000","338,000,000","338,000,000","338,000,000","338,000,000","338,000,000","338,000,000","338,000,000","338,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","561,000,000","561,000,000","561,000,000","561,000,000","561,000,000","561,000,000","561,000,000","561,000,000","561,000,000","561,000,000","556,000,000","561,000,000","561,000,000","2,964,000,000","2,944,000,000","2,925,000,000","4,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000",,,,"2,000,000",,,,"1,000,000",,,,"1,000,000",,,,,,,
			PreferredStock,"334,000,000","334,000,000","334,000,000","334,000,000","334,000,000","334,000,000","334,000,000","334,000,000","334,000,000","334,000,000","334,000,000","334,000,000","334,000,000","334,000,000",,,,,,,,,,,,,,,,,,,,"0","0","0","556,000,000","556,000,000","556,000,000","556,000,000","556,000,000","556,000,000","556,000,000","556,000,000","556,000,000","556,000,000","556,000,000","556,000,000","556,000,000","2,960,000,000","2,940,000,000","2,921,000,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStock,"4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","0","5,000,000","5,000,000","4,000,000","4,000,000","4,000,000","4,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000",,,,"2,000,000",,,,"1,000,000",,,,"1,000,000",,,,,,,
		AdditionalPaidInCapital,"3,249,000,000","3,309,000,000","4,339,000,000","4,330,000,000","4,310,000,000","4,322,000,000","4,310,000,000","4,299,000,000","4,286,000,000","4,312,000,000","4,302,000,000","4,300,000,000","4,329,000,000","4,378,000,000","4,385,000,000","4,374,000,000","4,363,000,000","4,379,000,000","5,191,000,000","5,195,000,000","5,177,000,000","5,247,000,000","8,893,000,000","8,897,000,000","8,885,000,000","8,973,000,000","8,956,000,000","8,983,000,000","8,996,000,000","9,123,000,000","9,013,000,000","9,230,000,000","9,549,000,000","9,894,000,000","10,414,000,000","10,544,000,000","9,993,000,000","10,038,000,000","10,032,000,000","10,037,000,000","10,031,000,000","10,391,000,000","10,395,000,000","10,393,000,000","10,391,000,000","10,448,000,000",,"10,470,000,000","10,475,000,000","8,985,000,000","8,976,000,000","8,190,000,000","7,600,000,000","7,569,000,000","6,598,000,000","6,591,000,000","6,581,000,000","6,627,000,000","6,585,000,000","6,541,000,000","6,435,000,000","6,321,000,000","5,912,000,000","5,183,000,000","5,096,000,000","5,067,000,000","4,925,000,000","4,830,000,000","4,696,000,000","4,567,000,000","4,527,000,000","4,494,000,000","4,419,000,000","3,929,000,000","3,897,000,000","3,869,000,000","2,793,000,000","2,784,000,000","2,766,000,000","2,461,000,000","2,416,000,000","2,362,000,000","1,945,000,000","1,932,000,000","1,884,000,000","1,686,000,000","1,680,000,000","1,686,000,000","1,556,000,000","1,551,000,000",,,,"1,591,000,000",,,,"1,659,000,000",,,,"1,642,000,000",,,,,,,
		RetainedEarnings,"16,077,000,000","15,764,000,000","15,169,000,000","14,813,000,000","14,036,000,000","13,918,000,000","13,503,000,000","13,167,000,000","12,819,000,000","12,685,000,000","12,251,000,000","11,836,000,000","11,572,000,000","11,055,000,000","10,973,000,000","10,649,000,000","10,156,000,000","9,642,000,000","13,434,000,000","13,282,000,000","13,406,000,000","13,114,000,000","13,282,000,000","12,923,000,000","12,789,000,000","12,550,000,000","12,215,000,000","11,921,000,000","11,583,000,000","11,191,000,000","10,886,000,000","10,577,000,000","11,111,000,000","10,683,000,000","10,439,000,000","10,213,000,000","10,449,000,000","10,745,000,000","11,235,000,000","10,887,000,000","11,042,000,000","12,519,000,000","12,447,000,000","12,503,000,000","12,533,000,000","12,077,000,000",,"11,049,000,000","11,006,000,000","11,164,000,000","10,689,000,000","10,991,000,000","10,111,000,000","11,336,000,000","12,249,000,000","15,039,000,000","14,661,000,000","14,686,000,000","14,260,000,000","13,564,000,000","13,095,000,000","12,421,000,000","11,800,000,000","11,167,000,000","10,814,000,000","10,207,000,000","9,831,000,000","9,379,000,000","8,863,000,000","8,283,000,000","7,749,000,000","7,337,000,000","6,986,000,000","6,499,000,000","6,124,000,000","5,857,000,000","5,426,000,000","6,890,000,000","6,701,000,000","6,501,000,000","6,380,000,000","6,152,000,000","6,072,000,000","6,234,000,000","6,068,000,000","5,887,000,000","5,671,000,000","5,475,000,000","5,313,000,000","5,127,000,000","4,957,000,000","4,824,000,000","4,661,000,000","4,474,000,000","4,224,000,000","891,000,000","3,873,000,000","3,658,000,000","3,450,000,000","3,199,000,000","2,672,000,000","2,515,000,000","2,356,000,000","2,946,000,000","2,851,000,000","2,802,000,000","3,015,000,000","2,857,000,000","2,767,000,000"
		TreasuryStock,"2,068,000,000","1,740,000,000","2,291,000,000","1,807,000,000","1,246,000,000","1,192,000,000","1,205,000,000","1,211,000,000","1,220,000,000","1,117,000,000","1,027,000,000","984,000,000","1,014,000,000","1,091,000,000","1,114,000,000","1,128,000,000","1,141,000,000","1,194,000,000","1,981,000,000","1,687,000,000","1,371,000,000","1,125,000,000","4,509,000,000","4,166,000,000","3,821,000,000","3,557,000,000","3,112,000,000","2,870,000,000","2,657,000,000","2,527,000,000","2,146,000,000","1,546,000,000","1,550,000,000","1,598,000,000","1,913,000,000","1,823,000,000","1,732,000,000","1,740,000,000","1,753,000,000","1,780,000,000","1,688,000,000","1,718,000,000","1,687,000,000","1,705,000,000","1,722,000,000","1,774,000,000",,"1,810,000,000","1,825,000,000","1,936,000,000","1,936,000,000","2,054,000,000","2,054,000,000","2,120,000,000","2,138,000,000","2,029,000,000","1,184,000,000","1,254,000,000","1,232,000,000","859,000,000","859,000,000","47,000,000","46,000,000","46,000,000","46,000,000","42,000,000","42,000,000","41,000,000","41,000,000","40,000,000","39,000,000","39,000,000","39,000,000","38,000,000","37,000,000","37,000,000","37,000,000","37,000,000","37,000,000","37,000,000","37,000,000","37,000,000","37,000,000","30,000,000","30,000,000","480,000,000","533,000,000","627,000,000","1,024,000,000","942,000,000",,,,"455,000,000",,,,"65,000,000",,,,"30,000,000",,,,,,,
