name,04/30/2022,10/31/2021,04/30/2021,10/31/2020,04/30/2020,10/31/2019,04/30/2019,10/31/2018,04/30/2018,10/31/2017
TotalAssets,"540,653,211","608,564,565","615,630,474","773,490,557","770,744,811","890,522,940","901,187,632","882,848,323","908,993,916","931,137,125"
TotalLiabilitiesNetMinorityInterest,"195,247,712","196,167,257","196,356,647","199,145,718","249,398,143","269,535,299","279,042,351","275,812,819","272,156,873","260,379,573"
TotalEquityGrossMinorityInterest,"345,405,499","412,397,308","419,273,827","574,344,839","521,346,668","620,987,641","622,145,281","607,035,504","636,837,043","670,757,552"
	StockholdersEquity,"345,405,499","412,397,308","419,273,827","574,344,839","521,346,668","620,987,641","622,145,281","607,035,504","636,837,043","670,757,552"
		CapitalStock,"58,925","58,812","58,662","84,239","84,239","85,156","85,156","85,838","86,204","86,204"
			CommonStock,"58,925","58,812","58,662","84,239","84,239","85,156","85,156","85,838","86,204","86,204"
			OtherCapitalStock,,,,,,,,,,"0"
		AdditionalPaidInCapital,"552,481,389","555,028,112","553,949,095","740,459,055","740,459,055","752,543,350","752,543,350","762,899,898","765,180,950","946,970,238"
		RetainedEarnings,"-207,134,815","-142,689,616","-134,733,930","-166,198,455","-219,196,626","-131,640,865","-130,483,225","-5,932,255","-4,562,937","-5,721,329"
		OtherEquityInterest,,,,,,,,,"11,929,789","46,542,802"
TotalCapitalization,"524,777,182","592,244,365","595,834,077","760,602,339","757,565,668","883,242,141","879,768,281","858,323,004","871,837,043","910,757,552"
CommonStockEquity,"345,405,499","412,397,308","419,273,827","574,344,839","521,346,668","620,987,641","622,145,281","607,035,504","636,837,043","670,757,552"
NetTangibleAssets,"345,405,499","412,397,308","419,273,827","574,344,839","521,346,668","620,987,641","622,145,281","607,035,504","636,837,043","670,757,552"
InvestedCapital,"524,777,182","592,244,365","595,834,077","760,602,339","757,565,668","883,242,141","879,768,281","858,323,004","871,837,043","910,757,552"
TangibleBookValue,"345,405,499","412,397,308","419,273,827","574,344,839","521,346,668","620,987,641","622,145,281","607,035,504","636,837,043","670,757,552"
TotalDebt,"179,371,683","179,847,057","176,560,250","186,257,500","236,219,000","262,254,500","257,623,000","251,287,500","235,000,000","240,000,000"
NetDebt,"177,206,843","177,910,426","176,469,350","186,107,997","233,001,463","262,230,974","257,623,000","251,287,500","232,657,993","239,102,284"
ShareIssued,"58,924,586","60,827,974","60,672,328","87,125,990","87,125,990","88,074,774","88,074,774","88,779,473","89,158,320","89,158,320"
OrdinarySharesNumber,"58,924,586","60,827,974","60,672,328","87,125,990","87,125,990","88,074,774","88,074,774","88,779,473","89,158,320","89,158,320"
