name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997
OperatingCashFlow,"112,808,000","14,688,000","31,217,000","32,452,000","34,451,000","15,082,000","31,529,000","36,696,000","25,264,000","15,067,000","39,583,000","25,452,000","5,617,000","19,828,000","33,228,000","13,105,000","16,458,000","14,659,000","10,961,000","16,737,000","9,251,000","12,433,000","7,181,000","9,382,000","11,452,000","10,491,000","8,862,000","12,570,000","14,510,000","13,960,000","16,149,000","20,025,000","16,588,000","10,084,000","10,342,000","13,326,000","12,253,000","11,202,000","12,097,000","16,301,000","12,076,000","11,724,000","11,545,000","16,030,000","8,139,000","13,830,000","7,818,000","7,706,000","7,495,000","2,071,000","2,367,000","5,834,000","520,000","4,946,000","7,681,000","10,729,000","12,678,000","7,439,000","8,466,000","7,325,000","5,212,000","7,238,000","4,415,000","7,112,000","4,713,000","3,370,000","3,741,000","4,859,000","6,739,000","1,670,000","3,918,000","4,989,000","4,829,000","1,226,000","2,304,000","4,073,000","1,194,000","1,720,000","881,000","2,697,000","3,264,000","646,000","1,414,000","2,065,000","2,193,000","1,590,000","2,050,000","2,144,000","4,209,000","1,130,000","2,300,000","1,400,000","800,000","1,100,000","800,000","3,800,000","1,400,000","2,600,000","2,800,000","1,700,000","300,000","1,700,000"
	CashFlowFromContinuingOperatingActivities,"112,808,000","14,688,000","31,217,000","32,452,000","34,451,000","15,082,000","31,529,000","36,696,000","25,264,000","15,067,000","39,583,000","25,452,000","5,617,000","19,828,000","33,228,000","13,105,000","16,458,000","14,659,000","10,961,000","16,737,000","9,251,000","12,433,000","7,181,000","9,382,000","11,452,000","10,491,000","8,862,000","12,570,000","14,510,000","13,960,000","16,149,000","20,025,000","16,588,000","10,084,000","10,342,000","13,326,000","12,253,000","11,202,000","12,097,000","16,301,000","12,076,000","11,724,000","11,545,000","16,030,000","8,139,000","13,830,000","7,818,000","7,706,000","7,495,000","2,071,000","2,367,000","5,834,000","520,000","4,946,000","7,681,000","10,729,000","12,678,000","7,439,000","8,466,000","7,325,000","5,212,000","7,238,000","4,415,000","7,112,000","4,713,000","3,370,000","3,741,000","4,859,000","6,739,000","1,670,000","3,918,000","4,989,000","4,829,000","1,226,000","2,304,000","4,073,000","1,194,000","1,720,000","881,000","2,697,000","3,264,000","646,000","1,414,000","2,065,000","2,193,000","1,590,000","2,050,000","2,144,000","4,209,000","1,130,000","2,300,000","1,400,000","800,000","1,100,000","800,000","3,800,000","1,400,000","2,600,000","2,800,000","1,700,000","300,000","1,700,000"
		NetIncomeFromContinuingOperations,"112,487,000","30,478,000","23,554,000","27,760,000","30,695,000","22,587,000","5,551,000","12,982,000","12,908,000","-17,223,000","13,808,000","12,791,000","17,265,000","16,404,000","16,424,000","11,599,000","6,796,000","11,911,000","2,768,000","11,295,000","7,284,000","10,211,000","3,118,000","4,988,000","6,990,000","8,208,000","5,103,000","8,410,000","9,248,000","10,377,000","10,326,000","9,878,000","12,186,000","11,385,000","8,344,000","8,275,000","11,790,000","9,575,000","6,694,000","8,834,000","11,247,000","10,623,000","6,073,000","11,397,000","10,437,000","9,770,000","6,267,000","5,710,000","6,112,000","3,311,000","1,287,000","554,000","-537,000","552,000","2,480,000","6,655,000","8,910,000","7,690,000","5,127,000","5,246,000","5,952,000","5,806,000","3,813,000","3,916,000","4,314,000","4,180,000","2,889,000","2,917,000","3,536,000","3,466,000","2,001,000","1,881,000","2,590,000","1,358,000","596,000","510,000","814,000","256,000","369,000","507,000","774,000","128,000","-663,000","150,000","429,000","1,034,000","666,000","1,022,000","1,376,000","857,000","700,000","600,000","-200,000","700,000","800,000","2,000,000","1,200,000","1,600,000","1,300,000","1,300,000","1,100,000","1,000,000"
		OperatingGainsLosses,"-3,860,000","-1,577,000","-1,284,000","-1,492,000","493,000","-2,402,000","2,813,000","2,537,000","524,000","-416,000","1,160,000","-850,000","-425,000","95,000","-74,000","125,000","2,996,000","505,000","727,000","120,000","553,000","139,000","13,000","0","306,000","10,000","915,000","-1,180,000","63,000","31,000","16,000","21,000","90,000","44,000","138,000","309,000","17,000","-2,000","109,000","90,000","34,000","-40,000","-5,000","-1,340,000","208,000","-139,000","-65,000","1,000","20,000","1,000","13,000","16,000",,,"0","23,000","11,000","104,000","-14,000","1,000","-41,000","-20,000","-25,000","-25,000","-73,000","135,000","-22,000","88,000","114,000","51,000","406,000","-5,000","21,000","33,000","-39,000","20,000","364,000","18,000","-73,000","40,000","80,000","41,000","359,000","-44,000",,,"-3,000","-52,000","348,000","-20,000","200,000","0",,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"34,000","-19,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-3,860,000","-1,577,000","-1,284,000","-1,492,000","493,000","-2,402,000","2,781,000","2,554,000","563,000","-440,000","1,110,000","-3,564,000","-433,000","24,000","-77,000","80,000","2,988,000","505,000",,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"51,718,000","12,554,000","13,270,000","12,989,000","12,905,000","15,237,000","13,890,000","8,784,000","8,645,000","8,376,000","9,209,000","8,811,000","8,624,000","8,571,000","10,913,000","11,725,000","12,347,000","4,729,000","4,631,000","4,704,000","4,764,000","5,091,000","3,768,000","2,516,000","2,507,000","2,527,000","2,503,000","2,482,000","2,285,000","2,287,000","2,290,000","2,216,000","2,138,000","2,074,000","1,834,000","1,828,000","1,769,000","1,796,000","1,833,000","1,777,000","1,783,000","1,793,000","1,696,000","1,657,000","1,679,000","1,689,000","1,757,000","1,656,000","1,728,000","1,732,000","1,699,000","1,710,000","1,799,000","1,760,000","1,799,000","1,776,000","1,801,000","1,720,000","1,684,000","1,610,000","1,547,000","1,500,000","1,477,000","1,440,000","1,495,000","1,437,000","1,432,000","1,393,000","1,389,000","1,390,000","1,206,000","1,442,000","1,425,000","1,392,000","1,129,000","1,312,000","1,395,000","1,316,000","1,227,000","1,222,000","1,331,000","1,320,000","1,324,000","1,310,000","1,383,000","1,409,000","1,402,000","1,404,000","1,410,000","1,378,000","1,300,000","1,300,000","1,200,000","1,200,000","1,100,000","1,000,000","1,200,000","1,100,000","900,000","900,000","900,000","1,000,000"
			DepreciationAndAmortization,"51,718,000","12,554,000","13,270,000","12,989,000","12,905,000","15,237,000","13,890,000","8,784,000","8,645,000","8,376,000","9,209,000","8,811,000","8,624,000","8,571,000","10,913,000","11,725,000","12,347,000","4,729,000","4,631,000","4,704,000","4,764,000","5,091,000","3,768,000","2,516,000","2,507,000","2,527,000","2,503,000","2,482,000","2,285,000","2,287,000","2,290,000","2,216,000","2,138,000","2,074,000","1,834,000","1,828,000","1,769,000","1,796,000","1,833,000","1,777,000","1,783,000","1,793,000","1,696,000","1,657,000","1,679,000","1,689,000","1,757,000","1,656,000","1,728,000","1,732,000","1,699,000","1,710,000","1,799,000","1,760,000","1,799,000","1,776,000","1,801,000","1,720,000","1,684,000","1,610,000","1,547,000","1,500,000","1,477,000","1,440,000","1,495,000","1,437,000","1,432,000","1,393,000","1,389,000","1,390,000","1,206,000","1,442,000","1,425,000","1,392,000","1,129,000","1,312,000","1,395,000","1,316,000","1,227,000","1,222,000","1,331,000","1,320,000","1,324,000","1,310,000","1,383,000","1,409,000","1,402,000","1,404,000","1,410,000","1,378,000","1,300,000","1,300,000","1,200,000","1,200,000","1,100,000","1,000,000","1,200,000","1,100,000","900,000","900,000","900,000","1,000,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,386,000","1,360,000","1,327,000",,"1,261,000",,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"56,000","65,000","65,000",,"51,000",,,,,,,,,,,,,,,,,,,,,,,,,,
