name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995
OperatingCashFlow,"11,857,000","-27,482,000","7,361,000","15,217,000","16,761,000","1,678,000","41,582,000","-3,309,000","11,931,000","-11,041,000","30,154,000","5,787,000","-8,862,000","4,216,000","6,617,000","2,419,000","9,872,000","-6,624,000","9,034,000","-8,584,000","5,710,000","-3,096,000","13,355,000","-4,624,000","-2,885,000","-5,408,000","-2,213,000","-5,024,000","11,560,000","2,028,000","19,848,000","742,000","15,534,000","11,245,000","18,625,000","16,052,000","24,825,000","-5,743,000","20,587,000","22,012,000","20,250,000","7,964,000","24,788,000","11,249,000","16,823,000","-7,683,000","16,625,000","-4,271,000","8,462,000","-2,979,000","20,859,000","3,350,000","-8,395,000","-4,726,000","41,461,000","2,047,000","4,742,000","11,877,000","26,019,000","19,324,000","2,197,000","-12,180,000","8,643,000","-3,327,000","5,865,000","-2,547,000","7,031,000","8,236,000","-7,116,000","7,903,000","13,404,000","-1,813,000","-16,188,000","-4,425,000","7,983,000","-1,881,000","-6,160,000","-5,501,000","-4,183,000","-2,528,000","5,052,000","-3,745,000","3,547,000","-8,129,000","-34,057,000","13,871,000","1,159,000","-325,609,000","-32,426,000","-2,609,000","17,000,000","2,500,000","1,600,000","700,000","1,000,000","-4,900,000","2,300,000","-400,000","5,600,000","-100,000","-2,600,000","-900,000","300,000","1,900,000","1,800,000","-3,700,000","2,100,000","-300,000","-1,200,000","1,700,000"
	CashFlowFromContinuingOperatingActivities,"11,857,000","-27,482,000","7,361,000","15,217,000","16,761,000","1,678,000","41,582,000","-3,309,000","11,931,000","-11,041,000","30,154,000","5,787,000","-8,862,000","4,216,000","6,617,000","2,419,000","9,872,000","-6,624,000","9,034,000","-8,584,000","5,710,000","-3,096,000","13,355,000","-4,624,000","-2,885,000","-5,408,000","-2,213,000","-5,024,000","11,560,000","2,028,000","19,848,000","742,000","15,534,000","11,245,000","18,625,000","16,052,000","24,825,000","-5,743,000","20,587,000","22,012,000","20,250,000","7,964,000","24,788,000","11,249,000","16,823,000","-7,683,000","16,625,000","-4,271,000","8,462,000","-2,979,000","20,859,000","3,350,000","-8,395,000","-4,726,000","41,461,000","2,047,000","4,742,000","11,877,000","26,019,000","19,324,000","2,197,000","-12,180,000","8,643,000","-3,327,000","5,865,000","-2,547,000","7,031,000","8,236,000","-7,116,000","7,903,000","13,404,000","-1,813,000","-16,188,000","-4,425,000","7,983,000","-1,881,000","-6,160,000","-5,501,000","-4,183,000","-2,528,000","5,052,000","-3,745,000","3,547,000","-8,129,000","-34,057,000","13,871,000","1,159,000","-325,609,000","-32,426,000","-2,609,000","17,000,000","2,500,000","1,600,000","700,000","1,000,000","-4,900,000","2,300,000","-400,000","5,600,000","-100,000","-2,600,000","-900,000","300,000","1,900,000","1,800,000","-3,700,000","2,100,000","-300,000","-1,200,000","1,700,000"
		NetIncomeFromContinuingOperations,"17,849,000","-1,529,000","19,857,000","1,530,000","-2,009,000","-6,124,000","13,465,000","-5,381,000","-15,401,000","-21,954,000","5,570,000","11,657,000","-11,845,000","-11,306,000","3,330,000","-7,758,000","-2,913,000","-13,694,000","-11,845,000","-15,583,000","-31,500,000","-24,027,000","-10,443,000","-16,012,000","-20,679,000","-25,180,000","-7,199,000","-4,811,000","-994,000","-2,657,000","-4,854,000","1,078,000","-37,062,000","-5,410,000","-2,210,000","36,772,000","-3,663,000","-8,535,000",,,,,,,,"516,000","-13,738,000","-361,000","4,445,000","5,319,000",,"2,577,000","-7,920,000","-18,843,000","13,209,000","11,965,000","25,464,000","13,354,000","6,639,000","9,417,000","6,249,000","1,116,000","5,041,000","4,017,000","-2,904,000","-5,147,000","-2,016,000","-2,891,000","-2,530,000","1,706,000","10,158,000","-4,239,000","-1,768,000","-2,577,000","1,370,000","-7,454,000","-11,682,000","-11,667,000","-13,752,000","-38,030,000","-11,124,000","-14,012,000","-14,809,000","-68,809,000","-34,124,000","-48,665,000","-1,486,602,000","-89,671,000","-87,062,000","9,327,000","10,800,000","7,700,000","3,900,000","1,300,000","600,000","-800,000","-2,900,000","-18,400,000","600,000","400,000","1,800,000","2,100,000","2,400,000","1,700,000","1,200,000","600,000","1,200,000","1,300,000","1,100,000","500,000"
		OperatingGainsLosses,"-1,339,000","-134,000","-1,252,000","-1,099,000","1,146,000","-2,180,000","4,382,000","2,537,000","2,900,000","-2,066,000","1,429,000","4,301,000","313,000","-638,000","-872,000","8,000","-1,877,000","835,000","574,000",,,,,,,,,,,,,,,,,,,"-14,956,000","21,000","-145,000",,,"221,000","347,000","42,000","61,000","89,000","46,000","8,000","19,000","7,000","4,000","150,000","37,000",,"13,000","1,000","8,000",,"29,000","23,000","-83,000",,"35,000","-1,607,000","1,627,000","125,000","156,000","-175,000","43,000","-370,000","-1,008,000","-1,064,000","-570,000","-4,638,000","18,000","68,000","17,000","-6,356,000","42,000","36,000","624,000","36,749,000",,,,"1,380,328,000","1,100,000",,,,,,,"0","0","0","14,000,000",,,,,,,,,,,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-14,956,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,000","-145,000","88,000","0","221,000","347,000","42,000","61,000","89,000","46,000","8,000","19,000","7,000","4,000","150,000","37,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,"-3,080,000","-563,000","-1,691,000","-1,538,000","712,000","-2,609,000","3,854,000",,,"-2,066,000","1,429,000","-1,394,000","313,000","-638,000","-872,000","8,000","-1,877,000","835,000","574,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"1,741,000","429,000","439,000","439,000","434,000","429,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"12,600,000","3,111,000","3,151,000","3,231,000","3,107,000","3,564,000","3,810,000","3,900,000","3,499,000","4,498,000","4,884,000","4,844,000","4,949,000","4,929,000","5,147,000","5,226,000","5,410,000","5,555,000","5,644,000","5,994,000","5,615,000","5,668,000","7,746,000","9,850,000","9,959,000","6,100,000","4,629,000","4,745,000","4,969,000","5,400,000","5,960,000","9,667,000","10,459,000","10,893,000","11,036,000","10,989,000","10,872,000","11,073,000","11,058,000","11,045,000","10,959,000","11,337,000","11,214,000","26,249,000","3,421,000","3,403,000","11,815,000","5,965,000","4,686,000","4,949,000","5,038,000","5,786,000","5,994,000","3,741,000","3,328,000","3,290,000","3,317,000","3,354,000","3,249,000","3,252,000","2,734,000","2,764,000","3,192,000","1,940,000","2,031,000","2,420,000","2,690,000","2,491,000","2,288,000","3,810,000","5,828,000","5,743,000","5,797,000","5,934,000","6,349,000","6,259,000","6,770,000","6,790,000","7,153,000","7,301,000","9,907,000","10,022,000","9,164,000","10,363,000","10,037,000","9,346,000","92,193,000","91,984,000","61,491,000","1,716,000","2,300,000","1,500,000","1,300,000","1,200,000","1,000,000","1,100,000","1,100,000","1,100,000","900,000","900,000","800,000","800,000","700,000","700,000","500,000","600,000","700,000","400,000","400,000","300,000"
			DepreciationAndAmortization,"12,600,000","3,111,000","3,151,000","3,231,000","3,107,000","3,564,000","3,810,000","3,900,000","3,499,000","4,498,000","4,884,000","4,844,000","4,949,000","4,929,000","5,147,000","5,226,000","5,410,000","5,555,000","5,644,000","5,994,000","5,615,000","5,668,000","7,746,000","9,850,000","9,959,000","6,100,000","4,629,000","4,745,000","4,969,000","5,400,000","5,960,000","9,667,000","10,459,000","10,893,000","11,036,000","10,989,000","10,872,000","11,073,000","11,058,000","11,045,000","10,959,000","11,337,000","11,214,000","26,249,000","3,421,000","3,403,000","11,815,000","5,965,000","4,686,000","4,949,000","5,038,000","5,786,000","5,994,000","3,741,000","3,328,000","3,290,000","3,317,000","3,354,000","3,249,000","3,252,000","2,734,000","2,764,000","3,192,000","1,940,000","2,031,000","2,420,000","2,690,000","2,491,000","2,288,000","3,810,000","5,828,000","5,743,000","5,797,000","5,934,000","6,349,000","6,259,000","6,770,000","6,790,000","7,153,000","7,301,000","9,907,000","10,022,000","9,164,000","10,363,000","10,037,000","9,346,000","92,193,000","91,984,000","61,491,000","1,716,000","2,300,000","1,500,000","1,300,000","1,200,000","1,000,000","1,100,000","1,100,000","1,100,000","900,000","900,000","800,000","800,000","700,000","700,000","500,000","600,000","700,000","400,000","400,000","300,000"
