name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,12/31/2020
TotalAssets,"2,620,000,000","2,562,922,000","2,587,034,000","500,228,275","2,468,618,000"
	CurrentAssets,"733,000,000","668,309,000","676,142,000","217,917","553,707,000"
		CashCashEquivalentsAndShortTermInvestments,"19,375,000","14,605,000","14,429,000","85,485","21,520,000"
			CashAndCashEquivalents,"19,375,000","14,605,000","14,429,000","85,485","21,520,000"
				CashFinancial,,,,"85,485",
		Receivables,"130,513,000","107,212,000","139,716,000",,"121,228,000"
			AccountsReceivable,"130,513,000","107,212,000","139,716,000",,"121,228,000"
				GrossAccountsReceivable,"133,326,000","110,103,000","141,926,000",,"123,623,000"
				AllowanceForDoubtfulAccountsReceivable,"-2,813,000","-2,891,000","-2,210,000",,"-2,395,000"
		Inventory,"565,716,000","533,530,000","506,397,000",,"391,679,000"
		PrepaidAssets,,,,"132,432",
		OtherCurrentAssets,"17,396,000","12,962,000","15,600,000",,"19,280,000"
	TotalNonCurrentAssets,"1,887,000,000","1,894,613,000","1,910,892,000","500,010,358","1,914,911,000"
		NetPPE,"252,910,000","256,581,000","258,041,000",,"259,494,000"
			GrossPPE,"549,776,000","540,650,000","532,007,000",,"495,525,000"
				Properties,,"0",,,"0"
				MachineryFurnitureEquipment,,"436,236,000",,,"401,847,000"
				OtherProperties,"549,776,000","82,269,000","532,007,000",,"76,820,000"
				ConstructionInProgress,,"10,372,000",,,"5,352,000"
				Leases,,"11,773,000",,,"11,506,000"
			AccumulatedDepreciation,"-296,866,000","-284,069,000","-273,966,000",,"-236,031,000"
		GoodwillAndOtherIntangibleAssets,"1,608,350,000","1,620,071,000","1,636,540,000",,"1,642,166,000"
			Goodwill,"826,055,000","825,371,000","825,981,000",,"816,200,000"
			OtherIntangibleAssets,"782,295,000","794,700,000","810,559,000",,"825,966,000"
		NonCurrentDeferredAssets,"1,460,000","1,323,000","2,016,000","0","2,075,000"
			NonCurrentDeferredTaxesAssets,"1,460,000","1,323,000","2,016,000","0","2,075,000"
		OtherNonCurrentAssets,"24,280,000","16,638,000","14,295,000","500,010,358","11,176,000"
TotalLiabilitiesNetMinorityInterest,"1,453,626,000","1,412,827,000","1,513,604,000","92,453,018","2,104,031,000"
	CurrentLiabilities,"295,047,000","277,296,000","302,827,000","113,018","311,911,000"
		PayablesAndAccruedExpenses,"270,449,000","252,804,000","282,973,000","113,018","288,262,000"
			Payables,"202,094,000","190,955,000","223,649,000",,"207,447,000"
				AccountsPayable,"196,913,000","186,126,000","219,397,000",,"201,461,000"
				TotalTaxPayable,"5,181,000","4,829,000","4,252,000",,"5,986,000"
			CurrentAccruedExpenses,"68,355,000","61,849,000","59,324,000",,"80,815,000"
				InterestPayable,"1,751,000","1,519,000","940,000",,"12,988,000"
		CurrentDebtAndCapitalLeaseObligation,"24,598,000","24,492,000","19,854,000",,"23,649,000"
			CurrentDebt,"11,750,000","11,404,000","7,174,000",,"11,481,000"
				OtherCurrentBorrowings,"11,750,000","11,404,000","7,174,000",,"11,481,000"
			CurrentCapitalLeaseObligation,"12,848,000","13,088,000","12,680,000",,"12,168,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,158,579,000","1,135,531,000","1,210,777,000","92,340,000","1,792,120,000"
		LongTermDebtAndCapitalLeaseObligation,"1,004,306,000","981,007,000","967,861,000",,"1,604,442,000"
			LongTermDebt,"932,615,000","906,531,000","890,623,000",,"1,535,508,000"
			LongTermCapitalLeaseObligation,"71,691,000","74,476,000","77,238,000",,"68,934,000"
		NonCurrentDeferredLiabilities,"139,886,000","137,764,000","139,547,000","17,500,000","156,118,000"
			NonCurrentDeferredTaxesLiabilities,"139,886,000","137,764,000","139,547,000",,"156,118,000"
		DerivativeProductLiabilities,,,"81,180,000","74,840,000",
		OtherNonCurrentLiabilities,"14,387,000","16,760,000","22,189,000",,"31,560,000"
TotalEquityGrossMinorityInterest,"1,166,374,000","1,150,095,000","1,073,430,000","407,775,257","364,587,000"
	StockholdersEquity,"1,166,374,000","1,150,095,000","1,073,430,000","407,775,257","364,587,000"
		CapitalStock,"20,000","20,000","19,000","500,001,250","9,000"
			PreferredStock,,,,"0",
			CommonStock,"20,000","20,000","19,000","500,001,250","9,000"
		AdditionalPaidInCapital,"1,393,428,000","1,387,410,000","1,317,706,000","0","565,815,000"
		RetainedEarnings,"-212,068,000","-210,181,000","-216,728,000","-92,225,993","-171,849,000"
		GainsLossesNotAffectingRetainedEarnings,"-15,006,000","-27,154,000","-27,567,000",,"-29,388,000"
TotalCapitalization,"2,098,989,000","2,056,626,000","1,964,053,000","407,775,257","1,900,095,000"
CommonStockEquity,"1,166,374,000","1,150,095,000","1,073,430,000","407,775,257","364,587,000"
CapitalLeaseObligations,"84,539,000","87,564,000","89,918,000",,"81,102,000"
NetTangibleAssets,"-441,976,000","-469,976,000","-563,110,000","407,775,257","-1,277,579,000"
WorkingCapital,"437,953,000","391,013,000","373,315,000","104,899","241,796,000"
InvestedCapital,"2,110,739,000","2,068,030,000","1,971,227,000","407,775,257","1,911,576,000"
TangibleBookValue,"-441,976,000","-469,976,000","-563,110,000","407,775,257","-1,277,579,000"
TotalDebt,"1,028,904,000","1,005,499,000","987,715,000",,"1,628,091,000"
NetDebt,"924,990,000","903,330,000","883,368,000",,"1,525,469,000"
ShareIssued,"194,136,319","194,022,794","187,569,511","187,569,511","187,569,511"
OrdinarySharesNumber,"194,048,014","193,934,489","187,569,511","187,569,511","187,569,511"
TreasurySharesNumber,"88,305","88,305",,,
