Date,Open,High,Low,Close,Adj Close,Volume
2018-05-29,9.750000,9.750000,9.670000,9.690000,9.561179,304100
2018-05-30,9.660000,9.670000,9.660000,9.660000,9.531578,844700
2018-05-31,9.640000,9.650000,9.630000,9.630000,9.501977,497700
2018-06-01,9.630000,9.650000,9.630000,9.650000,9.521711,1665700
2018-06-04,9.630000,9.690000,9.630000,9.670000,9.541446,5600
2018-06-05,9.660000,9.670000,9.635000,9.660000,9.531578,1559000
2018-06-06,9.660000,9.660000,9.630000,9.650000,9.521711,13600
2018-06-07,9.630000,9.630000,9.600000,9.610000,9.482243,1084200
2018-06-08,9.626000,9.640000,9.610000,9.640000,9.511845,53700
2018-06-11,9.640000,9.640000,9.640000,9.640000,9.511845,0
2018-06-12,9.660000,9.660000,9.620000,9.650000,9.521711,862800
2018-06-13,9.620000,9.650000,9.610000,9.610000,9.482243,2613400
2018-06-14,9.630000,9.640000,9.620000,9.640000,9.511845,295200
2018-06-15,9.630000,9.630000,9.620000,9.620000,9.492110,4000
2018-06-18,9.620000,9.620000,9.620000,9.620000,9.492110,2200
2018-06-19,9.620000,9.620000,9.620000,9.620000,9.492110,0
2018-06-20,9.640000,9.640000,9.600000,9.620000,9.492110,612200
2018-06-21,9.620000,9.620000,9.610000,9.620000,9.492110,20800
2018-06-22,9.600000,9.620000,9.600000,9.620000,9.492110,1022600
2018-06-25,9.620000,9.630000,9.620000,9.630000,9.501977,1200
2018-06-26,9.630000,9.630000,9.630000,9.630000,9.501977,2400
2018-06-27,9.630000,9.630000,9.630000,9.630000,9.501977,0
2018-06-28,9.620000,9.640000,9.610000,9.630000,9.501977,190700
2018-06-29,9.620000,9.640000,9.590000,9.640000,9.511845,170500
2018-07-02,9.630000,9.630000,9.630000,9.630000,9.501977,400
2018-07-03,9.630000,9.630000,9.630000,9.630000,9.501977,0
2018-07-05,9.630000,9.630000,9.630000,9.630000,9.501977,0
2018-07-06,9.610000,9.630000,9.610000,9.630000,9.501977,100100
2018-07-09,9.610000,9.630000,9.610000,9.630000,9.501977,26200
2018-07-10,9.630000,9.630000,9.630000,9.630000,9.501977,0
2018-07-11,9.590000,9.620000,9.590000,9.620000,9.492110,2900
2018-07-12,9.630000,9.630000,9.620000,9.620000,9.492110,32100
2018-07-13,9.620000,9.620000,9.620000,9.620000,9.492110,0
2018-07-16,9.620000,9.620000,9.600000,9.600000,9.472377,125100
2018-07-17,9.610000,9.610000,9.610000,9.610000,9.482243,42600
2018-07-18,9.620000,9.630000,9.620000,9.630000,9.501977,25200
2018-07-19,9.630000,9.630000,9.630000,9.630000,9.501977,0
2018-07-20,9.630000,9.630000,9.630000,9.630000,9.501977,0
2018-07-23,9.650000,9.650000,9.650000,9.650000,9.521711,100
2018-07-24,9.650000,9.650000,9.650000,9.650000,9.521711,4800
2018-07-25,9.650000,9.650000,9.650000,9.650000,9.521711,0
2018-07-26,9.640000,9.650000,9.640000,9.650000,9.521711,87500
2018-07-27,9.650000,9.650000,9.650000,9.650000,9.521711,100700
2018-07-30,9.640000,9.640000,9.640000,9.640000,9.511845,25000
2018-07-31,9.640000,9.640000,9.640000,9.640000,9.511845,0
2018-08-01,9.640000,9.660000,9.640000,9.660000,9.531578,410900
2018-08-02,9.660000,9.660000,9.660000,9.660000,9.531578,0
2018-08-03,9.660000,9.660000,9.660000,9.660000,9.531578,0
2018-08-06,9.660000,9.660000,9.660000,9.660000,9.531578,0
2018-08-07,9.660000,9.660000,9.660000,9.660000,9.531578,0
2018-08-08,9.660000,9.660000,9.660000,9.660000,9.531578,0
2018-08-09,9.660000,9.660000,9.660000,9.660000,9.531578,0
2018-08-10,9.660000,9.660000,9.660000,9.660000,9.531578,0
2018-08-13,9.660000,9.660000,9.660000,9.660000,9.531578,0
2018-08-14,9.667000,9.667000,9.667000,9.667000,9.538486,1000
2018-08-15,9.670000,9.670000,9.670000,9.670000,9.541446,50000
2018-08-16,9.670000,9.670000,9.670000,9.670000,9.541446,0
2018-08-17,9.670000,9.670000,9.670000,9.670000,9.541446,800
2018-08-20,9.670000,9.670000,9.670000,9.670000,9.541446,800
2018-08-21,9.670000,9.700000,9.670000,9.700000,9.571047,3800
2018-08-22,9.700000,9.700000,9.700000,9.700000,9.571047,6400
2018-08-23,9.750000,9.750000,9.700000,9.740000,9.610515,257400
2018-08-24,9.740000,9.770000,9.690000,9.700000,9.571047,356600
2018-08-27,9.710000,9.710000,9.680000,9.700000,9.571047,72400
2018-08-28,9.680000,9.700000,9.652000,9.700000,9.571047,163900
2018-08-29,9.700000,9.700000,9.660000,9.700000,9.571047,12400
2018-08-30,9.700000,9.730000,9.700000,9.700000,9.571047,6800
2018-08-31,9.700000,9.740000,9.700000,9.700000,9.571047,6800
