name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998
OperatingCashFlow,"316,337,000","81,017,000","8,079,000","44,267,000","182,974,000","159,479,000","-12,839,000","83,342,000","239,941,000","690,000","-19,298,000","-16,867,000","66,642,000","2,888,000","-65,089,000","18,036,000","71,748,000","36,814,000","-56,184,000","10,424,000","36,659,000","905,000","-43,243,000","-1,083,000","77,488,000","2,125,000","-55,667,000","-5,649,000","33,071,000","16,581,000","-41,475,000","-1,056,000","42,382,000","-19,140,000","-11,377,000","8,200,000","5,965,000","3,439,000","-9,793,000","-14,781,000","13,058,000","26,621,000","-16,224,000","-19,545,000","-7,740,000","12,033,000","572,000","-43,287,000","3,277,000","52,694,000","27,532,000","100,074,000","45,244,000","35,528,000","28,257,000","41,386,000","42,703,000","-22,978,000","-69,897,000","29,671,000","76,968,000","8,134,000","-94,778,000","-1,970,000","75,986,000","-49,067,000","-15,547,000","9,203,000","4,350,000","-29,751,000","-3,030,000","-4,131,000","12,368,000","10,314,000","2,437,000","4,082,000","6,363,000","11,887,000","4,811,000","-15,843,000","16,867,000","5,130,000","-1,992,000","-3,983,000","4,682,000","13,661,000","-4,727,000","2,080,000","1,498,000","13,126,000","-900,000","-10,200,000","7,600,000","12,300,000","5,400,000","40,400,000"
	CashFlowFromContinuingOperatingActivities,"316,337,000","81,017,000","8,079,000","44,267,000","182,974,000","159,479,000","-12,839,000","83,342,000","239,941,000","690,000","-19,298,000","-16,867,000","66,642,000","2,888,000","-65,089,000","18,036,000","71,748,000","36,814,000","-56,184,000","10,424,000","36,659,000","905,000","-43,243,000","-1,083,000","77,488,000","2,125,000","-55,667,000","-5,649,000","33,071,000","16,581,000","-41,475,000","-1,056,000","42,382,000","-19,140,000","-11,377,000","8,200,000","5,965,000","3,439,000","-9,793,000","-14,781,000","13,058,000","26,621,000","-16,224,000","-19,545,000","-7,740,000","12,033,000","572,000","-43,287,000","3,277,000","52,694,000","27,532,000","100,074,000","45,244,000","35,528,000","28,257,000","41,386,000","42,703,000","-22,978,000","-69,897,000","29,671,000","76,968,000","8,134,000","-94,778,000","-1,970,000","75,986,000","-49,067,000","-15,547,000","9,203,000","4,350,000","-29,751,000","-3,030,000","-4,131,000","12,368,000","10,314,000","2,437,000","4,082,000","6,363,000","11,887,000","4,811,000","-15,843,000","16,867,000","5,130,000","-1,992,000","-3,983,000","4,682,000","13,661,000","-4,727,000","2,080,000","1,498,000","13,126,000","-900,000","-10,200,000","7,600,000","12,300,000","5,400,000","40,400,000"
		NetIncomeFromContinuingOperations,"181,894,000","53,507,000","35,943,000","32,826,000","59,618,000","38,935,000","23,600,000","25,583,000","34,927,000","5,065,000","9,059,000","6,685,000","19,087,000","5,303,000","4,910,000","11,540,000","17,376,000","6,184,000","4,212,000","3,911,000","14,244,000","2,749,000","2,643,000","5,210,000","14,061,000","2,422,000","889,000","32,838,000","14,850,000","390,000","214,000","5,117,000","11,503,000","-1,979,000","-3,369,000","5,206,000","13,636,000","344,000","-4,162,000",,,,,,,"-4,487,000","-4,702,000","-1,830,000","512,000","-6,338,000","10,153,000","-32,983,000","-9,180,000","-20,269,000","-14,340,000","-11,089,000","-113,260,000","-3,509,000","-6,419,000","6,626,000","13,897,000","3,332,000","-3,786,000","12,607,000","17,523,000","8,588,000","664,000","10,156,000","13,835,000","7,006,000","2,829,000","8,013,000","10,406,000","5,649,000","2,230,000","7,616,000","8,452,000","4,093,000","-480,000","6,169,000","7,703,000","3,349,000","-156,000","4,646,000","8,215,000","3,136,000","-648,000","6,987,000","10,308,000","3,598,000","500,000","7,000,000","8,500,000","2,400,000","300,000","7,000,000"
		OperatingGainsLosses,,"-55,000","-48,000",,,"-34,000","98,000","1,188,000","2,000","-848,000","24,000","1,243,000","-329,000","-42,000","84,000","252,000","15,000","84,000","-21,000","368,000","-52,000","-42,000","32,000","320,000","-68,000","-223,000","22,000","-276,000","-1,648,000","31,000","47,000","-1,069,000","67,000","211,000","-30,000","50,000","83,000","-11,000","14,000","114,000","175,000","1,000","-65,000","14,000","12,000",,,"332,000","1,023,000","28,000","-3,000","128,000","345,000","-122,000","77,000","305,000","-24,000","-3,000","-19,000","14,000","-1,040,000","6,000","-10,000","31,000","-2,470,000","1,358,000","1,039,000","320,000","239,000","1,323,000","710,000","1,360,000","13,000","26,000","12,000","-238,000","12,000","174,000","23,000","-54,000","17,000","-60,000","27,000","-133,000","82,000","12,000","9,000","98,000","2,000","34,000","-100,000","100,000","0","0","100,000",
			GainLossOnSaleOfPPE,"-167,000","-55,000","-48,000","0","-64,000","-34,000","98,000","1,188,000","2,000","-848,000","24,000","1,243,000","-329,000","-42,000","84,000","252,000","15,000","84,000","-21,000","368,000","-52,000","-42,000","32,000","320,000","-68,000","-223,000","22,000","-276,000","-1,648,000","31,000","47,000","-1,069,000","67,000","211,000","-30,000","50,000","83,000","-11,000","14,000","114,000","175,000","1,000","-65,000",,"12,000","-5,000","0","332,000","0","28,000","-3,000","25,000","-44,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"17,429,000","4,808,000","4,496,000","4,027,000","4,098,000","3,667,000","3,814,000","3,318,000","3,304,000","3,143,000","3,007,000","3,131,000","2,890,000","2,801,000","2,775,000","2,820,000","2,740,000","2,652,000","2,461,000","2,487,000","2,456,000","2,266,000","2,155,000","2,061,000","2,027,000","1,982,000","1,894,000","1,999,000","2,006,000","1,955,000","1,898,000","1,870,000","1,888,000","1,761,000","1,762,000","1,647,000","1,727,000","1,728,000","1,675,000","1,735,000","1,576,000","1,580,000","1,588,000","1,653,000","1,641,000","1,584,000","1,737,000","1,667,000","1,787,000","1,954,000","1,949,000","3,897,000","2,783,000","2,142,000","2,147,000","3,751,000","2,735,000","2,267,000","2,337,000","1,968,000","2,673,000","2,360,000","2,349,000","2,732,000","2,124,000","2,054,000","1,697,000","2,408,000","1,258,000","1,244,000","1,208,000","1,440,000","1,219,000","1,178,000","1,436,000","1,180,000","1,062,000","1,169,000","1,029,000","1,099,000","996,000","747,000","772,000","1,064,000","1,014,000","959,000","947,000","680,000","543,000","920,000","900,000","-200,000","900,000","1,300,000","600,000","1,000,000"
			DepreciationAndAmortization,"17,429,000","4,808,000","4,496,000","4,027,000","4,098,000","3,667,000","3,814,000","3,318,000","3,304,000","3,143,000","3,007,000","3,131,000","2,890,000","2,801,000","2,775,000","2,820,000","2,740,000","2,652,000","2,461,000","2,487,000","2,456,000","2,266,000","2,155,000","2,061,000","2,027,000","1,982,000","1,894,000","1,999,000","2,006,000","1,955,000","1,898,000","1,870,000","1,888,000","1,761,000","1,762,000","1,647,000","1,727,000","1,728,000","1,675,000","1,735,000","1,576,000","1,580,000","1,588,000","1,653,000","1,641,000","1,584,000","1,737,000","1,667,000","1,787,000","1,954,000","1,949,000","3,897,000","2,783,000","2,142,000","2,147,000","3,751,000","2,735,000","2,267,000","2,337,000","1,968,000","2,673,000","2,360,000","2,349,000","2,732,000","2,124,000","2,054,000","1,697,000","2,408,000","1,258,000","1,244,000","1,208,000","1,440,000","1,219,000","1,178,000","1,436,000","1,180,000","1,062,000","1,169,000","1,029,000","1,099,000","996,000","747,000","772,000","1,064,000","1,014,000","959,000","947,000","680,000","543,000","920,000","900,000","-200,000","900,000","1,300,000","600,000","1,000,000"
		DeferredTax,"4,161,000","1,485,000","-91,000","849,000","1,918,000","590,000","1,402,000","288,000","1,400,000","408,000","1,061,000","-171,000","3,051,000","821,000","683,000","-313,000","3,429,000","947,000","1,298,000","2,984,000","6,882,000","1,204,000","1,236,000","1,120,000","8,505,000","1,481,000","533,000",,,,,,,,,,,,,,,,,"0",,,,"0","0","0","0","1,504,000","0","0","9,000","19,000","-5,299,000","-1,043,000","20,000","-473,000","-667,000","-381,000","154,000","-1,175,000","1,972,000","467,000","74,000","-161,000","-132,000","-247,000","903,000","-542,000","309,000","38,000","375,000","-4,000","504,000","287,000","214,000","707,000","268,000","253,000","342,000","861,000","47,000","-39,000","223,000","-27,000","5,000","-1,435,000","1,700,000","2,400,000","-500,000","-400,000","-200,000","1,500,000"
			DeferredIncomeTax,"4,161,000","1,485,000","-91,000","849,000","1,918,000","590,000","1,402,000","288,000","1,400,000","408,000","1,061,000","-171,000","3,051,000","821,000","683,000","-313,000","3,429,000","947,000","1,298,000","2,984,000","6,882,000","1,204,000","1,236,000","1,120,000","8,505,000","1,481,000","533,000",,,,,,,,,,,,,,,,,"0",,,,"0","0","0","0","1,504,000","0","0","9,000","19,000","-5,299,000","-1,043,000","20,000","-473,000","-667,000","-381,000","154,000","-1,175,000","1,972,000","467,000","74,000","-161,000","-132,000","-247,000","903,000","-542,000","309,000","38,000","375,000","-4,000","504,000","287,000","214,000","707,000","268,000","253,000","342,000","861,000","47,000","-39,000","223,000","-27,000","5,000","-1,435,000","1,700,000","2,400,000","-500,000","-400,000","-200,000","1,500,000"
		AssetImpairmentCharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
