name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
OperatingCashFlow,"95,983,000","12,902,000","-90,729,000","32,644,000","141,166,000","53,872,000","-13,466,000","93,164,000","35,712,000","39,171,000","746,587,000","82,972,000","105,786,000","2,594,000"
	CashFlowFromContinuingOperatingActivities,"79,586,000","12,902,000","-90,729,000","32,644,000","123,113,000","53,872,000","-13,466,000","93,164,000","35,712,000","39,171,000","746,587,000","82,972,000","105,786,000","2,594,000"
		NetIncomeFromContinuingOperations,"30,978,000","-240,893,000","7,499,000","61,047,000","193,369,000","328,901,000","507,360,000","185,861,000","-94,064,000","-330,571,000","517,094,000","18,378,000","22,021,000","-13,673,000"
		OperatingGainsLosses,"-118,662,000","-6,462,000","20,862,000","-79,871,000","-65,966,000","-1,457,000","255,645,000","-292,073,000","24,718,000","51,473,000","-3,222,000","5,075,000","-31,435,000","240,000"
			GainLossOnInvestmentSecurities,"-173,217,000","-42,805,000","2,650,000","-79,871,000","-65,966,000","-1,457,000","256,706,000","-292,073,000","24,718,000","51,473,000","-11,461,000","5,075,000","-31,435,000","240,000"
			PensionAndEmployeeBenefitExpense,"54,555,000","36,343,000",,,,,,,,,,,,
		DepreciationAmortizationDepletion,"201,255,000","87,426,000","51,219,000","31,862,000","28,746,000","38,027,000","27,805,000","78,904,000","42,907,000","61,251,000","77,840,000","37,554,000","32,119,000","33,481,000"
			DepreciationAndAmortization,"201,255,000","87,426,000","51,219,000","31,862,000","28,746,000","38,027,000","27,805,000","78,904,000","42,907,000","61,251,000","77,840,000","37,554,000","32,119,000","33,481,000"
				Depreciation,"86,065,000","30,236,000","20,922,000","17,795,000","16,997,000","19,301,000","18,434,000","18,753,000","16,604,000","15,492,000","49,357,000","15,009,000","12,893,000","11,140,000"
				AmortizationCashFlow,"115,190,000","57,190,000","30,297,000","14,067,000","11,749,000","18,726,000","9,371,000","60,151,000","26,303,000","45,759,000","28,483,000","22,545,000","19,226,000","22,341,000"
					AmortizationOfIntangibles,"115,190,000","57,190,000","30,297,000","14,067,000","11,749,000","18,726,000","9,371,000","60,151,000","26,303,000","45,759,000","28,483,000","22,545,000","19,226,000","22,341,000"
		DeferredTax,"4,696,000","-76,933,000","-17,240,000","6,971,000","96,450,000","47,196,000","51,028,000","-32,803,000","-36,386,000","-13,759,000","-23,375,000","-20,141,000","-6,640,000","-29,945,000"
			DeferredIncomeTax,"4,696,000","-76,933,000","-17,240,000","6,971,000","96,450,000","47,196,000","51,028,000","-32,803,000","-36,386,000","-13,759,000","-23,375,000","-20,141,000","-6,640,000","-29,945,000"
		AssetImpairmentCharge,,,"0","0","0","0","0","11,273,000","21,971,000","231,902,000","69,121,000","-33,229,000","18,220,000","15,009,000"
		ProvisionandWriteOffofAssets,"93,872,000","23,287,000","23,465,000","23,718,000","23,319,000","19,391,000","18,171,000",,,,,,,
		UnrealizedGainLossOnInvestmentSecurities,"-219,413,000","187,330,000","-102,128,000","-29,517,000","-275,098,000","-382,540,000",,,,,,,,
		StockBasedCompensation,"90,859,000","29,687,000","21,683,000","15,438,000","19,664,000","22,702,000","48,623,000","31,719,000","79,697,000","37,181,000","145,921,000","24,585,000","35,607,000","34,675,000"
		OtherNonCashItems,"76,702,000","13,010,000","20,555,000","34,190,000","37,774,000","-6,189,000","8,033,000","8,448,000","151,000","10,354,000","31,380,000","-981,000","3,042,000","12,105,000"
		ChangeInWorkingCapital,"-80,701,000","-3,550,000","-116,644,000","-31,194,000","64,855,000","-12,159,000","-89,581,000","39,241,000","-3,282,000","-8,660,000","-17,711,000","1,270,000","32,852,000","-49,298,000"
			ChangeInReceivables,"-41,188,000","75,272,000","-42,326,000","-73,974,000","2,118,000","-42,789,000","-47,601,000","-43,735,000","-20,564,000","-27,216,000","-26,500,000","-1,392,000","-23,273,000","-40,270,000"
				ChangesInAccountReceivables,"-41,188,000","75,272,000","-42,326,000","-73,974,000","2,118,000","-42,789,000","-47,601,000","-43,735,000","-20,564,000","-27,216,000","-26,500,000","-1,392,000","-23,273,000","-40,270,000"
			ChangeInPayablesAndAccruedExpense,"-6,359,000","-84,049,000","-394,000","35,446,000","56,259,000","-8,462,000","-38,453,000","48,039,000","9,951,000","-7,971,000","37,009,000","5,289,000","31,405,000","-31,821,000"
				ChangeInPayable,"-6,359,000","-84,049,000","-394,000","35,446,000","56,259,000","-8,462,000","-38,453,000","48,039,000","9,951,000","-7,971,000","37,009,000","5,289,000","31,405,000","-31,821,000"
					ChangeInAccountPayable,"-6,359,000","-84,049,000","-394,000","35,446,000","56,259,000","-8,462,000","-38,453,000","48,039,000","9,951,000","-7,971,000","37,009,000","5,289,000","31,405,000","-31,821,000"
			ChangeInOtherCurrentAssets,"1,520,000","5,341,000","-14,816,000","-19,843,000","27,165,000","11,679,000","1,670,000","6,939,000","-12,921,000","310,000","-29,026,000","-8,303,000","14,986,000","4,682,000"
			ChangeInOtherCurrentLiabilities,"-41,312,000","-17,224,000",,,,,,,,,,,,
			ChangeInOtherWorkingCapital,"6,638,000","17,110,000","-28,113,000","27,177,000","-20,687,000","27,413,000","-5,197,000","27,998,000","20,252,000","26,217,000","806,000","5,676,000","9,734,000","18,111,000"
	CashFromDiscontinuedOperatingActivities,"16,397,000","0","0","0",,,,,,,,,,
InvestingCashFlow,"-3,336,509,000","-231,589,000","-2,690,950,000","-62,633,000","-351,337,000","205,019,000","-43,843,000","-894,685,000","-415,003,000","-518,610,000","199,694,000","-307,552,000","-227,331,000","5,660,000"
	CashFlowFromContinuingInvestingActivities,"-3,336,478,000","-231,589,000","-2,690,950,000","-62,633,000","-358,939,000","205,019,000","-43,843,000","-894,685,000","-415,003,000","-518,610,000","199,694,000","-307,552,000","-227,331,000","5,660,000"
		CapitalExpenditureReported,"-100,486,000","-30,493,000","-20,809,000","-29,976,000","-19,073,000","-20,352,000","-19,919,000","-14,223,000","-12,618,000","-14,810,000","-63,077,000","-17,672,000","-39,979,000","-15,924,000"
		NetBusinessPurchaseAndSale,"-2,885,464,000","-201,183,000","-2,669,743,000","-15,600,000","2,151,000","0","-1,166,569,000","3,076,000","16,991,000","-531,381,000","131,515,000","2,073,000","-172,911,000","-1,279,000"
			PurchaseOfBusiness,"-2,902,143,000","-202,500,000","-2,674,279,000","-25,364,000","0","0","-1,175,052,000","0","3,683,000","-532,857,000","-9,148,000","689,000","-175,712,000","-21,555,000"
			SaleOfBusiness,"16,679,000","1,317,000","4,536,000","9,764,000",,,"8,483,000","3,076,000","13,308,000","1,476,000","140,663,000","1,384,000","2,801,000","20,276,000"
		NetInvestmentPurchaseAndSale,"-17,110,000","0","-398,000","-16,713,000","1,000","217,820,000","1,143,503,000","-879,997,000","-439,486,000","0","75,294,000","-250,096,000","0","25,000,000"
			PurchaseOfInvestment,"-17,110,000","0","-398,000","-16,713,000","1,000","-7,180,000","793,503,000","-954,997,000",,,"-63,206,000","-250,096,000",,
			SaleOfInvestment,"0","0","0","0","0","225,000,000","350,000,000","75,000,000","50,000,000","0","138,500,000","0","0","25,000,000"
		DividendsReceivedCFI,,,"0","0",,,,,,,,,,
		NetOtherInvestingChanges,"-234,000","87,000","0","-344,000","-8,834,000","7,551,000","-858,000","-3,541,000","20,110,000","27,581,000","55,962,000","-41,857,000","-14,441,000","-2,137,000"
	CashFromDiscontinuedInvestingActivities,"-31,000","0","0","0",,,,,,,,,,
FinancingCashFlow,"1,187,419,000","-27,482,000","1,484,842,000","-39,690,000","-230,251,000","194,413,000","47,036,000","1,836,891,000","796,176,000","1,671,816,000","260,594,000","235,946,000","-32,762,000","-63,947,000"
	CashFlowFromContinuingFinancingActivities,"1,187,419,000","-27,482,000","1,484,842,000","-39,690,000","-523,828,000","194,413,000","47,036,000","1,836,891,000","796,176,000","1,671,816,000","260,594,000","235,946,000","-32,762,000","-63,947,000"
		NetIssuancePaymentsOfDebt,"1,379,375,000","-7,500,000","1,600,000,000","0","-213,125,000","-6,875,000","-17,187,000","496,562,000","-3,437,000","-3,438,000","1,204,028,000","-3,438,000","-3,437,000","-5,938,000"
			NetLongTermDebtIssuance,"1,379,375,000","-7,500,000","1,600,000,000","0","-213,125,000","-6,875,000","-17,187,000","496,562,000","-3,437,000","-3,438,000","1,204,028,000","-3,438,000","-3,437,000","-5,938,000"
				LongTermDebtIssuance,,,"1,600,000,000",,,,"0",,,,"1,540,000,000",,,
				LongTermDebtPayments,"-220,625,000","-7,500,000","0","0","-213,125,000","-6,875,000","-17,187,000","-3,438,000","-3,437,000","-3,438,000","-335,972,000","-3,438,000","-3,437,000","-5,938,000"
		NetCommonStockIssuance,"-38,631,000","-8,144,000","0","-29,766,000","-300,471,000","294,834,000","140,326,000","1,408,298,000","-15,888,000","-38,512,000","-239,279,000","-33,979,000","0","0"
			CommonStockIssuance,,,"0",,,"299,750,000","149,600,000",,,,,,,
			CommonStockPayments,"-38,631,000","-8,144,000","0","-29,766,000","-721,000","-4,916,000","-9,274,000","0","-15,888,000","-38,512,000","-239,279,000","-33,979,000","0","0"
		ProceedsFromStockOptionExercised,"25,000","0","0","0","25,000","1,471,000","0","0","0","0","177,202,000","0","0","573,000"
		NetOtherFinancingCharges,"-153,350,000","-11,838,000","-115,158,000","-9,924,000","-10,257,000","-95,017,000","-76,103,000","-67,969,000","815,501,000","1,713,766,000","-881,357,000","273,363,000","-29,325,000","-58,582,000"
	CashFromDiscontinuedFinancingActivities,"0","0","0","0",,,,,,,,,,
CashFlowFromDiscontinuedOperation,,,,"0",,,,,,,,,,
EndCashPosition,"1,877,214,000","1,874,666,000","2,121,864,000","3,420,157,000","3,490,640,000","3,930,321,000","3,477,110,000","3,484,853,000","2,448,749,000","2,030,212,000","3,140,358,000","687,814,000","676,975,000","831,468,000"
	ChangesInCash,"-2,053,107,000","-246,169,000","-1,296,837,000","-69,679,000","-440,422,000","453,304,000","-10,273,000","1,035,370,000","416,885,000","1,192,377,000","1,206,875,000","11,366,000","-154,307,000","-55,693,000"
	EffectOfExchangeRateChanges,"-2,548,000","-1,029,000","-1,456,000","-804,000","741,000","-93,000","2,530,000","734,000","1,652,000","-2,897,000","-1,180,000","-527,000","-186,000","325,000"
	BeginningCashPosition,"3,930,321,000","2,121,864,000","3,420,157,000","3,490,640,000","3,930,321,000","3,477,110,000","3,484,853,000","2,448,749,000","2,030,212,000","840,732,000","687,814,000","676,975,000","831,468,000","886,836,000"
CapitalExpenditure,"-100,486,000","-30,493,000","-20,809,000","-29,976,000","-19,073,000","-20,352,000","-19,919,000","-14,223,000","-12,618,000","-14,810,000","-63,077,000","-17,672,000","-39,979,000","-15,924,000"
IssuanceOfCapitalStock,,,"0",,,"299,750,000","149,600,000",,,,,,,
IssuanceOfDebt,,,"1,600,000,000",,,,"0",,,,"1,540,000,000",,,
RepaymentOfDebt,"-220,625,000","-7,500,000","0","0","-213,125,000","-6,875,000","-17,187,000","-3,438,000","-3,437,000","-3,438,000","-335,972,000","-3,438,000","-3,437,000","-5,938,000"
RepurchaseOfCapitalStock,"-38,631,000","-8,144,000","0","-29,766,000","-721,000","-4,916,000","-9,274,000","0","-15,888,000","-38,512,000","-239,279,000","-33,979,000","0","0"
FreeCashFlow,"-4,503,000","-17,591,000","-111,538,000","2,668,000","122,093,000","33,520,000","-33,385,000","78,941,000","23,094,000","24,361,000","683,510,000","65,300,000","65,807,000","-13,330,000"
