name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012
TotalRevenue,"582,994,000","144,196,000","147,980,000","145,582,000","145,236,000","148,345,000","152,679,000","157,138,000","153,407,000","137,815,000","144,979,000","151,483,000","146,121,000","138,067,000","96,995,000","98,797,000","89,131,000","83,430,000","85,795,000","85,135,000","80,494,000","52,445,000","51,750,000","50,721,000","50,809,000","50,092,000","46,389,000","42,262,000","41,889,000","40,044,000","42,136,000","36,663,000","34,523,000","24,469,000","23,387,000","21,361,000","20,584,000","20,640,000","20,357,000","17,192,000","16,285,000","14,192,000"
	OperatingRevenue,"582,994,000","144,196,000","147,980,000","145,582,000","145,236,000","148,345,000","152,679,000","157,138,000","153,407,000","137,815,000","144,979,000","151,483,000","146,121,000","138,067,000","96,995,000","98,797,000","89,131,000","83,430,000","85,795,000","85,135,000","80,494,000","52,445,000","51,750,000","50,721,000","50,809,000","50,092,000","46,389,000","42,262,000","41,889,000","40,044,000","42,136,000","36,663,000","34,523,000","24,469,000","23,387,000","21,361,000","20,584,000","20,640,000","20,357,000","17,192,000","16,285,000","14,192,000"
PretaxIncome,"269,527,000","63,019,000","67,829,000","64,969,000","73,710,000","75,725,000","73,640,000","76,143,000","47,596,000","55,003,000","64,346,000","70,536,000","63,125,000","48,257,000","42,237,000","44,837,000","37,154,000","35,769,000","37,383,000","35,210,000","26,695,000","22,399,000","22,192,000","21,659,000","17,666,000","18,614,000","15,908,000","12,126,000","15,775,000","13,988,000","15,454,000","13,503,000","7,801,000","7,140,000","6,768,000","5,886,000","6,119,000","5,688,000","6,089,000","4,493,000","3,671,000","3,124,000"
TaxProvision,"54,017,000","12,279,000","13,642,000","12,629,000","15,467,000","15,745,000","15,366,000","16,068,000","8,903,000","10,836,000","14,110,000","14,903,000","13,389,000","11,126,000","8,273,000","9,141,000","7,519,000","6,805,000","18,190,000","11,696,000","8,561,000","6,728,000","7,417,000","7,155,000","5,857,000","6,162,000","5,347,000","3,924,000","5,204,000","4,536,000","5,356,000","4,543,000","2,682,000","2,339,000","2,489,000","1,927,000","245,000",,"5,230,000","0","0",
NetIncomeCommonStockholders,"213,630,000","50,349,000","53,722,000","51,890,000","57,661,000","59,359,000","57,680,000","59,451,000","38,449,000","43,890,000","49,931,000","55,225,000","49,370,000","36,871,000","33,682,000","35,398,000","29,379,000","28,686,000","19,108,000","23,309,000","17,976,000","15,471,000","14,567,000","14,277,000","11,610,000","12,205,000","10,305,000","7,984,000","10,301,000","9,184,000","9,912,000","8,724,000","4,972,000","4,732,000","4,188,000","3,876,000","5,759,000","5,589,000","847,000","4,408,000","3,600,000","3,057,000"
	NetIncome,"215,510,000","50,740,000","54,187,000","52,340,000","58,243,000","59,980,000","58,274,000","60,075,000","38,693,000","44,167,000","50,236,000","55,633,000","49,736,000","37,131,000","33,964,000","35,696,000","29,635,000","28,964,000","19,193,000","23,514,000","18,134,000","15,671,000","14,775,000","14,504,000","11,809,000","12,452,000","10,561,000","8,202,000","10,571,000","9,452,000","10,098,000","8,960,000","5,119,000","4,801,000","4,279,000","3,959,000","5,874,000","5,688,000","859,000","4,493,000","3,671,000","3,124,000"
		NetIncomeIncludingNoncontrollingInterests,"215,510,000","50,740,000","54,187,000","52,340,000","58,243,000","59,980,000","58,274,000","60,075,000","38,693,000","44,167,000","50,236,000","55,633,000","49,736,000","37,131,000","33,964,000","35,696,000","29,635,000","28,964,000","19,193,000","23,514,000","18,134,000","15,671,000","14,775,000","14,504,000","11,809,000","12,452,000","10,561,000","8,202,000","10,571,000","9,452,000","10,098,000","8,960,000","5,119,000","4,801,000","4,279,000","3,959,000","5,874,000","5,688,000","859,000","4,493,000","3,671,000","3,124,000"
			NetIncomeContinuousOperations,"215,510,000","50,740,000","54,187,000","52,340,000","58,243,000","59,980,000","58,274,000","60,075,000","38,693,000","44,167,000","50,236,000","55,633,000","49,736,000","37,131,000","33,964,000","35,696,000","29,635,000","28,964,000","19,193,000","23,514,000","18,134,000","15,671,000","14,775,000","14,504,000","11,809,000","12,452,000","10,561,000","8,202,000","10,571,000","9,452,000","10,098,000","8,960,000","5,119,000","4,801,000","4,279,000","3,959,000","5,874,000","5,688,000","859,000","4,493,000","3,671,000","3,124,000"
	PreferredStockDividends,,,,,,,,,,,,,,,,,,,,,,,"0",,,"8,000","60,000","60,000","60,000","60,000","60,000","60,000","49,000",,,,,,,,,
	OtherunderPreferredStockDividend,"1,880,000","391,000","465,000","450,000","582,000","621,000","594,000","624,000","244,000","277,000","305,000","408,000","366,000","260,000","282,000","298,000","256,000","278,000","85,000","205,000","158,000","200,000","208,000","227,000","199,000","239,000","196,000","158,000","210,000","208,000","126,000","176,000","98,000","69,000","91,000","83,000","115,000","99,000","12,000","85,000","71,000","67,000"
DilutedNIAvailtoComStockholders,"213,630,000","50,349,000","53,722,000","51,890,000","57,661,000","59,359,000","57,680,000","59,451,000","38,449,000","43,890,000","49,931,000","55,225,000","49,370,000","36,871,000","33,682,000","35,398,000","29,379,000","28,686,000","19,108,000","23,309,000","17,976,000","15,471,000","14,567,000","14,277,000","11,610,000","12,205,000","10,305,000","7,984,000","10,301,000","9,184,000","9,912,000","8,724,000","4,972,000","4,732,000","4,188,000","3,876,000","5,759,000","5,589,000","847,000","4,408,000","3,600,000","3,057,000"
BasicEPS,,"1.19","1.39","1.22","1.35","1.39","1.35","1.39","0.9","1.03","1.17","1.3","1.15","0.85","1.11","1.17","1.02","1.02","0.69","0.85","0.65","0.83","0.79","0.78","0.64","0.67","0.58","0.48","0.61","0.55","0.59","0.54","0.32","0.38","0.35","0.33","0.49","0.487",,"0.384","0.314","0.267"
DilutedEPS,,"1.18","1.39","1.21","1.35","1.39","1.35","1.39","0.9","1.03","1.17","1.3","1.15","0.85","1.11","1.17","1.02","1.02","0.68","0.84","0.65","0.82","0.79","0.78","0.64","0.67","0.58","0.47","0.61","0.55","0.59","0.54","0.32","0.38","0.35","0.33","0.49","0.487",,"0.384","0.314","0.267"
BasicAverageShares,,"42,438,857","43,178,522","43,044,683","42,756,162","43,178,522","43,177,824","43,234,913","43,041,660","43,011,496","42,951,701","42,950,749","43,331,988","43,759,348","30,503,062","30,473,603","29,065,426","28,320,792","27,933,201","27,797,779","27,782,584","18,908,679","18,613,975","18,478,289","18,157,372","18,444,284","17,965,055","17,110,090","17,111,958","17,091,663","17,032,452","16,370,506","15,788,927","12,583,874","12,164,948","11,996,970","11,987,755","11,469,707",,"11,469,707","11,469,707","11,469,707"
DilutedAverageShares,,"42,512,249","43,222,943","43,104,075","42,815,307","43,222,943","43,177,824","43,234,913","43,177,986","43,020,055","42,951,701","42,950,749","43,331,988","43,759,348","30,503,062","30,563,717","29,157,817","28,426,145","28,041,371","27,901,579","27,887,485","19,015,810","18,716,614","18,568,622","18,235,264","18,528,031","18,047,960","17,199,281","17,198,981","17,169,596","17,123,423","16,469,231","15,890,310","12,685,517","12,252,862","11,996,970","11,987,755","11,469,707",,"11,469,707","11,469,707","11,469,707"
NetIncomeFromContinuingAndDiscontinuedOperation,"215,510,000","50,740,000","54,187,000","52,340,000","58,243,000","59,980,000","58,274,000","60,075,000","38,693,000","44,167,000","50,236,000","55,633,000","49,736,000","37,131,000","33,964,000","35,696,000","29,635,000","28,964,000","19,193,000","23,514,000","18,134,000","15,671,000","14,775,000","14,504,000","11,809,000","12,452,000","10,561,000","8,202,000","10,571,000","9,452,000","10,098,000","8,960,000","5,119,000","4,801,000","4,279,000","3,959,000","5,874,000","5,688,000","859,000","4,493,000","3,671,000","3,124,000"
NormalizedIncome,"215,827,435.619","50,871,215","54,381,127.011","52,322,268","58,253,270","59,985,544","58,285,078.707","60,121,551","51,713,195","44,638,361","53,596,204.892","61,701,988","53,422,264","48,984,366","34,309,775.505","36,784,132","32,408,050","29,432,180","19,854,200","25,847,324","22,091,212","15,769,700","15,297,637.662","14,572,340","11,860,436","12,862,097","10,920,158.977","8,631,936","10,573,680","9,683,192","10,742,275.139","9,393,592","6,118,088","5,094,664","4,352,339.835","4,282,713","5,739,600","6,051,350","487,200","4,680,000","4,453,000","3,298,200"
