name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,12/31/2020
TotalAssets,"487,226,000","470,885,000","358,692,000","385,962,000","35,126,000"
	CurrentAssets,"227,082,000","248,034,000","341,870,000","368,845,000","29,976,000"
		CashCashEquivalentsAndShortTermInvestments,"192,979,000","219,081,000","323,865,000","354,208,000","18,698,000"
			CashAndCashEquivalents,"192,979,000","219,081,000","323,865,000","354,208,000","18,698,000"
		Receivables,"16,064,000","13,842,000","8,857,000","7,189,000","5,913,000"
			AccountsReceivable,"16,064,000","13,842,000","8,857,000","7,189,000","5,913,000"
				GrossAccountsReceivable,"16,115,000","13,869,000","8,917,000","7,281,000","6,098,000"
				AllowanceForDoubtfulAccountsReceivable,"-51,000","-27,000","-60,000","-92,000","-185,000"
		Inventory,"10,835,000","9,080,000","5,549,000","3,363,000","2,900,000"
			RawMaterials,"3,824,000","2,380,000",,,"0"
			WorkInProcess,"5,084,000","6,301,000","5,980,000","3,691,000","4,277,000"
			FinishedGoods,"4,225,000","2,151,000","262,000","468,000","882,000"
			InventoriesAdjustmentsAllowances,"-2,298,000","-1,752,000","-693,000","-796,000","-2,259,000"
		PrepaidAssets,"6,821,000","5,648,000","3,599,000","4,085,000","2,465,000"
		RestrictedCash,"383,000","383,000",,,"0"
	TotalNonCurrentAssets,"260,144,000","222,851,000","16,822,000","17,117,000","5,150,000"
		NetPPE,"24,646,000","11,090,000","3,282,000","2,706,000","2,169,000"
			GrossPPE,"31,507,000","17,191,000",,,"6,888,000"
				Properties,"0","0",,,"0"
				MachineryFurnitureEquipment,"3,096,000","1,893,000",,,"1,077,000"
				OtherProperties,"27,868,000","14,647,000",,,"5,682,000"
				ConstructionInProgress,"0","256,000",,,"0"
				Leases,"543,000","395,000",,,"129,000"
			AccumulatedDepreciation,"-6,861,000","-6,101,000",,,"-4,719,000"
		GoodwillAndOtherIntangibleAssets,"235,201,000","211,491,000","13,347,000","14,235,000","2,827,000"
			Goodwill,"130,416,000","115,206,000","1,739,000","1,739,000","1,739,000"
			OtherIntangibleAssets,"104,785,000","96,285,000","11,608,000","12,496,000","1,088,000"
		OtherNonCurrentAssets,"297,000","270,000","193,000","176,000","154,000"
TotalLiabilitiesNetMinorityInterest,"169,966,000","179,028,000","279,345,000","205,941,000","136,618,000"
	CurrentLiabilities,"57,000,000","33,715,000","16,819,000","28,778,000","122,199,000"
		PayablesAndAccruedExpenses,"21,539,000","16,962,000","11,647,000","23,171,000","5,946,000"
			Payables,"6,770,000","5,441,000","5,365,000","19,320,000","4,554,000"
				AccountsPayable,"6,770,000","5,441,000","5,365,000","19,320,000","4,554,000"
			CurrentAccruedExpenses,"14,769,000","11,521,000","6,282,000","3,851,000","1,392,000"
				InterestPayable,,"0",,,"785,000"
		CurrentDebtAndCapitalLeaseObligation,"14,398,000","2,275,000","2,296,000","2,294,000","8,488,000"
			CurrentDebt,"12,262,000","2,275,000","2,296,000","2,294,000","8,488,000"
				LineOfCredit,,,"2,296,000",,
				OtherCurrentBorrowings,"12,262,000",,,"2,294,000",
			CurrentCapitalLeaseObligation,"2,136,000",,,,
		CurrentDeferredLiabilities,"9,508,000","8,189,000","2,876,000","3,313,000","3,935,000"
			CurrentDeferredRevenue,"8,550,000","7,356,000","2,876,000","3,313,000","3,935,000"
		OtherCurrentLiabilities,"11,555,000","6,289,000",,,"103,830,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"112,966,000","145,313,000","262,526,000","177,163,000","14,419,000"
		LongTermDebtAndCapitalLeaseObligation,"15,833,000","5,618,000",,,"12,345,000"
			LongTermDebt,"5,306,000","5,618,000",,,"12,345,000"
			LongTermCapitalLeaseObligation,"10,527,000",,,,
		NonCurrentDeferredLiabilities,"35,482,000","33,616,000","9,316,000","10,032,000","400,000"
			NonCurrentDeferredTaxesLiabilities,"24,176,000","21,164,000",,,"0"
			NonCurrentDeferredRevenue,"11,306,000","12,452,000","9,316,000","10,032,000","400,000"
		DerivativeProductLiabilities,"53,114,000","100,467,000","103,492,000","63,092,000","0"
		OtherNonCurrentLiabilities,"8,537,000","5,612,000","149,718,000","104,039,000","1,674,000"
TotalEquityGrossMinorityInterest,"317,260,000","291,857,000","79,347,000","180,021,000","-101,492,000"
	StockholdersEquity,"333,823,000","313,046,000","96,755,000","168,915,000","-110,312,000"
		CapitalStock,"14,000","14,000","12,000","12,000","6,000"
			PreferredStock,"0","0","0","0","0"
			CommonStock,"14,000","14,000","12,000","12,000","6,000"
		AdditionalPaidInCapital,"523,972,000","514,891,000","271,738,000","264,421,000","43,155,000"
		RetainedEarnings,"-189,583,000","-200,416,000","-175,056,000","-95,407,000","-153,264,000"
		GainsLossesNotAffectingRetainedEarnings,"-580,000","-1,443,000","61,000","-111,000","-209,000"
	MinorityInterest,"-16,563,000","-21,189,000","-17,408,000","11,106,000","8,820,000"
TotalCapitalization,"339,129,000","318,664,000","96,755,000","168,915,000","-97,967,000"
CommonStockEquity,"333,823,000","313,046,000","96,755,000","168,915,000","-110,312,000"
CapitalLeaseObligations,"12,663,000",,,,
NetTangibleAssets,"98,622,000","101,555,000","83,408,000","154,680,000","-113,139,000"
WorkingCapital,"170,082,000","214,319,000","325,051,000","340,067,000","-92,223,000"
InvestedCapital,"351,391,000","320,939,000","99,051,000","171,209,000","-89,479,000"
TangibleBookValue,"98,622,000","101,555,000","83,408,000","154,680,000","-113,139,000"
