name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,12/31/2012
TotalAssets,"474,616,000","489,513,000","512,857,000","498,174,000","476,475,000","461,852,000","460,331,000","458,121,000","459,121,000","447,339,000","444,732,000","403,773,000","388,195,000","375,898,000","357,112,000","332,636,000","299,882,000","275,072,000","269,841,000","251,230,000","227,629,000","214,049,000","194,791,000","182,786,000","168,400,000","161,314,000","157,471,000","157,199,000","148,460,000","140,085,000","137,153,000","145,466,000","135,506,000","82,397,000","60,862,000","47,586,000"
	CurrentAssets,"318,122,000","329,186,000","335,831,000","327,566,000","309,676,000","305,697,000","303,381,000","302,765,000","302,989,000","292,219,000","289,836,000","340,726,000","321,756,000","314,583,000","299,550,000","282,994,000","251,054,000","228,488,000","219,779,000","198,847,000","176,504,000","161,545,000","158,077,000","142,561,000","123,980,000","114,844,000","114,436,000","109,442,000","100,527,000","92,543,000","89,315,000","97,694,000","87,450,000","32,830,000","31,596,000","26,670,000"
		CashCashEquivalentsAndShortTermInvestments,"223,388,000","245,513,000","245,128,000","249,956,000","233,150,000","231,219,000","220,509,000","218,635,000","208,362,000","209,094,000","200,645,000","256,149,000","239,247,000","240,349,000","223,856,000","208,412,000","188,296,000","173,944,000","163,088,000","144,209,000","128,240,000","113,884,000","108,340,000","98,116,000","86,094,000","82,899,000","74,118,000","66,062,000","61,102,000","56,836,000","56,160,000","69,046,000","59,550,000","13,521,000","17,059,000","15,112,000"
			CashAndCashEquivalents,"213,399,000","235,524,000","241,576,000","238,850,000","220,014,000","211,962,000","213,984,000","214,086,000","208,362,000","198,037,000","156,131,000","213,947,000","190,236,000","196,634,000","176,282,000","166,344,000","154,284,000","142,953,000","129,693,000","114,711,000","105,105,000","92,851,000","86,009,000","84,500,000","72,400,000","66,106,000","55,090,000","51,822,000","61,102,000","56,836,000","56,160,000","69,046,000","59,550,000","13,521,000","17,059,000","15,112,000"
				CashFinancial,"36,677,000","48,817,000","38,653,000","57,496,000","48,706,000","52,812,000","46,137,000","54,332,000","50,238,000","51,560,000","43,843,000","34,834,000","19,300,000","33,671,000","25,257,000","45,660,000","43,188,000","46,237,000","50,670,000","58,032,000","51,200,000","48,533,000","43,454,000","42,290,000","55,309,000","52,164,000","43,432,000",,,,,,,,,
				CashEquivalents,"176,722,000","186,707,000","202,923,000","181,354,000","171,308,000","159,150,000","167,847,000","159,754,000","158,124,000","146,477,000","112,288,000","179,113,000","170,936,000","162,963,000","151,025,000","120,684,000","111,096,000","96,716,000","79,023,000","56,679,000","53,905,000","44,318,000","42,555,000","42,210,000","17,091,000","13,942,000","11,658,000",,,,,,,,,
			OtherShortTermInvestments,"9,989,000","9,989,000","3,552,000","11,106,000","13,136,000","19,257,000","6,525,000","4,549,000","0","11,057,000","44,514,000","42,202,000","49,011,000","43,715,000","47,574,000","42,068,000","34,012,000","30,991,000","33,395,000","29,498,000","23,135,000","21,033,000","22,331,000","13,616,000","13,694,000","16,793,000","19,028,000","14,240,000",,,,,,,,
		Receivables,"35,418,000","25,795,000","34,692,000","38,928,000","40,409,000","31,765,000","34,796,000","31,406,000","43,159,000","37,301,000","44,047,000","49,471,000","44,080,000","39,696,000","36,606,000","40,127,000","35,680,000","32,757,000","36,292,000","36,303,000","31,489,000","31,261,000","31,329,000","29,065,000","25,906,000","22,030,000","23,051,000","26,913,000","24,941,000","21,478,000","18,061,000","15,645,000","18,084,000","10,318,000","9,707,000","7,031,000"
			AccountsReceivable,"33,983,000","24,452,000","32,905,000","36,946,000","38,425,000","29,717,000","31,691,000","28,422,000","40,396,000","34,325,000","41,180,000","46,721,000","41,525,000","37,041,000","34,250,000","37,472,000","35,089,000","31,444,000","34,699,000","34,803,000","30,927,000","30,828,000","29,717,000","27,837,000","23,748,000","19,872,000","20,890,000","24,765,000","21,808,000","19,349,000","18,061,000","15,645,000","18,084,000","10,231,000","9,707,000","7,031,000"
				GrossAccountsReceivable,"35,005,000","25,314,000","34,652,000","38,477,000","39,756,000","30,907,000","33,099,000","29,775,000","42,148,000","36,104,000","43,165,000","48,948,000","43,593,000","39,062,000","37,657,000","41,394,000","39,088,000","34,710,000","39,034,000","39,984,000","38,493,000","39,360,000","36,625,000","36,425,000","31,271,000","26,017,000","28,019,000","31,064,000","26,892,000","23,094,000","22,042,000","19,784,000","21,501,000","13,621,000","13,597,000","9,092,000"
				AllowanceForDoubtfulAccountsReceivable,"-1,022,000","-862,000","-1,747,000","-1,531,000","-1,331,000","-1,190,000","-1,408,000","-1,353,000","-1,752,000","-1,779,000","-1,985,000","-2,227,000","-2,068,000","-2,021,000","-3,407,000","-3,922,000","-3,999,000","-3,266,000","-4,335,000","-5,181,000","-7,566,000","-8,532,000","-6,908,000","-8,588,000","-7,523,000","-6,145,000","-7,129,000","-6,299,000","-5,084,000","-3,745,000","-3,981,000","-4,139,000","-3,417,000","-3,390,000","-3,890,000","-2,061,000"
