name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017
TotalRevenue,"262,424,000","69,382,000","78,398,000","61,685,000","52,959,000","40,352,000","46,009,000","35,842,000","12,183,000","21,347,000","26,906,000","20,862,000","18,032,000","16,250,000","16,559,000","13,054,000","10,938,000","10,042,000","9,957,000","7,271,000","6,042,000","5,297,000"
	OperatingRevenue,"262,424,000","69,382,000","78,398,000","61,685,000","52,959,000","40,352,000","46,009,000","35,842,000","12,183,000","21,347,000","26,906,000","20,862,000","18,032,000","16,250,000","16,559,000","13,054,000","10,938,000","10,042,000","9,957,000","7,271,000","6,042,000","5,297,000"
CostOfRevenue,"37,302,000","10,004,000","11,156,000","8,624,000","7,518,000","5,981,000","7,161,000","5,211,000","1,954,000","3,297,000","4,239,000","3,456,000","3,094,000","2,854,000","3,193,000","2,467,000","2,102,000","2,294,000","1,881,000","1,565,000","1,376,000","1,196,000"
GrossProfit,"225,122,000","59,378,000","67,242,000","53,061,000","45,441,000","34,371,000","38,848,000","30,631,000","10,229,000","18,050,000","22,667,000","17,406,000","14,938,000","13,396,000","13,366,000","10,587,000","8,836,000","7,748,000","8,076,000","5,706,000","4,666,000","4,101,000"
OperatingExpense,"265,339,000","75,434,000","69,063,000","62,857,000","57,985,000","50,060,000","45,910,000","40,523,000","33,043,000","34,490,000","31,960,000","26,057,000","23,114,000","22,173,000","18,263,000","15,236,000","14,473,000","12,943,000","11,922,000","9,355,000","9,050,000","8,225,000"
	SellingGeneralAndAdministration,"224,273,000","63,564,000","58,769,000","53,243,000","48,697,000","41,906,000","38,625,000","33,216,000","26,981,000","29,052,000","28,193,000","22,434,000","20,268,000","19,570,000","16,111,000","13,465,000","12,738,000","11,213,000","10,240,000","8,179,000","7,307,000","6,632,000"
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,"2,153,000","2,005,000","1,345,000","1,254,000","864,000","801,000","887,000"
			OtherGandA,,,,,,,,,,,,,,,,"2,153,000","2,005,000","1,345,000","1,254,000","864,000","801,000","887,000"
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,"11,312,000","10,733,000","9,868,000","8,986,000","7,315,000","6,506,000","5,745,000"
	ResearchAndDevelopment,"41,066,000","11,870,000","10,294,000","9,614,000","9,288,000","8,154,000","7,285,000","7,307,000","6,062,000","5,438,000","3,767,000","3,623,000","2,846,000","2,603,000","2,152,000","1,771,000","1,735,000","1,730,000","1,682,000","1,176,000","1,743,000","1,593,000"
