name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008
TotalAssets,"701,251,000","777,333,000","828,825,000","852,790,000","750,573,000","768,458,000","782,294,000","817,567,000","288,298,000","344,655,000","395,746,000","435,924,000","461,502,000","480,821,000","270,834,000","284,751,000","307,248,000","155,373,000","173,970,000","138,012,000","155,389,000","171,886,000","182,325,000","193,542,000","100,768,000","105,653,000","112,224,000","114,739,592","113,537,586","46,506,847","17,416,876","18,535,342","18,082,596","19,873,649","168,626","597,749","28,333","29,413","28,692","65,611","76,847","568,430","3,438,596","466,166","930,205","1,460,952","1,020,235","433,729","536,438","9,632","2,477","3,347","3,942","5,612","19,792","21,113","35,956"
	CurrentAssets,"489,968,000","507,956,000","583,026,000","666,640,000","605,218,000","636,100,000","723,590,000","782,654,000","256,381,000","316,493,000","367,307,000","410,938,000","444,753,000","475,374,000","265,863,000","279,781,000","302,726,000","149,290,000","171,375,000","135,434,000","152,593,000","169,512,000","180,556,000","192,350,000","99,359,000","103,977,000","110,391,000","112,714,536","111,409,326","44,975,281","17,230,812","18,519,571","18,067,968","19,845,893","138,682","578,716","8,150","7,275","5,000","24,367","34,050","524,081","3,298,108","326,065","788,286","1,300,916","801,093","214,413","316,949","8,407","919","1,456","1,718","3,055","16,902","17,890","32,400"
		CashCashEquivalentsAndShortTermInvestments,"482,189,000","504,410,000","576,449,000","656,368,000","593,930,000","629,437,000","714,148,000","771,879,000","245,652,000","307,081,000","361,874,000","404,153,000","440,018,000","468,523,000","260,000,000","276,099,000","297,082,000","145,373,000","163,380,000","129,017,000","147,197,000","166,470,000","179,282,000","191,568,000","99,166,000","103,700,000","110,146,000","112,336,127","111,280,443","44,909,147","17,189,671","18,440,361","17,943,877","19,672,177","129,804","569,581",,"0","5,000","15,739","0","519,608","928,108","276,065","730,494","1,297,469","796,093","209,413","311,949","8,257","618","1,154","1,568","2,905","16,752","17,740","32,250"
			CashAndCashEquivalents,"92,360,000","78,229,000","58,590,000","82,763,000","131,954,000","67,329,000","68,310,000","160,614,000","52,540,000","13,969,000","38,889,000","76,912,000","54,093,000","82,152,000","80,738,000","246,017,000","297,082,000","145,373,000","163,380,000","114,285,000","107,099,000","106,717,000","92,895,000","101,222,000","8,943,000","13,642,000","10,210,000","12,556,290","111,280,443","44,909,147","17,189,671","18,440,361","17,943,877","19,672,177","129,804","569,581",,"0","5,000","15,739","0","510,217","910,608","276,065","730,494","1,297,469","795,943","209,263","311,799","8,257","618","1,154","1,568","2,905","16,752","17,740","32,250"
				CashFinancial,,,,,,,,,,"13,969,000","38,889,000","33,683,000","11,298,000",,,,"205,562,000","54,092,000","72,286,000","38,096,000","56,787,000","76,071,000","1,240,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"8,257",,,,,,,
				CashEquivalents,,,,,,,,,,,,"43,229,000","42,795,000",,,,"91,520,000","91,281,000","91,094,000","76,189,000","50,312,000","30,646,000","91,655,000",,,,,,,,,,,,,,,,"5,000",,,,,"276,065","730,494","1,297,469",,,,,,,,,,,
			OtherShortTermInvestments,"389,829,000","426,181,000","517,859,000","573,605,000","461,976,000","562,108,000","645,838,000","611,265,000","193,112,000","293,112,000","322,985,000","327,241,000","385,925,000","386,371,000","179,262,000","30,082,000",,"0","0","14,732,000","40,098,000","59,753,000","86,387,000","90,346,000","90,223,000","90,058,000","99,936,000","99,779,837",,,,,,,,,,,,"0","0","9,391","17,500",,,,"150","150","150",,,,,,,,
		Receivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,000","50,000",,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,000","50,000",,,,,,,,,,,,
		PrepaidAssets,"7,779,000","3,546,000","6,577,000","10,272,000","11,288,000","6,663,000","9,442,000","10,775,000","10,729,000","9,412,000","5,433,000","6,785,000","4,735,000","6,851,000","5,863,000","3,682,000","5,644,000","3,917,000","7,995,000","6,417,000","5,396,000","3,042,000","1,274,000","782,000","193,000","277,000","245,000","378,409","128,883","66,134","41,141","79,210","124,091","173,716","8,878","9,135","8,150","7,275",,"8,628","34,050","4,473","50,000","0","7,792","3,447","5,000","5,000","5,000",,"301","302",,,,,
		RestrictedCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,320,000",,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150",,,"150","150","150","150","150"
	TotalNonCurrentAssets,"211,283,000","269,377,000","245,799,000","186,150,000","145,355,000","132,358,000","58,704,000","34,913,000","31,917,000","28,162,000","28,439,000","24,986,000","16,749,000","5,447,000","4,971,000","4,970,000","4,522,000","6,083,000","2,595,000","2,578,000","2,796,000","2,374,000","1,769,000","1,192,000","1,409,000","1,676,000","1,833,000","2,025,056","2,128,260","1,531,566","186,064","15,771","14,628","27,756","29,944","19,033","20,183","22,138","23,692","41,244","42,797","44,349","140,488","140,101","141,919","160,036","219,142","219,316","219,489","1,225","1,558","1,891","2,224","2,557","2,890","3,223","3,556"
		NetPPE,"176,232,000","169,921,000","160,457,000","132,628,000","127,881,000","113,915,000","49,794,000","26,206,000","22,912,000","19,231,000","19,594,000","16,191,000","13,461,000","2,683,000","2,640,000","2,706,000","2,247,000","2,450,000","2,595,000","2,578,000","2,796,000","2,374,000","1,769,000","1,192,000","1,409,000","1,676,000","1,833,000","2,025,056","2,128,260","1,531,566","170,990","15,771","14,628","27,756","29,944","19,033","20,183","22,138","23,692","25,244","26,797","28,349","18,803","16,299",,,,,,,,,"2,224","2,557","2,890","3,223","3,556"
			GrossPPE,"185,482,000","178,610,000","167,801,000","138,944,000","133,831,000","119,493,000","49,794,000","26,206,000","22,912,000","23,729,000","19,594,000","16,191,000","13,461,000","6,643,000",,,,"5,483,000","5,386,000","5,123,000","5,098,000","4,455,000",,"2,835,000","2,781,000","2,779,000","2,627,000","2,554,922","2,417,932","1,635,789","209,772","49,501","47,195","43,758","43,758","31,053","31,053","31,053","31,053","31,053","31,054","31,053","20,316","16,894",,,,,,,,,"2,224","2,557","2,890","3,223","3,556"
				Properties,"0","0","0","0","0","0",,,,"0",,,,"0",,,,"0","0","0","0","0",,,,"0","0",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"9,156,000","3,163,000","3,163,000","1,170,000","1,099,000","750,000",,,,"715,000",,,,"600,000",,,,"537,000","510,000","442,000","429,000","393,000",,,,"223,000","211,000",,,"185,144",,,,,,,,,,,,,,,,,,,,,,,"2,224","2,557","2,890","3,223","3,556"
				OtherProperties,"86,827,000","81,848,000","84,474,000","58,042,000","60,042,000","59,412,000","49,794,000","26,206,000","22,912,000","15,225,000","19,594,000","16,191,000","13,461,000","4,160,000",,,,"3,207,000","3,064,000","2,942,000","2,698,000","2,405,000",,,,"1,703,000","1,563,000",,,"688,484",,,,,,,,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,"23,732,000","35,782,000","22,347,000","76,102,000","70,117,000","56,758,000",,,,"5,417,000",,,,"107,000",,,,"13,000","105,000","32,000","267,000","276,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				Leases,"65,767,000","57,817,000","57,817,000","3,630,000","2,573,000","2,573,000",,,,"2,372,000",,,,"1,776,000",,,,"1,726,000","1,707,000","1,707,000","1,704,000","1,381,000",,,,"853,000","853,000",,,"762,161",,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-9,250,000","-8,689,000","-7,344,000","-6,316,000","-5,950,000","-5,578,000",,,,"-4,498,000",,,,"-3,960,000",,,,"-3,033,000","-2,791,000","-2,545,000","-2,302,000","-2,081,000",,"-1,643,000","-1,372,000","-1,103,000","-794,000","-529,866","-289,672","-104,223","-38,782","-33,730","-32,567","-16,002","-13,814","-12,020","-10,870","-8,915","-7,361","-5,809","-4,257","-2,704","-1,513","-595",,,,,,,,,,,,,
		GoodwillAndOtherIntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","105,685","123,802","141,919","160,036","219,142","219,316","219,489","1,225","1,558","1,891",,,,,
			OtherIntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"105,685","123,802","141,919","160,036","219,142","219,316","219,489","1,225","1,558","1,891",,,,,
		InvestmentsAndAdvances,"27,701,000","91,588,000","78,247,000","46,288,000","10,227,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InvestmentinFinancialAssets,"27,701,000","91,588,000","78,247,000","46,288,000","10,227,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AvailableForSaleSecurities,"27,701,000","91,588,000","78,247,000","46,288,000","10,227,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentPrepaidAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,074",,,,,,,"0",,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"7,350,000","7,868,000","7,095,000","7,234,000","7,247,000","18,443,000","8,910,000","8,707,000","9,005,000","8,931,000","8,845,000","8,795,000","3,288,000","2,764,000","2,331,000","2,264,000","2,275,000","3,633,000",,,,,,,,,,,,,,,,,,,,,,"16,000","16,000","16,000","16,000",,,,,,,,,,,,,,
TotalLiabilitiesNetMinorityInterest,"149,259,000","155,674,000","130,495,000","108,377,000","103,142,000","111,960,000","70,453,000","59,258,000","44,985,000","45,684,000","40,683,000","38,502,000","26,570,000","14,628,000","16,674,000","14,182,000","14,690,000","9,892,000","8,529,000","8,860,000","5,503,000","4,968,000","3,194,000","4,606,000","1,830,000","1,630,000","2,855,000","1,866,196","1,910,717","1,661,760","1,258,689","1,156,472","1,276,543","2,269,932","3,509,085","3,369,071","12,306,952","11,348,889","16,610,293","16,683,973","17,335,298","13,349,348","9,129,321","1,870,111","771,114","822,867","572,222","15,777","35,198","23,120","13,620","11,020","8,270","3,328","3,170","2,020","1,828"
