name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994
TotalAssets,"10,695,806,000","10,655,500,000","10,354,982,000","8,682,459,000","8,519,475,000","8,468,002,000","8,501,361,000","8,279,028,000","8,288,323,000","8,281,732,000","8,322,225,000","8,213,584,000","8,081,142,000","7,911,885,000","7,932,066,000","7,753,741,000","7,656,086,000","7,683,442,000","7,547,808,000","1,099,408,000","1,069,753,000","1,078,525,000","1,087,214,000","1,086,794,000","1,111,647,000","1,120,232,000","1,097,922,000","1,053,734,000","1,051,644,000","1,082,285,000","897,568,000","838,782,000","814,195,000","807,121,000","805,128,000","758,692,000","767,456,000","782,512,000","779,938,000","760,948,000","749,840,000","737,583,000","712,691,000","654,810,000","686,408,000","676,987,000","719,741,000","704,298,000","693,622,000","686,473,000","670,770,000","668,745,000","663,148,000","646,940,000","673,851,000","650,249,000","629,561,000","643,364,000","615,965,000","596,361,000","585,639,000","570,219,000","543,934,000","520,947,000","498,904,000","483,827,000","465,255,000","439,320,000","425,956,000","402,867,000","384,966,000","357,210,000","340,122,000","321,226,000","323,110,000","307,179,000","299,640,000","283,840,000","271,033,000","260,861,709","250,785,558","241,114,049","208,850,246","208,700,820","202,603,390","206,984,019","205,038,731","200,582,367","181,697,661","164,544,584","142,053,336","132,875,643","124,110,881","116,958,220","110,200,127","98,354,095","88,528,099","82,689,796","76,968,399","72,262,224","68,766,067","64,118,456","61,696,473","57,698,731","52,790,505","43,099,494","38,056,894","36,517,556","35,324,918","32,587,866"
	CurrentAssets,"1,466,269,000","1,414,280,000","1,404,465,000","1,074,877,000","963,745,000","923,363,000","998,553,000","829,500,000","838,442,000","890,028,000","900,968,000","868,312,000","813,462,000","907,232,000","971,843,000","941,332,000","895,501,000","923,207,000","927,855,000","261,640,000","210,173,000","190,191,000","188,319,000","204,945,000","233,742,000","244,113,000","217,645,000","200,021,000","205,670,000","238,252,000","178,458,000","162,584,000","178,320,000","164,832,000","171,563,000","153,503,000","169,424,000","163,097,000","171,721,000","169,099,000","172,275,000","160,097,000","155,043,000","139,204,000","188,197,000","165,248,000","203,494,000","219,340,000","223,805,000","204,452,000","182,779,000","179,980,000","178,532,000","152,493,000","190,457,000","175,273,000","151,192,000","167,347,000","151,333,000","149,821,000","136,250,000","120,987,000","126,373,000","121,979,000","120,555,000","120,431,000","123,740,000","124,466,000","120,182,000","102,517,000","88,555,000","96,104,000","99,813,000","96,070,000","101,645,000","95,890,000","91,072,000","91,936,000","95,881,000","89,756,673","85,340,204","72,557,398","46,551,268","46,729,653","44,980,202","49,076,835","47,284,174","45,554,695","39,096,377","34,884,292","28,510,731","27,753,622","28,756,884","24,622,209","23,049,587","19,212,199","19,472,556","15,451,013","14,932,008","14,409,100","17,232,312","13,816,188","15,048,931","13,515,031","13,115,994","10,778,587","9,704,245","8,622,777","9,642,980","8,635,938"
		CashCashEquivalentsAndShortTermInvestments,"242,860,000","261,001,000","269,694,000","179,032,000","194,650,000","156,699,000","240,236,000","117,760,000","119,132,000","159,722,000","93,996,000","55,063,000","60,215,000","82,486,000","91,335,000","115,494,000","79,184,000","76,649,000","136,422,000","88,706,000","44,777,000","8,021,000","3,886,000","9,564,000","21,472,000","8,691,000","12,703,000","10,930,000","18,838,000","17,066,000","1,608,000","103,000","9,601,000","992,000","5,281,000","747,000","10,196,000","5,684,000","8,231,000","2,843,000","11,614,000","9,584,000","10,034,000","15,672,000","71,535,000","52,392,000","80,055,000","105,081,000","125,466,000","97,754,000","72,461,000","79,382,000","83,003,000","53,904,000","67,460,000","36,077,000","28,605,000","31,308,000","34,910,000","33,783,000","20,150,000","1,582,000","17,131,000","23,149,000","30,740,000","21,087,000","26,617,000","40,923,000","38,692,000","25,357,000","24,382,000","36,480,000","40,933,000","40,550,000","44,814,000","37,190,000","33,584,000","36,198,000","42,703,000","38,837,138","34,838,204","24,135,601","1,324,614","1,987,949","4,564,962","6,151,383","1,310,627","1,913,084","199,467","3,294,827","518,934","547,921","1,682,903","124,188","114,783","68,693","903,201","512,339","94,482","26,571","3,801,821","1,244,745","543,224","76,138","137,790","623,656","128,355","105,954","1,897,055","2,146,797"
			CashAndCashEquivalents,"242,860,000","261,001,000","269,694,000","179,032,000","194,650,000","156,699,000","240,236,000","117,760,000","119,132,000","159,722,000","93,996,000","55,063,000","60,215,000","82,486,000","91,335,000","115,494,000","79,184,000","76,649,000","136,422,000","88,706,000","44,777,000","8,021,000","3,886,000","9,564,000","21,472,000","8,691,000","12,703,000","10,930,000","18,838,000","17,066,000","1,608,000","103,000","9,601,000","992,000","5,281,000","747,000","10,196,000","5,684,000","8,231,000","2,843,000","11,614,000","9,584,000","10,034,000","15,672,000","12,778,000","28,013,000","9,665,000","12,438,000","11,108,000","30,812,000","3,099,000","22,829,000","36,340,000","22,027,000","39,434,000","24,375,000","21,465,000","23,688,000","29,026,000","33,783,000","20,150,000","1,582,000","10,668,000","17,973,000","27,816,000","18,809,000","5,835,000","40,923,000","38,692,000","25,357,000","24,382,000","36,480,000","40,933,000","40,550,000","44,814,000","37,190,000","33,584,000","36,198,000","42,703,000","38,837,138","34,838,204","24,135,601","1,324,614","1,987,949","4,564,962","6,151,383","1,310,627","1,913,084","199,467","3,294,827","518,934","547,921","1,682,903","124,188","114,783","68,693","903,201","512,339","94,482","26,571","3,801,821","1,244,745","543,224","76,138","137,790","623,656","128,355","105,954","1,897,055","2,146,797"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","58,757,000","24,379,000","70,390,000","92,643,000","114,358,000","66,942,000","69,362,000","56,553,000","46,663,000","31,877,000","28,026,000","11,702,000","7,140,000","7,620,000","5,884,000",,,"0","6,463,000","5,176,000","2,924,000","2,278,000","20,782,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"961,106,000","935,181,000","900,251,000","698,717,000","604,146,000","595,942,000","588,248,000","542,656,000","547,861,000","548,269,000","573,776,000","605,631,000","557,329,000","623,773,000","666,529,000","628,886,000","622,080,000","643,046,000","592,131,000","139,178,000","130,433,000","151,133,000","140,908,000","153,225,000","160,150,000","174,560,000","145,429,000","142,497,000","134,590,000","163,983,000","126,516,000","122,678,000","123,788,000","117,913,000","120,860,000","112,083,000","115,384,000","106,158,000","110,790,000","117,014,000","109,434,000","109,042,000","103,319,000","99,790,000","94,425,000","89,822,000","92,131,000","85,171,000","80,774,000","77,791,000","76,054,000","70,518,000","66,963,000","71,743,000","91,550,000","105,988,000","85,110,000","92,112,000","92,737,000","90,198,000","82,473,000","85,691,000","84,274,000","78,260,000","69,173,000","80,089,000","72,739,000","64,832,000","60,662,000","62,120,000","53,028,000","47,755,000","44,897,000","41,027,000","41,542,000","42,634,000","40,750,000","41,312,000","38,215,000","34,306,608","32,591,424","32,470,292","33,257,221","32,492,150","28,331,547","34,067,454","35,827,751","34,371,920","31,200,513","25,192,447","22,308,687","19,939,122","19,212,068","18,810,592","16,357,420","12,986,413","12,134,679","11,934,364","11,403,122","11,033,306","9,845,878","10,414,133","10,106,166","9,858,196","8,989,931","7,375,038","7,171,318","6,139,866","5,193,705","4,816,262"
			AccountsReceivable,"939,704,000","911,336,000","830,402,000","648,435,000","584,011,000","578,479,000","559,657,000","522,075,000","521,976,000","518,547,000","513,906,000","549,668,000","555,930,000","616,830,000","625,293,000","598,850,000","589,983,000","574,265,000","545,588,000","127,252,000","127,624,000","142,167,000","131,489,000","134,753,000","131,898,000","131,945,000","134,985,000","134,960,000","133,380,000","143,531,000","125,815,000","121,903,000","123,015,000","116,391,000","117,306,000","109,671,000","112,576,000","102,553,000","107,082,000","113,336,000","105,603,000","101,319,000","99,285,000","95,408,000","83,344,000","78,479,000","83,381,000","80,356,000","75,673,000","73,430,000","71,016,000","69,445,000","66,158,000","70,810,000","91,386,000","99,925,000","84,954,000","88,535,000","88,463,000","89,540,000","82,206,000","85,350,000","84,004,000","77,983,000","68,925,000","79,848,000","72,499,000","64,638,000","60,473,000","58,733,000","52,802,000","47,460,000","44,488,000","38,751,000","40,914,000","41,658,000","39,798,000","40,356,000","37,166,000","33,647,237","31,821,474","31,693,074","32,595,888","31,773,320","28,064,929","33,923,878","35,797,991","34,165,338","29,723,994","23,633,497",,,,"18,248,984",,,,"11,934,364",,,,,,,,,,,,
				GrossAccountsReceivable,"959,587,000","932,999,000","852,213,000","670,592,000","605,808,000","600,572,000","580,503,000","542,643,000","541,280,000","536,725,000","531,330,000","567,018,000","573,802,000","633,185,000","639,843,000","612,280,000","604,706,000","589,094,000","561,399,000","129,796,000","130,179,000","144,894,000","134,503,000","137,533,000","134,932,000","135,051,000","137,995,000","137,688,000","136,199,000","146,886,000","128,876,000","124,667,000","125,651,000","118,800,000",,,,"104,470,000",,,,"102,970,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-19,883,000","-21,663,000","-21,811,000","-22,157,000","-21,797,000","-22,093,000","-20,846,000","-20,568,000","-19,304,000","-18,178,000","-17,424,000","-17,350,000","-17,872,000","-16,355,000","-14,550,000","-13,430,000","-14,723,000","-14,829,000","-15,811,000","-2,544,000","-2,555,000","-2,727,000","-3,014,000","-2,780,000","-3,034,000","-3,106,000","-3,010,000","-2,728,000","-2,819,000","-3,355,000","-3,061,000","-2,764,000","-2,636,000","-2,409,000",,,,"-1,917,000",,,,"-1,651,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NotesReceivable,,,,,,,,,,,,,,,,,"4,059,000","4,742,000","5,984,000","646,000","546,000","560,000","574,000","549,000","554,000","648,000","731,000","804,000","921,000","1,020,000","701,000","775,000","773,000","1,522,000","2,211,000","2,412,000","2,808,000","3,605,000","894,000","864,000","1,017,000","1,034,000","1,166,000","1,345,000","1,535,000","1,391,000","1,149,000","1,051,000","974,000","4,361,000","2,898,000","1,073,000","805,000","159,000","164,000","146,000","156,000","19,000","199,000","249,000","267,000","341,000","270,000","277,000","248,000","241,000","240,000","194,000","189,000","171,000","226,000","295,000","409,000","515,000","628,000","976,000","952,000","956,000","1,049,000","659,371","769,950","777,218","661,333","718,830","266,618","143,576","29,760","206,582","1,476,519","1,558,950",,,,"561,608",,,,,,,,,,,,,,,,
