name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
TotalRevenue,"63,752,000","9,622,000","15,275,000","20,336,000","18,519,000","18,702,000","12,785,000","14,533,000","3,288,000","3,428,000","1,833,000","950,000"
	OperatingRevenue,"63,752,000","9,622,000","15,275,000","20,336,000","18,519,000","18,702,000","12,785,000","14,533,000","3,288,000","3,428,000","1,833,000","950,000"
OperatingExpense,"188,046,000","46,555,000","49,269,000","48,973,000","43,249,000","31,871,000","25,567,000","22,616,000","17,480,000","14,675,000","13,616,000","12,811,000"
	SellingGeneralAndAdministration,"41,047,000","10,611,000","11,740,000","10,667,000","8,029,000","5,909,000","5,175,000","6,838,000","3,661,000","2,559,000","2,530,000","1,501,000"
		GeneralAndAdministrativeExpense,"41,047,000","10,611,000","11,740,000","10,667,000","8,029,000","5,909,000","5,175,000","6,838,000","3,661,000","2,559,000","2,530,000","1,501,000"
			OtherGandA,"41,047,000","10,611,000","11,740,000","10,667,000","8,029,000","5,909,000","5,175,000","6,838,000","3,661,000","2,559,000","2,530,000","1,501,000"
	ResearchAndDevelopment,"146,999,000","35,944,000","37,529,000","38,306,000","35,220,000","25,962,000","20,392,000","15,778,000","13,819,000","12,116,000","11,086,000","11,310,000"
OperatingIncome,"-124,294,000","-36,933,000","-33,994,000","-28,637,000","-24,730,000","-13,169,000","-12,782,000","-8,083,000","-14,192,000","-11,247,000","-11,783,000","-11,861,000"
NetNonOperatingInterestIncomeExpense,"468,000","249,000","94,000","55,000","70,000","94,000","97,000","97,000","203,000","315,000","270,000","441,000"
	InterestIncomeNonOperating,"660,000","290,000","145,000","125,000","98,000","118,000","124,000","125,000","228,000","349,000","300,000","445,000"
	InterestExpenseNonOperating,"192,000","41,000","51,000","70,000","28,000","24,000","27,000","28,000","25,000","34,000","30,000","4,000"
PretaxIncome,"-123,826,000","-36,684,000","-33,900,000","-28,582,000","-24,660,000","-13,075,000","-12,685,000","-7,986,000","-13,989,000","-10,932,000","-11,513,000","-11,420,000"
NetIncomeCommonStockholders,"-123,826,000","-36,684,000","-33,900,000","-28,582,000","-24,660,000","-13,075,000","-12,685,000","-7,986,000","-13,989,000","-19,982,000","-11,513,000","-11,420,000"
	NetIncome,"-123,826,000","-36,684,000","-33,900,000","-28,582,000","-24,660,000","-13,075,000","-12,685,000","-7,986,000","-13,989,000","-10,932,000","-11,513,000","-11,420,000"
		NetIncomeIncludingNoncontrollingInterests,"-123,826,000","-36,684,000","-33,900,000","-28,582,000","-24,660,000","-13,075,000","-12,685,000","-7,986,000","-13,989,000","-10,932,000","-11,513,000","-11,420,000"
