name,ttm,05/31/2021,05/31/2020,05/31/2019,05/31/2018,08/31/2014
TotalRevenue,"341,383,000","185,999,000","-587,147,000","16,613,000","182,387,000","526,996,000"
	OperatingRevenue,"341,383,000","185,999,000","-587,147,000","16,613,000","182,387,000","526,996,000"
OperatingExpense,"6,917,000","1,855,000","7,004,000","4,037,000","3,808,000","6,008,000"
	SellingGeneralAndAdministration,"2,620,000","656,000","731,000","876,000","812,000","1,146,000"
		GeneralAndAdministrativeExpense,"2,620,000","656,000","731,000","876,000","812,000","1,146,000"
	OtherOperatingExpenses,"4,297,000","1,199,000","6,273,000","3,161,000","2,996,000","4,862,000"
PretaxIncome,"334,304,000","184,144,000","-594,151,000","12,576,000","178,579,000","520,988,000"
TaxProvision,"-1,451,000","-931,000","-4,850,000","-2,611,000","-4,479,000","-9,798,000"
NetIncomeCommonStockholders,"335,755,000","185,075,000","-589,301,000","15,187,000","183,058,000","530,786,000"
	NetIncome,"335,755,000","185,075,000","-589,301,000","15,187,000","183,058,000","530,786,000"
		NetIncomeIncludingNoncontrollingInterests,"335,755,000","185,075,000","-589,301,000","15,187,000","183,058,000","530,786,000"
			NetIncomeContinuousOperations,"335,755,000","185,075,000","-589,301,000","15,187,000","183,058,000","530,786,000"
DilutedNIAvailtoComStockholders,"335,755,000","185,075,000","-589,301,000","15,187,000","183,058,000","530,786,000"
BasicEPS,,"2.53","-4.66","0.12","1.588","4.861"
DilutedEPS,,"2.53","-4.66","0.12","1.588","4.861"
BasicAverageShares,,"126,400,000","126,447,554","126,300,000","115,300,000","109,200,000"
DilutedAverageShares,,"126,400,000","126,447,554","126,300,000","115,300,000","109,200,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"335,755,000","185,075,000","-589,301,000","15,187,000","183,058,000","530,786,000"
NormalizedIncome,"335,873,260","185,075,000","-589,301,000","15,187,000","183,058,000","530,786,000"
InterestIncome,"4,000","0","48,000","0","0","0"
InterestExpense,"9,241,000","2,236,000","12,649,000","7,393,000","6,963,000","12,163,000"
NetInterestIncome,"-9,237,000","-2,236,000","-12,601,000","-7,393,000","-6,963,000","-12,163,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"335,755,000","185,075,000","-589,301,000","15,187,000","183,058,000","530,786,000"
TotalUnusualItemsExcludingGoodwill,"-162,000"
TotalUnusualItems,"-162,000"
TaxRateForCalcs,"0.27","0.27","0.008","0.27","0.27","0.35"
TaxEffectOfUnusualItems,"-43,740","0","0","0","0","0"
