name,ttm,03/31/2022,12/31/2021,03/31/2021,12/31/2020
OperatingCashFlow,"-1,334,056,000","-494,649,000","-312,732,000","-218,726,000","-192,789,000"
	CashFlowFromContinuingOperatingActivities,"-1,334,056,000","-494,649,000","-312,732,000","-218,726,000","-192,789,000"
		NetIncomeFromContinuingOperations,"-1,913,095,000","-81,286,000","-1,045,680,000","-747,952,000","-311,275,000"
		OperatingGainsLosses,"71,808,000","-523,330,000","557,969,000","449,196,000","110,697,000"
			GainLossOnSaleOfPPE,"-4,000","0","-4,000","56,000","0"
			GainLossOnInvestmentSecurities,"71,812,000","-523,330,000","557,973,000","449,140,000","110,697,000"
		DepreciationAmortizationDepletion,"96,230,000","38,242,000","36,286,000","4,919,000","4,770,000"
			DepreciationAndAmortization,"96,230,000","38,242,000","36,286,000","4,919,000","4,770,000"
		AssetImpairmentCharge,"145,250,000","96,366,000",,"0",
		StockBasedCompensation,"586,513,000","174,551,000","150,557,000","104,795,000","1,357,000"
		OtherNonCashItems,"37,836,000","12,858,000","15,461,000","6,296,000",
		ChangeInWorkingCapital,"-358,598,000","-212,050,000","-76,209,000","-35,980,000","1,662,000"
			ChangeInReceivables,"-229,000","2,281,000","-2,887,000","-378,000","311,000"
				ChangesInAccountReceivables,"-229,000","2,281,000","-2,887,000","-378,000","311,000"
			ChangeInInventory,"-472,846,000","-303,022,000","-114,979,000","-5,267,000","1,504,000"
			ChangeInPrepaidAssets,"-740,000","20,523,000","-1,283,000","-3,782,000","-1,786,000"
			ChangeInPayablesAndAccruedExpense,"24,611,000","5,713,000","18,529,000","-14,544,000","-39,752,000"
				ChangeInPayable,"24,611,000","5,713,000","18,529,000","-14,544,000","-39,752,000"
					ChangeInAccountPayable,"24,611,000","5,713,000","18,529,000","-14,544,000","-39,752,000"
			ChangeInOtherCurrentAssets,"-66,172,000","-60,800,000","-11,253,000","-3,443,000","16,296,000"
			ChangeInOtherCurrentLiabilities,"189,799,000","126,862,000","32,249,000","-12,212,000","20,720,000"
			ChangeInOtherWorkingCapital,"-33,021,000","-3,607,000","3,415,000","3,646,000","4,369,000"
InvestingCashFlow,"-510,996,000","-185,082,000","-121,399,000","-94,779,000","-103,722,000"
	CashFlowFromContinuingInvestingActivities,"-510,996,000","-185,082,000","-121,399,000","-94,779,000","-103,722,000"
		NetPPEPurchaseAndSale,"-511,501,000","-185,082,000","-121,904,000","-94,779,000","-103,722,000"
			PurchaseOfPPE,"-511,523,000","-185,082,000","-121,907,000","-94,779,000","-103,722,000"
			SaleOfPPE,,,"3,000",,"0"
FinancingCashFlow,"6,438,029,000","-187,301,000","1,899,585,000","511,098,000","397,970,000"
	CashFlowFromContinuingFinancingActivities,"6,438,029,000","-187,301,000","1,899,585,000","511,098,000","397,970,000"
		NetIssuancePaymentsOfDebt,"1,999,545,000","-14,150,000","1,990,196,000","-298,000","-190,000"
			NetLongTermDebtIssuance,"1,998,446,000","-1,201,000","2,001,264,000","-298,000","-190,000"
				LongTermDebtPayments,"-3,991,000","-1,201,000","-1,173,000","-298,000","-190,000"
			NetShortTermDebtIssuance,"1,099,000","-12,949,000","-11,068,000","0","0"
				ShortTermDebtIssuance,,,"0",,"0"
				ShortTermDebtPayments,"-40,836,000","-12,949,000","-11,068,000","0","0"
		NetCommonStockIssuance,"-225,044,000","-182,265,000",,"0",
			CommonStockPayments,"-225,044,000","-182,265,000",,"0",
		NetPreferredStockIssuance,"92,920,000","0","0","507,080,000","397,761,000"
			PreferredStockIssuance,"92,920,000","0","0","510,080,000","400,001,000"
			PreferredStockPayments,"0","0","0","-3,000,000","-2,240,000"
		ProceedsFromStockOptionExercised,"186,203,000","9,114,000","2,105,000","4,316,000","399,000"
		NetOtherFinancingCharges,,,"-49,937,000",,
EndCashPosition,"5,430,988,000","5,430,988,000","6,298,020,000","838,011,000","640,418,000"
	ChangesInCash,"4,592,977,000","-867,032,000","1,465,454,000","197,593,000","101,459,000"
	BeginningCashPosition,"838,011,000","6,298,020,000","4,832,566,000","640,418,000","538,959,000"
InterestPaidSupplementalData,"882,000","312,000","303,000","57,000","30,000"
CapitalExpenditure,"-511,523,000","-185,082,000","-121,907,000","-94,779,000","-103,722,000"
IssuanceOfCapitalStock,"92,920,000","0","0","510,080,000","400,001,000"
IssuanceOfDebt,,,"2,002,437,000",,"0"
RepaymentOfDebt,"-44,827,000","-14,150,000","-12,241,000","-298,000","-190,000"
RepurchaseOfCapitalStock,"-225,044,000","-182,265,000","-42,779,000","-3,000,000","-2,240,000"
FreeCashFlow,"-1,845,579,000","-679,731,000","-434,639,000","-313,505,000","-296,511,000"
