name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994
TotalAssets,"2,736,344,000","2,592,307,000","2,568,797,000","2,512,726,000","2,361,749,000","2,314,453,000","2,217,499,000","2,199,039,000","2,305,900,000","2,371,213,000","2,361,160,000","2,394,333,000","2,354,851,000","2,349,825,000","2,419,645,000","2,433,731,000","2,488,500,000","2,406,547,000","2,411,103,000","2,121,673,000","2,052,677,000","1,943,437,000","1,833,821,000","1,837,401,000","1,777,095,000","1,784,171,000","1,928,091,000","1,950,166,000","1,921,508,000","1,939,215,000","2,112,519,000","2,144,839,000","2,113,976,000","2,151,867,000","2,119,641,000","2,060,117,000","2,103,527,000","2,089,863,000","2,091,522,000","2,021,988,000","2,022,311,000","1,976,776,000","1,962,877,000","2,001,066,000","1,913,570,000","1,783,788,000","1,798,692,000","1,731,408,000","1,757,263,000","1,705,292,000","1,751,978,000","1,652,382,000","1,628,649,000","1,718,805,000","1,927,127,000","1,937,641,000","1,795,651,000","1,645,296,000","1,626,432,000","1,550,424,000","1,451,958,000","1,394,579,000","1,355,618,000","1,323,808,000","1,246,694,000","1,161,161,000","1,152,519,000","1,108,009,000","1,086,546,000","1,059,164,000","1,083,211,000","1,038,306,000","963,005,000","928,866,000","939,540,000","932,137,000","905,700,000","901,269,000","950,452,000","959,116,000","915,583,000","781,311,000","804,044,000","803,660,000","795,466,000","790,279,000","788,058,000","828,490,000","821,566,000","775,400,000","800,300,000","765,400,000","768,500,000","782,900,000","817,300,000","814,200,000","783,900,000","712,200,000","756,600,000","723,400,000","685,500,000","647,200,000","679,800,000","655,600,000","635,900,000","617,800,000","640,100,000","636,400,000","607,100,000","556,900,000"
	CurrentAssets,"1,427,833,000","1,289,593,000","1,235,958,000","1,237,940,000","1,196,287,000","1,112,343,000","1,026,211,000","1,007,779,000","1,059,344,000","1,075,581,000","1,082,434,000","1,127,863,000","1,193,170,000","1,237,799,000","1,405,572,000","1,411,567,000","1,445,845,000","1,373,608,000","1,378,681,000","1,207,832,000","1,148,070,000","1,043,713,000","920,478,000","921,618,000","902,347,000","935,995,000","1,068,858,000","1,089,236,000","1,095,002,000","1,098,677,000","1,209,836,000","1,105,739,000","1,084,945,000","1,130,775,000","1,182,649,000","1,134,224,000","1,164,660,000","1,132,816,000","1,239,631,000","1,236,340,000","1,236,002,000","1,219,270,000","1,244,591,000","1,278,468,000","1,195,205,000","1,082,512,000","1,120,111,000","1,076,276,000","1,068,552,000","1,023,546,000","1,059,230,000","959,694,000","951,708,000","1,024,726,000","1,201,684,000","1,194,861,000","1,082,642,000","969,648,000","997,867,000","945,260,000","864,383,000","829,410,000","839,931,000","821,118,000","752,681,000","676,634,000","674,101,000","636,234,000","669,327,000","637,600,000","671,400,000","650,619,000","589,619,000","555,407,000","566,413,000","561,886,000","531,535,000","524,045,000","567,283,000","573,440,000","543,765,000","384,334,000","433,554,000","433,826,000","430,751,000","416,082,000","419,909,000","451,405,000","441,114,000","426,600,000","447,500,000","421,600,000","428,500,000","436,800,000","495,100,000","517,100,000","498,200,000","433,500,000","493,100,000","463,400,000","427,400,000","383,200,000","426,700,000","393,300,000","375,400,000","357,100,000","379,500,000","378,500,000","355,400,000","313,400,000"
		CashCashEquivalentsAndShortTermInvestments,"154,373,000","192,958,000","160,559,000","190,884,000","242,126,000","257,279,000","152,479,000","143,055,000","163,375,000","199,563,000","156,612,000","189,861,000","267,134,000","358,849,000","497,482,000","496,153,000","505,760,000","505,826,000","478,737,000","395,735,000","401,440,000","379,179,000","256,928,000","237,019,000","220,996,000","304,183,000","364,345,000","312,737,000","289,017,000","278,379,000","279,523,000","204,285,000","205,387,000","299,825,000","330,309,000","256,389,000","248,455,000","286,464,000","340,675,000","307,963,000","300,838,000","361,101,000","321,460,000","337,915,000","341,415,000","366,193,000","382,537,000","373,901,000","376,608,000","388,136,000","405,967,000","346,899,000","300,452,000","284,332,000","312,590,000","268,357,000","237,853,000","217,382,000","223,220,000","147,981,000","94,536,000","120,212,000","145,911,000","125,427,000","116,056,000","108,007,000","106,181,000","80,384,000","142,690,000","143,319,000","166,831,000","184,800,000","174,120,000","175,506,000","203,158,000","195,287,000","167,994,000","180,957,000","191,866,000","192,398,000","174,380,000","23,493,000","36,253,000","16,740,000","9,110,000","11,319,000","14,144,000","14,584,000","10,712,000","8,700,000","34,100,000","22,000,000","10,800,000","39,100,000","81,100,000","80,400,000","85,700,000","46,600,000","68,800,000","57,900,000","72,700,000","40,500,000","56,500,000","14,200,000","14,000,000","10,100,000","14,400,000","11,600,000","10,500,000","10,400,000"
			CashAndCashEquivalents,"154,373,000","192,958,000","160,559,000","190,884,000","242,126,000","257,279,000","152,479,000","143,055,000","163,375,000","199,563,000","156,612,000","189,861,000","267,134,000","358,849,000","398,200,000","357,094,000","369,056,000","326,701,000","299,453,000","395,735,000","401,440,000","379,179,000","256,928,000","237,019,000","220,996,000","304,183,000","364,345,000","312,737,000","289,017,000","278,379,000","279,523,000","204,285,000","205,387,000","299,825,000","330,309,000","256,389,000","248,455,000","286,464,000","340,675,000","307,963,000","300,838,000","361,101,000","321,460,000","337,915,000","341,415,000","366,193,000","382,537,000","373,901,000","376,608,000","388,136,000","405,967,000","346,899,000","300,452,000","284,332,000","312,590,000","268,357,000","237,853,000","217,382,000","223,220,000","147,981,000","94,536,000","120,212,000","145,911,000","125,427,000","116,056,000","108,007,000","106,181,000","80,384,000","142,690,000","92,819,000","166,831,000","179,858,000","169,178,000","170,510,000","198,166,000","190,269,000","162,979,000","176,076,000","186,797,000","192,398,000","174,380,000","23,493,000","36,253,000","16,740,000","9,110,000","11,319,000","14,144,000","14,584,000","10,712,000","8,700,000","34,000,000","22,000,000","10,800,000","39,100,000","81,100,000","80,400,000","85,700,000","46,600,000","68,800,000","57,900,000","72,700,000","40,500,000","56,500,000","14,200,000","14,000,000","10,100,000","14,400,000","11,600,000","10,500,000","10,400,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,"0","99,282,000","139,059,000","136,704,000","179,125,000","179,284,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,500,000",,"4,942,000","4,942,000","4,996,000","4,992,000","5,018,000","5,015,000","4,881,000","5,069,000",,,,,,,,,,,,"100,000",,,,,,,,,,,,,,,,,,,
		Receivables,"516,231,000","429,074,000","443,054,000","457,454,000","431,350,000","373,487,000","373,044,000","339,102,000","385,673,000","374,649,000","395,355,000","428,353,000","423,187,000","396,885,000","409,594,000","425,806,000","442,740,000","395,279,000","401,231,000","323,185,000","302,599,000","273,993,000","281,039,000","291,645,000","286,120,000","264,715,000","310,824,000","329,223,000","334,928,000","321,862,000","354,376,000","407,223,000","405,675,000","367,134,000","375,224,000","396,383,000","423,767,000","360,662,000","391,360,000","422,532,000","430,448,000","386,197,000","392,568,000","422,894,000","376,857,000","321,948,000","319,530,000","306,703,000","307,841,000","273,700,000","276,571,000","263,613,000","260,531,000","299,171,000","378,672,000","432,455,000","390,656,000","344,058,000","353,316,000","360,945,000","337,560,000","298,993,000","297,125,000","304,161,000","279,559,000","242,093,000","255,869,000","249,811,000","237,334,000","219,496,000","223,054,000","216,800,000","201,428,000","167,592,000","172,405,000","175,981,000","172,619,000","153,623,000","168,687,000","169,814,000","167,817,000","154,094,000","157,568,000","166,809,000","164,343,000","153,253,000","159,057,000","177,243,000","181,930,000","170,000,000","179,900,000","172,900,000","181,900,000","167,800,000","177,200,000","187,000,000","178,700,000","163,400,000","167,000,000","170,500,000","165,300,000","151,300,000","151,000,000","156,100,000","156,400,000","140,800,000","147,800,000","157,900,000","150,600,000","126,000,000"
			AccountsReceivable,"516,231,000","429,074,000","443,054,000","457,454,000","431,350,000","373,487,000","373,044,000","339,102,000","385,673,000","374,649,000","395,355,000","428,353,000","423,187,000","396,885,000","409,594,000","425,806,000","442,740,000","395,279,000","401,231,000","323,185,000","302,599,000","273,993,000","281,039,000","291,645,000","286,120,000","264,715,000","310,824,000","329,223,000","334,928,000","321,862,000","354,376,000","407,223,000","405,675,000","367,134,000","375,224,000","396,383,000","423,767,000","360,662,000","391,360,000","422,532,000","430,448,000","386,197,000","392,568,000","422,894,000","376,857,000","321,948,000","319,530,000","306,703,000","307,841,000","273,700,000","276,571,000","263,613,000","260,531,000","299,171,000","378,672,000","432,455,000","390,656,000","344,058,000","353,316,000","360,945,000","337,560,000","298,993,000","297,125,000","304,161,000","279,559,000","242,093,000","255,869,000","249,811,000","237,334,000","219,496,000","223,054,000","216,800,000","201,428,000","167,592,000","172,405,000","175,981,000","172,619,000","153,623,000","168,687,000","169,814,000","167,817,000","154,094,000","157,568,000","166,809,000","164,343,000",,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"526,896,000","440,179,000","456,113,000","471,595,000","445,379,000","388,266,000","388,701,000","355,530,000","401,842,000","390,651,000","412,248,000","441,031,000","436,688,000","409,712,000","423,580,000","440,085,000","458,299,000","411,222,000","417,658,000","331,553,000","310,196,000","281,761,000","288,154,000","299,008,000","293,353,000","272,014,000",,"336,540,000","341,849,000",,"362,079,000","415,821,000","414,040,000","375,532,000","383,669,000","404,839,000",,"369,316,000","398,785,000","429,234,000","437,347,000","393,276,000","400,503,000","422,894,000","385,216,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-10,665,000","-11,105,000","-13,059,000","-14,141,000","-14,029,000","-14,779,000","-15,657,000","-16,428,000","-16,169,000","-16,002,000","-16,893,000","-12,678,000","-13,501,000","-12,827,000","-13,986,000","-14,279,000","-15,559,000","-15,943,000","-16,427,000","-8,368,000","-7,597,000","-7,768,000","-7,115,000","-7,363,000","-7,233,000","-7,299,000",,"-7,317,000","-6,921,000",,"-7,703,000","-8,598,000","-8,365,000","-8,398,000","-8,445,000","-8,456,000",,"-8,654,000","-7,425,000","-6,702,000","-6,899,000","-7,079,000","-7,935,000",,"-8,359,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"599,781,000","539,919,000","524,433,000","477,677,000","415,901,000","381,258,000","396,214,000","417,525,000","398,248,000","393,748,000","411,120,000","397,752,000","375,737,000","361,829,000","377,431,000","365,634,000","381,530,000","348,667,000","389,722,000","289,635,000","281,250,000","255,406,000","285,199,000","292,587,000","292,709,000","275,930,000","308,625,000","321,723,000","332,892,000","330,840,000","337,197,000","368,027,000","363,554,000","349,963,000","369,863,000","367,631,000","377,260,000","364,890,000","390,948,000","400,562,000","401,374,000","373,238,000","421,253,000","424,480,000","368,954,000","291,730,000","315,455,000","288,386,000","276,483,000","255,743,000","276,676,000","267,550,000","300,645,000","346,932,000","419,646,000","403,833,000","381,800,000","343,849,000","355,977,000","375,127,000","373,075,000","351,144,000","336,905,000","331,043,000","301,742,000","275,745,000","269,054,000","271,203,000","248,978,000","236,275,000","230,582,000","204,444,000","177,936,000","173,709,000","167,343,000","169,742,000","168,610,000","164,674,000","169,232,000","173,043,000","167,462,000","164,503,000","165,638,000","181,209,000","190,415,000","184,173,000","181,771,000","189,766,000","192,016,000","191,600,000","185,700,000","179,400,000","193,200,000","186,300,000","194,400,000","207,600,000","198,100,000","178,600,000","168,300,000","162,100,000","160,200,000","170,700,000","182,800,000","189,600,000","182,200,000","182,900,000","192,400,000","187,900,000","172,300,000","155,300,000"
