name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
TotalAssets,"1,105,184,000","1,297,590,000","1,273,656,000","1,256,283,000","1,295,121,000","1,362,285,000","1,247,449,000","1,242,936,000","1,185,917,000","1,494,915,000","1,547,476,000","1,801,836,000","1,913,988,000","1,260,803,000","2,105,742,000","1,858,284,000","754,668,000","671,021,000","662,337,000","640,024,000","629,723,000","601,585,000","600,865,000","616,799,000","613,438,000","533,929,000","521,700,000","304,762,000","263,223,000","258,029,000","272,283,000","99,847,000","105,471,000","104,713,000","101,677,000","99,571,000","98,363,000","104,260,000","97,506,000","104,594,000","111,798,000","122,350,000","122,466,000","127,435,000","134,153,000","75,559,000","112,568,000","127,597,000","133,620,000","141,807,000","117,086,000","129,176,000","139,587,000","171,448,000","147,191,000","160,023,000","166,265,000","173,278,000","211,524,000","228,476,000","524,810,000","326,053,000","231,867,000","285,932,000","288,689,000","314,619,000","306,047,000","301,723,000","313,253,000","332,466,000","288,659,000","285,317,000","294,189,000","301,255,000","272,797,000","226,932,000","241,176,000","270,609,000","118,026,000","127,657,000","118,906,000","117,473,000","116,962,000","124,700,000","126,220,000","113,422,000","115,011,000","128,992,000","129,558,000","134,600,000","131,700,000","123,300,000","135,300,000","156,000,000","125,700,000","82,300,000","89,500,000","107,400,000","77,900,000","87,800,000","96,000,000","102,100,000","67,600,000","76,700,000","85,600,000","93,600,000","93,200,000","45,200,000","46,700,000","52,100,000","36,000,000","43,200,000"
	CurrentAssets,"276,066,000","464,751,000","432,082,000","410,901,000","437,428,000","500,559,000","857,741,000","863,624,000","830,727,000","1,123,645,000","1,183,103,000","1,442,307,000","1,567,895,000","870,540,000","1,745,225,000","1,480,470,000","349,051,000","237,021,000","224,201,000","197,177,000","174,701,000","163,053,000","140,691,000","126,563,000","133,059,000","215,572,000","210,324,000","196,725,000","191,713,000","185,158,000","198,520,000","28,585,000","33,403,000","24,881,000","16,635,000","14,570,000","17,740,000","23,823,000","17,434,000","21,096,000","23,544,000","32,230,000","26,817,000","28,139,000","31,296,000","37,019,000","35,287,000","43,402,000","50,387,000","68,166,000","59,895,000","69,470,000","67,695,000","93,929,000","85,965,000","96,112,000","101,899,000","109,943,000","115,775,000","132,183,000","427,947,000","235,557,000","64,527,000","113,903,000","112,340,000","132,967,000","117,708,000","108,542,000","131,701,000","172,824,000","125,330,000","118,811,000","124,902,000","130,157,000","105,862,000","56,973,000","63,011,000","83,753,000","48,267,000","61,219,000","51,150,000","53,574,000","52,033,000","57,581,000","57,611,000","44,649,000","44,036,000","55,509,000","58,411,000","56,700,000","54,700,000","44,200,000","58,300,000","78,000,000","46,000,000","52,300,000","63,800,000","84,100,000","54,800,000","64,400,000","75,900,000","85,400,000","50,900,000","59,500,000","67,800,000","73,000,000","74,000,000","39,900,000","41,600,000","46,800,000","31,300,000","38,600,000"
		CashCashEquivalentsAndShortTermInvestments,"203,999,000","341,108,000","323,211,000","301,835,000","339,207,000","411,186,000","795,070,000","809,880,000","771,690,000","1,069,867,000","1,149,541,000","1,392,425,000","1,501,429,000","764,572,000","1,111,871,000","1,016,723,000","291,888,000","201,661,000","202,259,000","172,627,000","159,374,000","141,048,000","124,115,000","106,953,000","113,201,000","200,219,000","187,298,000","181,609,000","177,225,000","167,336,000","186,588,000","22,027,000","25,252,000","15,979,000","3,271,000","5,923,000","5,037,000","12,381,000","7,046,000","10,385,000","11,294,000","17,041,000","12,251,000","13,441,000","16,520,000","22,697,000","24,069,000","32,195,000","39,056,000","53,232,000","44,193,000","55,510,000","52,604,000","80,671,000","71,112,000","84,996,000","90,228,000","94,408,000","98,392,000","115,400,000","410,230,000","171,848,000","31,891,000","60,783,000","67,705,000","86,930,000","73,790,000","68,274,000","89,405,000","112,492,000","80,407,000","85,878,000","97,183,000","99,034,000","86,746,000","41,843,000","33,983,000","64,248,000","35,276,000","42,556,000","37,622,000","37,688,000","39,424,000","45,559,000","40,885,000","23,663,000","31,562,000","46,492,000","47,682,000","47,200,000","45,800,000","33,700,000","46,700,000","32,800,000","24,900,000","25,600,000","26,100,000","62,300,000","13,400,000","17,700,000","22,800,000","34,800,000","7,000,000","11,200,000","16,500,000","16,000,000","12,200,000","13,300,000","7,600,000","12,100,000","700,000","2,100,000"
			CashAndCashEquivalents,"14,993,000","19,522,000","23,430,000","21,863,000","31,853,000","47,619,000","456,916,000","115,156,000","117,527,000","71,543,000","225,302,000","273,047,000","105,113,000","117,164,000","115,560,000","151,459,000","51,024,000","20,620,000","32,739,000","60,223,000","10,641,000","18,752,000","86,580,000","61,350,000","31,293,000","97,428,000","93,770,000","108,238,000","165,766,000","160,203,000","180,663,000","14,537,000","12,977,000","11,639,000","3,271,000","5,923,000","5,037,000","12,381,000","7,046,000","8,885,000","9,777,000","7,041,000","2,251,000","3,441,000","6,033,000","3,346,000","3,796,000","3,235,000","4,044,000","16,032,000","5,160,000","3,549,000","4,920,000","28,753,000","11,801,000","29,177,000","59,543,000","76,812,000","69,301,000","103,611,000","403,911,000","158,401,000","10,029,000","41,615,000","49,808,000","66,756,000","49,588,000","32,580,000","50,956,000","92,310,000","46,020,000","41,920,000","65,558,000","59,030,000","73,002,000","24,248,000","12,979,000","42,423,000","23,177,000","25,087,000","18,191,000","20,741,000","17,755,000","28,600,000","20,972,000","9,224,000","11,969,000","23,157,000","23,877,000","29,900,000","26,700,000","8,400,000","11,000,000","32,800,000","24,900,000","25,600,000","26,100,000","62,300,000","13,400,000","17,700,000","22,800,000","34,800,000","7,000,000","11,200,000","16,500,000","16,000,000","12,200,000","13,300,000","7,600,000","12,100,000","700,000","2,100,000"
			OtherShortTermInvestments,"189,006,000","321,586,000","299,781,000","279,972,000","307,354,000","363,567,000","338,154,000","694,724,000","654,163,000","998,324,000","924,239,000","1,119,378,000","1,396,316,000","647,408,000","996,311,000","865,264,000","240,864,000","181,041,000","169,520,000","112,404,000","148,733,000","122,296,000","37,535,000","45,603,000","81,908,000","102,791,000","93,528,000","73,371,000","11,459,000","7,133,000","5,925,000","7,490,000","12,275,000","4,340,000",,,,"0","0","1,500,000","1,517,000","10,000,000","10,000,000","10,000,000","10,487,000","19,351,000","20,273,000","28,960,000","35,012,000","37,200,000","39,033,000","51,961,000","47,684,000","51,918,000","59,311,000","55,819,000","30,685,000","17,596,000","29,091,000","11,789,000","6,319,000","13,447,000","21,862,000","19,168,000","17,897,000","20,174,000","24,202,000","35,694,000","38,449,000","20,182,000","34,387,000","43,958,000","31,625,000","40,004,000","13,744,000","17,595,000","21,004,000","21,825,000","12,099,000","17,469,000","19,431,000","16,947,000","21,669,000","16,959,000","19,913,000","14,439,000","19,593,000","23,335,000","23,805,000","17,300,000","19,100,000","25,300,000","35,700,000",,,,,,,,,,,,,,,,,,,
		Receivables,"41,797,000","91,646,000","70,714,000","62,850,000","55,581,000","59,064,000","32,907,000","44,553,000","46,777,000","41,748,000","21,958,000","20,259,000","26,615,000","55,850,000","46,976,000","42,001,000","40,985,000","29,970,000","15,823,000","16,669,000","7,057,000","18,218,000","9,793,000","13,653,000","17,021,000","11,683,000","11,347,000","11,674,000","7,541,000","13,641,000","6,759,000","3,902,000","5,681,000","6,724,000","10,133,000","5,534,000","8,879,000","8,942,000","6,588,000","5,751,000","7,890,000","12,307,000","9,749,000","9,067,000","9,413,000","13,602,000","9,876,000","9,777,000","10,014,000","10,400,000","14,035,000","12,568,000","13,912,000","12,100,000","2,128,000",,"10,416,000",,"15,377,000","15,017,000","15,659,000","11,521,000","7,077,000","18,667,000","20,046,000","20,954,000","24,378,000","21,016,000","18,324,000","30,847,000","30,583,000","17,936,000","14,185,000","19,051,000","9,923,000","7,689,000","17,086,000","7,356,000","7,001,000","13,498,000","7,569,000","9,798,000","6,434,000","5,163,000","4,911,000","12,824,000","3,049,000","1,938,000","2,461,000","1,700,000","2,300,000","2,900,000","4,300,000",,,,,,"3,100,000","3,000,000","2,300,000","3,100,000","2,700,000","2,000,000","1,900,000","2,300,000","1,300,000","700,000","1,200,000","800,000","700,000","700,000"
			AccountsReceivable,"41,797,000","85,453,000","64,336,000","58,156,000","54,436,000","56,847,000","32,907,000","41,874,000","39,506,000","30,387,000","21,958,000","20,259,000","26,615,000","55,850,000","46,976,000","42,001,000","37,108,000","25,596,000","12,816,000","13,462,000","7,057,000","14,700,000","6,586,000","9,966,000","11,779,000","6,170,000","5,517,000","5,532,000","7,423,000","12,634,000","5,812,000","3,133,000","4,673,000","2,222,000","5,507,000","699,000","4,622,000","4,589,000","2,157,000","817,000","1,992,000","6,110,000","1,719,000","1,038,000","1,383,000","993,000","96,000","9,777,000","298,000","618,000","2,110,000","1,050,000","2,715,000","10,958,000",,,,,"14,000","50,000","1,269,000","11,521,000","7,077,000","18,667,000","20,046,000","20,954,000","24,378,000","21,016,000","18,324,000","30,847,000","30,583,000","17,936,000","14,185,000","19,051,000","9,923,000","7,689,000","17,086,000","7,356,000","7,001,000","13,498,000","7,569,000","9,798,000","6,434,000","5,163,000","4,911,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			NotesReceivable,,,,,,,,,,,,,,"0",,,"3,877,000","3,877,000","3,007,000","3,207,000","0","3,207,000","3,207,000","3,207,000","4,767,000","4,782,000","5,547,000","5,547,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"0","6,193,000","6,378,000","4,694,000","1,145,000","2,217,000","0","2,679,000","7,271,000","11,361,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","4,575,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,"497,000",,,,"311,000",,"480,000","475,000","731,000","283,000","595,000","118,000","1,007,000","947,000","769,000","1,008,000","4,502,000","4,626,000","4,835,000","4,257,000","4,353,000","4,431,000","4,934,000","5,898,000","6,197,000","8,030,000","8,029,000","8,030,000","8,034,000","9,780,000",,"9,716,000","9,782,000","11,925,000","11,518,000","11,197,000","1,142,000",,,,,"15,363,000","14,967,000","14,390,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
