name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008
OperatingCashFlow,"293,552,000","70,260,000","104,224,000","-1,434,000","120,502,000","89,827,000","128,740,000","-40,969,000","135,333,000","85,719,000","111,210,000","5,799,000","112,998,000","76,337,000","102,549,000","-47,126,000","24,654,000","119,008,000","34,971,000","136,267,000","24,004,000","109,656,000","3,835,000","100,427,000","17,706,000","96,318,000","4,890,000","87,343,000","13,478,000","68,189,000","10,254,000","67,302,000","35,769,000","53,671,000","16,663,000","57,750,000","12,323,000","31,713,000","19,462,000","45,159,000","34,396,000","45,179,000","31,608,000","29,465,000","12,613,000","23,413,000","3,570,000","50,407,000","-18,953,000","49,080,000","-5,644,000","39,829,000","-9,593,000","36,575,000","-7,908,000","19,404,000"
	CashFlowFromContinuingOperatingActivities,"293,552,000","70,260,000","104,224,000","-1,434,000","120,502,000","89,827,000","128,740,000","-40,969,000","135,333,000","85,719,000","111,210,000","5,799,000","112,998,000","76,337,000","102,549,000","-47,126,000","24,654,000","119,008,000","34,971,000","136,267,000","24,004,000","109,656,000","3,835,000","100,427,000","17,706,000","96,318,000","4,890,000","87,343,000","13,478,000","68,189,000","10,254,000","67,302,000","35,769,000","53,671,000","16,663,000","57,750,000","12,323,000","31,713,000","19,462,000","45,159,000","34,396,000","45,179,000","31,608,000","29,465,000","12,613,000","23,413,000","3,570,000","50,407,000","-18,953,000","49,080,000","-5,644,000","39,829,000","-9,593,000","36,575,000","-7,908,000","19,404,000"
		NetIncomeFromContinuingOperations,"240,310,000","58,078,000","85,113,000","47,658,000","49,461,000","78,112,000","86,755,000","52,046,000","47,010,000","71,385,000","76,669,000","58,151,000","51,112,000","73,243,000","75,531,000","33,761,000","46,038,000","73,681,000","68,256,000","39,304,000","39,847,000","55,912,000","47,979,000","29,244,000","27,626,000","43,665,000","38,114,000","33,342,000","25,776,000","34,179,000","33,093,000","29,016,000","23,069,000","26,288,000","26,157,000","22,545,000","19,064,000","20,945,000",,,,,,,,"11,298,000","7,571,000","12,918,000","12,396,000","11,480,000","11,095,000","3,491,000","5,814,000","6,904,000","2,209,000","1,252,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"904,000","20,000","0","182,000",,,,,,,,,,,,,,"6,000"
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","182,000",,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"30,711,000","7,829,000","7,697,000","7,685,000","7,500,000","7,531,000","7,498,000","7,644,000","7,416,000","7,094,000","7,054,000","6,935,000","6,830,000","6,100,000","3,890,000","3,812,000","14,024,000","13,947,000","13,761,000","13,611,000","13,589,000","13,267,000","12,939,000","11,499,000","10,778,000","10,467,000","10,315,000","8,973,000","8,233,000","8,154,000","8,055,000","7,418,000","7,071,000","6,929,000","6,835,000","6,461,000","6,190,000","5,951,000","6,139,000","5,620,000","5,132,000","5,032,000","4,980,000","4,228,000","4,000,000","3,826,000","3,557,000","3,242,000","2,648,000","2,661,000","2,178,000","2,396,000","1,754,000","1,632,000","1,419,000","1,407,000"
			DepreciationAndAmortization,"30,711,000","7,829,000","7,697,000","7,685,000","7,500,000","7,531,000","7,498,000","7,644,000","7,416,000","7,094,000","7,054,000","6,935,000","6,830,000","6,100,000","3,890,000","3,812,000","14,024,000","13,947,000","13,761,000","13,611,000","13,589,000","13,267,000","12,939,000","11,499,000","10,778,000","10,467,000","10,315,000","8,973,000","8,233,000","8,154,000","8,055,000","7,418,000","7,071,000","6,929,000","6,835,000","6,461,000","6,190,000","5,951,000","6,139,000","5,620,000","5,132,000","5,032,000","4,980,000","4,228,000","4,000,000","3,826,000","3,557,000","3,242,000","2,648,000","2,661,000","2,178,000","2,396,000","1,754,000","1,632,000","1,419,000","1,407,000"
				Depreciation,"22,292,000","5,724,000","5,593,000","5,580,000","5,395,000","5,426,000","5,394,000","5,539,000","5,311,000","4,989,000","4,875,000","4,756,000","4,651,000","4,414,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,"8,419,000","2,105,000","2,104,000","2,105,000","2,105,000","2,105,000","2,104,000","2,105,000","2,105,000","2,105,000","2,179,000","2,179,000","2,179,000","1,686,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,"8,419,000","2,105,000","2,104,000","2,105,000","2,105,000","2,105,000","2,104,000","2,105,000","2,105,000","2,105,000","2,179,000","2,179,000","2,179,000","1,686,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,"5,378,000","1,480,000","3,341,000","496,000","61,000","1,776,000","1,000,000","670,000","-222,000","1,688,000","-203,000","500,000","-1,482,000","2,855,000","2,044,000","-14,797,000","-682,000","1,928,000","-8,973,000","441,000","-351,000","3,723,000","6,300,000","-346,000","-232,000","2,710,000","5,881,000","-228,000","-2,078,000","1,001,000","2,788,000","725,000","-2,012,000","1,150,000","3,068,000","1,354,000","-689,000","1,739,000","1,634,000","35,000","-1,940,000","-247,000","10,609,000","7,304,000","1,877,000","1,004,000","4,342,000","1,811,000","-5,947,000","-27,000","52,000","-1,279,000","-1,217,000","-79,000","2,982,000","-3,041,000"
			DeferredIncomeTax,"5,378,000","1,480,000","3,341,000","496,000","61,000","1,776,000","1,000,000","670,000","-222,000","1,688,000","-203,000","500,000","-1,482,000","2,855,000","2,044,000","-14,797,000","-682,000","1,928,000","-8,973,000","441,000","-351,000","3,723,000","6,300,000","-346,000","-232,000","2,710,000","5,881,000","-228,000","-2,078,000","1,001,000","2,788,000","725,000","-2,012,000","1,150,000","3,068,000","1,354,000","-689,000","1,739,000","1,634,000","35,000","-1,940,000","-247,000","10,609,000","7,304,000","1,877,000","1,004,000","4,342,000","1,811,000","-5,947,000","-27,000","52,000","-1,279,000","-1,217,000","-79,000","2,982,000","-3,041,000"
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,000","17,000","15,000","38,000","12,000","15,000","15,000","15,000","16,000","16,000","16,000","6,000",,,,,
		AssetImpairmentCharge,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","966,000",,,,,,,,,,,,,,,,,,,,,,
		ProvisionandWriteOffofAssets,,,,,,,,,,,,"0","0","0","0","0","3,672,000","4,997,000","5,127,000","5,521,000","3,447,000","4,383,000","5,827,000","4,849,000","3,443,000","4,520,000","5,208,000","4,000,000","3,444,000","3,968,000","4,210,000","3,774,000","3,266,000","3,795,000","5,016,000","5,396,000","4,544,000","4,941,000","4,520,000","5,621,000","3,749,000","4,122,000","6,461,000","13,317,000","7,598,000","6,988,000",,,,,,,,,,
		StockBasedCompensation,"11,697,000","3,190,000","2,811,000","2,756,000","2,940,000","3,019,000","2,616,000","2,713,000","2,678,000","2,656,000","2,560,000","2,555,000","2,549,000","2,636,000","2,442,000","10,332,000","3,265,000","3,469,000","3,126,000","3,333,000","3,298,000","2,931,000","3,242,000","3,203,000","2,933,000","2,898,000","2,834,000","2,911,000","2,909,000","2,603,000","2,533,000","2,575,000","2,633,000","2,204,000","2,268,000","2,763,000","2,735,000","2,170,000","2,063,000","2,032,000","2,022,000","1,694,000","1,655,000","1,667,000","1,700,000","1,430,000","1,364,000","1,347,000","1,301,000","1,037,000","980,000","862,000","813,000","764,000",,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,,,,,,,,,,,,,"-2,558,000","-1,886,000","-1,989,000","-3,495,000","-293,000","18,000","-545,000","-2,816,000","-405,000","-147,000","-666,000","-6,419,000","-791,000","-213,000","34,000","-3,499,000","-1,091,000","-215,000","-56,000","-65,000","0","0","0","0","-61,000","-139,000","-44,000","-492,000","-183,000","-55,000","0","-9,000",,
		OtherNonCashItems,"1,331,000","719,000","199,000","176,000","237,000","65,000","227,000","233,000","-178,000","289,000","34,000","-84,000","-221,000","3,902,000","690,000","12,998,000","479,000","539,000","2,132,000","1,537,000","92,000","122,000","244,000","2,599,000","12,000","-1,694,000","-1,140,000","1,226,000",,,,"385,000","1,969,000","121,000","0","-1,459,000","0","-2,187,000","-48,294,000","18,471,000","15,598,000","14,469,000","20,476,000","11,588,000","19,316,000","-24,000","6,880,000","6,002,000","9,490,000","4,256,000","-283,000","8,544,000","3,292,000","3,281,000","3,058,000","1,249,000"
		ChangeInWorkingCapital,"9,125,000","-1,036,000","10,063,000","-60,205,000","60,303,000","-676,000","30,644,000","-104,275,000","78,629,000","2,607,000","25,096,000","-62,258,000","54,210,000","-12,399,000","17,952,000","-93,232,000","-42,142,000","20,447,000","-48,458,000","72,520,000","-35,918,000","29,318,000","-70,138,000","51,265,000","-24,865,000","37,247,000","-58,784,000","37,101,000","-25,133,000","21,100,000","-40,020,000","23,556,000","439,000","18,637,000","-25,890,000","20,903,000","-19,555,000","1,653,000","-15,812,000","13,559,000","9,874,000","19,977,000","-12,611,000","-8,651,000","-10,595,000","-1,124,000","-20,098,000","25,210,000","-38,813,000","30,149,000","-24,689,000","25,834,000","-20,049,000","24,082,000","-22,652,000","18,531,000"
			ChangeInReceivables,"-5,205,000","-31,943,000","29,952,000","-80,127,000","76,913,000","-29,601,000","26,862,000","-73,496,000","61,835,000","-28,451,000","34,619,000","-74,909,000","65,778,000","-24,722,000","18,021,000","-69,501,000","-4,226,000","-3,558,000","-4,253,000","-6,831,000","-5,354,000","-3,410,000","-5,464,000","-6,131,000","-5,069,000","-3,676,000","-4,006,000","-5,342,000","-4,913,000","-3,052,000","-3,526,000","-3,548,000","-4,397,000","-3,962,000","-4,247,000","-4,737,000","-5,538,000","-4,641,000","-3,596,000","-6,133,000","-4,269,000","-150,000","-1,943,000","-12,881,000","-7,349,000","-6,023,000","-7,625,000","3,840,000","-38,258,000","-4,862,000","-2,310,000","-8,309,000","-3,395,000","-4,362,000","-2,509,000","-4,416,000"
				ChangesInAccountReceivables,,,,,,,,,,"-28,451,000","34,619,000","-74,909,000","65,778,000","-24,722,000","18,021,000","-69,501,000","-4,226,000","-3,558,000","-4,253,000","-6,831,000","-5,354,000","-3,410,000","-5,464,000","-6,131,000","-5,069,000","-3,676,000","-4,006,000","-5,342,000","-4,913,000","-3,052,000","-3,526,000","-3,548,000","-4,397,000","-3,962,000","-4,247,000","-4,737,000","-5,538,000","-4,641,000","-3,596,000","-6,133,000","-4,269,000","-150,000","-1,943,000","-12,881,000","-7,349,000","-6,023,000","-7,625,000","3,840,000","-38,258,000","-4,862,000","-2,310,000","-8,309,000","-3,395,000","-4,362,000",,
			ChangeInPrepaidAssets,"2,136,000",,,,,,,,,"-6,742,000","4,323,000","33,000","1,205,000","-3,425,000","2,108,000","-477,000","1,254,000","-1,332,000","617,000","-1,603,000","699,000","-2,112,000","-2,300,000","-3,394,000","3,317,000","404,000","-802,000","-2,922,000","1,656,000","-283,000","398,000","-2,379,000","1,105,000","957,000","-1,462,000","-1,731,000","-2,054,000","-2,069,000","751,000","-825,000","-742,000","-1,104,000","-1,581,000","-3,450,000","-1,075,000","-52,000","-1,168,000","-668,000","-1,255,000","-1,655,000","-1,204,000","494,000","148,000","185,000","-6,355,000","-50,000"
			ChangeInPayablesAndAccruedExpense,"7,659,000","7,804,000","-25,305,000","25,165,000","-5,000","11,685,000","47,000","7,465,000","2,183,000","9,929,000","-9,632,000","9,971,000","5,742,000","-4,098,000","-9,402,000","-21,733,000","-7,099,000","8,228,000","-2,260,000","12,864,000","-6,570,000","4,423,000","-5,358,000","-1,724,000","9,270,000","317,000","-989,000","880,000","4,030,000","-4,691,000","5,109,000","-5,502,000","9,057,000","-8,121,000","8,701,000","-4,193,000","5,718,000","-3,419,000","-15,459,000","3,868,000","12,180,000","14,500,000","-6,841,000","-6,292,000","-7,712,000","11,901,000","-12,819,000","-3,542,000","1,398,000","13,187,000","152,000","9,793,000","-4,227,000","9,294,000","-4,828,000","-799,000"
				ChangeInPayable,"11,848,000","5,427,000","-16,095,000","16,834,000","5,682,000","971,000","1,062,000","-2,896,000","-1,111,000","3,957,000","-4,580,000","1,587,000","4,801,000","-4,903,000","-2,368,000","-10,565,000","-1,936,000","563,000","1,371,000","5,715,000","-2,750,000","1,042,000","-1,037,000","-1,370,000","4,628,000","-7,014,000","3,602,000","2,483,000","-918,000","-165,000","508,000","-1,805,000","551,000","-1,702,000","6,704,000","1,740,000","-1,993,000","2,112,000","-22,132,000","4,108,000","96,000","17,298,000","-2,549,000","-5,186,000","-5,123,000","12,414,000","-11,877,000","-1,009,000","-2,060,000","8,163,000","133,000","2,613,000","-3,695,000","7,033,000",,
					ChangeInTaxPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,443,000","2,465,000","16,556,000","-3,947,000","-1,947,000","-4,371,000","6,666,000","-9,070,000","-3,264,000","-3,210,000","6,251,000","2,218,000","1,315,000","-4,202,000","4,598,000",,
						ChangeInIncomeTaxPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,443,000","2,465,000","16,556,000","-3,947,000","-1,947,000","-4,371,000","6,666,000","-9,070,000","-3,264,000","-3,210,000","6,251,000","2,218,000","1,315,000","-4,202,000","4,598,000",,
					ChangeInAccountPayable,"11,848,000","5,427,000","-16,095,000","16,834,000","5,682,000","971,000","1,062,000","-2,896,000","-1,111,000","3,957,000","-4,580,000","1,587,000","4,801,000","-4,903,000","-2,368,000","-10,565,000","-1,936,000","563,000","1,371,000","5,715,000","-2,750,000","1,042,000","-1,037,000","-1,370,000","4,628,000","-7,014,000","3,602,000","2,483,000","-918,000","-165,000","508,000","-1,805,000","551,000","-1,702,000","6,704,000","1,740,000","-1,993,000","2,112,000","332,000","665,000","-2,369,000","742,000","1,398,000","-3,239,000","-752,000","5,748,000","-2,807,000","2,255,000","1,150,000","1,912,000","-2,085,000","1,298,000","507,000","2,435,000",,
				ChangeInAccruedExpense,"-4,189,000","2,377,000","-9,210,000","8,331,000","-5,687,000","10,714,000","-1,015,000","10,361,000","3,294,000","5,972,000","-5,052,000","8,384,000","941,000","805,000","-7,034,000","-11,168,000","-5,163,000","7,665,000","-3,631,000","7,149,000","-3,820,000","3,381,000","-4,321,000","-354,000","4,642,000","7,331,000","-4,591,000","-1,603,000","4,948,000","-4,526,000","4,601,000","-3,697,000","8,506,000","-6,419,000","1,997,000","-5,933,000","7,711,000","-5,531,000","6,673,000","-240,000","12,084,000","-2,798,000","-4,292,000","-1,106,000","-2,589,000","-513,000","-942,000","-2,533,000","3,458,000","5,024,000","19,000","7,180,000","-532,000","2,261,000",,
			ChangeInOtherCurrentAssets,"598,000","-5,312,000","2,195,000","1,524,000","2,191,000","-6,166,000","5,400,000","-787,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInOtherCurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,682,000","3,345,000","-5,699,000","9,119,000","1,705,000","-3,533,000","1,438,000","-4,074,000","22,898,000","-200,000","22,079,000","-19,391,000","22,412,000","-11,812,000","17,733,000","-10,778,000","22,434,000"
