name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989,04/30/1989,04/30/1988,04/30/1987,04/30/1986
TotalAssets,"1,932,089,000","1,929,564,000","1,852,094,000","1,809,507,000","1,786,322,000","1,740,172,000","1,650,343,000","1,503,747,000","1,434,889,000","1,442,633,000","1,392,328,000","1,362,150,000","1,059,790,000","1,061,456,000","1,052,135,000","906,582,000","892,967,000","893,502,000","881,543,000","868,521,000","888,855,000","864,600,000","823,044,000","798,069,000","800,029,000","787,202,000","786,024,000","761,597,000","774,604,000","766,813,000","770,726,000","755,125,000","771,295,000","764,201,000","749,500,000","714,006,000","720,371,000","712,211,000","685,217,000","666,815,000","685,739,000","661,587,000","644,032,000","628,022,000","593,455,000","595,942,000","586,521,000","574,042,000","608,818,000","587,065,000","572,099,000","545,582,000","552,545,000","605,943,000","702,962,000","732,929,000","768,870,000","838,778,000","825,917,000","835,395,000","878,691,000","888,910,000","939,948,000","923,660,000","971,174,000","990,633,000","996,128,000","980,495,000","1,026,357,000","1,027,495,000","1,061,957,000","1,011,199,000","1,047,496,000","1,043,500,000","1,078,265,000","1,058,170,000","1,123,066,000","1,097,911,000","1,109,872,000","1,043,430,000","1,160,776,000","1,152,015,000","1,190,376,000","1,166,293,000","1,222,503,000","1,211,637,000","1,250,402,000","1,192,668,000","1,218,297,000","740,900,000","720,200,000","682,800,000","629,800,000","601,800,000","601,700,000","562,100,000","580,400,000","543,900,000","544,600,000","509,700,000","528,400,000","517,200,000","533,900,000","493,100,000","517,500,000","506,000,000","511,500,000","483,000,000","503,800,000","441,400,000","442,500,000","418,100,000","430,300,000","415,000,000","418,400,000","395,200,000","401,100,000","383,200,000","382,800,000","369,300,000","376,700,000","369,800,000","377,400,000","354,400,000","363,100,000","353,500,000","365,600,000","346,000,000","361,900,000","348,800,000","351,600,000","329,400,000","349,000,000","336,600,000","269,900,000","233,000,000"
	CurrentAssets,"951,776,000","962,304,000","965,168,000","937,255,000","926,160,000","888,197,000","796,402,000","703,952,000","626,326,000","603,298,000","561,589,000","531,303,000","541,118,000","547,405,000","537,416,000","525,912,000","518,218,000","513,679,000","496,115,000","488,885,000","517,422,000","498,108,000","485,656,000","470,373,000","481,972,000","480,951,000","473,912,000","466,339,000","476,451,000","475,069,000","495,429,000","483,787,000","522,673,000","520,075,000","516,997,000","496,949,000","500,880,000","494,560,000","470,088,000","479,930,000","500,000,000","477,526,000","462,759,000","446,333,000","432,223,000","427,717,000","416,445,000","402,095,000","428,110,000","400,442,000","378,112,000","347,530,000","347,780,000","373,201,000","408,524,000","397,089,000","427,488,000","501,481,000","483,996,000","492,893,000","540,798,000","544,308,000","573,348,000","554,389,000","584,559,000","595,235,000","598,798,000","579,670,000","638,365,000","636,704,000","676,729,000","624,921,000","653,674,000","602,653,000","639,237,000","622,772,000","679,494,000","666,912,000","679,126,000","635,231,000","671,692,000","652,060,000","685,844,000","654,467,000","708,776,000","691,276,000","727,550,000","668,613,000","692,369,000","447,700,000","448,200,000","415,900,000","425,600,000","404,100,000","404,200,000","364,900,000","383,000,000","355,400,000","352,400,000","319,300,000","342,800,000","331,500,000","348,000,000","306,200,000","337,100,000","326,600,000","333,600,000","306,900,000","325,400,000","306,600,000","305,700,000","278,400,000","295,600,000","287,200,000","290,800,000","272,100,000","279,000,000","262,000,000","259,900,000","245,900,000","253,600,000","246,700,000","255,000,000","230,800,000","238,200,000","226,100,000","237,000,000","217,700,000","240,400,000","230,300,000","233,700,000","213,500,000","235,800,000","219,400,000","186,900,000","158,000,000"
		CashCashEquivalentsAndShortTermInvestments,"245,589,000","236,712,000","293,341,000","332,960,000","391,213,000","390,324,000","350,949,000","334,204,000","261,553,000","166,272,000","117,569,000","111,622,000","129,819,000","101,579,000","93,867,000","134,247,000","134,515,000","135,266,000","122,345,000","119,628,000","141,860,000","110,320,000","105,571,000","117,159,000","112,358,000","97,698,000","74,566,000","87,519,000","98,302,000","98,410,000","115,325,000","116,309,000","149,661,000","140,112,000","136,245,000","139,500,000","131,085,000","111,981,000","86,608,000","112,564,000","152,370,000","148,074,000","117,533,000","110,426,000","115,262,000","109,632,000","83,656,000","93,133,000","108,421,000","79,511,000","59,037,000","38,333,000","17,364,000","18,686,000","14,485,000","11,110,000","14,982,000","63,175,000","32,692,000","23,786,000","51,721,000","17,484,000","20,529,000","28,393,000","24,089,000","20,508,000","15,037,000","19,011,000","37,705,000","25,994,000","28,677,000","28,965,000","33,882,000","25,774,000","24,587,000","28,422,000","28,817,000","23,817,000","23,723,000","25,550,000","26,771,000","26,781,000","24,797,000","42,447,000","23,565,000","20,409,000","16,741,000","18,025,000","14,353,000","16,500,000","12,800,000","48,100,000","33,600,000","44,000,000","22,700,000","45,600,000","28,700,000","38,200,000","23,700,000","39,600,000","25,400,000","37,600,000","15,000,000","26,900,000","27,100,000","42,800,000","15,900,000","39,800,000","27,000,000","41,600,000","12,300,000","31,200,000","25,900,000","32,400,000","8,400,000","33,400,000","28,800,000","45,500,000","21,900,000","36,800,000","21,700,000","18,400,000","1,800,000","12,800,000","13,000,000","14,100,000","3,600,000","14,300,000","6,700,000","14,900,000","4,800,000","15,500,000","18,200,000","16,900,000","22,600,000","15,700,000"
			CashAndCashEquivalents,"245,589,000","236,712,000","293,341,000","332,960,000","391,213,000","390,324,000","350,949,000","334,204,000","261,553,000","166,272,000","117,569,000","111,622,000","129,819,000","101,579,000","93,867,000","134,247,000","134,515,000","135,266,000","122,345,000","119,628,000","141,860,000","110,320,000","105,571,000","117,159,000","112,358,000","97,698,000","74,566,000","87,519,000","98,302,000","98,410,000","115,325,000","116,309,000","149,661,000","140,112,000","136,245,000","139,500,000","131,085,000","111,981,000","86,608,000","112,564,000","152,370,000","148,074,000","117,533,000","110,426,000","115,262,000","109,632,000","83,656,000","93,133,000","108,421,000","79,511,000","59,037,000","38,333,000","17,364,000","18,686,000","14,485,000","11,110,000","14,982,000","63,175,000","32,692,000","23,786,000","51,721,000","17,484,000","20,529,000","28,393,000","24,089,000","20,508,000","15,037,000","19,011,000","37,705,000","25,994,000","28,677,000","28,965,000","33,882,000","25,774,000","24,587,000","28,422,000","28,817,000","23,817,000","23,723,000","25,550,000","26,771,000","26,781,000","24,797,000","42,447,000","23,565,000","20,409,000","16,741,000","18,025,000","14,353,000","16,500,000","12,800,000","48,100,000","33,600,000","44,000,000","22,700,000","45,600,000","28,700,000","38,200,000","23,700,000","39,600,000","25,400,000","37,600,000","15,000,000","26,900,000","27,100,000","42,800,000","15,900,000","39,800,000","27,000,000","41,600,000","12,300,000","31,200,000","25,900,000","32,400,000","8,400,000","33,400,000","28,800,000","45,500,000","21,900,000","36,800,000","21,700,000","18,400,000","1,800,000","12,800,000","13,000,000","14,100,000","3,600,000","14,300,000","6,700,000","14,900,000","4,800,000","15,500,000","18,200,000","16,900,000","22,600,000","15,700,000"
		Receivables,"183,747,000","163,018,000","173,998,000","141,597,000","139,341,000","129,256,000","128,324,000","97,374,000","99,351,000","153,721,000","155,086,000","134,379,000","143,288,000","149,526,000","150,507,000","138,979,000","154,055,000","146,498,000","145,167,000","134,904,000","150,846,000","143,208,000","144,575,000","128,959,000","146,545,000","142,802,000","152,857,000","135,700,000","158,548,000","149,090,000","156,403,000","139,760,000","152,614,000","151,917,000","159,509,000","139,186,000","160,005,000","163,224,000","154,025,000","147,280,000","167,232,000","158,439,000","161,897,000","147,857,000","161,299,000","154,277,000","168,974,000","150,302,000","165,038,000","158,656,000","162,878,000","137,552,000","147,858,000","153,401,000","196,804,000","180,311,000","200,422,000","214,088,000","215,275,000","207,142,000","230,399,000","217,103,000","253,519,000","230,385,000","270,578,000","274,001,000","258,518,000","248,677,000","283,915,000","278,269,000","306,386,000","250,081,000","299,801,000","295,148,000","320,527,000","297,341,000","340,467,000","337,553,000","358,939,000","324,687,000","382,843,000","352,522,000","377,744,000","306,005,000","380,867,000","365,469,000","402,603,000","348,067,000","394,453,000","268,200,000","281,700,000","223,800,000","265,200,000","228,800,000","256,300,000","196,100,000","238,300,000","196,900,000","217,000,000","164,100,000","215,000,000","177,900,000","215,000,000","161,400,000","206,400,000","170,600,000","206,600,000","155,100,000","192,900,000","166,500,000","193,000,000","149,200,000","183,100,000","158,300,000","186,500,000","145,400,000","175,100,000","146,400,000","164,000,000","132,600,000","160,600,000","147,800,000","169,400,000","140,100,000","153,600,000","136,000,000","153,200,000","121,800,000","154,000,000","132,800,000","144,400,000","113,500,000","143,100,000","130,600,000","113,800,000","103,800,000"
			AccountsReceivable,"183,747,000","163,018,000","173,998,000","141,597,000","139,341,000","129,256,000","128,324,000","97,374,000","99,351,000","153,721,000","155,086,000","134,379,000","143,288,000","149,526,000","150,507,000","138,979,000","154,055,000","146,498,000","145,167,000","134,904,000","150,846,000","143,208,000","144,575,000","128,959,000","146,545,000","142,802,000","152,857,000","135,700,000","158,548,000","149,090,000","156,403,000","139,760,000","152,614,000","151,917,000","159,509,000","139,186,000","160,005,000","163,224,000","154,025,000","147,280,000","167,232,000",,"161,897,000",,"185,236,000",,,,,,,,,,"196,804,000","180,311,000","200,422,000","214,088,000","215,275,000","207,142,000","230,399,000","217,103,000","253,519,000","230,385,000","270,578,000","274,001,000","258,518,000","248,677,000","283,915,000","278,269,000","306,386,000","250,081,000","299,801,000","295,148,000","320,527,000","297,341,000","340,467,000","337,553,000",,"324,687,000","382,843,000","352,522,000","377,744,000","306,005,000","380,867,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"187,153,000","166,014,000","177,014,000","144,964,000","143,352,000","134,256,000","134,214,000","103,357,000","106,892,000","155,912,000","157,359,000","136,556,000","145,468,000","152,288,000","153,154,000","141,037,000","156,011,000","149,163,000","147,823,000","137,461,000","153,409,000","145,992,000","147,680,000","132,029,000","149,690,000","145,920,000","156,246,000","139,951,000","163,170,000","159,426,000","167,691,000","151,452,000","164,982,000","164,623,000","173,273,000","159,130,000","181,612,000","186,589,000","177,057,000","170,332,000","189,937,000",,"184,852,000",,"185,236,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-3,406,000","-2,996,000","-3,016,000","-3,367,000","-4,011,000","-5,000,000","-5,890,000","-5,983,000","-7,541,000","-2,191,000","-2,273,000","-2,177,000","-2,180,000","-2,762,000","-2,647,000","-2,058,000","-1,956,000","-2,665,000","-2,656,000","-2,557,000","-2,563,000","-2,784,000","-3,105,000","-3,070,000","-3,145,000","-3,118,000","-3,389,000","-4,251,000","-4,622,000","-10,336,000","-11,288,000","-11,692,000","-12,368,000","-12,706,000","-13,764,000","-19,944,000","-21,607,000","-23,365,000","-23,032,000","-23,052,000","-22,705,000",,"-22,955,000",,"-23,937,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-23,937,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"303,191,000","315,595,000","285,770,000","264,454,000","226,137,000","212,114,000","188,652,000","180,401,000","181,643,000","198,567,000","205,124,000","197,701,000","196,899,000","219,211,000","214,948,000","195,015,000","184,841,000","186,319,000","180,050,000","178,508,000","175,114,000","193,695,000","186,710,000","176,190,000","175,589,000","183,245,000","181,625,000","178,948,000","156,789,000","160,133,000","158,326,000","161,318,000","147,009,000","159,586,000","158,582,000","158,031,000","146,343,000","159,060,000","168,995,000","167,060,000","143,787,000","134,170,000","143,539,000","149,132,000","138,444,000","142,051,000","140,703,000","138,952,000","134,187,000","145,045,000","138,946,000","142,276,000","140,178,000","172,259,000","167,113,000","167,455,000","178,361,000","183,935,000","190,985,000","202,763,000","197,790,000","214,151,000","237,885,000","238,758,000","238,826,000","246,547,000","267,320,000","264,739,000","260,556,000","272,922,000","282,470,000","275,852,000","250,568,000","228,954,000","237,655,000","242,018,000","252,537,000","251,867,000","246,352,000","233,525,000","208,657,000","227,138,000","244,455,000","260,178,000","257,887,000","273,490,000","275,378,000","265,971,000","245,803,000","128,800,000","119,600,000","113,200,000","96,500,000","107,600,000","99,900,000","101,300,000","91,900,000","91,200,000","88,900,000","92,900,000","78,800,000","92,200,000","90,200,000","92,100,000","79,200,000","89,200,000","84,300,000","85,500,000","81,100,000","75,600,000","75,800,000","76,400,000","67,200,000","76,900,000","75,400,000","72,800,000","60,500,000","62,100,000","62,400,000","63,700,000","57,800,000","68,400,000","69,800,000","66,400,000","60,400,000","66,200,000","70,900,000","71,900,000","69,600,000","72,600,000","75,300,000","75,700,000","65,600,000","66,800,000","45,500,000","35,200,000"
