name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006
TotalRevenue,"435,407,000","83,613,000","122,154,000","111,732,000","117,907,000","69,654,000","92,158,000","90,597,000","46,493,000","-170,820,000","24,893,000","40,023,000","52,974,000","56,583,000","18,679,000","83,470,000","69,481,000","42,947,000","82,935,000","49,692,000","55,452,000","41,062,000","57,036,000","52,147,000","40,917,000","22,509,000","13,732,000","25,071,000","45,018,000","42,545,000","26,291,000","39,406,000","40,827,000","34,839,000","23,286,000","29,950,000","28,657,000","28,182,000","60,555,000","22,954,000","20,842,000","20,559,000","34,684,565","17,086,333","16,128,762","13,374,572","12,143,737","9,005,955","8,732,219","7,092,839","392,143","4,501,598","3,600,070","3,592,425","-2,714,527","4,457,324","4,176,911","4,027,366",,,"3,142,284","2,412,577",,
	OperatingRevenue,"435,407,000","83,613,000","122,154,000","111,732,000","117,907,000","69,654,000","92,158,000","90,597,000","46,493,000","-170,820,000","24,893,000","40,023,000","52,974,000","56,583,000","18,679,000","83,470,000","69,481,000","42,947,000","82,935,000","49,692,000","55,452,000","41,062,000","57,036,000","52,147,000","40,917,000","22,509,000","13,732,000","25,071,000","45,018,000","42,545,000","26,291,000","39,406,000","40,827,000","34,839,000","23,286,000","29,950,000","28,657,000","28,182,000","60,555,000","22,954,000","20,842,000","20,559,000","34,684,565","17,086,333","16,128,762","11,127,290","13,938,016","9,005,955","8,732,219","6,267,317","1,706,188","3,814,497","3,255,920","3,309,631","-1,699,268","4,064,574","4,021,252","3,405,230",,,"2,927,033","2,253,468",,
CostOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,"0","0",,
GrossProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,954,000","20,842,000","20,559,000","19,671,802","17,086,333","16,128,762","13,374,572","11,676,894","9,005,955","8,732,219","7,092,839","4,308,154","4,501,598","3,600,070","3,592,425","4,633,825","4,457,324","4,176,911","4,027,366",,,"3,142,284","2,412,577",,
OperatingExpense,"59,510,000","13,313,000","17,633,000","15,492,000","13,071,000","11,626,000","12,189,000","10,895,000","10,619,000","8,882,000","10,128,000","10,133,000","11,287,000","12,113,000","7,119,000","10,949,000","12,734,000","9,409,000","9,405,000","10,222,000","10,449,000","3,974,000","9,253,000","9,494,000","8,233,000","7,960,000","7,873,000","7,640,000","7,692,000","7,412,000","6,411,000","14,875,000","7,102,000","5,940,000","5,462,000","1,421,000","3,870,000","2,502,000","-1,545,000","3,509,000","3,836,000","3,846,000","1,519,694","3,009,238","3,249,864","3,079,885","-9,658,976","1,965,129","1,878,263","1,879,349","284,527","919,144","671,353","544,824","-111,305","997,042","669,130","678,897","-3,588,521","1,382,239","1,330,799","535,744","-3,444,792","1,221,726"
	SellingGeneralAndAdministration,"12,745,000","3,226,000","3,055,000","3,047,000","3,417,000","2,975,000","2,875,000","3,354,000","3,000,000","3,473,000","3,264,000","2,920,000","3,160,000","3,203,000","2,845,000","2,951,000","3,097,000","2,974,000","2,926,000","2,748,000","3,060,000","2,940,000","2,476,000","2,247,000","2,157,000","2,405,000","2,350,000","2,212,000","2,098,000","1,962,000","1,855,000","1,871,000","1,571,000","1,547,000","1,406,000","1,533,000","1,249,000","687,000","-8,861,000","3,509,000","3,836,000","3,846,000","-6,856,298","3,009,238","3,249,864","3,079,885","-4,285,714","1,965,129","1,878,263","1,879,349","-783,870","919,144","671,353","544,824","-622,757","997,042","669,130","678,897","1,003,207","32,961","1,330,799","535,744","42,324","51,008"
		GeneralAndAdministrativeExpense,"12,745,000","3,226,000","3,055,000","3,047,000","3,417,000","2,975,000","2,875,000","3,354,000","3,000,000","3,473,000","3,264,000","2,920,000","3,160,000","3,203,000","2,845,000","2,951,000","3,097,000","2,974,000","2,926,000","2,748,000","3,060,000","2,940,000","2,476,000","2,247,000","2,157,000","2,405,000","2,350,000","2,212,000","2,098,000","1,962,000","1,855,000","1,871,000","1,571,000","1,547,000","1,406,000","1,533,000","1,249,000","687,000","-8,861,000","3,509,000","3,836,000","3,846,000","-6,856,298","3,009,238","3,249,864","3,079,885","-4,285,714","1,965,129","1,878,263","1,879,349","-783,870","919,144","671,353","544,824","-622,757","997,042",,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"699,000","580,000","581,000","580,623","580,622","442,897","442,897","439,451","446,342","301,458","301,458","301,179","375,766","195,726","195,726","195,726","315,726",,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,810,000","3,256,000","3,265,000","3,525,092","2,428,616","2,806,967","2,636,988","2,026,677","1,518,787","1,576,805","1,577,891","553,216","543,378","475,627","349,098","699,804","681,316",,,,,,,,
	OtherOperatingExpenses,,,,,,,"0",,,"74,000","175,000","319,000","233,000","512,000","2,000","53,000","1,532,000","-1,359,000","-804,000","221,000","36,000","-5,665,000","123,000","801,000","-127,000","146,000","56,000","50,000","80,000","693,000","153,000","8,749,000","840,000","1,189,000","-209,000","-4,839,000","-555,000","1,212,000","1,384,000",,,,,,,,,,,,,,,,,,,,,"1,349,278",,,,"1,170,718"
