name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989
OperatingCashFlow,"-31,978,000","118,055,000","-121,468,000","-98,606,000","70,041,000","-57,957,000","-52,537,000","-26,262,000","92,877,000","-37,173,000","90,951,000","-88,783,000","1,317,000","54,348,000","51,340,000","-3,058,000","5,298,000","-61,486,000","-3,692,000","-51,723,000","27,001,000","93,886,000","124,820,000","13,183,000","-7,101,000","-14,985,000","26,701,000","-70,995,000","29,083,000","15,426,000","9,609,000","-76,984,000","17,976,000","-114,248,000","-43,689,000","-79,617,000","-90,825,000","-55,418,000","-58,364,000","-34,865,000","3,223,000","-18,813,000","459,000","-11,486,000","-11,556,000","-57,701,000","-71,490,000","41,343,000","-190,450,000","11,516,000","-42,052,000","-7,312,000","12,325,000","239,493,000","51,162,000","106,046,000","91,570,000","230,733,000","257,015,000","136,246,000","49,999,000","149,323,000","404,391,000","70,928,000","-3,828,000","-108,443,000","128,947,000","-227,773,000","-208,595,000","-117,508,000","170,368,000","-32,889,000","-118,123,000","-43,220,000","61,465,000","81,716,000","-93,889,000","34,635,000","51,843,000","-94,955,000","-118,681,000","-4,636,000","117,124,000","14,712,000","-28,012,000","-10,573,000","44,037,000","-53,299,000","-45,167,000","-9,028,000","52,400,000","-36,300,000","4,300,000","-24,200,000","45,100,000","-6,400,000","-15,900,000","-22,000,000","24,000,000","18,300,000","-22,200,000","-1,600,000","12,200,000","27,500,000","-4,200,000","12,400,000","100,000","23,500,000","-5,300,000","4,300,000","11,100,000","-7,000,000","-33,900,000","-7,000,000","-3,200,000","26,500,000","-34,400,000","-23,100,000","14,000,000","-2,700,000","6,800,000","-1,700,000","-2,000,000","17,700,000","-1,900,000","11,300,000","2,900,000","7,800,000","-5,500,000","13,600,000","-6,000,000","76,700,000"
	CashFlowFromContinuingOperatingActivities,"-31,978,000","118,055,000","-121,468,000","-98,606,000","70,041,000","-57,957,000","-52,537,000","-26,262,000","92,877,000","-37,173,000","90,951,000","-88,783,000","1,317,000","54,348,000","51,340,000","-3,058,000","5,298,000","-61,486,000","-3,692,000","-51,723,000","27,001,000","93,886,000","124,820,000","13,183,000","-7,101,000","-14,985,000","26,701,000","-70,995,000","29,083,000","15,426,000","9,609,000","-76,984,000","17,976,000","-114,248,000","-43,689,000","-79,617,000","-90,825,000","-55,418,000","-58,364,000","-34,865,000","3,223,000","-18,813,000","459,000","-11,486,000","-11,556,000","-57,701,000","-71,490,000","41,343,000","-190,450,000","11,516,000","-42,052,000","-7,312,000","12,325,000","239,493,000","51,162,000","106,046,000","91,570,000","230,733,000","257,015,000","136,246,000","49,999,000","149,323,000","404,391,000","70,928,000","-3,828,000","-108,443,000","128,947,000","-227,773,000","-208,595,000","-117,508,000","170,368,000","-32,889,000","-118,123,000","-43,220,000","61,465,000","81,716,000","-93,889,000","34,635,000","51,843,000","-94,955,000","-118,681,000","-4,636,000","117,124,000","14,712,000","-28,012,000","-10,573,000","44,037,000","-53,299,000","-45,167,000","-9,028,000","52,400,000","-36,300,000","4,300,000","-24,200,000","45,100,000","-6,400,000","-15,900,000","-22,000,000","24,000,000","18,300,000","-22,200,000","-1,600,000","12,200,000","27,500,000","-4,200,000","12,400,000","100,000","23,500,000","-5,300,000","4,300,000","11,100,000","-7,000,000","-33,900,000","-7,000,000","-3,200,000","26,500,000","-34,400,000","-23,100,000","14,000,000","-2,700,000","6,800,000","-1,700,000","-2,000,000","17,700,000","-1,900,000","11,300,000","2,900,000","7,800,000","-5,500,000","13,600,000","-6,000,000","76,700,000"
		NetIncomeFromContinuingOperations,"611,388,000","148,421,000","162,661,000","145,954,000","154,352,000","110,690,000","147,488,000","98,938,000","84,396,000","36,760,000","92,589,000","50,580,000","54,593,000","40,550,000","54,725,000","53,392,000","63,899,000","38,764,000","24,552,000","61,163,000","33,871,000","22,249,000","40,376,000","26,359,000","26,913,000","9,563,000","22,595,000","14,778,000","19,998,000","8,420,000","14,639,000","15,458,000","21,542,000","11,504,000","30,709,000","36,251,000","224,909,000","22,516,000","29,670,000","20,126,000","10,638,000","2,265,000",,,,"-19,879,000",,"-10,239,000","-3,684,000","-20,873,000",,"-32,048,000","-29,582,000","-40,853,000","-89,028,000","-117,971,000","-100,726,000","-72,820,000","-281,092,000","-155,378,000","-106,072,000","-94,398,000","-6,365,000","48,706,000","76,491,000","95,421,000","197,479,000","120,990,000","102,623,000","84,631,000","142,623,000","105,073,000","82,568,000","60,901,000","67,022,000","65,476,000","42,694,000","37,037,000","57,074,000","43,559,000","34,336,000","32,336,000","47,064,000","40,525,000","38,843,000","29,283,000","39,213,000","34,260,000","28,809,000","21,021,000","26,600,000","24,100,000","24,900,000","13,800,000","16,800,000","14,300,000","12,600,000","7,900,000","8,200,000","7,300,000","5,100,000","3,600,000","6,300,000","5,600,000","4,600,000","4,300,000","3,400,000","5,500,000","4,300,000","4,100,000","4,400,000","5,400,000","5,700,000","3,800,000","2,900,000","3,300,000","3,000,000","900,000","500,000","800,000","1,500,000","2,000,000","0","-5,000,000","-1,500,000","-6,400,000","-2,300,000","-8,700,000","1,200,000","-2,200,000","-54,300,000","-18,000,000"
		OperatingGainsLosses,,,"11,421,000","10,136,000",,,"0","0","-4,983,000","13,268,000","-3,863,000","-767,000","-2,327,000","-4,840,000","6,874,000","-3,004,000","-1,278,000","1,153,000","0","-52,211,000","-1,197,000","-561,000","-163,000","-649,000","-1,177,000","915,000","785,000","588,000","-473,000","11,000","9,053,000","-1,266,000","-6,356,000","9,412,000",,,,,,,,,"20,236,000",,,"-187,000","118,000","-85,000",,,"-3,980,000","19,000","-514,000","-1,017,000","-10,809,000","764,000","572,000","3,232,000","7,086,000",,,,,,,"2,755,000",,,,,,,,,"0","0",,,,,,,"4,141,000",,,,"3,400,000","0",,,,,,,"800,000","1,500,000","-16,800,000","24,900,000","300,000",,,"-1,000,000","1,100,000","1,300,000",,,"2,300,000",,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,"0","0","-4,983,000","13,268,000","-3,863,000","-767,000","-2,327,000","-4,840,000","6,874,000","-3,004,000","-1,278,000","1,153,000","0","-52,211,000","-1,197,000","-561,000","-163,000","-649,000","-1,177,000","915,000","785,000","588,000","-473,000","11,000","312,000","-1,266,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"31,315,000","6,652,000","7,736,000","7,752,000","9,175,000","7,003,000","8,285,000","7,354,000","6,375,000","5,152,000","7,576,000","5,537,000","5,063,000","4,878,000","5,920,000","5,454,000","5,316,000","4,636,000","1,116,000","1,501,000","1,376,000","1,328,000","1,430,000","1,335,000","1,294,000","1,073,000","985,000","992,000","1,009,000","1,083,000","1,000,000","995,000","999,000","934,000","904,000","888,000","994,000","1,078,000","1,058,000","1,052,000","1,349,000","1,307,000","1,658,000","1,496,000","1,627,000","1,590,000","1,875,000","1,311,000","1,308,000","1,265,000","1,247,000","1,235,000","1,297,000","1,623,000","-17,652,000","8,902,000","9,346,000","8,612,000","13,348,000","11,777,000","10,297,000","11,920,000","17,592,000","13,125,000","14,976,000","13,722,000","20,274,000","12,932,000","11,592,000","9,994,000","13,150,000","11,663,000","8,163,000","8,930,000","9,814,000","9,388,000","9,447,000","7,028,000","9,541,000","6,548,000","5,569,000","5,249,000","9,556,000","6,348,000","6,165,000","5,376,000","6,999,000","6,102,000","4,915,000","3,776,000","4,800,000","3,700,000","5,400,000","3,900,000","5,600,000","5,500,000","4,900,000","4,200,000","4,500,000","4,100,000","3,600,000","2,900,000","3,300,000","3,100,000","3,200,000","2,500,000","3,100,000","2,700,000","2,400,000","2,100,000",,,,,,,,,,,,,,,,,,,,,,
			DepreciationAndAmortization,"31,315,000","6,652,000","7,736,000","7,752,000","9,175,000","7,003,000","8,285,000","7,354,000","6,375,000","5,152,000","7,576,000","5,537,000","5,063,000","4,878,000","5,920,000","5,454,000","5,316,000","4,636,000","1,116,000","1,501,000","1,376,000","1,328,000","1,430,000","1,335,000","1,294,000","1,073,000","985,000","992,000","1,009,000","1,083,000","1,000,000","995,000","999,000","934,000","904,000","888,000","994,000","1,078,000","1,058,000","1,052,000","1,349,000","1,307,000","1,658,000","1,496,000","1,627,000","1,590,000","1,875,000","1,311,000","1,308,000","1,265,000","1,247,000","1,235,000","1,297,000","1,623,000","-17,652,000","8,902,000","9,346,000","8,612,000","13,348,000","11,777,000","10,297,000","11,920,000","17,592,000","13,125,000","14,976,000","13,722,000","20,274,000","12,932,000","11,592,000","9,994,000","13,150,000","11,663,000","8,163,000","8,930,000","9,814,000","9,388,000","9,447,000","7,028,000","9,541,000","6,548,000","5,569,000","5,249,000","9,556,000","6,348,000","6,165,000","5,376,000","6,999,000","6,102,000","4,915,000","3,776,000","4,800,000","3,700,000","5,400,000","3,900,000","5,600,000","5,500,000","4,900,000","4,200,000","4,500,000","4,100,000","3,600,000","2,900,000","3,300,000","3,100,000","3,200,000","2,500,000","3,100,000","2,700,000","2,400,000","2,100,000",,,,,,,,,,,,,,,,,,,,,,
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,145,000","2,358,000","2,428,000","3,364,000","3,613,000","3,157,000","4,133,000","4,730,000","4,747,000","4,880,000","4,543,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,757,000","6,988,000","6,184,000","9,984,000","8,164,000","7,140,000","7,787,000","12,862,000","8,378,000","10,096,000","9,179,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,757,000","6,988,000","6,184,000","9,984,000","8,164,000","7,140,000","7,787,000","12,862,000","8,378,000","10,096,000","9,179,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
