name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007
TotalAssets,"174,443,000","187,929,000","180,523,000","187,147,000","190,813,000","202,032,000","213,324,000","150,912,000","158,909,000","167,166,000","179,267,000","170,310,000","107,442,000","122,844,000","121,255,000","178,707,000","199,865,000","188,491,000","193,263,000","181,665,000","177,055,000","177,220,000","135,913,000","125,927,000","113,837,000","106,105,000","109,259,000","97,317,407","86,024,633","87,348,566","84,693,893","45,296,293","40,283,088","37,852,174","35,182,608","33,535,481","27,471,686","26,860,192","27,096,192","23,551,623","24,282,404","23,420,585","7,352,245","6,847,122","9,486,240","8,336,670","7,344,986","9,121,250","7,616,813","8,633,518","10,410,847","12,149,661","184","1,450","14,676","5,277"
	CurrentAssets,"135,907,000","148,523,000","141,902,000","147,691,000","149,964,000","160,617,000","171,474,000","107,592,000","115,888,000","123,245,000","134,022,000","122,500,000","57,187,000","74,049,000","48,747,000","114,110,000","132,546,000","121,898,000","126,538,000","106,290,000","101,841,000","95,240,000","96,310,000","102,745,000","91,806,000","82,286,000","85,677,000","77,264,455","66,299,641","67,904,192","65,388,771","25,845,711","21,527,689","20,689,366","18,088,791","16,140,400","7,855,189","7,047,829","6,881,511","3,002,590","3,623,053","2,343,073","1,705,798","929,459","3,326,079","1,983,290","186,039","1,669,982","117,781","873,089","2,406,072","3,942,683","184","1,450","14,676","5,277"
		CashCashEquivalentsAndShortTermInvestments,"75,676,000","87,083,000","90,607,000","85,007,000","84,746,000","95,812,000","109,595,000","48,189,000","53,525,000","69,069,000","94,122,000","96,929,000","28,381,000","45,118,000","27,476,000","36,522,000","47,533,000","30,924,000","34,391,000","18,338,000","23,803,000","17,617,000","31,486,000","47,573,000","45,851,000","44,696,000","52,332,000","47,253,003","39,245,237","43,019,559","44,077,751","6,061,756","4,193,583","5,725,107","6,754,485","7,621,226","2,654,694","3,021,266","4,112,326","637,192","1,614,350","1,020,533","1,340,922","428,493","2,728,205","1,627,505","5,785","1,620,900","34,828","864,768","2,347,237","3,875,106","184","1,450","14,676","1,777"
			CashAndCashEquivalents,"75,676,000","87,083,000","90,607,000","85,007,000","84,746,000","95,812,000","109,595,000","48,189,000","53,525,000","69,069,000","94,122,000","96,929,000","28,381,000","45,118,000","27,476,000","36,522,000","47,533,000","30,924,000","34,391,000","18,338,000","23,803,000","15,117,000","28,486,000","41,073,000","38,601,000","38,696,000","46,582,000","47,253,003","39,245,237","43,019,559","44,077,751","6,061,756","4,193,583","5,725,107","6,754,485","7,621,226","2,654,694","3,021,266","4,112,326","637,192","1,614,350","1,020,533","1,340,922","428,493","2,728,205","1,627,505","5,785","1,620,900","34,828","864,768","2,347,237","3,875,106","184","1,450","14,676","1,777"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,"0",,"0","2,500,000","3,000,000","6,500,000","7,250,000","6,000,000","5,750,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"38,354,000","41,096,000","37,161,000","47,381,000","45,411,000","45,468,000","43,895,000","40,797,000","42,661,000","32,345,000","22,232,000","534,000","466,000","454,000","656,000","59,581,000","60,738,000","66,846,000","67,151,000","63,427,000","54,861,000","53,882,000","53,755,000","46,778,000","39,448,000","31,001,000","26,672,000","23,304,472","20,499,578","18,966,543","16,092,836","13,706,524","11,761,874","9,821,503","7,653,561","6,170,124","3,946,333","2,853,552","1,891,919","1,501,565","1,212,594","503,185","162,376","259,476","380,565","115,655",,,,,,,,,,
			AccountsReceivable,"37,674,000","40,353,000","36,536,000","37,243,000","35,420,000","35,423,000","33,042,000","30,097,000","31,932,000","32,327,000","21,389,000",,,,,"59,581,000","60,738,000","66,846,000","67,151,000","63,427,000","54,861,000","53,882,000","53,755,000","46,778,000","39,448,000","31,001,000","26,672,000","23,304,472","20,499,578","18,966,543","16,092,836","13,706,524","11,761,874","9,821,503","7,653,561","6,170,124","3,946,333","2,853,552","1,891,919","1,501,565","1,212,594","503,185","162,376","259,476","380,565","115,655",,,,,,,,,,
				GrossAccountsReceivable,"39,061,000",,"37,403,000","38,043,000","36,120,000",,,"32,097,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,387,000",,"-867,000","-800,000","-700,000",,,"-2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"680,000","743,000","625,000","10,138,000","9,991,000","10,045,000","10,853,000","10,700,000","10,729,000","18,000","843,000","534,000","466,000","454,000","656,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
